record_id,paper_id,tea_type,material_form,component_group,compound_name,activity_category,endpoint_label,study_type,evidence_level,model_system,dose_exposure,effect_direction,processing_step,extraction_method,cultivar,origin,mechanism_label,microbiota_taxon,microbial_metabolite,host_phenotype,claim_text_raw,confidence_score,annotator_id,adjudication_status,notes
PMID_41880967_AUTO1,PMID_41880967,black tea,purified component,theaflavins,,antioxidant,oxidative stress or antioxidant-status outcome,animal study,preclinical_in_vivo,animal model,needs manual extraction,positive,,,,,needs manual extraction,,,oxidative stress phenotype,Targeted quantitative analysis and antioxidant activity reveal the quality characteristics of Chinese black teas from different regions.,0.55,auto_v1,needs_review,Auto-generated candidate record from included paper metadata/title for activity=antioxidant.
PMID_41868711_AUTO1,PMID_41868711,unspecified tea,purified component,catechins,,other,candidate endpoint from title,animal study,preclinical_in_vivo,animal model,needs manual extraction,positive,,,,,,,,,Qing-brick tea alleviates metabolic dysfunction-associated fatty liver disease: involvement of AMPK/ACC and SREBP1/FAS pathways.,0.55,auto_v1,needs_review,Auto-generated candidate record from included paper metadata/title for activity=other.
PMID_41867690_AUTO1,PMID_41867690,unspecified tea,tea extract,mixed polyphenols,,antioxidant,oxidative stress or antioxidant-status outcome,animal study,preclinical_in_vivo,animal model,needs manual extraction,positive,,other extraction,,,needs manual extraction,,,oxidative stress phenotype,Optimized extraction of polyphenols from rooibos tea (Aspalathus linearis) and their biological activities.,0.55,auto_v1,needs_review,Auto-generated candidate record from included paper metadata/title for activity=antioxidant.
PMID_41863981_AUTO1,PMID_41863981,unspecified tea,purified component,tea polysaccharides,,gut microbiota modulation,gut microbiota modulation,animal study,preclinical_in_vivo,animal model,needs manual extraction,positive,,,,,barrier-related mechanism,taxa as reported,,microbiota-related host phenotype,"Effects of tea polyphenols on intestinal barrier, antioxidant capacity, and cecal microbiota in lion-head geese.",0.55,auto_v1,needs_review,Auto-generated candidate record from included paper metadata/title for activity=gut microbiota modulation.
PMID_41863981_AUTO2,PMID_41863981,unspecified tea,purified component,tea polysaccharides,,antioxidant,oxidative stress or antioxidant-status outcome,animal study,preclinical_in_vivo,animal model,needs manual extraction,positive,,,,,barrier-related mechanism,taxa as reported,,oxidative stress phenotype,"Effects of tea polyphenols on intestinal barrier, antioxidant capacity, and cecal microbiota in lion-head geese.",0.55,auto_v1,needs_review,Auto-generated candidate record from included paper metadata/title for activity=antioxidant.
PMID_41863176_AUTO1,PMID_41863176,green tea,purified component,catechins,,gut microbiota modulation,gut microbiota modulation,systematic review,evidence_synthesis_nonquantitative,review synthesis,needs manual extraction,positive,,,,,needs manual extraction,taxa as reported,,microbiota-related host phenotype,Potential Role and Mechanisms of Epigallocatechin-3-Gallate in Colorectal Cancer.,0.55,auto_v1,needs_review,Auto-generated candidate record from included paper metadata/title for activity=gut microbiota modulation.
PMID_41861686_AUTO1,PMID_41861686,yellow tea,purified component,tea polysaccharides,,gut microbiota modulation,gut microbiota modulation,animal study,preclinical_in_vivo,animal model,needs manual extraction,positive,,,,,barrier-related mechanism,taxa as reported,,microbiota-related host phenotype,Large-leaf yellow tea oligosaccharides alleviate T2DM by promoting GLP-1 secretion and regulating intestinal mucosal barrier.,0.55,auto_v1,needs_review,Auto-generated candidate record from included paper metadata/title for activity=gut microbiota modulation.
PMID_41859366_AUTO1,PMID_41859366,unspecified tea,purified component,caffeine,,other,candidate endpoint from title,animal study,preclinical_in_vivo,animal model,needs manual extraction,positive,,,,,,,,,Identification of a unique tea germplasm exhibiting hyperaccumulation of trans-catechins and its molecular regulatory mechanism.,0.55,auto_v1,needs_review,Auto-generated candidate record from included paper metadata/title for activity=other.
PMID_41858500_AUTO1,PMID_41858500,unspecified tea,tea extract,mixed polyphenols,,antioxidant,oxidative stress or antioxidant-status outcome,animal study,preclinical_in_vivo,animal model,needs manual extraction,positive,,,,,needs manual extraction,,,oxidative stress phenotype,Covalent modification of flaxseed protein isolate by polyphenols and characterization of the structural and functional properties of the conjugates.,0.55,auto_v1,needs_review,Auto-generated candidate record from included paper metadata/title for activity=antioxidant.
PMID_41855828_AUTO1,PMID_41855828,unspecified tea,tea infusion,multiple component groups,,antioxidant,oxidative stress or antioxidant-status outcome,animal study,preclinical_in_vivo,animal model,needs manual extraction,positive,,,,,needs manual extraction,,,oxidative stress phenotype,Comparison of volatile organic compounds and antioxidant activity in Dendrobii Officinalis Flos under different drying methods.,0.55,auto_v1,needs_review,Auto-generated candidate record from included paper metadata/title for activity=antioxidant.
PMID_41853609_AUTO1,PMID_41853609,unspecified tea,purified component,caffeine,,other,candidate endpoint from title,animal study,preclinical_in_vivo,animal model,needs manual extraction,positive,,,,,,,,,Effects of the flowering process on the metabolite profiles and bioactivities of Shaanxi Fu brick tea.,0.55,auto_v1,needs_review,Auto-generated candidate record from included paper metadata/title for activity=other.
PMID_41853598_AUTO1,PMID_41853598,fermented tea,purified component,theaflavins,,other,candidate endpoint from title,animal study,preclinical_in_vivo,animal model,needs manual extraction,positive,fermentation/oxidation,,,,,,,,From chemical characterization to functional validation: Screening of anti-hyperglycemic components and their action mechanisms in differentially fermented teas.,0.55,auto_v1,needs_review,Auto-generated candidate record from included paper metadata/title for activity=other.
PMID_41853594_AUTO1,PMID_41853594,unspecified tea,purified component,catechins,,antioxidant,oxidative stress or antioxidant-status outcome,animal study,preclinical_in_vivo,animal model,needs manual extraction,positive,,,,,needs manual extraction,,,oxidative stress phenotype,Mutual interactions between HG-LG gellan gum and tea polyphenols: Concentration-dependent structural modulation and enhanced antioxidant stability.,0.55,auto_v1,needs_review,Auto-generated candidate record from included paper metadata/title for activity=antioxidant.
PMID_41844524_AUTO1,PMID_41844524,dark tea,purified component,catechins,,other,candidate endpoint from title,animal study,preclinical_in_vivo,animal model,needs manual extraction,positive,processing category contrast,,,,,,,,Evolution in the chemical composition of Liubao tea during processing.,0.55,auto_v1,needs_review,Auto-generated candidate record from included paper metadata/title for activity=other.
PMID_41839755_AUTO1,PMID_41839755,fermented tea,fermented beverage,mixed polyphenols,,antioxidant,oxidative stress or antioxidant-status outcome,animal study,preclinical_in_vivo,animal model,needs manual extraction,positive,fermentation/oxidation,,,,needs manual extraction,,,oxidative stress phenotype,Commercial kombucha beverages produced in Uruguay: physicochemical composition and antioxidant profile.,0.55,auto_v1,needs_review,Auto-generated candidate record from included paper metadata/title for activity=antioxidant.
PMID_41839464_AUTO1,PMID_41839464,unspecified tea,purified component,mixed polyphenols,,other,candidate endpoint from title,animal study,preclinical_in_vivo,animal model,needs manual extraction,positive,,,,,,,,,Preparation and characterization of chitosan‑sodium alginate complex edible casings incorporated with tea polyphenols and their application in dry-cured sausages.,0.55,auto_v1,needs_review,Auto-generated candidate record from included paper metadata/title for activity=other.
PMID_41833670_AUTO1,PMID_41833670,unspecified tea,purified component,mixed polyphenols,,antioxidant,oxidative stress or antioxidant-status outcome,animal study,preclinical_in_vivo,animal model,needs manual extraction,positive,,,,,needs manual extraction,,,oxidative stress phenotype,Postbiotic-assisted synthesis of cerium oxide nanocomposites functionalized with folic acid-chitosan and tea polyphenols for redox-regulated anticancer activity.,0.55,auto_v1,needs_review,Auto-generated candidate record from included paper metadata/title for activity=antioxidant.
PMID_41830022_AUTO1,PMID_41830022,green tea,purified component,catechins,,gut microbiota modulation,gut microbiota modulation,randomized controlled trial,human_interventional,human adults,needs manual extraction,positive,,,,,microbiota-associated mechanism,taxa as reported,,microbiota-related host phenotype,Green Tea Catechin Plus Inulin Improves Insulin Resistance Without Reducing Visceral Fat and Shows Exploratory Gut Microbiota Signals in Adults with Visceral Obesity: A Double-Blind Randomized Controlled Trial.,0.55,auto_v1,needs_review,Auto-generated candidate record from included paper metadata/title for activity=gut microbiota modulation.
PMID_41830022_AUTO2,PMID_41830022,green tea,purified component,catechins,,anti-obesity,obesity-related phenotype,randomized controlled trial,human_interventional,human adults,needs manual extraction,positive,,,,,microbiota-associated mechanism,taxa as reported,,obesity-related phenotype,Green Tea Catechin Plus Inulin Improves Insulin Resistance Without Reducing Visceral Fat and Shows Exploratory Gut Microbiota Signals in Adults with Visceral Obesity: A Double-Blind Randomized Controlled Trial.,0.55,auto_v1,needs_review,Auto-generated candidate record from included paper metadata/title for activity=anti-obesity.
PMID_41829951_AUTO1,PMID_41829951,green tea,tea extract,mixed polyphenols,,gut microbiota modulation,gut microbiota modulation,meta-analysis,evidence_synthesis,human prospective cohorts,needs manual extraction,positive,,,,,microbiota-associated mechanism,taxa as reported,,microbiota-related host phenotype,Dietary Polyphenols as Modulators of Bifidobacterium in the Human Gut Microbiota.,0.55,auto_v1,needs_review,Auto-generated candidate record from included paper metadata/title for activity=gut microbiota modulation.
PMID_41829159_AUTO1,PMID_41829159,dark tea,unspecified material,multiple component groups,,gut microbiota modulation,gut microbiota modulation,animal study,preclinical_in_vivo,animal model,needs manual extraction,positive,,,,,microbiota-associated mechanism,taxa as reported,,microbiota-related host phenotype,Probiotic-Driven Metabolic Transformation in Dark Tea: Enhanced Bioactives and Gut Microbiota Modulation Underlie Its Alleviation Effect Against Constipation.,0.55,auto_v1,needs_review,Auto-generated candidate record from included paper metadata/title for activity=gut microbiota modulation.
PMID_41828893_AUTO1,PMID_41828893,unspecified tea,tea extract,whole extract,,antioxidant,oxidative stress or antioxidant-status outcome,animal study,preclinical_in_vivo,animal model,needs manual extraction,positive,,other extraction,,,needs manual extraction,,,oxidative stress phenotype,GC-MS Analysis and Antioxidant Evaluation of Essential Oils from Chimonanthus salicifolius and Chimonanthus nitens.,0.55,auto_v1,needs_review,Auto-generated candidate record from included paper metadata/title for activity=antioxidant.
PMID_41828808_AUTO1,PMID_41828808,green tea,purified component,catechins,,other,candidate endpoint from title,animal study,preclinical_in_vivo,animal model,needs manual extraction,positive,,,,,,,,,Galloylation-Driven Anchoring of the Asp325-Asp336 Ridge: The Molecular Logic Behind the Superior Kinetic Stabilization of HMPV Fusion Protein by Green Tea Dimeric Catechins.,0.55,auto_v1,needs_review,Auto-generated candidate record from included paper metadata/title for activity=other.
PMID_41828611_AUTO1,PMID_41828611,green tea,purified component,catechins,,anti-inflammatory,inflammation-related outcome,meta-analysis,evidence_synthesis,human prospective cohorts,needs manual extraction,mixed,,,,,needs manual extraction,,,inflammation phenotype,Do Adjunctive Therapies with Natural Products Improve Periodontal Clinical Parameters After Non-Surgical Treatment? A Systematic Review and Meta-Analysis.,0.55,auto_v1,needs_review,Auto-generated candidate record from included paper metadata/title for activity=anti-inflammatory.
PMID_41820002_AUTO1,PMID_41820002,unspecified tea,tea infusion,multiple component groups,,other,candidate endpoint from title,randomized controlled trial,human_interventional,human trial participants,needs manual extraction,positive,,,,,,,,,[Effects of different aging years of Liupao tea on metabolic indexes and body composition of overweight and obese people].,0.55,auto_v1,needs_review,Auto-generated candidate record from included paper metadata/title for activity=other.
PMID_41819933_AUTO1,PMID_41819933,unspecified tea,tea extract,caffeine,,other,candidate endpoint from title,animal study,preclinical_in_vivo,animal model,needs manual extraction,positive,,,,,,,,,Analysis of the synergistic effects of tea cultivars and regional environments on metabolic phenotypes.,0.55,auto_v1,needs_review,Auto-generated candidate record from included paper metadata/title for activity=other.
PMID_41804768_AUTO1,PMID_41804768,green tea,purified component,tea polysaccharides,,gut microbiota modulation,gut microbiota and SCFA-related modulation,animal study,preclinical_in_vivo,animal model,needs manual extraction,positive,,,,,SCFA-associated mechanism,taxa as reported,SCFAs,microbiota-related host phenotype,Epigallocatechin-3-gallate ameliorates LPS-induced ARDS by modulating Akkermansia-associated SCFAs metabolism and inhibiting the JAK2/STAT3 candidate signaling pathway.,0.55,auto_v1,needs_review,Auto-generated candidate record from included paper metadata/title for activity=gut microbiota modulation.
PMID_41802656_AUTO1,PMID_41802656,unspecified tea,unspecified material,theanine,,gut microbiota modulation,gut microbiota modulation,systematic review,evidence_synthesis_nonquantitative,review synthesis,needs manual extraction,positive,,,,,needs manual extraction,taxa as reported,,microbiota-related host phenotype,L-theanine as a sustainable feed additive: Evaluating impacts on animal health and production efficiency.,0.55,auto_v1,needs_review,Auto-generated candidate record from included paper metadata/title for activity=gut microbiota modulation.
PMID_41800414_AUTO1,PMID_41800414,green tea,purified component,tea polysaccharides,,other,candidate endpoint from title,animal study,preclinical_in_vivo,animal model,needs manual extraction,positive,,,,,,,,,Synergistic inhibition of Streptococcus mutans biofilms by fluoride and epigallocatechin gallate: insights from multi-omics analysis.,0.55,auto_v1,needs_review,Auto-generated candidate record from included paper metadata/title for activity=other.
PMID_41799109_AUTO1,PMID_41799109,unspecified tea,purified component,theaflavins,,neuroprotection,cognition or neural-protection-related outcome,animal study,preclinical_in_vivo,animal model,needs manual extraction,positive,,,,,needs manual extraction,,,cognition or neural phenotype,BBB Permeability and Cytotoxic Profiles of Tea Phytoconstituents via Nanoliposomes.,0.55,auto_v1,needs_review,Auto-generated candidate record from included paper metadata/title for activity=neuroprotection.
PMID_41798939_AUTO1,PMID_41798939,fermented tea,tea extract,whole extract,,gut microbiota modulation,gut microbiota modulation,animal study,preclinical_in_vivo,animal model,needs manual extraction,positive,,other extraction,,,needs manual extraction,taxa as reported,,microbiota-related host phenotype,"Integrating network pharmacology, microbiomics, and metabolomics to uncover the therapeutic effect of Liubao tea on osteoarthritis.",0.55,auto_v1,needs_review,Auto-generated candidate record from included paper metadata/title for activity=gut microbiota modulation.
PMID_41797132_AUTO1,PMID_41797132,unspecified tea,purified component,catechins,,antioxidant,oxidative stress or antioxidant-status outcome,animal study,preclinical_in_vivo,animal model,needs manual extraction,positive,,,,,needs manual extraction,,,oxidative stress phenotype,"A chitosan-tea polyphenol composite hydrogel with integrated antibacterial, antioxidant and immunomodulatory functions for the tissue regeneration of MRSA-infected wounds.",0.55,auto_v1,needs_review,Auto-generated candidate record from included paper metadata/title for activity=antioxidant.
PMID_41796839_AUTO1,PMID_41796839,green tea,purified component,theanine,,anti-obesity,obesity-related phenotype,systematic review,evidence_synthesis_nonquantitative,review synthesis,needs manual extraction,positive,,,,,needs manual extraction,,,obesity-related phenotype,Pharmacological effects and molecular targets of L-theanine in cardiovascular diseases and comorbidities.,0.55,auto_v1,needs_review,Auto-generated candidate record from included paper metadata/title for activity=anti-obesity.
PMID_41796839_AUTO2,PMID_41796839,green tea,purified component,theanine,,cardiovascular protection,cardiovascular or mortality-related outcome,systematic review,evidence_synthesis_nonquantitative,review synthesis,needs manual extraction,positive,,,,,,,,,Pharmacological effects and molecular targets of L-theanine in cardiovascular diseases and comorbidities.,0.55,auto_v1,needs_review,Auto-generated candidate record from included paper metadata/title for activity=cardiovascular protection.
PMID_41794250_AUTO1,PMID_41794250,green tea,tea extract,tea polysaccharides,,antioxidant,oxidative stress or antioxidant-status outcome,animal study,preclinical_in_vivo,animal model,needs manual extraction,positive,,,,,needs manual extraction,,,oxidative stress phenotype,Determination of complex formation between green tea catechins and polysaccharide matrices by using kinetic and fluorescence analysis.,0.55,auto_v1,needs_review,Auto-generated candidate record from included paper metadata/title for activity=antioxidant.
PMID_41791619_AUTO1,PMID_41791619,unspecified tea,unspecified material,multiple component groups,,gut microbiota modulation,gut microbiota modulation,systematic review,evidence_synthesis_nonquantitative,review synthesis,needs manual extraction,mixed,,,,,needs manual extraction,taxa as reported,,microbiota-related host phenotype,The anti-obesity potential of Cassiae Semen: A review based on ethnopharmacology and modern pharmacology.,0.55,auto_v1,needs_review,Auto-generated candidate record from included paper metadata/title for activity=gut microbiota modulation.
PMID_41791619_AUTO2,PMID_41791619,unspecified tea,unspecified material,multiple component groups,,anti-obesity,obesity-related phenotype,systematic review,evidence_synthesis_nonquantitative,review synthesis,needs manual extraction,mixed,,,,,needs manual extraction,,,obesity-related phenotype,The anti-obesity potential of Cassiae Semen: A review based on ethnopharmacology and modern pharmacology.,0.55,auto_v1,needs_review,Auto-generated candidate record from included paper metadata/title for activity=anti-obesity.
PMID_41789592_AUTO1,PMID_41789592,black tea,purified component,theaflavins,,gut microbiota modulation,gut microbiota modulation,systematic review,evidence_synthesis_nonquantitative,review synthesis,needs manual extraction,mixed,,,,,needs manual extraction,taxa as reported,,microbiota-related host phenotype,"Advances regarding physiological functions and mechanisms of theaflavin‑3,3'‑digallate (Review).",0.55,auto_v1,needs_review,Auto-generated candidate record from included paper metadata/title for activity=gut microbiota modulation.
PMID_41788685_AUTO1,PMID_41788685,unspecified tea,tea infusion,multiple component groups,,cardiovascular protection,cardiovascular or mortality-related outcome,cohort study,human_observational,review synthesis,needs manual extraction,positive,,,,,,,,,Association of dietary flavonoid intake with incident atherosclerosis: cohort evidence in middle-aged and older adults.,0.55,auto_v1,needs_review,Auto-generated candidate record from included paper metadata/title for activity=cardiovascular protection.
PMID_41788636_AUTO1,PMID_41788636,unspecified tea,purified component,mixed polyphenols,,other,candidate endpoint from title,meta-analysis,evidence_synthesis,human prospective cohorts,needs manual extraction,mixed,,,,,,,,,Association Between Dietary Tea Consumption and Non-Alcoholic Fatty Liver Disease: A Systematic Review and Meta-Analysis.,0.55,auto_v1,needs_review,Auto-generated candidate record from included paper metadata/title for activity=other.
PMID_41785770_AUTO1,PMID_41785770,unspecified tea,purified component,catechins,,antioxidant,oxidative stress or antioxidant-status outcome,animal study,preclinical_in_vivo,animal model,needs manual extraction,positive,,,,,needs manual extraction,,,oxidative stress phenotype,Effect of water activity and light exposure on the stability of bioactive compounds in matcha (Camellia sinensis) powder during storage periods.,0.55,auto_v1,needs_review,Auto-generated candidate record from included paper metadata/title for activity=antioxidant.
PMID_41782071_AUTO1,PMID_41782071,unspecified tea,tea infusion,caffeine,,cardiovascular protection,cardiovascular or mortality-related outcome,systematic review,evidence_synthesis_nonquantitative,review synthesis,needs manual extraction,mixed,,,,,,,,,Caffeine as a cardiovascular protective agent: a comprehensive review of mechanisms and outcomes.,0.55,auto_v1,needs_review,Auto-generated candidate record from included paper metadata/title for activity=cardiovascular protection.
PMID_41769650_AUTO1,PMID_41769650,black tea,tea leaf,multiple component groups,,antioxidant,oxidative stress or antioxidant-status outcome,animal study,preclinical_in_vivo,animal model,needs manual extraction,positive,,,,,needs manual extraction,,,oxidative stress phenotype,Untargeted metabolomics reveals enhanced antioxidant capacity and key bioactive components of Gougunao No. 2 black tea.,0.55,auto_v1,needs_review,Auto-generated candidate record from included paper metadata/title for activity=antioxidant.
PMID_41769406_AUTO1,PMID_41769406,unspecified tea,tea extract,whole extract,,other,candidate endpoint from title,animal study,preclinical_in_vivo,animal model,needs manual extraction,positive,,other extraction,,,,,,,Comparative analysis of carotenoid accumulation during the flowering period in three Coreopsis tinctoria cultivars with different petal colors.,0.55,auto_v1,needs_review,Auto-generated candidate record from included paper metadata/title for activity=other.
PMID_41763794_AUTO1,PMID_41763794,unspecified tea,purified component,tea polysaccharides,,gut microbiota modulation,gut microbiota modulation,animal study,preclinical_in_vivo,animal model,needs manual extraction,positive,,,,,needs manual extraction,taxa as reported,,microbiota-related host phenotype,Amelioration of colitis by donor microbiota modulated with tea active ingredients: A fecal microbiota transplantation study.,0.55,auto_v1,needs_review,Auto-generated candidate record from included paper metadata/title for activity=gut microbiota modulation.
PMID_41763747_AUTO1,PMID_41763747,fermented tea,unspecified material,multiple component groups,,other,candidate endpoint from title,systematic review,evidence_synthesis_nonquantitative,review synthesis,needs manual extraction,positive,fermentation/oxidation,,,,,,,,Research progress on enantiomers detection in fermented foods.,0.55,auto_v1,needs_review,Auto-generated candidate record from included paper metadata/title for activity=other.
PMID_41762517_AUTO1,PMID_41762517,unspecified tea,purified component,catechins,,anti-inflammatory,inflammation-related outcome,animal study,preclinical_in_vivo,animal model,needs manual extraction,positive,,,,,inflammation-related mechanism,,,inflammation phenotype,Dual-functional tea polyphenol-serotonin nanoparticles for integrated inflammation suppression and mucosal repair in inflammatory bowel disease.,0.55,auto_v1,needs_review,Auto-generated candidate record from included paper metadata/title for activity=anti-inflammatory.
PMID_41754218_AUTO1,PMID_41754218,green tea,tea extract,whole extract,,anti-obesity,obesity-related phenotype,systematic review,evidence_synthesis_nonquantitative,review synthesis,needs manual extraction,mixed,,other extraction,,,needs manual extraction,,,obesity-related phenotype,Consumer Perceptions Influence Supplement Choice: A Narrative Review of Clinically Studied Weight-Management Supplements in Obesity.,0.55,auto_v1,needs_review,Auto-generated candidate record from included paper metadata/title for activity=anti-obesity.
PMID_41754217_AUTO1,PMID_41754217,green tea,tea infusion,caffeine,,other,candidate endpoint from title,systematic review,evidence_synthesis_nonquantitative,review synthesis,needs manual extraction,mixed,,,,,,,,,Therapeutic Potential and Mechanistic Pathways of Plant-Based Supplements and Exercise Training in Blood Pressure Management: An Evidence-Based Review and Research Agenda.,0.55,auto_v1,needs_review,Auto-generated candidate record from included paper metadata/title for activity=other.
PMID_41750899_AUTO1,PMID_41750899,black tea,fermented beverage,multiple component groups,,antioxidant,oxidative stress or antioxidant-status outcome,animal study,preclinical_in_vivo,animal model,needs manual extraction,positive,fermentation/oxidation,,,,needs manual extraction,,,oxidative stress phenotype,Oak (Quercus petraea) Leaf-Based Kombucha: A Sustainable Approach to Fermented Beverages.,0.55,auto_v1,needs_review,Auto-generated candidate record from included paper metadata/title for activity=antioxidant.
PMID_41747612_AUTO1,PMID_41747612,unspecified tea,purified component,mixed polyphenols,,other,candidate endpoint from title,animal study,preclinical_in_vivo,animal model,needs manual extraction,positive,,,,,,,,,Nepenthes bioinspired superhydrophilic nanofiber membrane with micro/nano structure via microfluidic electrospinning.,0.55,auto_v1,needs_review,Auto-generated candidate record from included paper metadata/title for activity=other.
PMID_41747591_AUTO1,PMID_41747591,unspecified tea,tea extract,whole extract,,gut microbiota modulation,gut microbiota modulation,animal study,preclinical_in_vivo,animal model,needs manual extraction,positive,,other extraction,,,microbiota-associated mechanism; neuroprotection-related mechanism,taxa as reported,,microbiota-related host phenotype,Rosa chinensis cv. 'JinBian' flowers alleviates brain damage and cognitive deficit by inhibiting ferroptosis via the Keap1/Nrf2/GPX4 pathway and regulating gut microbiota.,0.55,auto_v1,needs_review,Auto-generated candidate record from included paper metadata/title for activity=gut microbiota modulation.
PMID_41745743_AUTO1,PMID_41745743,unspecified tea,tea extract,whole extract,,other,candidate endpoint from title,animal study,preclinical_in_vivo,animal model,needs manual extraction,positive,,other extraction,,,,,,,Development and Validation of an LC-MS/MS Method for the Determination of Alternaria Mycotoxins in Hepatic Tissue.,0.55,auto_v1,needs_review,Auto-generated candidate record from included paper metadata/title for activity=other.
PMID_41738389_AUTO1,PMID_41738389,black tea,purified component,theaflavins,,gut microbiota modulation,gut microbiota modulation,animal study,preclinical_in_vivo,animal model,needs manual extraction,positive,,,,,microbiota-associated mechanism,taxa as reported,,microbiota-related host phenotype,"Theaflavins ameliorate obesity through enhanced antioxidant capacity, a suppressed hepatic BCAA degradation pathway, and gut microbiota modulation.",0.55,auto_v1,needs_review,Auto-generated candidate record from included paper metadata/title for activity=gut microbiota modulation.
PMID_41738389_AUTO2,PMID_41738389,black tea,purified component,theaflavins,,anti-obesity,obesity-related phenotype,animal study,preclinical_in_vivo,animal model,needs manual extraction,positive,,,,,microbiota-associated mechanism,taxa as reported,,obesity-related phenotype,"Theaflavins ameliorate obesity through enhanced antioxidant capacity, a suppressed hepatic BCAA degradation pathway, and gut microbiota modulation.",0.55,auto_v1,needs_review,Auto-generated candidate record from included paper metadata/title for activity=anti-obesity.
