record_id,paper_id,title,silver_tea_type,silver_component_group,silver_processing_step,silver_extraction_method,component_evidence_terms,processing_evidence_terms,extraction_evidence_terms,context_completeness_score,uncertainty_class,uncertainty_flags
PMID_41830022_GLM2,PMID_41830022,Green Tea Catechin Plus Inulin Improves Insulin Resistance Without Reducing Visceral Fat and Shows Exploratory Gut Microbiota Signals in Adults with Visceral Obesity: A Double-Blind Randomized Controlled Trial.,green tea,catechins,,,catechin; catechins,,,0.550,moderate_uncertainty,generic_mechanism; missing_processing_or_extraction_context; uncertain_effect_direction
PMID_41829951_GLM1,PMID_41829951,Dietary Polyphenols as Modulators of Bifidobacterium in the Human Gut Microbiota.,green tea,mixed polyphenols,,other extraction,polyphenols; polyphenol; flavonoids,,extracted,0.750,moderate_uncertainty,generic_mechanism
PMID_41829951_GLM2,PMID_41829951,Dietary Polyphenols as Modulators of Bifidobacterium in the Human Gut Microbiota.,green tea,mixed polyphenols,,other extraction,polyphenols; polyphenol; flavonoids,,extracted,0.750,moderate_uncertainty,generic_mechanism
PMID_41829159_GLM1,PMID_41829159,Probiotic-Driven Metabolic Transformation in Dark Tea: Enhanced Bioactives and Gut Microbiota Modulation Underlie Its Alleviation Effect Against Constipation.,dark tea,multiple component groups,fermentation/oxidation,,,fermented; fermentation,,0.800,moderate_uncertainty,generic_mechanism; preclinical_only
PMID_41829159_GLM2,PMID_41829159,Probiotic-Driven Metabolic Transformation in Dark Tea: Enhanced Bioactives and Gut Microbiota Modulation Underlie Its Alleviation Effect Against Constipation.,dark tea,multiple component groups,fermentation/oxidation,,,fermented; fermentation,,0.800,low_uncertainty,missing_named_microbiota; preclinical_only
PMID_41828893_GLM1,PMID_41828893,GC-MS Analysis and Antioxidant Evaluation of Essential Oils from Chimonanthus salicifolius and Chimonanthus nitens.,unspecified tea,whole extract,,other extraction,extract,,extracted; extraction,0.500,moderate_uncertainty,preclinical_only
PMID_41828893_GLM3,PMID_41828893,GC-MS Analysis and Antioxidant Evaluation of Essential Oils from Chimonanthus salicifolius and Chimonanthus nitens.,unspecified tea,whole extract,,other extraction,extract,,extracted; extraction,0.500,moderate_uncertainty,preclinical_only; taxonomy_expansion_needed; uncertain_effect_direction
PMID_41828808_GLM1,PMID_41828808,Galloylation-Driven Anchoring of the Asp325-Asp336 Ridge: The Molecular Logic Behind the Superior Kinetic Stabilization of HMPV Fusion Protein by Green Tea Dimeric Catechins.,green tea,catechins,,,catechins; egcg,,,0.550,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only; taxonomy_expansion_needed; uncertain_effect_direction
PMID_41828611_GLM1,PMID_41828611,Do Adjunctive Therapies with Natural Products Improve Periodontal Clinical Parameters After Non-Surgical Treatment? A Systematic Review and Meta-Analysis.,green tea,catechins,,,catechins,,,0.550,moderate_uncertainty,generic_mechanism; missing_processing_or_extraction_context
PMID_41820002_GLM1,PMID_41820002,[Effects of different aging years of Liupao tea on metabolic indexes and body composition of overweight and obese people].,unspecified tea,multiple component groups,storage/aging,,,aging years; liupao tea,,0.550,moderate_uncertainty,generic_mechanism
PMID_41804768_GLM1,PMID_41804768,Epigallocatechin-3-gallate ameliorates LPS-induced ARDS by modulating Akkermansia-associated SCFAs metabolism and inhibiting the JAK2/STAT3 candidate signaling pathway.,green tea,tea polysaccharides,,,egcg; tea polysaccharides,,,0.550,low_uncertainty,missing_processing_or_extraction_context; preclinical_only
PMID_41804768_GLM2,PMID_41804768,Epigallocatechin-3-gallate ameliorates LPS-induced ARDS by modulating Akkermansia-associated SCFAs metabolism and inhibiting the JAK2/STAT3 candidate signaling pathway.,green tea,tea polysaccharides,,,egcg; tea polysaccharides,,,0.550,low_uncertainty,missing_processing_or_extraction_context; preclinical_only
PMID_41804768_GLM3,PMID_41804768,Epigallocatechin-3-gallate ameliorates LPS-induced ARDS by modulating Akkermansia-associated SCFAs metabolism and inhibiting the JAK2/STAT3 candidate signaling pathway.,green tea,tea polysaccharides,,,egcg; tea polysaccharides,,,0.550,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only; taxonomy_expansion_needed
PMID_41802656_GLM1,PMID_41802656,L-theanine as a sustainable feed additive: Evaluating impacts on animal health and production efficiency.,unspecified tea,theanine,,,l-theanine,,,0.300,moderate_uncertainty,missing_processing_or_extraction_context; review_summary_record
PMID_41802656_GLM2,PMID_41802656,L-theanine as a sustainable feed additive: Evaluating impacts on animal health and production efficiency.,unspecified tea,theanine,,,l-theanine,,,0.300,moderate_uncertainty,missing_processing_or_extraction_context; review_summary_record; taxonomy_expansion_needed
PMID_41800414_GLM1,PMID_41800414,Synergistic inhibition of Streptococcus mutans biofilms by fluoride and epigallocatechin gallate: insights from multi-omics analysis.,green tea,tea polysaccharides,,,epigallocatechin gallate; egcg; polysaccharides; polysaccharide; polyphenol,,,0.550,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only; taxonomy_expansion_needed
PMID_41799109_GLM1,PMID_41799109,BBB Permeability and Cytotoxic Profiles of Tea Phytoconstituents via Nanoliposomes.,unspecified tea,theaflavins,,,egcg; theaflavin; caffeine,,,0.300,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only
PMID_41798939_GLM1,PMID_41798939,"Integrating network pharmacology, microbiomics, and metabolomics to uncover the therapeutic effect of Liubao tea on osteoarthritis.",fermented tea,whole extract,fermentation/oxidation; storage/aging,other extraction,flavonoids; tea extract; extract,fermented; post-fermented,extract,1.000,low_uncertainty,preclinical_only
PMID_41798939_GLM2,PMID_41798939,"Integrating network pharmacology, microbiomics, and metabolomics to uncover the therapeutic effect of Liubao tea on osteoarthritis.",fermented tea,whole extract,fermentation/oxidation; storage/aging,other extraction,flavonoids; tea extract; extract,fermented; post-fermented,extract,1.000,low_uncertainty,preclinical_only
PMID_41798939_GLM3,PMID_41798939,"Integrating network pharmacology, microbiomics, and metabolomics to uncover the therapeutic effect of Liubao tea on osteoarthritis.",fermented tea,whole extract,fermentation/oxidation; storage/aging,other extraction,flavonoids; tea extract; extract,fermented; post-fermented,extract,1.000,moderate_uncertainty,preclinical_only; taxonomy_expansion_needed
PMID_41797132_GLM1,PMID_41797132,"A chitosan-tea polyphenol composite hydrogel with integrated antibacterial, antioxidant and immunomodulatory functions for the tissue regeneration of MRSA-infected wounds.",unspecified tea,catechins,,,egcg; polyphenol,,,0.300,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only
PMID_41797132_GLM2,PMID_41797132,"A chitosan-tea polyphenol composite hydrogel with integrated antibacterial, antioxidant and immunomodulatory functions for the tissue regeneration of MRSA-infected wounds.",unspecified tea,catechins,,,egcg; polyphenol,,,0.300,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only; taxonomy_expansion_needed
PMID_41796839_GLM1,PMID_41796839,Pharmacological effects and molecular targets of L-theanine in cardiovascular diseases and comorbidities.,green tea,theanine,,,l-theanine; theanine; polyphenols,,,0.550,moderate_uncertainty,missing_processing_or_extraction_context; review_summary_record
PMID_41796839_GLM2,PMID_41796839,Pharmacological effects and molecular targets of L-theanine in cardiovascular diseases and comorbidities.,green tea,theanine,,,l-theanine; theanine; polyphenols,,,0.550,moderate_uncertainty,missing_processing_or_extraction_context; review_summary_record; uncertain_effect_direction
PMID_41794250_GLM1,PMID_41794250,Determination of complex formation between green tea catechins and polysaccharide matrices by using kinetic and fluorescence analysis.,green tea,tea polysaccharides,,other extraction,catechins; catechin; polysaccharide; polysaccharides; green tea extract,,extracted; extract,0.750,low_uncertainty,preclinical_only
PMID_41791619_GLM1,PMID_41791619,The anti-obesity potential of Cassiae Semen: A review based on ethnopharmacology and modern pharmacology.,unspecified tea,multiple component groups,roasting,,,roasted,,0.550,moderate_uncertainty,review_summary_record
PMID_41791619_GLM3,PMID_41791619,The anti-obesity potential of Cassiae Semen: A review based on ethnopharmacology and modern pharmacology.,unspecified tea,multiple component groups,roasting,,,roasted,,0.550,moderate_uncertainty,review_summary_record
PMID_41789592_GLM1,PMID_41789592,"Advances regarding physiological functions and mechanisms of theaflavin‑3,3'‑digallate (Review).",black tea,theaflavins,fermentation/oxidation,,theaflavin,fermentation,,0.800,low_uncertainty,missing_named_microbiota; review_summary_record; uncertain_effect_direction
PMID_41789592_GLM2,PMID_41789592,"Advances regarding physiological functions and mechanisms of theaflavin‑3,3'‑digallate (Review).",black tea,theaflavins,fermentation/oxidation,,theaflavin,fermentation,,0.800,moderate_uncertainty,review_summary_record; taxonomy_expansion_needed; uncertain_effect_direction
PMID_41788685_GLM1,PMID_41788685,Association of dietary flavonoid intake with incident atherosclerosis: cohort evidence in middle-aged and older adults.,unspecified tea,mixed polyphenols,,,flavonoid; flavonoids,,,0.300,moderate_uncertainty,generic_mechanism; missing_processing_or_extraction_context; uncertain_effect_direction
PMID_41788636_GLM1,PMID_41788636,Association Between Dietary Tea Consumption and Non-Alcoholic Fatty Liver Disease: A Systematic Review and Meta-Analysis.,unspecified tea,mixed polyphenols,,,flavonoids; polyphenols,,,0.300,moderate_uncertainty,generic_mechanism; missing_processing_or_extraction_context
PMID_41785770_GLM1,PMID_41785770,Effect of water activity and light exposure on the stability of bioactive compounds in matcha (Camellia sinensis) powder during storage periods.,unspecified tea,catechins,storage/aging,,catechin; catechins; egcg; ecg; polyphenol; flavonoid,storage; stored,,0.550,moderate_uncertainty,preclinical_only
PMID_41785770_GLM2,PMID_41785770,Effect of water activity and light exposure on the stability of bioactive compounds in matcha (Camellia sinensis) powder during storage periods.,unspecified tea,catechins,storage/aging,,catechin; catechins; egcg; ecg; polyphenol; flavonoid,storage; stored,,0.550,moderate_uncertainty,preclinical_only; taxonomy_expansion_needed
PMID_41782071_GLM1,PMID_41782071,Caffeine as a cardiovascular protective agent: a comprehensive review of mechanisms and outcomes.,unspecified tea,caffeine,,,caffeine,,,0.300,moderate_uncertainty,missing_processing_or_extraction_context; review_summary_record
PMID_41782071_GLM2,PMID_41782071,Caffeine as a cardiovascular protective agent: a comprehensive review of mechanisms and outcomes.,unspecified tea,caffeine,,,caffeine,,,0.300,high_uncertainty,low_llm_confidence; missing_processing_or_extraction_context; review_summary_record; uncertain_effect_direction
PMID_41769650_GLM1,PMID_41769650,Untargeted metabolomics reveals enhanced antioxidant capacity and key bioactive components of Gougunao No. 2 black tea.,black tea,mixed polyphenols,,,phenolic; flavonoid,,,0.550,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only
PMID_41769650_GLM3,PMID_41769650,Untargeted metabolomics reveals enhanced antioxidant capacity and key bioactive components of Gougunao No. 2 black tea.,black tea,mixed polyphenols,,,phenolic; flavonoid,,,0.550,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only
PMID_41763794_GLM1,PMID_41763794,Amelioration of colitis by donor microbiota modulated with tea active ingredients: A fecal microbiota transplantation study.,unspecified tea,tea polysaccharides,,,tea polysaccharides; tps; polyphenols,,,0.300,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only
PMID_41763747_GLM1,PMID_41763747,Research progress on enantiomers detection in fermented foods.,fermented tea,multiple component groups,fermentation/oxidation,supercritical fluid extraction,,fermented,supercritical,1.000,moderate_uncertainty,generic_mechanism; review_summary_record; taxonomy_expansion_needed; uncertain_effect_direction
PMID_41762517_GLM1,PMID_41762517,Dual-functional tea polyphenol-serotonin nanoparticles for integrated inflammation suppression and mucosal repair in inflammatory bowel disease.,unspecified tea,catechins,,,epigallocatechin gallate; egcg; catechins; polyphenol,,,0.300,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only
PMID_41762517_GLM2,PMID_41762517,Dual-functional tea polyphenol-serotonin nanoparticles for integrated inflammation suppression and mucosal repair in inflammatory bowel disease.,unspecified tea,catechins,,,epigallocatechin gallate; egcg; catechins; polyphenol,,,0.300,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only; taxonomy_expansion_needed
PMID_41762517_GLM3,PMID_41762517,Dual-functional tea polyphenol-serotonin nanoparticles for integrated inflammation suppression and mucosal repair in inflammatory bowel disease.,unspecified tea,catechins,,,epigallocatechin gallate; egcg; catechins; polyphenol,,,0.300,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only; uncertain_effect_direction
PMID_41754218_GLM1,PMID_41754218,Consumer Perceptions Influence Supplement Choice: A Narrative Review of Clinically Studied Weight-Management Supplements in Obesity.,green tea,whole extract,,other extraction,green tea extract; extract,,extract,0.750,moderate_uncertainty,generic_mechanism; review_summary_record; uncertain_effect_direction
PMID_41754217_GLM1,PMID_41754217,Therapeutic Potential and Mechanistic Pathways of Plant-Based Supplements and Exercise Training in Blood Pressure Management: An Evidence-Based Review and Research Agenda.,green tea,caffeine,,,caffeine,,,0.550,moderate_uncertainty,missing_processing_or_extraction_context; review_summary_record; uncertain_effect_direction
PMID_41750899_GLM1,PMID_41750899,Oak (Quercus petraea) Leaf-Based Kombucha: A Sustainable Approach to Fermented Beverages.,black tea,mixed polyphenols,fermentation/oxidation,,phenolic,kombucha; fermented,,0.800,moderate_uncertainty,generic_mechanism; preclinical_only
PMID_41747612_GLM1,PMID_41747612,Nepenthes bioinspired superhydrophilic nanofiber membrane with micro/nano structure via microfluidic electrospinning.,unspecified tea,mixed polyphenols,,,polyphenol; polyphenols,,,0.300,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only; taxonomy_expansion_needed
PMID_41747591_GLM1,PMID_41747591,Rosa chinensis cv. 'JinBian' flowers alleviates brain damage and cognitive deficit by inhibiting ferroptosis via the Keap1/Nrf2/GPX4 pathway and regulating gut microbiota.,unspecified tea,whole extract,,other extraction,flavonoids; phenolic; flavonoid; extracts; extract,,extraction; extract,0.500,moderate_uncertainty,generic_mechanism; preclinical_only
PMID_41747591_GLM2,PMID_41747591,Rosa chinensis cv. 'JinBian' flowers alleviates brain damage and cognitive deficit by inhibiting ferroptosis via the Keap1/Nrf2/GPX4 pathway and regulating gut microbiota.,unspecified tea,whole extract,,other extraction,flavonoids; phenolic; flavonoid; extracts; extract,,extraction; extract,0.500,moderate_uncertainty,preclinical_only; uncertain_effect_direction
PMID_41738389_GLM1,PMID_41738389,"Theaflavins ameliorate obesity through enhanced antioxidant capacity, a suppressed hepatic BCAA degradation pathway, and gut microbiota modulation.",black tea,theaflavins,,,theaflavins; polyphenols,,,0.550,low_uncertainty,missing_processing_or_extraction_context; preclinical_only
PMID_41738389_GLM2,PMID_41738389,"Theaflavins ameliorate obesity through enhanced antioxidant capacity, a suppressed hepatic BCAA degradation pathway, and gut microbiota modulation.",black tea,theaflavins,,,theaflavins; polyphenols,,,0.550,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only
PMID_41738389_GLM3,PMID_41738389,"Theaflavins ameliorate obesity through enhanced antioxidant capacity, a suppressed hepatic BCAA degradation pathway, and gut microbiota modulation.",black tea,theaflavins,,,theaflavins; polyphenols,,,0.550,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only
PMID_41732513_GLM1,PMID_41732513,Effects of drying methods on the chemical composition and antioxidant activity of Metapanax delavayi by integrating UHPLC-Q-TOF-MS and GC-MS/MS based untargeted metabolomics.,unspecified tea,mixed polyphenols,,,flavonoid; phenolic,,,0.300,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only
PMID_41730253_GLM1,PMID_41730253,Insight into the oxidation mechanism of low-salt Sichuan-style sausages treated with inclusion complexes of tea-polyphenol/β-cyclodextrin/NaCl and electron beam irradiation using machine learning algorithms.,unspecified tea,mixed polyphenols,storage/aging,,polyphenol; polyphenols,storage,,0.550,moderate_uncertainty,preclinical_only
PMID_41716005_GLM1,PMID_41716005,The synergistic regulation of fat reduction mechanism by tea polyphenols through the gut-microbial-brain axis and gut-liver axis.,unspecified tea,mixed polyphenols,,,polyphenols,,,0.300,moderate_uncertainty,missing_named_microbiota; missing_processing_or_extraction_context; review_summary_record
PMID_41716005_GLM2,PMID_41716005,The synergistic regulation of fat reduction mechanism by tea polyphenols through the gut-microbial-brain axis and gut-liver axis.,unspecified tea,mixed polyphenols,,,polyphenols,,,0.300,moderate_uncertainty,missing_named_microbiota; missing_processing_or_extraction_context; review_summary_record
PMID_41716005_GLM3,PMID_41716005,The synergistic regulation of fat reduction mechanism by tea polyphenols through the gut-microbial-brain axis and gut-liver axis.,unspecified tea,mixed polyphenols,,,polyphenols,,,0.300,moderate_uncertainty,missing_named_microbiota; missing_processing_or_extraction_context; review_summary_record
PMID_41709514_GLM1,PMID_41709514,In vitro effects of green tea (Camellia sinensis) aqueous extract on sperm quality: Mitigating oxidative stress and sperm DNA fragmentation in freeze-dried human spermatozoa.,green tea,mixed polyphenols,,aqueous extraction; other extraction,polyphenols; aqueous extract,,aqueous extract; extract,0.750,low_uncertainty,preclinical_only
PMID_41704879_GLM1,PMID_41704879,Homologous divergence: Processing reshapes metabolite variations and relative odor activity values in black and green teas derived from Gougunao no. 2.,green tea,catechins,roasting,,catechin; catechins; flavonoid; flavonoids,roasted,,0.800,low_uncertainty,preclinical_only
PMID_41704879_GLM2,PMID_41704879,Homologous divergence: Processing reshapes metabolite variations and relative odor activity values in black and green teas derived from Gougunao no. 2.,green tea,catechins,roasting,,catechin; catechins; volatile compound; flavonoid; flavonoids,roasted,,0.800,moderate_uncertainty,preclinical_only; taxonomy_expansion_needed; uncertain_effect_direction
PMID_41704297_GLM1,PMID_41704297,A dual-functional Janus nanofibrous membrane as an immunomodulatory barrier for periodontitis regeneration under diabetic conditions.,unspecified tea,mixed polyphenols,,,polyphenol; polyphenols,,,0.300,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only
