record_id,paper_id,tea_type,material_form,component_group,compound_name,activity_category,endpoint_label,study_type,evidence_level,model_system,dose_exposure,effect_direction,processing_step,extraction_method,cultivar,origin,mechanism_label,microbiota_taxon,microbial_metabolite,host_phenotype,claim_text_raw,confidence_score,annotator_id,adjudication_status,notes
PMID_38745351_AUTO1,PMID_38745351,oolong tea,purified component,mixed polyphenols,,gut microbiota modulation,gut microbiota modulation,animal study,preclinical_in_vivo,animal model,needs manual extraction,positive,,,,,microbiota-associated mechanism; neuroprotection-related mechanism,taxa as reported,,microbiota-related host phenotype,Gut Microbiota Mediate the Neuroprotective Effect of Oolong Tea Polyphenols in Cognitive Impairment Induced by Circadian Rhythm Disorder,0.55,auto_v1,needs_review,Auto-generated candidate record from included paper metadata/title for activity=gut microbiota modulation.
PMID_38745351_AUTO2,PMID_38745351,oolong tea,purified component,mixed polyphenols,,neuroprotection,cognition or neural-protection-related outcome,animal study,preclinical_in_vivo,animal model,needs manual extraction,positive,,,,,microbiota-associated mechanism; neuroprotection-related mechanism,taxa as reported,,cognition or neural phenotype,Gut Microbiota Mediate the Neuroprotective Effect of Oolong Tea Polyphenols in Cognitive Impairment Induced by Circadian Rhythm Disorder,0.55,auto_v1,needs_review,Auto-generated candidate record from included paper metadata/title for activity=neuroprotection.
PMID_39452088_AUTO1,PMID_39452088,dark/post-fermented tea,fermented beverage,mixed polyphenols,,gut microbiota modulation,gut microbiota modulation,systematic review,evidence_synthesis_nonquantitative,review synthesis,needs manual extraction,positive,fermentation/oxidation,,,,microbiota-associated mechanism,taxa as reported,,microbiota-related host phenotype,Harnessing the Power of Fermented Tea to Improve Gut Microbiota and Combat Obesity Epidemic,0.55,auto_v1,needs_review,Auto-generated candidate record from included paper metadata/title for activity=gut microbiota modulation.
PMID_39452088_AUTO2,PMID_39452088,dark/post-fermented tea,fermented beverage,mixed polyphenols,,anti-obesity,obesity-related phenotype,systematic review,evidence_synthesis_nonquantitative,review synthesis,needs manual extraction,positive,fermentation/oxidation,,,,microbiota-associated mechanism,taxa as reported,,obesity-related phenotype,Harnessing the Power of Fermented Tea to Improve Gut Microbiota and Combat Obesity Epidemic,0.55,auto_v1,needs_review,Auto-generated candidate record from included paper metadata/title for activity=anti-obesity.
PMID_39732435_AUTO1,PMID_39732435,black tea,fermented beverage,whole extract,,gut microbiota modulation,gut microbiota modulation,randomized controlled trial,human_interventional,human participants with and without obesity,needs manual extraction,positive,fermentation/oxidation,other extraction,,,microbiota-associated mechanism,taxa as reported,,microbiota-related host phenotype,Regular Consumption of Black Tea Kombucha Modulates the Gut Microbiota in Individuals with and without Obesity,0.55,auto_v1,needs_review,Auto-generated candidate record from included paper metadata/title for activity=gut microbiota modulation.
PMID_39732435_AUTO2,PMID_39732435,black tea,fermented beverage,whole extract,,anti-obesity,obesity-related phenotype,randomized controlled trial,human_interventional,human participants with and without obesity,needs manual extraction,positive,fermentation/oxidation,other extraction,,,microbiota-associated mechanism,taxa as reported,,obesity-related phenotype,Regular Consumption of Black Tea Kombucha Modulates the Gut Microbiota in Individuals with and without Obesity,0.55,auto_v1,needs_review,Auto-generated candidate record from included paper metadata/title for activity=anti-obesity.
PMID_38430822_AUTO1,PMID_38430822,green tea,tea extract,mixed polyphenols,,metabolic improvement,metabolic syndrome-related improvement,randomized controlled trial,human_interventional,human adults,needs manual extraction,no_clear_effect,,other extraction,,,barrier-related mechanism; inflammation-related mechanism,,,metabolic syndrome phenotype,A green tea extract confection decreases circulating endotoxin and fasting glucose by improving gut barrier function but without affecting systemic inflammation: A double-blind placebo-controlled randomized trial in healthy adults and adults with metabolic syndrome,0.55,auto_v1,needs_review,Auto-generated candidate record from included paper metadata/title for activity=metabolic improvement.
PMID_38430822_AUTO2,PMID_38430822,green tea,tea extract,mixed polyphenols,,anti-inflammatory,inflammation-related outcome,randomized controlled trial,human_interventional,human adults,needs manual extraction,no_clear_effect,,other extraction,,,barrier-related mechanism; inflammation-related mechanism,,,inflammation phenotype,A green tea extract confection decreases circulating endotoxin and fasting glucose by improving gut barrier function but without affecting systemic inflammation: A double-blind placebo-controlled randomized trial in healthy adults and adults with metabolic syndrome,0.55,auto_v1,needs_review,Auto-generated candidate record from included paper metadata/title for activity=anti-inflammatory.
PMID_38745671_AUTO1,PMID_38745671,green tea,tea extract,mixed polyphenols,,anti-inflammatory,inflammation-related outcome,animal study,preclinical_in_vivo,mouse model,needs manual extraction,positive,,other extraction,,,inflammation-related mechanism; oxidative-stress-related mechanism; MAPKs/MMP-9 signaling,,,inflammation phenotype,Green tea extract suppresses airway inflammation via oxidative stress-driven MAPKs/MMP-9 signaling in asthmatic mice and human airway epithelial cells,0.55,auto_v1,needs_review,Auto-generated candidate record from included paper metadata/title for activity=anti-inflammatory.
PMID_38745671_AUTO2,PMID_38745671,green tea,tea extract,mixed polyphenols,,antioxidant,oxidative stress or antioxidant-status outcome,animal study,preclinical_in_vivo,mouse model,needs manual extraction,positive,,other extraction,,,inflammation-related mechanism; oxidative-stress-related mechanism; MAPKs/MMP-9 signaling,,,oxidative stress phenotype,Green tea extract suppresses airway inflammation via oxidative stress-driven MAPKs/MMP-9 signaling in asthmatic mice and human airway epithelial cells,0.55,auto_v1,needs_review,Auto-generated candidate record from included paper metadata/title for activity=antioxidant.
PMID_38031409_AUTO1,PMID_38031409,green tea,tea extract,mixed polyphenols,,anti-obesity,obesity-related phenotype,meta-analysis,evidence_synthesis,human prospective cohorts,needs manual extraction,mixed,,other extraction,,,oxidative-stress-related mechanism,,,obesity-related phenotype,The effects of green tea extract supplementation on body composition obesity-related hormones and oxidative stress markers: a grade-assessed systematic review and dose-response meta-analysis of randomised controlled trials,0.55,auto_v1,needs_review,Auto-generated candidate record from included paper metadata/title for activity=anti-obesity.
PMID_38031409_AUTO2,PMID_38031409,green tea,tea extract,mixed polyphenols,,antioxidant,oxidative stress or antioxidant-status outcome,meta-analysis,evidence_synthesis,human prospective cohorts,needs manual extraction,mixed,,other extraction,,,oxidative-stress-related mechanism,,,oxidative stress phenotype,The effects of green tea extract supplementation on body composition obesity-related hormones and oxidative stress markers: a grade-assessed systematic review and dose-response meta-analysis of randomised controlled trials,0.55,auto_v1,needs_review,Auto-generated candidate record from included paper metadata/title for activity=antioxidant.
PMID_40160899_AUTO1,PMID_40160899,green tea,tea extract,mixed polyphenols,,anti-inflammatory,inflammation-related outcome,meta-analysis,evidence_synthesis,human prospective cohorts,needs manual extraction,mixed,,,,,needs manual extraction,,,inflammation phenotype,Effects of green tea supplementation on antioxidant status and inflammatory markers in adults: a grade-assessed systematic review and dose-response meta-analysis of randomised controlled trials,0.55,auto_v1,needs_review,Auto-generated candidate record from included paper metadata/title for activity=anti-inflammatory.
PMID_40160899_AUTO2,PMID_40160899,green tea,tea extract,mixed polyphenols,,antioxidant,oxidative stress or antioxidant-status outcome,meta-analysis,evidence_synthesis,human prospective cohorts,needs manual extraction,mixed,,,,,needs manual extraction,,,oxidative stress phenotype,Effects of green tea supplementation on antioxidant status and inflammatory markers in adults: a grade-assessed systematic review and dose-response meta-analysis of randomised controlled trials,0.55,auto_v1,needs_review,Auto-generated candidate record from included paper metadata/title for activity=antioxidant.
PMID_40957830_AUTO1,PMID_40957830,unspecified tea,purified component,tea polysaccharides,,gut microbiota modulation,gut microbiota modulation,animal study,preclinical_in_vivo,animal model,needs manual extraction,positive,,,,,microbiota-associated mechanism,taxa as reported,butyrate,microbiota-related host phenotype,Bai Mao Tea Polysaccharides Induce Adipose Tissue Browning and Ameliorate Diet-Induced Obesity by Modulating Butyrate Production and Gut Microbiota Composition,0.55,auto_v1,needs_review,Auto-generated candidate record from included paper metadata/title for activity=gut microbiota modulation.
PMID_40957830_AUTO2,PMID_40957830,unspecified tea,purified component,tea polysaccharides,,anti-obesity,obesity-related phenotype,animal study,preclinical_in_vivo,animal model,needs manual extraction,positive,,,,,microbiota-associated mechanism,taxa as reported,butyrate,obesity-related phenotype,Bai Mao Tea Polysaccharides Induce Adipose Tissue Browning and Ameliorate Diet-Induced Obesity by Modulating Butyrate Production and Gut Microbiota Composition,0.55,auto_v1,needs_review,Auto-generated candidate record from included paper metadata/title for activity=anti-obesity.
PMID_39255891_AUTO1,PMID_39255891,unspecified tea,purified component,tea polysaccharides,,gut microbiota modulation,gut microbiota modulation,animal study,preclinical_in_vivo,mouse model,needs manual extraction,positive,,,,,microbiota-associated mechanism,taxa as reported,,microbiota-related host phenotype,Tea (Camellia sinensis L.) flower polysaccharide attenuates metabolic syndrome in high-fat diet induced mice in association with modulation of gut microbiota,0.55,auto_v1,needs_review,Auto-generated candidate record from included paper metadata/title for activity=gut microbiota modulation.
PMID_39255891_AUTO2,PMID_39255891,unspecified tea,purified component,tea polysaccharides,,metabolic improvement,metabolic syndrome-related improvement,animal study,preclinical_in_vivo,mouse model,needs manual extraction,positive,,,,,microbiota-associated mechanism,taxa as reported,,metabolic syndrome phenotype,Tea (Camellia sinensis L.) flower polysaccharide attenuates metabolic syndrome in high-fat diet induced mice in association with modulation of gut microbiota,0.55,auto_v1,needs_review,Auto-generated candidate record from included paper metadata/title for activity=metabolic improvement.
PMID_39153277_AUTO1,PMID_39153277,unspecified tea,purified component,tea polysaccharides,,gut microbiota modulation,gut microbiota modulation,animal study,preclinical_in_vivo,mouse model,needs manual extraction,positive,,,,,microbiota-associated mechanism; bile-acid-associated mechanism,taxa as reported,bile-acid-related metabolites,microbiota-related host phenotype,Yellow tea polysaccharides protect against non-alcoholic fatty liver disease via regulation of gut microbiota and bile acid metabolism in mice,0.55,auto_v1,needs_review,Auto-generated candidate record from included paper metadata/title for activity=gut microbiota modulation.
PMID_39153277_AUTO2,PMID_39153277,unspecified tea,purified component,tea polysaccharides,,metabolic improvement,metabolic improvement,animal study,preclinical_in_vivo,mouse model,needs manual extraction,positive,,,,,microbiota-associated mechanism; bile-acid-associated mechanism,taxa as reported,bile-acid-related metabolites,metabolic phenotype,Yellow tea polysaccharides protect against non-alcoholic fatty liver disease via regulation of gut microbiota and bile acid metabolism in mice,0.55,auto_v1,needs_review,Auto-generated candidate record from included paper metadata/title for activity=metabolic improvement.
PMID_39479919_AUTO1,PMID_39479919,unspecified tea,purified component,tea polysaccharides,,gut microbiota modulation,gut microbiota modulation,animal study,preclinical_in_vivo,mouse model,needs manual extraction,positive,,,,,microbiota-associated mechanism; oxidative-stress-related mechanism; neuroprotection-related mechanism,taxa as reported,,microbiota-related host phenotype,Inhibitory effect of tea flower polysaccharides on oxidative stress and microglial oxidative damage in aging mice by regulating gut microbiota,0.55,auto_v1,needs_review,Auto-generated candidate record from included paper metadata/title for activity=gut microbiota modulation.
PMID_39479919_AUTO2,PMID_39479919,unspecified tea,purified component,tea polysaccharides,,antioxidant,oxidative stress or antioxidant-status outcome,animal study,preclinical_in_vivo,mouse model,needs manual extraction,positive,,,,,microbiota-associated mechanism; oxidative-stress-related mechanism; neuroprotection-related mechanism,taxa as reported,,oxidative stress phenotype,Inhibitory effect of tea flower polysaccharides on oxidative stress and microglial oxidative damage in aging mice by regulating gut microbiota,0.55,auto_v1,needs_review,Auto-generated candidate record from included paper metadata/title for activity=antioxidant.
PMID_39479919_AUTO3,PMID_39479919,unspecified tea,purified component,tea polysaccharides,,neuroprotection,cognition or neural-protection-related outcome,animal study,preclinical_in_vivo,mouse model,needs manual extraction,positive,,,,,microbiota-associated mechanism; oxidative-stress-related mechanism; neuroprotection-related mechanism,taxa as reported,,cognition or neural phenotype,Inhibitory effect of tea flower polysaccharides on oxidative stress and microglial oxidative damage in aging mice by regulating gut microbiota,0.55,auto_v1,needs_review,Auto-generated candidate record from included paper metadata/title for activity=neuroprotection.
PMID_40640361_AUTO1,PMID_40640361,unspecified tea,purified component,tea polysaccharides,,gut microbiota modulation,gut microbiota modulation,animal study,preclinical_in_vivo,mouse model,needs manual extraction,positive,,,,,microbiota-associated mechanism,taxa as reported,,microbiota-related host phenotype,Effects of tea polysaccharides on gut microbiota and physiological health indicators in mice,0.55,auto_v1,needs_review,Auto-generated candidate record from included paper metadata/title for activity=gut microbiota modulation.
PMID_36449351_AUTO1,PMID_36449351,dark/post-fermented tea,purified component,tea polysaccharides,,gut microbiota modulation,gut microbiota modulation,animal study,preclinical_in_vivo,mouse model,needs manual extraction,positive,,,,,microbiota-associated mechanism; thermogenesis-related mechanism,taxa as reported,,microbiota-related host phenotype,Heimao tea polysaccharides ameliorate obesity by enhancing gut microbiota-dependent adipocytes thermogenesis in mice fed with high fat diet,0.55,auto_v1,needs_review,Auto-generated candidate record from included paper metadata/title for activity=gut microbiota modulation.
PMID_36449351_AUTO2,PMID_36449351,dark/post-fermented tea,purified component,tea polysaccharides,,anti-obesity,obesity-related phenotype and thermogenesis,animal study,preclinical_in_vivo,mouse model,needs manual extraction,positive,,,,,microbiota-associated mechanism; thermogenesis-related mechanism,taxa as reported,,obesity-related phenotype,Heimao tea polysaccharides ameliorate obesity by enhancing gut microbiota-dependent adipocytes thermogenesis in mice fed with high fat diet,0.55,auto_v1,needs_review,Auto-generated candidate record from included paper metadata/title for activity=anti-obesity.
