record_id,paper_id,tea_type,material_form,component_group,compound_name,activity_category,endpoint_label,study_type,evidence_level,model_system,dose_exposure,effect_direction,processing_step,extraction_method,cultivar,origin,mechanism_label,microbiota_taxon,microbial_metabolite,host_phenotype,claim_text_raw,confidence_score,annotator_id,adjudication_status,notes,title,abstract,journal,year,source_is_auto_only,silver_tea_type,silver_material_form,silver_component_group,silver_processing_step,silver_extraction_method,component_evidence_terms,processing_evidence_terms,extraction_evidence_terms,schema_validation_flags,uncertainty_flags,record_specificity_score,mechanism_specificity_score,context_completeness_score,silver_confidence_score,uncertainty_class,raw_silver_processing_step,raw_silver_extraction_method
PMID_41554089_GLM1,PMID_41554089,green tea,tea extract,whole extract,,other,wound closure rate,animal study,preclinical_in_vivo,diabetic and burn wound models,,positive,,,,,silver nanoparticle synthesis; antibacterial activity,,,wound healing,"AgSACip significantly accelerates wound healing compared to AgNPs and ciprofloxacin alone, particularly in diabetic and burn wounds.",0.90,glm5_nvidia,llm_title_abstract_annotated,Green tea extract used to synthesize the hydrogel composite.; llm_postprocessed=true,Green-synthesized silver-alginate-ciprofloxacin hydrogel: A multifaceted therapeutic for enhanced diabetic and burn Wound healing.,"Wound healing is a complex physiological process involving coordinated phases of inflammation, tissue repair, and scar formation to restore tissue integrity. Recently, silver nanoparticles (AgNPs) have been investigated for their potential to promote wound healing; however, their application is limited by concerns over cytotoxicity and the development of bacterial resistance. To address these limitations, this study presents the development of a silver-alginate hydrogel (AgSACip) incorporating ciprofloxacin, synthesized using green tea extract act as a biogenic reducing and stabilizing agent. Sodium alginate, a naturally derived macromolecule, serves as a biocompatible matrix to stabilize AgNPs, reduce cytotoxicity, and enhance therapeutic efficacy. The wound healing potential of AgSACip was evaluated in diabetic and burn wound models, and its antibacterial activity, cytotoxic effects, and pharmacokinetics were analyzed using in silico methods. The results demonstrate that AgSACip significantly accelerates wound healing compared to AgNPs and ciprofloxacin alone, particularly in diabetic and burn wounds. Furthermore, AgSACip exhibited enhanced antibacterial activity against bacterial strains isolated from wound pus samples and showed no cytotoxicity toward NIH-3T3 fibroblast cells. These findings highlight the potential of AgSACip, a macromolecule-based hydrogel, as a safe and effective alternative to conventional wound dressings, offering improved wound healing outcomes.",Journal of biomaterials applications,2026,true,green tea,tea extract,whole extract,,other extraction,green tea extract; extract,,extract,,preclinical_only; taxonomy_expansion_needed,0.700,0.550,0.750,0.820,moderate_uncertainty,,other extraction
PMID_41554089_GLM3,PMID_41554089,green tea,tea extract,whole extract,,anti-inflammatory,inflammation,animal study,preclinical_in_vivo,diabetic and burn wound models,,unclear,,,,,,,,inflammation phenotype,Wound healing is a complex physiological process involving coordinated phases of inflammation...,0.50,glm5_nvidia,llm_title_abstract_annotated,Inferred from wound healing outcome; abstract mentions inflammation as a phase but no direct measurement of anti-inflammatory markers reported.; llm_postprocessed=true,Green-synthesized silver-alginate-ciprofloxacin hydrogel: A multifaceted therapeutic for enhanced diabetic and burn Wound healing.,"Wound healing is a complex physiological process involving coordinated phases of inflammation, tissue repair, and scar formation to restore tissue integrity. Recently, silver nanoparticles (AgNPs) have been investigated for their potential to promote wound healing; however, their application is limited by concerns over cytotoxicity and the development of bacterial resistance. To address these limitations, this study presents the development of a silver-alginate hydrogel (AgSACip) incorporating ciprofloxacin, synthesized using green tea extract act as a biogenic reducing and stabilizing agent. Sodium alginate, a naturally derived macromolecule, serves as a biocompatible matrix to stabilize AgNPs, reduce cytotoxicity, and enhance therapeutic efficacy. The wound healing potential of AgSACip was evaluated in diabetic and burn wound models, and its antibacterial activity, cytotoxic effects, and pharmacokinetics were analyzed using in silico methods. The results demonstrate that AgSACip significantly accelerates wound healing compared to AgNPs and ciprofloxacin alone, particularly in diabetic and burn wounds. Furthermore, AgSACip exhibited enhanced antibacterial activity against bacterial strains isolated from wound pus samples and showed no cytotoxicity toward NIH-3T3 fibroblast cells. These findings highlight the potential of AgSACip, a macromolecule-based hydrogel, as a safe and effective alternative to conventional wound dressings, offering improved wound healing outcomes.",Journal of biomaterials applications,2026,true,green tea,tea extract,whole extract,,other extraction,green tea extract; extract,,extract,,generic_mechanism; low_llm_confidence; preclinical_only; uncertain_effect_direction,0.562,0.000,0.750,0.566,high_uncertainty,,other extraction
PMID_41548613_GLM1,PMID_41548613,unspecified tea,purified component,mixed polyphenols,tea polyphenols,gut microbiota modulation,gut microbiota modulation,systematic review,evidence_synthesis_nonquantitative,review,,positive,,,,,selective enrichment,Lactobacillus; Bifidobacterium,,enhanced intestinal barrier integrity,"TP reshape the gut microbiota by selectively enriching beneficial bacteria such as Lactobacillus and Bifidobacterium, while suppressing pathogenic species.",0.90,glm5_nvidia,llm_title_abstract_annotated,llm_postprocessed=true; targeted_processing_llm_patch=llm_extracted; patch_confidence=0.90,Mechanism of tea polyphenols improving sleep by regulating neurotransmitters through the gut microbiota-brain axis.,"In today's fast-paced modern lifestyle, sleep disorders have become a pervasive challenge for many individuals. Conventional treatments often rely on pharmacological interventions, which carry risks of dependency and adverse effects. In recent years, the gut microbiota has gained increasing recognition as a ""second brain,"" engaging in bidirectional communication with the central nervous system via the microbiota-gut-brain axis (MGB axis). Tea polyphenols (TP), the primary bioactive compounds derived from tea, show considerable potential in improving sleep quality through this microbial-gut-brain circuitry. This review systematically elucidates how TP reshape the gut microbiota by selectively enriching beneficial bacteria such as Lactobacillus and Bifidobacterium, while suppressing pathogenic species. These structural changes are accompanied by functional benefits, including enhanced intestinal barrier integrity and attenuated systemic inflammation. Furthermore, gut microbiota metabolize TP into bioactive small molecules that enter systemic circulation, cross the blood-brain barrier (BBB), and modulate central neurotransmitters, notably serotonin (5-HT) and γ-aminobutyric acid (GABA). By delineating this gut-mediated neuromodulatory network, our study provides a novel theoretical foundation for the use of TP as a dietary strategy to ameliorate sleep disorders.",The Journal of nutritional biochemistry,2026,true,unspecified tea,purified component,mixed polyphenols,,,Tea polyphenols (TP); primary bioactive compounds derived from tea,Tea polyphenols (TP); primary bioactive compounds derived from tea,Tea polyphenols (TP); primary bioactive compounds derived from tea,,missing_processing_or_extraction_context; review_summary_record,0.512,0.750,0.300,0.683,moderate_uncertainty,,
PMID_41548613_GLM2,PMID_41548613,unspecified tea,purified component,mixed polyphenols,tea polyphenols,other,sleep quality improvement,systematic review,evidence_synthesis_nonquantitative,review,,positive,,,,,neurotransmitter regulation,,bioactive small molecules,modulated central neurotransmitters,"gut microbiota metabolize TP into bioactive small molecules that enter systemic circulation, cross the blood-brain barrier (BBB), and modulate central neurotransmitters, notably serotonin (5-HT) and GABA.",0.90,glm5_nvidia,llm_title_abstract_annotated,llm_postprocessed=true; targeted_processing_llm_patch=llm_extracted; patch_confidence=0.90,Mechanism of tea polyphenols improving sleep by regulating neurotransmitters through the gut microbiota-brain axis.,"In today's fast-paced modern lifestyle, sleep disorders have become a pervasive challenge for many individuals. Conventional treatments often rely on pharmacological interventions, which carry risks of dependency and adverse effects. In recent years, the gut microbiota has gained increasing recognition as a ""second brain,"" engaging in bidirectional communication with the central nervous system via the microbiota-gut-brain axis (MGB axis). Tea polyphenols (TP), the primary bioactive compounds derived from tea, show considerable potential in improving sleep quality through this microbial-gut-brain circuitry. This review systematically elucidates how TP reshape the gut microbiota by selectively enriching beneficial bacteria such as Lactobacillus and Bifidobacterium, while suppressing pathogenic species. These structural changes are accompanied by functional benefits, including enhanced intestinal barrier integrity and attenuated systemic inflammation. Furthermore, gut microbiota metabolize TP into bioactive small molecules that enter systemic circulation, cross the blood-brain barrier (BBB), and modulate central neurotransmitters, notably serotonin (5-HT) and γ-aminobutyric acid (GABA). By delineating this gut-mediated neuromodulatory network, our study provides a novel theoretical foundation for the use of TP as a dietary strategy to ameliorate sleep disorders.",The Journal of nutritional biochemistry,2026,true,unspecified tea,purified component,mixed polyphenols,,,tea polyphenols (TP); primary bioactive compounds derived from tea,tea polyphenols (TP); primary bioactive compounds derived from tea,tea polyphenols (TP); primary bioactive compounds derived from tea,,missing_processing_or_extraction_context; review_summary_record; taxonomy_expansion_needed,0.512,0.750,0.300,0.683,moderate_uncertainty,,
PMID_41548598_GLM1,PMID_41548598,unspecified tea,tea infusion,multiple component groups,,anti-obesity,incident type 2 diabetes,cohort study,human_observational,human,,unclear,,,,,,,,type 2 diabetes,Fifteen dietary variables potentially associated with T2D... were examined: ... tea... Genetic susceptibility to high-risk metabolic traits did not modify the diet-T2D associations in European populations.,0.90,glm5_nvidia,llm_title_abstract_annotated,"Study found no statistical interaction between tea intake and polygenic risk scores for T2D, obesity, or insulin resistance.; llm_postprocessed=true","Interactions between genetic predisposition to obesity, insulin resistance and type 2 diabetes risk, and food or beverage intake for incident type 2 diabetes: European Prospective Investigation into Cancer and Nutrition (EPIC) InterAct case-cohort study.","BACKGROUND: Limited evidence exists for effect modification of genetic characteristics on the associations of food consumption and incident type 2 diabetes (T2D). OBJECTIVES: We aimed to investigate whether the food-T2D association would vary by genetic susceptibility to metabolic traits. METHODS: We analyzed data from 9542 incident T2D cases and a subcohort of 12,477 participants nested within the 340,234-participant cohort recruited in 1991-1998 and followed up for 10.9 y on average in 8 European countries. Polygenic risk scores (PRSs) for higher body mass index, insulin resistance, and T2D were constructed. Fifteen dietary variables potentially associated with T2D, obtained with cohort-specific self-reported dietary assessment, were examined: fruits, green leafy vegetables, root vegetables, wholegrains, rice, legumes, nuts and seeds, fermented dairy, red meat, processed meat, fish, eggs and egg products, sugar-sweetened beverages, coffee, and tea. A cross-product term between each PRS and each food/beverage was evaluated by genotyping chip and country with Prentice-weighted Cox regression for incident T2D, and stratum-specific estimates were meta analyzed, followed by Benjamini-Yekutieli multiple-testing correction. RESULTS: Accounting for multiple tests of 3 PRSs × 15 dietary items, no evidence of statistical interaction was evident on either a multiplicative or additive scale, with exp(β for a multiplicative interaction) (95% confidence interval) ranging from 0.84 (0.64, 1.10) (root vegetables and PRS for T2D) to 1.45 (0.78-2.76) (fish and PRS for T2D). CONCLUSIONS: Genetic susceptibility to high-risk metabolic traits did not modify the diet-T2D associations in European populations. Acknowledging the limitations of current PRS-based methods to detect gene-diet interactions, research should continue into the potential for precision nutrition and tailored food-based dietary guidance for T2D prevention.",The American journal of clinical nutrition,2026,true,unspecified tea,tea infusion,multiple component groups,fermentation/oxidation,,,fermented,,,generic_mechanism; uncertain_effect_direction,0.263,0.000,0.550,0.671,moderate_uncertainty,fermentation/oxidation,
PMID_41547013_GLM1,PMID_41547013,black tea,tea leaf,theanine,,gut microbiota modulation,microbiota diversity and richness,animal study,preclinical_in_vivo,tea leaves,,positive,,,,,fermentation_stage_modulation,Bacteroidota; Proteobacteria,,,"The microbiota richness and diversity in fermentation stage increased significantly, but decreased significantly in drying stage.",0.90,glm5_nvidia,llm_title_abstract_annotated,"Microbiota refers to microbial communities on tea leaves during processing, not host gut.; llm_postprocessed=true",Differences and correlations between chiral amino acid contents and microbiota in different processing stages of Keemun black tea.,"Keemun black tea (KBT) is one of the most famous black teas globally, and this study explored the differences of chiral amino acids in different types, grades, and processing stages, revealing the correlations with microbiota. The total and D-form amino acids ranged between 4.46 and 44.2 and 0.069-0.403 g/kg across grades, respectively, which decreased with the decrease of tea grade. Predominant D- and L-form amino acids were D-glutamic acid and L-aspartic acid/L-theanine, respectively. The chiral amino acids increased with processing stages, and L-glutamic acid showed the greatest increase (7.4-fold). The microbiota richness and diversity in fermentation stage increased significantly, but decreased significantly in drying stage. Bacteroidota and Proteobacteria were the primary microbiota, and their functions of Metabolism of cofactors and vitamins, Carbohydrate metabolism, and Amino acid metabolism were significant positive related to the increase of amino acid contents. These results provided data support for KBT amino acid formation.",Food chemistry,2026,true,black tea,tea leaf,theanine,fermentation/oxidation,,l-theanine; theanine,fermentation,,,preclinical_only,0.762,0.750,0.800,0.846,low_uncertainty,fermentation/oxidation,
PMID_41547013_GLM2,PMID_41547013,black tea,tea leaf,theanine,,gut microbiota modulation,microbial metabolism,animal study,preclinical_in_vivo,tea leaves,,positive,,,,,metabolic_function_correlation,Bacteroidota; Proteobacteria,,,"Bacteroidota and Proteobacteria were the primary microbiota, and their functions of Metabolism of cofactors and vitamins, Carbohydrate metabolism, and Amino acid metabolism were significant positive related to the increase of amino acid contents.",0.85,glm5_nvidia,llm_title_abstract_annotated,Correlations between microbial functional pathways and amino acid content during processing.; llm_postprocessed=true,Differences and correlations between chiral amino acid contents and microbiota in different processing stages of Keemun black tea.,"Keemun black tea (KBT) is one of the most famous black teas globally, and this study explored the differences of chiral amino acids in different types, grades, and processing stages, revealing the correlations with microbiota. The total and D-form amino acids ranged between 4.46 and 44.2 and 0.069-0.403 g/kg across grades, respectively, which decreased with the decrease of tea grade. Predominant D- and L-form amino acids were D-glutamic acid and L-aspartic acid/L-theanine, respectively. The chiral amino acids increased with processing stages, and L-glutamic acid showed the greatest increase (7.4-fold). The microbiota richness and diversity in fermentation stage increased significantly, but decreased significantly in drying stage. Bacteroidota and Proteobacteria were the primary microbiota, and their functions of Metabolism of cofactors and vitamins, Carbohydrate metabolism, and Amino acid metabolism were significant positive related to the increase of amino acid contents. These results provided data support for KBT amino acid formation.",Food chemistry,2026,true,black tea,tea leaf,theanine,fermentation/oxidation,,l-theanine; theanine,fermentation,,,preclinical_only,0.762,0.750,0.800,0.818,low_uncertainty,fermentation/oxidation,
PMID_41544875_GLM1,PMID_41544875,unspecified tea,purified component,tea polysaccharides,Fu Brick Tea Polysaccharide; FBTP,gut microbiota modulation,amelioration of colitis and liver injury,animal study,preclinical_in_vivo,mouse model,,positive,,,,,Enrichment of A. muciniphila activating TLR2-Akt anti-inflammatory pathway,Akkermansia muciniphila,,Treg/Th17 immune homeostasis restoration,FBTP ameliorated colitis... primarily by enriching Akkermansia muciniphila... to activate the toll-like receptor 2 (TLR2)-Akt anti-inflammatory signaling pathway.,0.95,glm5_nvidia,llm_title_abstract_annotated,llm_postprocessed=true; targeted_processing_llm_patch=llm_extracted; patch_confidence=0.95,Differential toll-like receptor 2 activation by Akkermansia muciniphila and Bacteroides thetaiotaomicron mediates the beneficial effects of Fu brick tea polysaccharide against colitis.,"Fu Brick Tea Polysaccharide (FBTP) ameliorates dextran sulfate sodium (DSS)-induced colitis in mice. However, the key intestinal bacterial strains and downstream molecular mechanisms mediating these protective effects remain unclear. In this study, FBTP ameliorated colitis and concurrent liver injury in a microbiota-dependent manner, primarily by enriching Akkermansia muciniphila (A. muciniphila) and depleting Bacteroides thetaiotaomicron (B. thetaiotaomicron). The essential role of the microbiota was confirmed through fecal microbiota transplantation. Mechanistically, A. muciniphila synergistically employed both its microbe-associated molecular patterns (MAMPs) and metabolic activity to activate the toll-like receptor 2 (TLR2)-Akt anti-inflammatory signaling pathway, favorably modulating Treg/Th17 immune homeostasis. However, challenging its established status as a beneficial commensal, B. thetaiotaomicron was found to activate the TLR2-NF-κB pro-inflammatory pathway driven primarily by its MAMPs, significantly exacerbating colitis, bacterial translocation, and liver injury. The pivotal role of TLR2 in mediating these divergent bacterial outcomes was confirmed through gene knockdown experiments. In conclusion, this study reveals that FBTP restores immune homeostasis by orchestrating a complex, TLR2-dependent interplay between beneficial (A. muciniphila) and pathobiontic (B. thetaiotaomicron) bacteria. This discovery not only clarifies the therapeutic mechanism of FBTP but also highlights the context-dependent risk of key commensals, offering critical insights for developing more precise microbiota-targeted interventions.",Pharmacological research,2026,true,dark/post-fermented tea,purified component,tea polysaccharides,compressed/brick tea processing,,Fu Brick Tea Polysaccharide; FBTP,Fu Brick Tea Polysaccharide; FBTP,Fu Brick Tea Polysaccharide; FBTP,,preclinical_only,0.762,0.750,0.800,0.873,low_uncertainty,brick tea processing,
PMID_41544875_GLM2,PMID_41544875,unspecified tea,purified component,tea polysaccharides,Fu Brick Tea Polysaccharide; FBTP,gut microbiota modulation,exacerbation of colitis,animal study,preclinical_in_vivo,mouse model,,unclear,,,,,Depletion of B. thetaiotaomicron preventing TLR2-NF-κB pro-inflammatory activation,Bacteroides thetaiotaomicron,,pro-inflammatory response reduction,B. thetaiotaomicron was found to activate the TLR2-NF-κB pro-inflammatory pathway... significantly exacerbating colitis... FBTP... depleting Bacteroides thetaiotaomicron.,0.90,glm5_nvidia,llm_title_abstract_annotated,llm_postprocessed=true; targeted_processing_llm_patch=llm_extracted; patch_confidence=0.90,Differential toll-like receptor 2 activation by Akkermansia muciniphila and Bacteroides thetaiotaomicron mediates the beneficial effects of Fu brick tea polysaccharide against colitis.,"Fu Brick Tea Polysaccharide (FBTP) ameliorates dextran sulfate sodium (DSS)-induced colitis in mice. However, the key intestinal bacterial strains and downstream molecular mechanisms mediating these protective effects remain unclear. In this study, FBTP ameliorated colitis and concurrent liver injury in a microbiota-dependent manner, primarily by enriching Akkermansia muciniphila (A. muciniphila) and depleting Bacteroides thetaiotaomicron (B. thetaiotaomicron). The essential role of the microbiota was confirmed through fecal microbiota transplantation. Mechanistically, A. muciniphila synergistically employed both its microbe-associated molecular patterns (MAMPs) and metabolic activity to activate the toll-like receptor 2 (TLR2)-Akt anti-inflammatory signaling pathway, favorably modulating Treg/Th17 immune homeostasis. However, challenging its established status as a beneficial commensal, B. thetaiotaomicron was found to activate the TLR2-NF-κB pro-inflammatory pathway driven primarily by its MAMPs, significantly exacerbating colitis, bacterial translocation, and liver injury. The pivotal role of TLR2 in mediating these divergent bacterial outcomes was confirmed through gene knockdown experiments. In conclusion, this study reveals that FBTP restores immune homeostasis by orchestrating a complex, TLR2-dependent interplay between beneficial (A. muciniphila) and pathobiontic (B. thetaiotaomicron) bacteria. This discovery not only clarifies the therapeutic mechanism of FBTP but also highlights the context-dependent risk of key commensals, offering critical insights for developing more precise microbiota-targeted interventions.",Pharmacological research,2026,true,dark/post-fermented tea,purified component,tea polysaccharides,,,Fu Brick Tea Polysaccharide; FBTP,Fu Brick Tea Polysaccharide; FBTP,Fu Brick Tea Polysaccharide; FBTP,,missing_processing_or_extraction_context; preclinical_only; uncertain_effect_direction,0.700,0.750,0.550,0.780,moderate_uncertainty,,
PMID_41544473_GLM1,PMID_41544473,unspecified tea,purified component,tea polysaccharides,,antioxidant,antioxidant activity during storage,animal study,preclinical_in_vivo,encapsulated probiotics,,positive,,,,,synergistic barrier effect of ternary matrix,,,,cross-linked systems maintained high viability due to the synergistic barrier effect and sustained antioxidant activity,0.85,glm5_nvidia,llm_title_abstract_annotated,Activity assessed as part of the encapsulation matrix stability and function.; llm_postprocessed=true,Spray-dried soy protein/tamarind seed polysaccharide/tea polyphenol ternary complexes with enzymatic and natural crosslinking enhance probiotic viability.,"To enhance probiotic survival during spray drying, a ternary encapsulation matrix composed of soy protein isolate, tamarind seed polysaccharide, and tea polyphenol was constructed and reinforced via enzymatic (transglutaminase/laccase) or chemical (genipin) cross-linking. The system relies on synergistic non-covalent interactions and covalent densification. The results showed that cross-linking significantly enhanced colloidal stability, with transglutaminase-treated complexes exhibiting the highest absolute ζ potential (-21.01 mV). Notably, the genipin-crosslinked capsules offered superior gastric protection with minimal viability loss (0.78 log CFU/g), whereas the laccase-crosslinked capsules facilitated intestinal-targeted release. During 28 days of storage at 25 °C, the cross-linked systems maintained high viability (6.28-6.95 log CFU/g) due to the synergistic barrier effect and sustained antioxidant activity, significantly outperforming free cells. This study demonstrated that cross-linked ternary complexes provide a robust, tunable platform for stabilized probiotic delivery in functional foods.",Food chemistry,2026,true,unspecified tea,purified component,tea polysaccharides,storage/aging; enzymatic treatment,,polysaccharide; tea polysaccharides; polyphenol,storage; enzymatic,,,preclinical_only,0.525,0.550,0.550,0.709,moderate_uncertainty,storage/aging; enzymatic treatment,
PMID_41534752_GLM1,PMID_41534752,unspecified tea,tea extract,catechins,,gut microbiota modulation,selective Bacillus α-glucosidase inhibition,animal study,preclinical_in_vivo,enzyme kinetics assay,,negative,,,,,enzyme inhibition,Bacillus,,,acarbose exhibited the most potent inhibition and selectivity towards Bacillus α-glucosidase.,0.90,glm5_nvidia,llm_title_abstract_annotated,Epicatechin among predicted top compounds for selective Bacillus inhibition.; llm_postprocessed=true,"Alleviation of adverse effects associated with α-glucosidase inhibitors by Ocimum basilicum L., Matricaria chamomilla L., and Salvia officinalis L. reveals novel selective inhibition of Bacillus α-glucosidase by acarbose.","Ocimum basilicum L., Matricaria chamomilla L., and Salvia officinalis L. have literature-supported ethnobotanical claims of reducing hyperglycaemia and gastrointestinal discomfort. Thus, they contain potent potential for reducing gastrointestinal adverse side effects associated with the use of the type 2 diabetes medication, acarbose. The adverse effects are predominantly theorised to be caused by excess carbohydrate fermentation by gut bacteria. Therefore, the aim of this study was to subject herbal extracts as well as compounds identified in the herbs to in silico and in vitro investigation for selective inhibition of a gut bacterial enzyme, Bacillus α-glucosidase, compared with human α-glucosidase. In silico molecular docking was employed to filter and select top performing compounds that exhibited the highest selective Bacillus α-glucosidase inhibition, followed by pharmacokinetic examination of the selected compounds. In vitro enzyme kinetics, hepatocellular carcinoma cell line cytotoxicity and the reduction of hepatic lipid accumulation in a hepatocellular carcinoma/oleic acid cellular model of metabolic dysfunction-associated fatty liver disease was examined. A metabolomic study on the concentration of the selected compounds in the herbs as well as a comparative analysis on abundant metabolites between herbs were analysed through an ultra-performance liquid chromatography-mass spectrometry-based study. Molecular docking revealed cinnamic acid, coumaric acid, epicatechin, hesperetin, linalool, menthol, octenol, terpineol, umbelliferone, and vanillic acid as the top predicted compounds with the highest predicted selective inhibition of Bacillus α-glucosidase. These findings were validated through in vitro assessment, in which the primary finding and the most unexpected result was obtained through enzyme kinetics, where compared with all compounds, acarbose exhibited the most potent inhibition and selectivity towards Bacillus α-glucosidase. Only umbelliferone significantly reduced cell viability and therefore validated its predicted toxicity that was obtained through pharmacokinetic studies. O. basilicum, M. chamomilla, and S. officinalis were evaluated against Camellia sinensis (L.) Kuntze for cytotoxic effects, where only M. chamomilla produced a significantly higher EC50, substantiating the herbs potent anti-cancerous abilities. Compounds and herb extracts were not found to reduce hepatic lipid accumulation. The novel finding was related to acarbose inhibition and specifically its potent selectivity of Bacillus α-glucosidase which discredits and disproves the theory that excess bacterial fermentation is the cause behind acarbose's reported adverse effects. Thus, this research study rather proves that acarbose negatively affects gut bacterial enzymes, promoting microbiome dysbiosis and therefore future research should at the forefront focus on the rehabilitation of diabetic patients' gut microbiome and intestinal health.",Journal of ethnopharmacology,2026,true,unspecified tea,tea extract,catechins,fermentation/oxidation,,epicatechin; catechins; extracts,fermentation,,,preclinical_only,0.575,0.750,0.550,0.749,moderate_uncertainty,fermentation/oxidation,
PMID_41534752_GLM2,PMID_41534752,unspecified tea,tea extract,catechins,,gut microbiota modulation,gut microbiome dysbiosis,animal study,preclinical_in_vivo,theoretical model,,positive,,,,,microbiome dysbiosis,gut bacteria,,gastrointestinal adverse effects,"acarbose negatively affects gut bacterial enzymes, promoting microbiome dysbiosis",0.85,glm5_nvidia,llm_title_abstract_annotated,llm_postprocessed=true,"Alleviation of adverse effects associated with α-glucosidase inhibitors by Ocimum basilicum L., Matricaria chamomilla L., and Salvia officinalis L. reveals novel selective inhibition of Bacillus α-glucosidase by acarbose.","Ocimum basilicum L., Matricaria chamomilla L., and Salvia officinalis L. have literature-supported ethnobotanical claims of reducing hyperglycaemia and gastrointestinal discomfort. Thus, they contain potent potential for reducing gastrointestinal adverse side effects associated with the use of the type 2 diabetes medication, acarbose. The adverse effects are predominantly theorised to be caused by excess carbohydrate fermentation by gut bacteria. Therefore, the aim of this study was to subject herbal extracts as well as compounds identified in the herbs to in silico and in vitro investigation for selective inhibition of a gut bacterial enzyme, Bacillus α-glucosidase, compared with human α-glucosidase. In silico molecular docking was employed to filter and select top performing compounds that exhibited the highest selective Bacillus α-glucosidase inhibition, followed by pharmacokinetic examination of the selected compounds. In vitro enzyme kinetics, hepatocellular carcinoma cell line cytotoxicity and the reduction of hepatic lipid accumulation in a hepatocellular carcinoma/oleic acid cellular model of metabolic dysfunction-associated fatty liver disease was examined. A metabolomic study on the concentration of the selected compounds in the herbs as well as a comparative analysis on abundant metabolites between herbs were analysed through an ultra-performance liquid chromatography-mass spectrometry-based study. Molecular docking revealed cinnamic acid, coumaric acid, epicatechin, hesperetin, linalool, menthol, octenol, terpineol, umbelliferone, and vanillic acid as the top predicted compounds with the highest predicted selective inhibition of Bacillus α-glucosidase. These findings were validated through in vitro assessment, in which the primary finding and the most unexpected result was obtained through enzyme kinetics, where compared with all compounds, acarbose exhibited the most potent inhibition and selectivity towards Bacillus α-glucosidase. Only umbelliferone significantly reduced cell viability and therefore validated its predicted toxicity that was obtained through pharmacokinetic studies. O. basilicum, M. chamomilla, and S. officinalis were evaluated against Camellia sinensis (L.) Kuntze for cytotoxic effects, where only M. chamomilla produced a significantly higher EC50, substantiating the herbs potent anti-cancerous abilities. Compounds and herb extracts were not found to reduce hepatic lipid accumulation. The novel finding was related to acarbose inhibition and specifically its potent selectivity of Bacillus α-glucosidase which discredits and disproves the theory that excess bacterial fermentation is the cause behind acarbose's reported adverse effects. Thus, this research study rather proves that acarbose negatively affects gut bacterial enzymes, promoting microbiome dysbiosis and therefore future research should at the forefront focus on the rehabilitation of diabetic patients' gut microbiome and intestinal health.",Journal of ethnopharmacology,2026,true,unspecified tea,tea extract,catechins,fermentation/oxidation,,epicatechin; catechins; extracts,fermentation,,,preclinical_only,0.575,0.750,0.550,0.721,moderate_uncertainty,fermentation/oxidation,
PMID_41519326_GLM1,PMID_41519326,unspecified tea,purified component,mixed polyphenols,tea polyphenols,antioxidant,free radical scavenging,animal study,preclinical_in_vivo,animal model,,positive,,,,,free radical scavenging,,,,"doping nanofibers with tea polyphenols ... demonstrated excellent antioxidant capacity, with a free radical scavenging rate exceeding 90%.",0.95,glm5_nvidia,llm_title_abstract_annotated,Tea polyphenols were doped into nanofibers to improve antioxidant capacity.; llm_postprocessed=true; targeted_processing_llm_patch=llm_extracted; patch_confidence=0.90,Multifunctional hydrogel based on oxidized sodium alginate and carboxymethyl chitosan delivers minoxidil loaded liposomes for the treatment of androgenetic alopecia.,"Minoxidil (MXD) is a widely used drug to treat androgenetic alopecia (AGA), the most prevalent hair loss disorder in humans. However, the therapeutic effect of common methods of administration, such as tinctures or liniments, is limited. This study aims to develop an antibacterial, anti-inflammatory, injectable, nanofiber-reinforced hydrogel platform based on oxidized sodium alginate (OSA) and carboxymethyl chitosan (CMC). This will enable the precise, point-specific, long-term, continuous delivery of minoxidil-loaded liposomes (MXD@Lip), enhance the transdermal rate and drug utilization of MXD, and improve the efficiency of AGA treatment. Results indicate that the hydrogel can form within 60 s and is safe and non-toxic. The hydrogel exhibits excellent antibacterial properties due to the modification of carboxymethyl chitosan through the grafting of quaternary ammonium salts. The inhibition rates of Staphylococcus aureus and Escherichia coli were 89.42% and 90.22%, respectively. Additionally, doping nanofibers with tea polyphenols improved the mechanical properties of the hydrogel 3.76 times and demonstrated excellent antioxidant capacity, with a free radical scavenging rate exceeding 90%. Animal studies confirmed that NFgel-MXD@Lip outperformed MXD tincture in promoting follicular development and enhancing hair regrowth, with the anti-inflammatory and antibacterial hydrogel NF-gel also contributing to these effects.",International journal of biological macromolecules,2026,true,unspecified tea,purified component,mixed polyphenols,,,tea polyphenols;antioxidant capacity;free radical scavenging,tea polyphenols;antioxidant capacity;free radical scavenging,tea polyphenols;antioxidant capacity;free radical scavenging,,missing_processing_or_extraction_context; preclinical_only,0.463,0.550,0.300,0.698,moderate_uncertainty,,
