paper_id,source_db,title,authors,journal,year,doi,pmid,study_type,tea_type,material_form,component_group,activity_category,processing_present,extraction_present,microbiome_present,include_status,exclusion_reason,notes
PMID_41844524,PubMed,Evolution in the chemical composition of Liubao tea during processing.,He Q; Sun L; Dai C; Wang Q; Ge L,Journal of the science of food and agriculture,2026,10.1002/jsfa.70592,41844524,animal study,dark tea,purified component,catechins,other,yes,no,no,include,,matched_queries=Q4; abstract_saved_in_raw_batch; Metabolomic analysis of Liubao tea processing and aging. No functional activity or health outcome data.; llm_retry_merged=true; llm_postprocessed=true; llm_screened=true
PMID_41839755,PubMed,Commercial kombucha beverages produced in Uruguay: physicochemical composition and antioxidant profile.,Tourné F; Medina K; Listur B; Báez J; Martín V,Journal of the science of food and agriculture,2026,10.1002/jsfa.70589,41839755,animal study,fermented tea,fermented beverage,mixed polyphenols,antioxidant,yes,no,no,include,,matched_queries=Q4; abstract_saved_in_raw_batch; llm_retry_merged=true; llm_postprocessed=true; llm_screened=true
PMID_41839464,PubMed,Preparation and characterization of chitosan‑sodium alginate complex edible casings incorporated with tea polyphenols and their application in dry-cured sausages.,Li H; Gao Y; Xu T; Zhao K; Su M; He J; Tang H,Food chemistry,2026,10.1016/j.foodchem.2026.148797,41839464,animal study,unspecified tea,purified component,mixed polyphenols,other,no,no,no,include,,matched_queries=Q2; abstract_saved_in_raw_batch; Tea polyphenols incorporated into edible casings show antimicrobial and antioxidant effects on dry-cured sausages.; llm_retry_merged=true; llm_postprocessed=true; llm_screened=true
PMID_41833670,PubMed,Postbiotic-assisted synthesis of cerium oxide nanocomposites functionalized with folic acid-chitosan and tea polyphenols for redox-regulated anticancer activity.,Sathiyaseelan A; You HS; Park S; Wang MH,International journal of biological macromolecules,2026,10.1016/j.ijbiomac.2026.151422,41833670,animal study,unspecified tea,purified component,mixed polyphenols,antioxidant,no,no,no,include,,matched_queries=Q2; abstract_saved_in_raw_batch; Tea polyphenols used as functional component in nanocomposite formulation for cancer therapy.; llm_retry_merged=true; llm_postprocessed=true; llm_screened=true
PMID_41833134,PubMed,Shaking promotes the accumulation of flavor-imparting metabolites and enhances the sensory quality of spring black tea.,Fang C; You R; Gong Y; Huang P; Huang F; Gao W; Ye X; Ye Y,Food chemistry,2026,10.1016/j.foodchem.2026.148871,41833134,animal study,black tea,purified component,theaflavins,metabolic improvement,yes,no,no,exclude,Out of scope for tea functional activity evidence.,matched_queries=Q2;Q4; abstract_saved_in_raw_batch
PMID_41830542,PubMed,"Unveiling the Complexity of Pu-Erh Tea Flavor: Integrating Chemistry, Processing, and Sensory Neuroscience.",Zheng H; Yue R; Jiang J; Luo L; Zeng L; Liu Y,Comprehensive reviews in food science and food safety,2026,10.1111/1541-4337.70440,41830542,systematic review,unspecified tea,purified component,mixed polyphenols,other,yes,no,no,exclude,Out of scope for tea functional activity evidence.,matched_queries=Q4; abstract_saved_in_raw_batch
PMID_41830022,PubMed,Green Tea Catechin Plus Inulin Improves Insulin Resistance Without Reducing Visceral Fat and Shows Exploratory Gut Microbiota Signals in Adults with Visceral Obesity: A Double-Blind Randomized Controlled Trial.,Iino C; Mikami K; Furusawa K; Sato S; Yoshida K; Yamaguchi T; Bushita H; Kinoshita K; Matsui Y; Imoto S; Iwane T; Tamada Y; Murashita K; Nakaji S; Mikami T; Sakuraba H,Nutrients,2026,10.3390/nu18050851,41830022,randomized controlled trial,green tea,purified component,catechins,gut microbiota modulation,no,no,yes,include,,matched_queries=Q2; Q3; Q5; abstract_saved_in_raw_batch; Green tea catechin plus inulin improved insulin resistance without visceral fat reduction; exploratory microbiota signals found.; llm_retry_merged=true; llm_postprocessed=true; llm_screened=true
PMID_41829951,PubMed,Dietary Polyphenols as Modulators of Bifidobacterium in the Human Gut Microbiota.,Toderescu CD; Parveen M; Trifunschi S; Oancea A; Jurj GCC; Cresneac IG; Munteanu MF; Ciopanoiu I; Boru C; Pogurschi EN; Ionite C; Stefanache A; Lungu II,Nutrients,2026,10.3390/nu18050782,41829951,meta-analysis,green tea,tea extract,mixed polyphenols,gut microbiota modulation,no,yes,yes,include,,"matched_queries=Q1; Q5; abstract_saved_in_raw_batch; Systematic review and meta-analysis on dietary polyphenols and gut microbiota, specifically mentioning green tea in results.; llm_retry_merged=true; llm_postprocessed=true; llm_screened=true"
PMID_41829240,PubMed,Process Optimization of GABA Instant White Tea Based on Response Surface Methodology and Analysis of Key Flavor Substances.,Yang D; Wang T; Jiao W; Chen Q; Bo N; Guan Y; Jiang B; Gao H; Tao X; Yang F; Liang P; Cai B; Pan G; Zhou Y; Zhao C; Zhao M,"Foods (Basel, Switzerland)",2026,10.3390/foods15050967,41829240,animal study,white tea,tea extract,theanine,other,yes,yes,no,exclude,Out of scope for tea functional activity evidence.,matched_queries=Q4; abstract_saved_in_raw_batch
PMID_41829193,PubMed,Systematic Identification of Characteristic Metabolites and Analysis of Quality and Metabolomic Profiles of Yunnan Kucha White Tea.,Liu Y; Pang D; Chen C; Tian Y; Deng S; Xu Y; Jiang H; Liu Y; Li Y; Zhou Y; Chen L,"Foods (Basel, Switzerland)",2026,10.3390/foods15050924,41829193,plant/agronomy study,white tea,purified component,caffeine,metabolic improvement,yes,no,no,exclude,Out of scope: plant/agronomy rather than functional activity evidence.,matched_queries=Q2;Q4; abstract_saved_in_raw_batch
PMID_41829159,PubMed,Probiotic-Driven Metabolic Transformation in Dark Tea: Enhanced Bioactives and Gut Microbiota Modulation Underlie Its Alleviation Effect Against Constipation.,Xie Y; Song X; Zhang Z; Zhou Z; Liu H; Wang Z; Jia L,"Foods (Basel, Switzerland)",2026,10.3390/foods15050886,41829159,animal study,dark tea,unspecified material,multiple component groups,gut microbiota modulation,yes,no,yes,include,,matched_queries=Q4; abstract_saved_in_raw_batch; Animal study on dark tea and fermented dark tea alleviating loperamide-induced constipation in mice via gut microbiota modulation and metabolite transformation.; llm_retry_merged=true; llm_postprocessed=true; llm_screened=true
PMID_41829138,PubMed,Unraveling Variations in Primary Metabolites of Longjing Green Tea During Processing and from Different Geographical Origins.,Lin Z; Chen M; Zhou B; Tan J; Zeng L; Lin Z; Tang J; Dai W,"Foods (Basel, Switzerland)",2026,10.3390/foods15050865,41829138,animal study,green tea,tea leaf,multiple component groups,metabolic improvement,yes,no,no,exclude,Out of scope for tea functional activity evidence.,matched_queries=Q4; abstract_saved_in_raw_batch
PMID_41829109,PubMed,Taste Modulation of White Tea by Red/Blue-LED-Assisted Withering Revealed via Non-Volatile Metabolomics.,Wu D; Deng Y; Xing J; Wen L; Ma J; Dong D; Cao F,"Foods (Basel, Switzerland)",2026,10.3390/foods15050836,41829109,unspecified,white tea,purified component,caffeine,other,yes,no,no,exclude,Out of scope for tea functional activity evidence.,matched_queries=Q4; abstract_saved_in_raw_batch
PMID_41828893,PubMed,GC-MS Analysis and Antioxidant Evaluation of Essential Oils from Chimonanthus salicifolius and Chimonanthus nitens.,Pan A; Gu X; Zheng M; Chen L; Yang N,"Molecules (Basel, Switzerland)",2026,10.3390/molecules31050906,41828893,animal study,unspecified tea,tea extract,whole extract,antioxidant,no,yes,no,include,,"matched_queries=Q4; abstract_saved_in_raw_batch; Study on essential oils of Chimonanthus species, traditionally used as herbal tea substitutes. Focuses on chemical composition and in vitro antioxidant/antibacterial activities.; llm_retry_merged=true; llm_postprocessed=true; llm_screened=true"
PMID_41828808,PubMed,Galloylation-Driven Anchoring of the Asp325-Asp336 Ridge: The Molecular Logic Behind the Superior Kinetic Stabilization of HMPV Fusion Protein by Green Tea Dimeric Catechins.,Nilewar SS; Chobe SS; Gurav AD; Kureshi SB; Palande SB; Escobar-Cabrera J; Hernández-Rosas F; Pawar TJ,"Molecules (Basel, Switzerland)",2026,10.3390/molecules31050821,41828808,animal study,green tea,purified component,catechins,other,no,no,no,include,,matched_queries=Q3; abstract_saved_in_raw_batch; Computational study of green tea catechins stabilizing HMPV Fusion protein.; llm_retry_merged=true; llm_postprocessed=true; llm_screened=true
PMID_41828611,PubMed,Do Adjunctive Therapies with Natural Products Improve Periodontal Clinical Parameters After Non-Surgical Treatment? A Systematic Review and Meta-Analysis.,de Molon RS; Rodrigues JVS; de Avila ED; da Silva Barbirato D; Franco Moura JP; Monteiro GV; Alves MV; Theodoro LH; Vernal R; Teughels W,International journal of molecular sciences,2026,10.3390/ijms27052394,41828611,meta-analysis,green tea,purified component,catechins,anti-inflammatory,no,no,no,include,,matched_queries=Q1; Q2; Q5; abstract_saved_in_raw_batch; Meta-analysis of natural products as adjuncts to SRP. Mentions green tea catechins.; llm_retry_merged=true; llm_postprocessed=true; llm_screened=true
PMID_41820002,PubMed,[Effects of different aging years of Liupao tea on metabolic indexes and body composition of overweight and obese people].,Hu Q; Wang Y; Chen B; Ma D,Wei sheng yan jiu = Journal of hygiene research,2026,10.19813/j.cnki.weishengyanjiu.2026.01.016,41820002,randomized controlled trial,unspecified tea,tea infusion,multiple component groups,metabolic improvement,no,no,no,include,,matched_queries=Q5; abstract_saved_in_raw_batch; RCT on Liupao tea effects on metabolic and body composition in overweight/obese subjects. No difference between aging years.; llm_retry_merged=true; llm_postprocessed=true; llm_screened=true
PMID_41819933,PubMed,Analysis of the synergistic effects of tea cultivars and regional environments on metabolic phenotypes.,Wang Y; Zhang Y; Wang L; He M; Wu L; Liu G; Wang Y; Wang L; Wei K,"Food research international (Ottawa, Ont.)",2026,10.1016/j.foodres.2026.118790,41819933,animal study,unspecified tea,tea extract,caffeine,metabolic improvement,no,yes,no,exclude,Out of scope: Plant science/Agricultural chemistry focus,"matched_queries=Q2; abstract_saved_in_raw_batch; Paper focuses on plant science and agricultural chemistry, analyzing metabolic traits of tea leaves based on cultivars and environments. It does not report on functional activity in animal or human models.; llm_retry_merged=true; llm_postprocessed=true; llm_screened=true"
PMID_41819930,PubMed,Integrating the use of feijoa pulp and peel (Acca sellowiana) in kombucha fermentation: a sustainable approach to promote functionality and sensory acceptability.,Ferreira ALA; Wanderley BRDSM; Pinto FAMF; Gonzaga L; Costa ACO; Silva B; Vitali L; Silveira RD; Welke JE; Piccolotto PA; Müller CMO; Amboni RDMC; Fritzen-Freire CB,"Food research international (Ottawa, Ont.)",2026,10.1016/j.foodres.2026.118781,41819930,animal study,green tea,fermented beverage,catechins,antioxidant,yes,no,no,exclude,Out of scope for tea functional activity evidence.,matched_queries=Q2;Q4; abstract_saved_in_raw_batch
PMID_41819924,PubMed,Rapid geographical traceability and quality identification of black tea via integration of ambient mass spectrometry and machine learning.,Zeng H; Wang X; Ge M; Liu M; Wang Z; Kong X; Weng J; Du X; Xiong W; Wen L,"Food research international (Ottawa, Ont.)",2026,10.1016/j.foodres.2026.118764,41819924,animal study,black tea,tea extract,whole extract,metabolic improvement,no,yes,no,exclude,Out of scope for tea functional activity evidence.,matched_queries=Q4; abstract_saved_in_raw_batch
PMID_41819882,PubMed,"Investigation on off-flavor mitigation in pickled bamboo shoots via ultrasonic processing, tea polyphenol treatment, and Corynebacterium glutamicum fermentation.",Zhang X; Li Y; Li J; Shan Y; Gong X; Yao H; Zhou W; Wang M; Tong LT,"Food research international (Ottawa, Ont.)",2026,10.1016/j.foodres.2026.118747,41819882,plant/agronomy study,unspecified tea,purified component,mixed polyphenols,metabolic improvement,yes,no,no,exclude,Out of scope: plant/agronomy rather than functional activity evidence.,matched_queries=Q2;Q4; abstract_saved_in_raw_batch
PMID_41812944,PubMed,A gelatin/trehalose-based edible coating inhibits quality deterioration of pre-cooked beef during frozen storage.,Wang J; Ma Y; Zhao R; Zhang H; Geng Z; Li H; Wang Y; Xia N; Xu L,International journal of biological macromolecules,2026,10.1016/j.ijbiomac.2026.151334,41812944,animal study,unspecified tea,purified component,mixed polyphenols,antioxidant,no,no,no,exclude,Out of scope for tea functional activity evidence.,matched_queries=Q2;Q3; abstract_saved_in_raw_batch
PMID_41812449,PubMed,Characterization of key aroma compounds contributing to tropical fruity and Citrus notes and the mechanism of characteristic aroma formation in Dali-variety black tea.,Wang D; Huang X; Liu Y; He L; Wu X; Wu F; Luo L; Zeng L,Food chemistry,2026,10.1016/j.foodchem.2026.148762,41812449,unspecified,black tea,tea leaf,multiple component groups,metabolic improvement,yes,no,no,exclude,Out of scope for tea functional activity evidence.,matched_queries=Q4; abstract_saved_in_raw_batch
PMID_41808472,PubMed,Metabolic Conversion and Quality Contribution of Tea-Derived Aspergillus nidulans and its Safety Assessment in Dark Tea Manufacture.,Cheng L; Zhu H; Peng L; Li X; Xu L; Yang M; Yang Y; Wei X,Journal of agricultural and food chemistry,2026,10.1021/acs.jafc.5c17842,41808472,plant/agronomy study,dark tea,purified component,catechins,metabolic improvement,yes,no,no,exclude,Out of scope: plant/agronomy rather than functional activity evidence.,matched_queries=Q2;Q4; abstract_saved_in_raw_batch
