record_id,paper_id,processing_present,extraction_present,component_present,tea_type,material_form,component_group,processing_step,extraction_method,compound_name,cultivar,origin,evidence_terms,raw_context_phrase,confidence_score,reasoning_short,patch_status,patch_uncertainty_flags
PMID_39503925_GLM1,PMID_39503925,false,false,false,unspecified tea,tea infusion,,,,,,,iced tea;hot tea;tea,"iced tea [HR, 1.41 (1.21 to 1.65); P-trend < 0.0001)] intake was associated with higher T2DM risk",0.90,"Epidemiological cohort study using FFQ to assess iced tea and hot tea consumption; no tea processing, extraction, or component analysis performed",llm_extracted,beverage type unspecified;iced tea may contain added sugar
PMID_39517154_GLM2,PMID_39517154,false,false,false,,,,,,,,,"preference for coffee and tea; preferences for smoking, coffee, or tea","those with the rs12878143 (CC) genotype preferred fruits, vegetables, coffee, and tea; hypothesizing that a sweet taste preference may not only be influenced by genetic factors but also be associated with other taste preferences, such as preferences for smoking, coffee, or tea",1.00,"Tea is mentioned only as a dietary preference item in a genetic association study; no tea processing, extraction, or component analysis is reported.",llm_extracted,
PMID_39606571_GLM1,PMID_39606571,false,false,true,unspecified tea,unspecified material,multiple component groups,,,,,,tea components; anti-obesity properties,"understanding the roles of tea components in regulating gut microbiota, boosting fat oxidation, and increasing metabolic rate",0.90,"Bibliometric analysis mentions tea components broadly without specifying tea type, processing, or extraction methods",llm_extracted,
PMID_39606571_GLM2,PMID_39606571,false,false,true,unspecified tea,unspecified material,multiple component groups,,,,,,tea components; regulating gut microbiota; anti-obesity,understanding the roles of tea components in regulating gut microbiota,0.95,"Bibliometric analysis mentions tea components broadly without specifying processing, extraction methods, or individual compounds.",llm_extracted,
PMID_39706596_GLM1,PMID_39706596,false,false,true,unspecified tea,tea infusion,caffeine,,,caffeine,,,"caffeine intake;beverages (coffee, tea, chocolate)","Caffeine, identified as a central nervous system stimulant in foods, beverages (coffee, tea, chocolate), and medications",0.85,Tea mentioned only as dietary caffeine source in epidemiological study; no tea-specific processing or extraction methods reported,llm_extracted,tea mentioned only as general dietary source;no tea-material intervention
PMID_39765834_GLM1,PMID_39765834,false,false,true,green tea,purified component,catechins,,,EGCG; ECG; Polyphenon E,,,GTCs; EGCG; ECG; Polyphenon E; tea polyphenols,"Green tea catechins (GTCs) are a group of bioactive polyphenolic compounds... Among these compounds, EGCG has shown the highest efficacy... Both EGCG and ECG have been observed... Polyphenon E (PE), also known as sinecatechins",0.95,"Title and abstract explicitly identify green tea catechins; methods text names specific compounds EGCG, ECG, and Polyphenon E. No processing or extraction methods described.",llm_extracted,
PMID_39765834_GLM2,PMID_39765834,false,false,true,green tea,purified component,catechins,,,EGCG; ECG; Polyphenon E; sinecatechins,,,Green tea catechins; EGCG; ECG; Polyphenon E,"Green tea catechins (GTCs) are a group of bioactive polyphenolic compounds... Among these compounds, EGCG has shown the highest efficacy... Both EGCG and ECG have been observed to inhibit the proliferation... Polyphenon E (PE), also known as sinecatechins",0.95,"Abstract and methods identify green tea catechins and specific compounds EGCG, ECG, and Polyphenon E without describing processing or extraction methods.",llm_extracted,
PMID_39831602_GLM1,PMID_39831602,false,false,false,unspecified tea,tea infusion,,,,,,China,tea consumption;regular tea consumption;drinking tea,"Information on tea consumption (including frequency, amount, and duration) was collected at baseline using interviewer-administered questionnaires",0.90,"Epidemiological cohort study on tea consumption habits; no tea processing, extraction, or specific components reported in methods",llm_extracted,
PMID_39920567_GLM1,PMID_39920567,false,false,true,,,mixed polyphenols,,,catechins; theaflavins; thearubigins; EGCG; ECG; EGC; EC; caffeine; theanine,,,tea polyphenols; green tea; black tea; catechins; theaflavins; thearubigins,"Tea polyphenols (TPP) are key contributors to the beneficial health effects of green tea and black tea... In green tea, catechins... are the major active constitutions. In the manufacturing of black tea, the catechins are mostly converted to dimeric theaflavins (TFs) and polymeric thearubigins (TRs).",0.90,"Review article discusses tea polyphenol bioavailability; reports component groups (catechins, theaflavins, thearubigins) and named compounds but no specific processing or extraction methods for study materials.",llm_extracted,
PMID_39940310_GLM1,PMID_39940310,false,false,true,green tea,tea leaf,multiple component groups,,,,,,Green Tea (n = 5); Green Tea polyphenols; Coffee or Tea,Green Tea (n = 5)...Green Tea polyphenols...12 on Coffee or Tea,0.90,"Abstract and methods mention 'Green Tea' and 'Green Tea polyphenols' as bioactive substances studied, but no specific processing or extraction methods are described for the tea material itself.",llm_extracted,material_form inferred from existing record
PMID_39942757_GLM1,PMID_39942757,false,false,true,green tea,purified component,catechins,,,Epigallocatechin gallate; EGCG,,,predominant catechin in green tea; principal bioactive component; approximately 50% of its total polyphenol content,"Epigallocatechin gallate (EGCG), the predominant catechin in green tea, comprises approximately 50% of its total polyphenol content",0.95,Abstract and introduction clearly identify EGCG as the predominant catechin in green tea; no processing or extraction methods described for the compound itself.,llm_extracted,
PMID_39942757_GLM2,PMID_39942757,false,false,true,green tea,purified component,catechins,,,Epigallocatechin gallate; EGCG; (+)-catechin; (-)-epicatechin; (+)-gallocatechin; (-)-epigallocatechin; (+)-catechin gallate; (-)-epicatechin gallate; (+)-gallocatechin gallate; (-)-epigallocatechin gallate,,,predominant catechin in green tea; principal bioactive component; comprises approximately 50% of its total polyphenol content,"EGCG, the predominant catechin in green tea, comprises approximately 50% of its total polyphenol content; primary bioactive compounds found in green tea leaves are catechins, which make up 25% to 35% of the dry weight of the leaves",0.95,Abstract and introduction clearly identify EGCG as the predominant catechin in green tea; no processing or extraction methods described for the tea material itself,llm_extracted,
PMID_39942757_GLM3,PMID_39942757,false,false,true,green tea,purified component,catechins,,,Epigallocatechin gallate; EGCG; (+)-catechin; (−)-epicatechin; (+)-gallocatechin; (−)-epigallocatechin; (+)-catechin gallate; (−)-epicatechin gallate; (+)-gallocatechin gallate; (−)-epigallocatechin gallate,,,predominant catechin in green tea; principal bioactive component; most abundant,"EGCG, the predominant catechin in green tea, comprises approximately 50% of its total polyphenol content",0.95,,llm_extracted,
PMID_39949547_GLM1,PMID_39949547,false,false,false,unspecified tea,tea infusion,,,,,,,tea consumption; cups of tea,How many cups of tea do you consume on a daily basis,0.95,,llm_extracted,
PMID_40001172_GLM1,PMID_40001172,false,false,false,unspecified tea,tea infusion,,,,,,,tea consumption;tea intake;tea drinking,baseline data on tea and/or coffee consumption per day/week,0.90,"Epidemiological cohort study on dietary tea consumption; no tea material processing, extraction, or specific component analysis reported.",llm_extracted,
PMID_40002949_GLM1,PMID_40002949,false,true,true,green tea,purified component,catechins,,commercial preparation,tea polyphenols; catechins; epigallocatechin gallate,,,tea polyphenols extracted from green tea; content of tea polyphenols was 98.1%; catechins was 86.6%,"Tea polyphenols were extracted from green tea and obtained in the form of a brown powder... The content of tea polyphenols was 98.1%, that of catechins was 86.6%, and that of epigallocatechin gallate was 54.2%",1.00,"Methods explicitly state tea polyphenols were extracted from green tea, obtained as a brown powder with 98.1% polyphenol and 86.6% catechin content.",llm_extracted,
PMID_40002949_GLM2,PMID_40002949,false,true,true,green tea,purified component,catechins,,commercial extract,epigallocatechin gallate; catechins,,,tea polyphenols; green tea; catechins; epigallocatechin gallate,"Tea polyphenols were extracted from green tea and obtained in the form of a brown powder... content of tea polyphenols was 98.1%, that of catechins was 86.6%, and that of epigallocatechin gallate was 54.2%",0.95,Methods explicitly state tea polyphenols extracted from green tea with detailed composition analysis provided,llm_extracted,
PMID_40002949_GLM3,PMID_40002949,false,true,true,green tea,purified component,catechins,,commercial extract,tea polyphenols; catechins; epigallocatechin gallate,,,tea polyphenols extracted from green tea; content of tea polyphenols was 98.1%; catechins was 86.6%,"Tea polyphenols were extracted from green tea and obtained in the form of a brown powder... The content of tea polyphenols was 98.1%, that of catechins was 86.6%, and that of epigallocatechin gallate was 54.2%",0.95,Methods text explicitly states tea polyphenols were extracted from green tea and provides purity/composition data.,llm_extracted,
PMID_40121496_GLM1,PMID_40121496,false,false,false,,,,,,,,,tea; beverage consumption,"No significant associations were found for pure fruit juice, coffee, tea, or alcoholic drinks.",0.95,"Cohort study assessed tea consumption via food frequency questionnaire; no tea processing, extraction, or component details reported.",llm_extracted,
PMID_40134056_GLM1,PMID_40134056,false,false,true,unspecified tea,tea infusion,mixed polyphenols,,,1-deoxynojirimycin; total polyphenols,,,mulberry leaf and water chestnut husk tea; total polyphenol contents; 1-deoxynojirimycin contents,mulberry leaf and water chestnut husk tea; 1-deoxynojirimycin and total polyphenol contents in the tea,0.90,"Study investigates a herbal tea blend; component analysis reports 1-deoxynojirimycin and total polyphenols, but no Camellia sinensis tea processing or extraction methods are described.",llm_extracted,non-Camellia herbal tea
PMID_40157008_GLM1,PMID_40157008,false,false,false,unspecified tea,tea infusion,,,,,,,coffee or tea (noncaloric); coffee or tea (caloric),"operationalize beverage intake into 8 categories... non-caloric coffee or tea, caloric coffee or tea drinks",0.90,"Tea mentioned only as dietary survey beverage category with no processing, extraction, or component details reported",llm_extracted,
PMID_40160899_GLM1,PMID_40160899,false,false,true,green tea,unspecified material,multiple component groups,,,polyphenols; flavonoids; phenolic acids,,,green tea supplementation; bioactive compounds; polyphenols,"Abundant in chemicals with antioxidant properties (mostly polyphenols, such as flavonoids and phenolic acids)",0.90,"Abstract and methods specify green tea and describe bioactive components (polyphenols, flavonoids, phenolic acids) but provide no processing or extraction details for the tea material.",llm_extracted,supplement form unspecified
PMID_40160899_GLM2,PMID_40160899,false,false,true,green tea,unspecified material,multiple component groups,,,polyphenols; flavonoids; phenolic acids,,,green tea supplementation; green tea; Camellia sinensis,"Abundant in chemicals with antioxidant properties (mostly polyphenols, such as flavonoids and phenolic acids)",0.85,"Tea type stated as green tea; bioactive components mentioned generally as polyphenols, flavonoids, phenolic acids; no specific processing or extraction methods described for the intervention material.",llm_extracted,intervention form unspecified
PMID_40263915_GLM1,PMID_40263915,true,false,true,unspecified tea,tea infusion,multiple component groups,drying; roasting,,"5-caffeoylquinic acid; caffeic acid; rutin; caffeine; 3,5-dicaffeoylquinic acid",,Argentina,yerba mate; mate tea,"sachets containing 3 g of dried roasted yerba mate leaves; placing a sachet containing 3 g of dried yerba mate leaves in 150 mL of boiling water, brewing the beverage during 5 min",0.95,,llm_extracted,
PMID_40263915_GLM2,PMID_40263915,true,false,true,unspecified tea,tea infusion,multiple component groups,drying; roasting,,"5-caffeoylquinic acid; caffeic acid; rutin; caffeine; 3,5-dicaffeoylquinic acid",,Argentina,yerba mate tea; mate tea; phenolic composition,"sachets containing 3 g of dried roasted yerba mate leaves; placing a sachet containing 3 g of dried yerba mate leaves in 150 mL of boiling water, brewing the beverage during 5 min; Standards 5-caffeoylquinic acid, caffeic acid, rutin, and caffeine",0.95,Methods explicitly describe dried roasted yerba mate leaves and infusion preparation; phenolic standards listed for composition analysis.,llm_extracted,yerba mate is Ilex paraguariensis not Camellia sinensis
PMID_40358678_GLM1,PMID_40358678,true,false,true,green tea,purified component,catechins,steaming; polyphenol oxidase inactivation,,EGCG; catechin; catechin gallate; gallocatechin; epicatechin; epigallocatechin; epicatechin-3-gallate; gallocatechin gallate,,China; India; Sri Lanka; Japan,green tea catechins; steaming of leaves; non-fermented type,"the steaming of leaves in green tea production inactivates polyphenol oxidase, thereby preserving catechins",0.95,Processing explicitly described (steaming to inactivate polyphenol oxidase); specific catechin compounds named; origins listed as cultivation regions.,llm_extracted,
PMID_40358678_GLM3,PMID_40358678,true,false,true,green tea,purified component,catechins,steaming; polyphenol oxidase inactivation,,EGCG; catechin; catechin gallate; gallocatechin; epicatechin; epigallocatechin; epicatechin-3-gallate; gallocatechin gallate,,China; India; Sri Lanka; Japan,green tea catechins; GTCs; EGCG,"the steaming of leaves in green tea production inactivates polyphenol oxidase, thereby preserving catechins; GTCs account for 60–80% of the polyphenols; EGCG being the most abundant",0.95,Processing context explicitly describes steaming and enzyme inactivation for green tea production; component names are comprehensively listed in the methods text.,llm_extracted,
PMID_40427462_GLM1,PMID_40427462,false,false,true,unspecified tea,tea extract,mixed polyphenols,,,EGCG; catechins; theaflavins; thearubigins,,,"Tea polyphenols (TP); EGCG, a principal constituent of TP","Tea polyphenols (TP) are naturally occurring compounds found in tea... catechins, theaflavins, and thearubigins are prominent compounds... EGCG, the main component of TP",0.85,"Abstract and introduction identify tea polyphenols and EGCG as constituents, but no tea processing or extraction methods are described for the TP material.",llm_extracted,tea source unspecified; extraction method not reported
PMID_40427462_GLM3,PMID_40427462,false,false,true,unspecified tea,purified component,catechins,,,EGCG; catechins; theaflavins; thearubigins,,,"Tea polyphenols (TP); EGCG, a principal constituent of TP","Tea polyphenols (TP) are naturally occurring compounds found in tea... catechins, theaflavins, and thearubigins are prominent compounds... EGCG, the main component of TP",0.90,Abstract and methods identify tea polyphenols and EGCG as studied components but provide no details on tea processing or extraction methods.,llm_extracted,
PMID_40438590_GLM1,PMID_40438590,false,false,true,green tea,purified component,catechins,,,(-)-epigallocatechin-3-gallate; EGCG,,,green tea component; EGCG; catechin,the main catechin (−)-epigallocatechin-3-gallate (EGCG); isolated catechin EGCG,0.95,"Title and text explicitly identify EGCG as a green tea catechin component, but no processing or extraction methods are described for the tea material itself.",llm_extracted,
PMID_40456886_GLM1,PMID_40456886,false,false,true,unspecified tea,tea infusion,mixed polyphenols,,,flavonols; anthocyanins; flavan-3-ols; flavanones; flavones,,,tea; flavonoid-rich foods; flavonoid subclasses,"flavonoid-rich foods or beverages, such as tea, berries, apples, oranges or grapes",0.90,Tea mentioned as flavonoid-rich food source; flavonoid subclasses detailed but no tea-specific processing or extraction described,llm_extracted,
PMID_40456886_GLM3,PMID_40456886,false,false,true,unspecified tea,tea infusion,mixed polyphenols,,,flavonoids; flavonols; anthocyanins; flavan-3-ols; flavanones; flavones,,,tea; flavonoid-rich foods; flavonoid subclasses,"flavonoid-rich foods or beverages, such as tea, berries, apples, oranges or grapes",0.85,Tea mentioned as dietary flavonoid source; no processing/extraction methods reported for tea material; flavonoid subclasses listed as compounds.,llm_extracted,tea material form inferred from dietary context
PMID_40507186_GLM2,PMID_40507186,false,false,false,unspecified tea,unspecified material,,,,,,,"tea, coffee, and herbal infusions; patterns high in tea","patterns high in tea, coffee, and herbal infusions before pregnancy",0.90,"Dietary cohort study mentions tea only as a food group in FFQ; no tea processing, extraction, or component details reported.",llm_extracted,
PMID_40509019_GLM1,PMID_40509019,false,false,true,green tea,purified component,catechins,,,catechin; epicatechin; gallocatechin; epigallocatechin; catechin gallate; epicatechin gallate; gallocatechin gallate; epigallocatechin gallate,,,catechins; green tea,"catechins are naturally present in many fruits and plant-derived foods, especially in green tea",0.95,Text identifies catechins as major components of green tea and lists specific monomers but provides no processing or extraction details for the studied material.,llm_extracted,
PMID_40509019_GLM2,PMID_40509019,false,false,true,green tea,purified component,catechins,,,catechin; epicatechin; epicatechin gallate; epigallocatechin; epigallocatechin gallate; gallocatechin; gallocatechin gallate; catechin gallate,,,catechins; green tea; tea polyphenols,"catechins...especially in green tea; constitute approximately 30–42% of the dry weight of the tea plant; EC, EGC, ECG, and EGCG constitute the major catechin monomer species present in green tea",0.90,Text identifies catechins as major compounds in green tea and lists specific monomers but provides no processing or extraction details for the tea material itself.,llm_extracted,
PMID_40509019_GLM3,PMID_40509019,false,false,true,green tea,purified component,catechins,,,catechin; epicatechin; epigallocatechin; epigallocatechin gallate; epicatechin gallate; gallocatechin; catechin gallate; gallocatechin gallate,,,catechins; green tea,"catechins are naturally present in many fruits and plant-derived foods, especially in green tea; EC, EGC, ECG, and EGCG constitute the major catechin monomer species present in green tea",0.95,"Text explicitly identifies catechins as the component group, lists specific monomers, and references green tea as a primary source; no processing or extraction methods described.",llm_extracted,
PMID_40525136_GLM1,PMID_40525136,false,false,false,unspecified tea,tea infusion,,,,,,,tea consumption; cups of tea per day,the highest tea consumption was associated with lower risks of all-cause mortality; up to two cups of tea per day,0.90,"Meta-analysis of observational studies reports only consumption amounts (cups per day) without tea processing, extraction, or component details",llm_extracted,
PMID_40536509_GLM1,PMID_40536509,false,false,true,unspecified tea,tea infusion,caffeine,,,caffeine,,,"Frequency of consumption of coffee, tea; intakes of specific nutrients including caffeine; associated with reduced fibrosis progression","Frequency of consumption of coffee, tea... and intakes of specific nutrients including... caffeine... were associated with reduced fibrosis progression",0.90,Study reports tea consumption frequency via Food Frequency Questionnaire; no tea processing or extraction methods described; caffeine identified as protective nutrient component,llm_extracted,tea type unspecified; material form inferred from consumption context
PMID_40536553_GLM1,PMID_40536553,false,false,false,green tea,unspecified material,,,,,,,green tea; promoting hair growth; improving hair density,"Natural products such as rosemary, green tea... have shown promising efficacy in promoting hair growth",0.90,"Green tea is mentioned as a natural product in a systematic review but no specific processing, extraction, or component details are provided for the tea material itself.",llm_extracted,
PMID_40570454_GLM1,PMID_40570454,false,false,true,unspecified tea,purified component,mixed polyphenols,,,tea polyphenols; TPs,,,"Tea polyphenols (TPs), bioactive secondary metabolites from Camellia sinensis; graded TPs supplementation (0-500 mg/kg Food Weight); TP at levels of 0, 100, 200, 300, 400, and 500 mg/kg feed","Tea polyphenols (TPs), bioactive secondary metabolites from Camellia sinensis; The basal diet was supplemented with TP at levels of 0, 100, 200, 300, 400, and 500 mg/kg feed",0.95,Study uses tea polyphenols (TPs) as a purified supplement additive; no processing or extraction methods described for the tea material itself.,llm_extracted,tea source unspecified
PMID_40570454_GLM2,PMID_40570454,false,false,true,unspecified tea,purified component,mixed polyphenols,,,tea polyphenols,,,"Tea polyphenols (TPs), bioactive secondary metabolites from Camellia sinensis; graded TPs supplementation (0-500 mg/kg Food Weight)","Tea polyphenols (TPs), bioactive secondary metabolites from Camellia sinensis; The basal diet was supplemented with TP at levels of 0, 100, 200, 300, 400, and 500 mg/kg feed",0.95,"Abstract and methods identify tea polyphenols as the test material derived from Camellia sinensis, but no processing or extraction methods are described for the TP material.",llm_extracted,
PMID_40635852_GLM1,PMID_40635852,false,false,true,green tea,purified component,mixed polyphenols,,,epigallocatechin gallate,,,green tea polyphenols; epigallocatechin gallate,"Green tea polyphenols [27], particularly epigallocatechin gallate, exert anti-lipogenic effects",0.85,Abstract and methods_text identify green tea polyphenols and EGCG as bioactive compounds; no processing or extraction methods described.,llm_extracted,review article; compound form unspecified
PMID_40696344_GLM1,PMID_40696344,false,false,false,unspecified tea,tea infusion,,,,,,,tea; beverage consumption,"coffee, tea, and low-fat milk received positive scores",0.90,"Tea is mentioned only as a general beverage category in dietary recall; no processing, extraction, or specific components reported.",llm_extracted,
PMID_40696344_GLM2,PMID_40696344,false,false,false,unspecified tea,tea infusion,,,,,,,tea; healthy beverage pattern; mortality,"coffee, tea, and low-fat milk received positive scores; higher intakes of tea, coffee, and low-fat milk are associated with lower risks",0.95,"Epidemiological cohort study using dietary recall data; tea mentioned as general beverage category without processing, extraction, or component details.",llm_extracted,
PMID_40732933_GLM1,PMID_40732933,true,false,true,unspecified tea,tea leaf,mixed polyphenols,roasted; powdered,,"1-deoxynojirimycin; eugeniin; 1,2,3,6-tetra-O-galloyl-d-glucopyranose; trapain",,"Kanzaki City, Saga Prefecture",MW tea; mulberry leaf and water chestnut tea,"MW tea, was prepared from roasted and powdered mulberry leaves and water chestnut husk produced in Kanzaki City",0.95,"Methods explicitly describe the tea material as roasted and powdered leaves and husks, and quantify active ingredients DNJ and polyphenols.",llm_extracted,
PMID_40732933_GLM3,PMID_40732933,true,false,true,unspecified tea,tea leaf,mixed polyphenols,roasted; powdered,,"1-deoxynojirimycin; polyphenols; eugeniin; 1,2,3,6-tetra-O-galloyl-d-glucopyranose; trapain",,"Kanzaki City, Saga Prefecture",roasted and powdered mulberry leaves; rich in polyphenols and 1-deoxynojirimycin,prepared from roasted and powdered mulberry leaves and water chestnut husk; active ingredients included 5.10 mg DNJ and 87.3 mg polyphenols,0.95,Methods text explicitly describes tea material as roasted and powdered leaves; components DNJ and polyphenols quantified.,llm_extracted,blend contains non-tea ingredients
PMID_40755497_GLM1,PMID_40755497,false,false,true,green tea,purified component,catechins,,,epigallocatechin gallate; EGCG,,,EGCG; green tea; bioactive compound,"Epigallocatechin gallate (EGCG), a bioactive compound abundantly existing in green tea",0.95,Paper focuses on EGCG as purified component from green tea; no tea processing or extraction methods described,llm_extracted,
PMID_40791226_GLM1,PMID_40791226,false,false,false,unspecified tea,tea infusion,,,,,,,tea consumption; tea drinking,tea consumption and salt intake; tea drinking is often culturally paired,0.90,"Epidemiological study on tea consumption habits; no tea processing, extraction, or specific components reported in dietary survey",llm_extracted,
PMID_40817213_AUTO1,PMID_40817213,false,false,false,,,,,,,,,microalgal biorefineries; systematic review,This review critically examines the entire value chain of microalgal biorefineries,1.00,"Paper is about microalgal biorefineries, not tea; no tea material mentioned anywhere in title, abstract, or methods text",llm_extracted,
PMID_40823011_GLM1,PMID_40823011,false,false,false,unspecified tea,tea infusion,,,,,,,unsweetened tea;sugar-sweetened tea;artificially sweetened tea;tea consumption,"tea consumption by type (unsweetened, sugar-sweetened, artificially sweetened)",0.90,"Epidemiological cohort study on tea consumption patterns; no tea processing, extraction, or specific tea components reported",llm_extracted,
PMID_40830941_GLM1,PMID_40830941,false,false,true,unspecified tea,tea infusion,multiple component groups,,,flavonoids; thearubigins; caffeine,,,tea consumption; unsweetened tea; sugar-sweetened tea,"As an extract produced from the leaves of the plant Camellia sinensis, tea contains high concentrations of several beneficial compounds, such as flavonoids, thearubigins, caffeine, and other antioxidants",0.90,Components listed in introduction; no processing/extraction methods detailed for study tea material.,llm_extracted,
PMID_40830941_GLM3,PMID_40830941,false,false,true,unspecified tea,tea infusion,multiple component groups,,,flavonoids; thearubigins; caffeine; antioxidants,,,tea consumption; unsweetened tea; sugar-sweetened tea,"As an extract produced from the leaves of the plant Camellia sinensis, tea contains high concentrations of several beneficial compounds, such as flavonoids, thearubigins, caffeine, and other antioxidants",0.90,Methods text describes tea composition with named compounds but no specific processing or extraction methods for study materials; tea type and form inferred from beverage consumption context.,llm_extracted,
PMID_40867561_GLM1,PMID_40867561,false,false,true,green tea,purified component,mixed polyphenols,,,polyphenols,,,polyphenols;green tea;anti-aging agents;mitochondrial dysfunction,"polyphenols...found in coffee, green tea, wine, apples, citrus fruits, berries, turmeric, beans, etc.",0.85,Review article mentions green tea as dietary source of polyphenols; no specific tea processing or extraction methods described.,llm_extracted,review article;no specific tea material studied
PMID_40869245_GLM1,PMID_40869245,true,false,true,black tea,purified component,theaflavins,oxidation; polyphenol oxidase catalysis; peroxidase catalysis,,"theaflavin; theaflavin-3-gallate; theaflavin-3'-gallate; theaflavin-3,3'-gallate; thearubigins",,,theaflavins; thearubigins; black tea,Theaflavins are formed through a process catalysed by polyphenol oxidase (PPO) and peroxidase (POD)... TRs are formed during the PPO- and POD-catalysed oxidation of TFs and catechins,0.95,Methods text describes formation of theaflavins and thearubigins via enzymatic oxidation during black tea processing; no extraction method reported.,llm_extracted,
