record_id,paper_id,title,silver_tea_type,silver_component_group,silver_processing_step,silver_extraction_method,uncertainty_class,uncertainty_flags,abstract_available
PMID_41863981_GLM3,PMID_41863981,"Effects of tea polyphenols on intestinal barrier, antioxidant capacity, and cecal microbiota in lion-head geese.",unspecified tea,tea polysaccharides,,,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only,true
PMID_41863176_GLM1,PMID_41863176,Potential Role and Mechanisms of Epigallocatechin-3-Gallate in Colorectal Cancer.,green tea,catechins,,,moderate_uncertainty,missing_named_microbiota; missing_processing_or_extraction_context; review_summary_record; uncertain_effect_direction,true
PMID_41863176_GLM2,PMID_41863176,Potential Role and Mechanisms of Epigallocatechin-3-Gallate in Colorectal Cancer.,green tea,catechins,,,moderate_uncertainty,missing_processing_or_extraction_context; review_summary_record; taxonomy_expansion_needed,true
PMID_41859366_GLM1,PMID_41859366,Identification of a unique tea germplasm exhibiting hyperaccumulation of trans-catechins and its molecular regulatory mechanism.,unspecified tea,caffeine,,,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only; taxonomy_expansion_needed,true
PMID_41855828_GLM1,PMID_41855828,Comparison of volatile organic compounds and antioxidant activity in Dendrobii Officinalis Flos under different drying methods.,unspecified tea,multiple component groups,,,moderate_uncertainty,generic_mechanism; missing_processing_or_extraction_context; preclinical_only,true
PMID_41833670_GLM1,PMID_41833670,Postbiotic-assisted synthesis of cerium oxide nanocomposites functionalized with folic acid-chitosan and tea polyphenols for redox-regulated anticancer activity.,unspecified tea,mixed polyphenols,,,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only,true
PMID_41833670_GLM2,PMID_41833670,Postbiotic-assisted synthesis of cerium oxide nanocomposites functionalized with folic acid-chitosan and tea polyphenols for redox-regulated anticancer activity.,unspecified tea,mixed polyphenols,,,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only; taxonomy_expansion_needed,true
PMID_41830022_GLM1,PMID_41830022,Green Tea Catechin Plus Inulin Improves Insulin Resistance Without Reducing Visceral Fat and Shows Exploratory Gut Microbiota Signals in Adults with Visceral Obesity: A Double-Blind Randomized Controlled Trial.,green tea,catechins,,,moderate_uncertainty,generic_mechanism; missing_processing_or_extraction_context,true
PMID_41830022_GLM2,PMID_41830022,Green Tea Catechin Plus Inulin Improves Insulin Resistance Without Reducing Visceral Fat and Shows Exploratory Gut Microbiota Signals in Adults with Visceral Obesity: A Double-Blind Randomized Controlled Trial.,green tea,catechins,,,moderate_uncertainty,generic_mechanism; missing_processing_or_extraction_context; uncertain_effect_direction,true
PMID_41828808_GLM1,PMID_41828808,Galloylation-Driven Anchoring of the Asp325-Asp336 Ridge: The Molecular Logic Behind the Superior Kinetic Stabilization of HMPV Fusion Protein by Green Tea Dimeric Catechins.,green tea,catechins,,,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only; taxonomy_expansion_needed; uncertain_effect_direction,true
PMID_41828611_GLM1,PMID_41828611,Do Adjunctive Therapies with Natural Products Improve Periodontal Clinical Parameters After Non-Surgical Treatment? A Systematic Review and Meta-Analysis.,green tea,catechins,,,moderate_uncertainty,generic_mechanism; missing_processing_or_extraction_context,true
PMID_41804768_GLM1,PMID_41804768,Epigallocatechin-3-gallate ameliorates LPS-induced ARDS by modulating Akkermansia-associated SCFAs metabolism and inhibiting the JAK2/STAT3 candidate signaling pathway.,green tea,tea polysaccharides,,,low_uncertainty,missing_processing_or_extraction_context; preclinical_only,true
PMID_41804768_GLM2,PMID_41804768,Epigallocatechin-3-gallate ameliorates LPS-induced ARDS by modulating Akkermansia-associated SCFAs metabolism and inhibiting the JAK2/STAT3 candidate signaling pathway.,green tea,tea polysaccharides,,,low_uncertainty,missing_processing_or_extraction_context; preclinical_only,true
PMID_41804768_GLM3,PMID_41804768,Epigallocatechin-3-gallate ameliorates LPS-induced ARDS by modulating Akkermansia-associated SCFAs metabolism and inhibiting the JAK2/STAT3 candidate signaling pathway.,green tea,tea polysaccharides,,,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only; taxonomy_expansion_needed,true
PMID_41802656_GLM1,PMID_41802656,L-theanine as a sustainable feed additive: Evaluating impacts on animal health and production efficiency.,unspecified tea,theanine,,,moderate_uncertainty,missing_processing_or_extraction_context; review_summary_record,true
PMID_41802656_GLM2,PMID_41802656,L-theanine as a sustainable feed additive: Evaluating impacts on animal health and production efficiency.,unspecified tea,theanine,,,moderate_uncertainty,missing_processing_or_extraction_context; review_summary_record; taxonomy_expansion_needed,true
PMID_41800414_GLM1,PMID_41800414,Synergistic inhibition of Streptococcus mutans biofilms by fluoride and epigallocatechin gallate: insights from multi-omics analysis.,green tea,tea polysaccharides,,,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only; taxonomy_expansion_needed,true
PMID_41799109_GLM1,PMID_41799109,BBB Permeability and Cytotoxic Profiles of Tea Phytoconstituents via Nanoliposomes.,unspecified tea,theaflavins,,,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only,true
PMID_41797132_GLM1,PMID_41797132,"A chitosan-tea polyphenol composite hydrogel with integrated antibacterial, antioxidant and immunomodulatory functions for the tissue regeneration of MRSA-infected wounds.",unspecified tea,catechins,,,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only,true
PMID_41797132_GLM2,PMID_41797132,"A chitosan-tea polyphenol composite hydrogel with integrated antibacterial, antioxidant and immunomodulatory functions for the tissue regeneration of MRSA-infected wounds.",unspecified tea,catechins,,,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only; taxonomy_expansion_needed,true
PMID_41796839_GLM1,PMID_41796839,Pharmacological effects and molecular targets of L-theanine in cardiovascular diseases and comorbidities.,green tea,theanine,,,moderate_uncertainty,missing_processing_or_extraction_context; review_summary_record,true
PMID_41796839_GLM2,PMID_41796839,Pharmacological effects and molecular targets of L-theanine in cardiovascular diseases and comorbidities.,green tea,theanine,,,moderate_uncertainty,missing_processing_or_extraction_context; review_summary_record; uncertain_effect_direction,true
PMID_41788685_GLM1,PMID_41788685,Association of dietary flavonoid intake with incident atherosclerosis: cohort evidence in middle-aged and older adults.,unspecified tea,mixed polyphenols,,,moderate_uncertainty,generic_mechanism; missing_processing_or_extraction_context; uncertain_effect_direction,true
PMID_41788636_GLM1,PMID_41788636,Association Between Dietary Tea Consumption and Non-Alcoholic Fatty Liver Disease: A Systematic Review and Meta-Analysis.,unspecified tea,mixed polyphenols,,,moderate_uncertainty,generic_mechanism; missing_processing_or_extraction_context,true
PMID_41782071_GLM1,PMID_41782071,Caffeine as a cardiovascular protective agent: a comprehensive review of mechanisms and outcomes.,unspecified tea,caffeine,,,moderate_uncertainty,missing_processing_or_extraction_context; review_summary_record,true
PMID_41782071_GLM2,PMID_41782071,Caffeine as a cardiovascular protective agent: a comprehensive review of mechanisms and outcomes.,unspecified tea,caffeine,,,high_uncertainty,low_llm_confidence; missing_processing_or_extraction_context; review_summary_record; uncertain_effect_direction,true
PMID_41769650_GLM1,PMID_41769650,Untargeted metabolomics reveals enhanced antioxidant capacity and key bioactive components of Gougunao No. 2 black tea.,black tea,mixed polyphenols,,,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only,true
PMID_41769650_GLM3,PMID_41769650,Untargeted metabolomics reveals enhanced antioxidant capacity and key bioactive components of Gougunao No. 2 black tea.,black tea,mixed polyphenols,,,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only,true
PMID_41763794_GLM1,PMID_41763794,Amelioration of colitis by donor microbiota modulated with tea active ingredients: A fecal microbiota transplantation study.,unspecified tea,tea polysaccharides,,,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only,true
PMID_41762517_GLM1,PMID_41762517,Dual-functional tea polyphenol-serotonin nanoparticles for integrated inflammation suppression and mucosal repair in inflammatory bowel disease.,unspecified tea,catechins,,,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only,true
PMID_41762517_GLM2,PMID_41762517,Dual-functional tea polyphenol-serotonin nanoparticles for integrated inflammation suppression and mucosal repair in inflammatory bowel disease.,unspecified tea,catechins,,,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only; taxonomy_expansion_needed,true
PMID_41762517_GLM3,PMID_41762517,Dual-functional tea polyphenol-serotonin nanoparticles for integrated inflammation suppression and mucosal repair in inflammatory bowel disease.,unspecified tea,catechins,,,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only; uncertain_effect_direction,true
PMID_41754217_GLM1,PMID_41754217,Therapeutic Potential and Mechanistic Pathways of Plant-Based Supplements and Exercise Training in Blood Pressure Management: An Evidence-Based Review and Research Agenda.,green tea,caffeine,,,moderate_uncertainty,missing_processing_or_extraction_context; review_summary_record; uncertain_effect_direction,true
PMID_41747612_GLM1,PMID_41747612,Nepenthes bioinspired superhydrophilic nanofiber membrane with micro/nano structure via microfluidic electrospinning.,unspecified tea,mixed polyphenols,,,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only; taxonomy_expansion_needed,true
PMID_41738389_GLM1,PMID_41738389,"Theaflavins ameliorate obesity through enhanced antioxidant capacity, a suppressed hepatic BCAA degradation pathway, and gut microbiota modulation.",black tea,theaflavins,,,low_uncertainty,missing_processing_or_extraction_context; preclinical_only,true
PMID_41738389_GLM2,PMID_41738389,"Theaflavins ameliorate obesity through enhanced antioxidant capacity, a suppressed hepatic BCAA degradation pathway, and gut microbiota modulation.",black tea,theaflavins,,,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only,true
PMID_41738389_GLM3,PMID_41738389,"Theaflavins ameliorate obesity through enhanced antioxidant capacity, a suppressed hepatic BCAA degradation pathway, and gut microbiota modulation.",black tea,theaflavins,,,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only,true
PMID_41732513_GLM1,PMID_41732513,Effects of drying methods on the chemical composition and antioxidant activity of Metapanax delavayi by integrating UHPLC-Q-TOF-MS and GC-MS/MS based untargeted metabolomics.,unspecified tea,mixed polyphenols,,,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only,true
PMID_41716005_GLM1,PMID_41716005,The synergistic regulation of fat reduction mechanism by tea polyphenols through the gut-microbial-brain axis and gut-liver axis.,unspecified tea,mixed polyphenols,,,moderate_uncertainty,missing_named_microbiota; missing_processing_or_extraction_context; review_summary_record,true
PMID_41716005_GLM2,PMID_41716005,The synergistic regulation of fat reduction mechanism by tea polyphenols through the gut-microbial-brain axis and gut-liver axis.,unspecified tea,mixed polyphenols,,,moderate_uncertainty,missing_named_microbiota; missing_processing_or_extraction_context; review_summary_record,true
PMID_41716005_GLM3,PMID_41716005,The synergistic regulation of fat reduction mechanism by tea polyphenols through the gut-microbial-brain axis and gut-liver axis.,unspecified tea,mixed polyphenols,,,moderate_uncertainty,missing_named_microbiota; missing_processing_or_extraction_context; review_summary_record,true
PMID_41704297_GLM1,PMID_41704297,A dual-functional Janus nanofibrous membrane as an immunomodulatory barrier for periodontitis regeneration under diabetic conditions.,unspecified tea,mixed polyphenols,,,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only,true
PMID_41704297_GLM2,PMID_41704297,A dual-functional Janus nanofibrous membrane as an immunomodulatory barrier for periodontitis regeneration under diabetic conditions.,unspecified tea,mixed polyphenols,,,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only,true
PMID_41699676_GLM1,PMID_41699676,Caffeine intake and late dry age-related macular degeneration: tea's protective role-insights from NHANES and Mendelian randomization.,unspecified tea,caffeine,,,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only,true
PMID_41697452_GLM1,PMID_41697452,Integrative Oncology for Biochemical Recurrence of Epithelial Ovarian Cancer.,green tea,multiple component groups,,,moderate_uncertainty,missing_processing_or_extraction_context; review_summary_record; taxonomy_expansion_needed,true
PMID_41696766_GLM1,PMID_41696766,Mechanisms of green tea-induced attenuation of osteoporosis and skeletal muscle atrophy: current status and future study recommendations for clinical application.,green tea,catechins,,,moderate_uncertainty,missing_processing_or_extraction_context; review_summary_record,true
PMID_41695732_GLM1,PMID_41695732,Lipid metabolism disorders and osteoarthritis progression: Potential intervention with plant active ingredients.,green tea,mixed polyphenols,,,moderate_uncertainty,missing_processing_or_extraction_context; review_summary_record,true
PMID_41695108_GLM1,PMID_41695108,Bioactive Phenolic Compounds in Extra Virgin Olive Oil: Implications for Cardiovascular Health.,unspecified tea,mixed polyphenols,,,moderate_uncertainty,missing_named_microbiota; missing_processing_or_extraction_context; review_summary_record; uncertain_effect_direction,true
PMID_41695108_GLM2,PMID_41695108,Bioactive Phenolic Compounds in Extra Virgin Olive Oil: Implications for Cardiovascular Health.,unspecified tea,mixed polyphenols,,,moderate_uncertainty,missing_processing_or_extraction_context; review_summary_record,true
PMID_41684150_GLM1,PMID_41684150,"Amelioration of ammonia-induced oxidative stress, ferroptosis and intestinal damage in Pelteobagrus fulvidraco through dietary tea polyphenols.",unspecified tea,mixed polyphenols,,,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only,true
PMID_41684150_GLM2,PMID_41684150,"Amelioration of ammonia-induced oxidative stress, ferroptosis and intestinal damage in Pelteobagrus fulvidraco through dietary tea polyphenols.",unspecified tea,mixed polyphenols,,,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only,true
PMID_41684150_GLM3,PMID_41684150,"Amelioration of ammonia-induced oxidative stress, ferroptosis and intestinal damage in Pelteobagrus fulvidraco through dietary tea polyphenols.",unspecified tea,mixed polyphenols,,,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only; taxonomy_expansion_needed,true
PMID_41683202_GLM1,PMID_41683202,Effects of Epigallocatechin Gallate Against Lung Cancer: Mechanisms of Action and Therapeutic Potential.,green tea,catechins,,,moderate_uncertainty,missing_processing_or_extraction_context; review_summary_record; taxonomy_expansion_needed; uncertain_effect_direction,true
PMID_41679603_GLM1,PMID_41679603,Prebiotic augmented nanozyme-armored probiotics reprogramme the gut microenvironment for synchronous treatment of colitis and sepsis via antioxidant defense.,unspecified tea,tea polysaccharides,,,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only,true
PMID_41679603_GLM2,PMID_41679603,Prebiotic augmented nanozyme-armored probiotics reprogramme the gut microenvironment for synchronous treatment of colitis and sepsis via antioxidant defense.,unspecified tea,tea polysaccharides,,,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only,true
PMID_41679395_GLM1,PMID_41679395,Phytochemistry and pharmacology of Melaleuca alternifolia: Bridging aboriginal heritage with contemporary science.,unspecified tea,multiple component groups,,,moderate_uncertainty,missing_processing_or_extraction_context; review_summary_record,true
PMID_41679395_GLM2,PMID_41679395,Phytochemistry and pharmacology of Melaleuca alternifolia: Bridging aboriginal heritage with contemporary science.,unspecified tea,multiple component groups,,,moderate_uncertainty,missing_processing_or_extraction_context; review_summary_record; taxonomy_expansion_needed,true
PMID_41674684_GLM2,PMID_41674684,Metabolome technology reveals the material basis for the formation of characteristic flavors in four types of purple teas.,green tea,volatile compounds; mixed polyphenols,,,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only; taxonomy_expansion_needed,true
PMID_41645939_GLM1,PMID_41645939,From coffee to matcha: decoding the multidimensional competence of matcha as a sustainable and health-promoting coffee substitute.,green tea,theanine,,,moderate_uncertainty,missing_processing_or_extraction_context; review_summary_record,true
PMID_41645939_GLM2,PMID_41645939,From coffee to matcha: decoding the multidimensional competence of matcha as a sustainable and health-promoting coffee substitute.,green tea,theanine,,,moderate_uncertainty,generic_mechanism; missing_processing_or_extraction_context; review_summary_record; taxonomy_expansion_needed,true
PMID_41632991_GLM3,PMID_41632991,"Supramolecularly co-assembled composite bone cement prepared from tea polyphenol-modified tricalcium phosphate/tricalcium silicate with osteogenic, antibacterial, and immunomodulatory effects.",unspecified tea,mixed polyphenols,,,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only; taxonomy_expansion_needed,true
PMID_41632991_GLM2,PMID_41632991,"Supramolecularly co-assembled composite bone cement prepared from tea polyphenol-modified tricalcium phosphate/tricalcium silicate with osteogenic, antibacterial, and immunomodulatory effects.",unspecified tea,mixed polyphenols,,,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only,true
PMID_41622927_GLM1,PMID_41622927,"Polyphenols, epigenetics, and methionine metabolism: unlocking therapeutic potential.",unspecified tea,mixed polyphenols,,,moderate_uncertainty,missing_named_microbiota; missing_processing_or_extraction_context; review_summary_record; uncertain_effect_direction,true
PMID_41622927_GLM2,PMID_41622927,"Polyphenols, epigenetics, and methionine metabolism: unlocking therapeutic potential.",unspecified tea,mixed polyphenols,,,moderate_uncertainty,missing_processing_or_extraction_context; review_summary_record; taxonomy_expansion_needed,true
PMID_41622499_GLM1,PMID_41622499,Synergistic Effects of Polyphenols and Gut Microbiota-Derived Metabolites on Inflammation and Metabolic Syndrome: A Review.,unspecified tea,mixed polyphenols,,,moderate_uncertainty,missing_processing_or_extraction_context; review_summary_record,true
PMID_41622499_GLM2,PMID_41622499,Synergistic Effects of Polyphenols and Gut Microbiota-Derived Metabolites on Inflammation and Metabolic Syndrome: A Review.,unspecified tea,mixed polyphenols,,,moderate_uncertainty,missing_processing_or_extraction_context; review_summary_record,true
PMID_41622499_GLM3,PMID_41622499,Synergistic Effects of Polyphenols and Gut Microbiota-Derived Metabolites on Inflammation and Metabolic Syndrome: A Review.,unspecified tea,mixed polyphenols,,,moderate_uncertainty,missing_processing_or_extraction_context; review_summary_record,true
PMID_41622288_GLM1,PMID_41622288,"Unraveling the complexities of caffeine: metabolism, genetics, evolution, and health.",unspecified tea,caffeine,,,moderate_uncertainty,missing_processing_or_extraction_context; review_summary_record; uncertain_effect_direction,true
PMID_41622288_GLM2,PMID_41622288,"Unraveling the complexities of caffeine: metabolism, genetics, evolution, and health.",unspecified tea,caffeine,,,moderate_uncertainty,missing_processing_or_extraction_context; review_summary_record; taxonomy_expansion_needed; uncertain_effect_direction,true
PMID_41617902_GLM1,PMID_41617902,Chemometric and metabolomic profiles of global tea brands sold in Saudi Arabia.,unspecified tea,caffeine,,,moderate_uncertainty,generic_mechanism; missing_processing_or_extraction_context; preclinical_only,true
PMID_41617902_GLM2,PMID_41617902,Chemometric and metabolomic profiles of global tea brands sold in Saudi Arabia.,unspecified tea,caffeine,,,moderate_uncertainty,generic_mechanism; missing_processing_or_extraction_context; preclinical_only; taxonomy_expansion_needed; uncertain_effect_direction,true
PMID_41599929_GLM1,PMID_41599929,"Dietary (-)-Epigallocatechin Gallate (EGCG): State-of-the-Art Advances in Bioactivities, Bioavailability Enhancement Strategies, and Applications in Nutrition and Health.",unspecified tea,catechins,,,moderate_uncertainty,generic_mechanism; missing_named_microbiota; missing_processing_or_extraction_context; review_summary_record; uncertain_effect_direction,true
PMID_41599929_GLM2,PMID_41599929,"Dietary (-)-Epigallocatechin Gallate (EGCG): State-of-the-Art Advances in Bioactivities, Bioavailability Enhancement Strategies, and Applications in Nutrition and Health.",unspecified tea,catechins,,,moderate_uncertainty,generic_mechanism; missing_processing_or_extraction_context; review_summary_record; taxonomy_expansion_needed,true
PMID_41587797_GLM1,PMID_41587797,"Dietary Antioxidants, Polyphenols, and Vascular Health: Insights From Ultrasound Measurement of Carotid Intima-Media Thickness and Their Association With Cognitive Function in Aging and Neurodegenerative Diseases.",unspecified tea,catechins,,,moderate_uncertainty,generic_mechanism; missing_processing_or_extraction_context; review_summary_record,true
PMID_41587797_GLM2,PMID_41587797,"Dietary Antioxidants, Polyphenols, and Vascular Health: Insights From Ultrasound Measurement of Carotid Intima-Media Thickness and Their Association With Cognitive Function in Aging and Neurodegenerative Diseases.",unspecified tea,catechins,,,moderate_uncertainty,missing_processing_or_extraction_context; review_summary_record,true
PMID_41577286_GLM1,PMID_41577286,Study of polyphenol-pea protein isolate nanofiber interactions: Conformational changes and emulsification stability mechanisms.,unspecified tea,mixed polyphenols,,,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only,true
PMID_41572086_GLM1,PMID_41572086,"An integrated in-vitro, transcriptomic, and in-silico approach to understand the molecular mechanism of quorum-sensing inhibition by Epigallocatechin-3-gallate (EGCG) in Chromobacterium violaceum.",green tea,tea polysaccharides,,,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only; taxonomy_expansion_needed,true
PMID_41564650_GLM1,PMID_41564650,Biomimetic pore-throat engineered ultrahigh molecular weight polyethylene with sustained tea polyphenol release for infection-resistant joint implant material.,unspecified tea,catechins,,,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only,true
PMID_41564650_GLM2,PMID_41564650,Biomimetic pore-throat engineered ultrahigh molecular weight polyethylene with sustained tea polyphenol release for infection-resistant joint implant material.,unspecified tea,catechins,,,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only; taxonomy_expansion_needed,true
PMID_41560832_GLM1,PMID_41560832,Treating acute respiratory distress syndrome with a multifaceted nanomedicine: Inhibition of PANoptosis and enhancement of lung barrier integrity.,unspecified tea,mixed polyphenols,,,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only; taxonomy_expansion_needed,true
PMID_41559215_GLM1,PMID_41559215,In vitro release kinetics and in vivo plasma exposure of green tea polyphenols and caffeine from iron oxide chitosan nanoparticles.,green tea,theaflavins,,,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only,true
PMID_41548613_GLM1,PMID_41548613,Mechanism of tea polyphenols improving sleep by regulating neurotransmitters through the gut microbiota-brain axis.,unspecified tea,mixed polyphenols,,,moderate_uncertainty,missing_processing_or_extraction_context; review_summary_record,true
PMID_41548613_GLM2,PMID_41548613,Mechanism of tea polyphenols improving sleep by regulating neurotransmitters through the gut microbiota-brain axis.,unspecified tea,mixed polyphenols,,,moderate_uncertainty,missing_processing_or_extraction_context; review_summary_record; taxonomy_expansion_needed,true
PMID_41544875_GLM1,PMID_41544875,Differential toll-like receptor 2 activation by Akkermansia muciniphila and Bacteroides thetaiotaomicron mediates the beneficial effects of Fu brick tea polysaccharide against colitis.,unspecified tea,tea polysaccharides,,,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only,true
PMID_41544875_GLM2,PMID_41544875,Differential toll-like receptor 2 activation by Akkermansia muciniphila and Bacteroides thetaiotaomicron mediates the beneficial effects of Fu brick tea polysaccharide against colitis.,unspecified tea,tea polysaccharides,,,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only; uncertain_effect_direction,true
PMID_41519326_GLM1,PMID_41519326,Multifunctional hydrogel based on oxidized sodium alginate and carboxymethyl chitosan delivers minoxidil loaded liposomes for the treatment of androgenetic alopecia.,unspecified tea,mixed polyphenols,,,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only,true
PMID_41519326_GLM2,PMID_41519326,Multifunctional hydrogel based on oxidized sodium alginate and carboxymethyl chitosan delivers minoxidil loaded liposomes for the treatment of androgenetic alopecia.,unspecified tea,mixed polyphenols,,,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only,true
PMID_41515258_GLM1,PMID_41515258,The Role of Lifestyle and Diet in the Treatment of Endometriosis: A Review.,green tea,mixed polyphenols,,,moderate_uncertainty,generic_mechanism; missing_processing_or_extraction_context; review_summary_record,true
PMID_41490780_GLM1,PMID_41490780,A Real-Life Digital Intervention for Personalized Nutrition in Adults With Overweight or Obesity: Remote Randomized Controlled Trial.,unspecified tea,multiple component groups,,,high_uncertainty,generic_mechanism; low_llm_confidence; missing_processing_or_extraction_context,true
PMID_41483799_GLM1,PMID_41483799,Oral environment targeting sutures for refractory oral wound.,unspecified tea,mixed polyphenols,,,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only,true
PMID_41483799_GLM2,PMID_41483799,Oral environment targeting sutures for refractory oral wound.,unspecified tea,mixed polyphenols,,,moderate_uncertainty,generic_mechanism; missing_processing_or_extraction_context; preclinical_only; taxonomy_expansion_needed; uncertain_effect_direction,true
PMID_41483799_GLM3,PMID_41483799,Oral environment targeting sutures for refractory oral wound.,unspecified tea,mixed polyphenols,,,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only,true
PMID_41474664_GLM1,PMID_41474664,Phytochemicals as Emerging Antiproliferative Agents in Head and Neck Cancer: Molecular Mechanisms and Therapeutic Strategies.,unspecified tea,mixed polyphenols,,,moderate_uncertainty,missing_processing_or_extraction_context; review_summary_record; taxonomy_expansion_needed,true
PMID_41431168_GLM1,PMID_41431168,"Unravelling the Mechanisms of Tea Against NAFLD: An Integration of Bibliometrics, Network Pharmacology, and the Gut-Liver Axis.",yellow tea,theanine,,,moderate_uncertainty,missing_named_microbiota; missing_processing_or_extraction_context; review_summary_record,true
