pmid,query_ids,title,abstract,authors,journal,year,pubdate,doi,publication_types,mesh_terms,keywords
41762570,Q4,"Brewing conditions alter the multidimensional quality of dandelion flower tea: sensory properties, bioactive composition, and antioxidant efficacy.","Dandelion (Taraxacum mongolicum Hand.-Mazz.) flower tea is valued for its flavor and health potential, whilst brewing methods critically influence its quality. This study investigated the impact of brewing methods on the sensory traits and chemical composition of dandelion flowers. Although sensory evaluation revealed no significant preference, the hot and cold brewing methods yielded distinct chemical profiles. Cold brewing increased levels of sugar, amino acids, alkaloids, and featured aroma compounds such as dihydroactinidiolide and isovaleraldehyde. In contrast, hot brewing promoted polyphenol extraction (caftaric acid) and higher antioxidant activity. Key aroma markers, notably (Z)-2-heptenal with its green and fatty notes, were exclusive to hot brew. Moreover, mineral-rich tap water reduced chicoric acid extraction. Optimal hot brewing conditions were determined as a 1:50 tea-to-water ratio, using purified water at 100 °C for 5 min in a thermos. These findings provide practical guidance for optimizing flavor and health benefits in dandelion flower tea preparation.",Chen J; Zhu Y; Chen K; Li H; Wang M; Zhou Q,Food chemistry,2026,2026 Feb 24,10.1016/j.foodchem.2026.148639,Journal Article,,
41762517,Q2;Q3,Dual-functional tea polyphenol-serotonin nanoparticles for integrated inflammation suppression and mucosal repair in inflammatory bowel disease.,"Inflammatory bowel disease (IBD) is a chronic and relapsing gastrointestinal disorder marked by persistent inflammation and disruption of the intestinal barrier. Current treatments often focus solely on inflammation control and lack effective mucosal repair capabilities, leading to suboptimal outcomes and adverse effects. To address this, we developed tea polyphenol and serotonin nanoparticles (TPSNs) through oxidative copolymerization of epigallocatechin gallate (EGCG) and serotonin (5-HT), combining the anti-inflammatory, antioxidant, and mucosal repair functions of both components. The therapeutic efficacy was systematically evaluated in dextran sulfate sodium (DSS)-induced acute colitis models in both zebrafish and mice, as well as in IL-10 knockout mice models of chronic colitis. Mechanistic studies revealed that TPSNs effectively scavenged reactive oxygen and nitrogen species (RONS), promoted M1-to-M2 macrophage repolarization, inhibited pyroptosis and NF-κB signaling, and activated MAPK and PI3K-AKT pathways to enhance epithelial cell proliferation and migration. TPSNs were further incorporated into a thermosensitive in situ forming gel for rectal delivery to enhance localized and sustained drug release. In vivo administration demonstrated significant amelioration of disease symptoms and histopathological features, while biosafety assessments confirmed no considerable toxicity to major organs or disruption of liver and kidney function. These findings highlight TPSNs as a safe and effective nanotherapeutic candidate for integrated IBD treatment by addressing inflammatory and mucosal repair pathways.",Tian L; Huang J; Xu Y; Zhao P; Li Y; Wei X; Li M; Jiang S; Huang Q; Xu Y; Lu C; Ding J; Zhou W; Gao X,Biomaterials,2026,2026 Feb 12,10.1016/j.biomaterials.2026.124076,Journal Article,,
41755526,Q4,Quality Differentiation and Mechanistic Insights Into Green Tea Processed by Different Fixation Methods.,"This research conducts a systematic exploration of the impacts of three fixation methods-50-type electric heating tube roller fixation (CQ), mixed fixation (HC), and steam fixation (ZQ)-on the quality formation of green tea. By means of quantitative analysis of aroma components, catechins, free amino acids, and alkaloids, in combination with electronic tongue taste fingerprint and untargeted metabolomics analysis, it is discovered that distinct fixation methods exert significant influences on the volatile and non-volatile metabolite profiles of green tea. CQ notably elevated the content of total polyphenols and gallic acid to 3.57 mg/g, intensifying its bitter and astringent taste profile. In contrast, ZQ produced the brightest green infusion and yielded the highest electronic tongue response value for sweetness. HC achieved a superior balance, retaining the highest levels of key aroma compounds like linalool (1.42 mg/kg) and D-limonene, while also preserving the highest total free amino acid content (13,983.2 µg/g). Metabolomics analysis further disclosed that fixation methods affect metabolite composition by regulating pathways such as phenylpropanoid biosynthesis and caffeine metabolism. Molecular docking experiments verify that the disparity in binding affinity between key differential metabolites (e.g., Chrysophanol 8-(6-galloylglucoside)) and taste receptors (TRPM5, TAS2R14, T1R1/T1R3) serves as the material foundation for taste differentiation. This study provides a theoretical basis for the development of precision processing technologies and quality control of green tea. PRACTICAL APPLICATIONS: This study provides a decision-making framework for green tea producers to select fixation techniques based on desired sensory profiles. To enhance floral and citrus notes, mixed fixation (HC) is recommended. Steam fixation (ZQ) is ideal for preserving a bright green color and sweeter taste, suitable for premium-grade teas. Roller fixation (CQ) can be applied where a stronger, more astringent profile is targeted. These insights enable the precision manufacturing of green teas with customized flavor characteristics.",Xiong L; Zhou Y; Peng R; Xiao Y; Huang Y; Gao H,Journal of food science,2026,2026 Mar,10.1111/1750-3841.70951,Journal Article,,
41754218,Q1;Q2,Consumer Perceptions Influence Supplement Choice: A Narrative Review of Clinically Studied Weight-Management Supplements in Obesity.,"Obesity is a major public health problem with a continuously increasing global prevalence and is associated with various chronic diseases and substantial social and economic burdens. As dietary modification and physical activity alone often have limited effectiveness in achieving sustained weight loss, dietary supplements intended for weight reduction are widely used. However, evidence on the efficacy and safety of these supplements is inconsistent, and consumer use intentions tend to be driven by subjective beliefs and insurance-like perceptions. Accordingly, this study reviewed recent evidence on L-carnitine, green tea extract, glucomannan, and Garcinia cambogia, supplements for which weight loss effects have been proposed, to assess their efficacy and safety and to highlight the importance of supplement selection aligned with consumer use contexts. PubMed, MEDLINE, and Google Scholar databases were searched for studies published between 1 January 2020 and 10 October 2025. Although some studies have reported improvements in weight and metabolic indicators, consistent scientific evidence has not yet been established. This review emphasized the need for purpose-driven supplement selection that integrates efficacy, safety, usage context, and evidence level, and the importance of consumers' critical information appraisal capacity, supported by structured information provision and education.",Lee H; Kwak JH,Nutrients,2026,2026 Feb 22,10.3390/nu18040702,Journal Article; Review,,
41754217,Q1;Q2,Therapeutic Potential and Mechanistic Pathways of Plant-Based Supplements and Exercise Training in Blood Pressure Management: An Evidence-Based Review and Research Agenda.,"Hypertension (HTN) remains a leading modifiable risk factor for cardiovascular disease, and non-pharmacological strategies combining exercise training with plant-derived bioactive supplementation are increasingly recognized as promising adjuncts for blood pressure (BP) management. This evidence-based review synthesizes findings from 31 clinical studies investigating selected plant-based supplements with the strongest available clinical evidence, namely beetroot juice (BRJ), green tea (GT), curcumin (CN), resveratrol (RSV), and garlic, administered alone or in combination with different exercise modalities across acute, short-term, and long-term interventions. Collectively, the evidence indicates that BRJ exerts the most consistent BP-lowering effects, particularly during aerobic training performed at ~50% heart rate reserve (HRR), or ~60% peak oxygen consumption (VO2peak) in individuals with early-stage vascular dysfunction. CN and garlic also enhance exercise-induced BP reductions, especially in older or metabolically compromised populations. GT shows variable outcomes depending on caffeine content, exercise modality, and participant health status, while RSV provides modest vascular support, often contingent on concurrent training. Mechanistically, these botanicals and exercise converge on key vascular-regulatory pathways, including enhanced nitric oxide (NO) bioavailability, reduced oxidative stress and inflammation, attenuated renin-angiotensin-aldosterone system (RAAS) and sympathetic activity, and improved mitochondrial function through Sirtuin 1 (SIRT1)/AMP-activated protein kinase (AMPK) signaling. Together, these integrated mechanisms improve endothelial function, lower vascular resistance, and ultimately reduce BP. From a translational standpoint, combining exercise with targeted plant-based supplementation offers a safe, accessible, and physiologically synergistic strategy for BP control in clinical populations. Future research should define optimal dosing, timing relative to exercise, and population-specific efficacy to inform precision-based, integrative interventions for HTN management.",Taati B; Badicu G; Vveinhardt J,Nutrients,2026,2026 Feb 22,10.3390/nu18040700,Journal Article; Review,,
41750939,Q4,Red Yeast Rice-Driven Kombucha Fermentation: A Novel Strategy for Developing Functional Beverages with Enhanced Hypoglycemic and Hypolipidemic Properties.,"To address the limited functional diversity of traditional kombucha, this study utilized red yeast rice (RYR) as an alternative substrate and prepared three samples: black tea kombucha (KBT), black tea-red yeast rice mixed kombucha (KBL, at a 1:1 ratio), and red yeast rice kombucha (KRY). After 9 days of fermentation, KRY exhibited the lowest pH, the highest total acidity, and notable sugar metabolic activity. It exhibited in vitro inhibition rates of 82.8%, 78.2%, 70.3%, and 76.9% against cholesterol esterase, pancreatic lipase, α-glucosidase, and α-amylase, respectively, indicating potential hypoglycemic and hypolipidemic activities. In contrast, KBT maintained the strongest antioxidant capacity, with scavenging rates exceeding 90% against both 2,2-diphenyl-1-picrylhydrazyl (DPPH) and 2,2'-Azinobis-(3-ethylbenzthiazoline-6-sulphonate) (ABTS). A total of 72 volatile flavor compounds (VFCs) were identified, with 7 key compounds enriched in KRY, which enhanced its sensory acceptance and received the highest scores in color, clarity, and aroma. Microbial community analysis revealed the post-fermentation dominance of Komagataeibacter, Acetobacter, and Saccharomyces, which correlated positively with key VFCs. These findings indicate that RYR as a substrate enhances functional microbial growth, sugar metabolism, organic acid production, flavor enrichment, and in vitro inhibitory activity of enzymes associated with hypoglycemic and hypolipidemic effects.",Tong K; Liao Y; Tang Y; Luo Y; Liu X; Yu D; Zhou J; Hou C; Li Z,"Foods (Basel, Switzerland)",2026,2026 Feb 18,10.3390/foods15040747,Journal Article,,
41750927,Q4,"Spreading Degree Modulates Floral Aroma Development in Green Tea: Integrated GC-E-Nose, Metabolomics, and Molecular Docking Reveals Key Odorants and Olfactory Receptor Interactions.","The spreading process constitutes a pivotal stage in green tea manufacturing. This study integrated GC-E-Nose with targeted metabolomics to comprehensively elucidate the dynamic changes in sensory characteristics and aroma substances of green tea across varying spreading degrees. Our findings demonstrated that spreading degree significantly modulated green tea's aroma profile, with lighter degree particularly promoting the development of desirable floral aroma. GC-MS/MS quantification identified 70 volatile compounds, among which 38 exhibited spreading-dependent differential accumulation (VIP > 1.0, p < 0.05). Five key odorants, including indole, β-ionone, nerolidol, cis-jasmone, and β-damascenone, were highlighted as essential contributors to the floral aroma. Molecular docking simulations indicated stronger binding affinities between these five odorants and the olfactory receptor OR1D2 (<-6 kcal/mol), primarily via hydrogen bonding and hydrophobic interactions. These findings indicate that modulating the spreading degree is an effective processing strategy to enhance the development of floral aroma in green tea, offering valuable insights for precision-driven optimization of tea processing protocols.",Hu J; Zhou X; Hou G; Tang J; Jiang Y; Yuan H; Shi D; Yang Y,"Foods (Basel, Switzerland)",2026,2026 Feb 16,10.3390/foods15040735,Journal Article,,
41750899,Q4,Oak (Quercus petraea) Leaf-Based Kombucha: A Sustainable Approach to Fermented Beverages.,"Kombucha is traditionally produced by fermenting black tea (Camellia sinensis), but exploring alternative plant materials could enhance sustainability and resource diversity. The study evaluated the potential of oak (Quercus petraea) leaves as a substrate for kombucha fermentation. Fresh and processed oak leaves were used to prepare kombucha infusions fermented for different time periods and compared with black tea kombucha, as well as unfermented infusions. Fermentation increased total phenolic content and antioxidant capacity in the dried and crushed leaf treatments, while lowering pH, which confirms effective acidification. Overall, beverages produced from dried and crushed oak leaves exhibited phenolic and antioxidant characteristics comparable to those of black tea kombucha. These findings suggest that Q. petraea leaves may represent a sustainable (due to the vast amount of raw material), same as not traditional alternative for kombucha production, contributing to the diversification of fermentation substrates in functional beverage development.",Pencak T; Dordevic D; Kotianova D; Abdullah FAA; Zamaratskaia G,"Foods (Basel, Switzerland)",2026,2026 Feb 14,10.3390/foods15040707,Journal Article,,
41750848,Q4,Enhancing the Nutritional and Sensory Quality of Tartary Buckwheat Cookies Through Solid-State Fermentation with Eurotium cristatum and Baking.,"Tartary buckwheat (Fagopyrum tataricum), a medicinal and edible crop, is valued for its richness in flavonoids and polyphenols, which confer antioxidant and hypoglycemic activities. Eurotium cristatum, a dominant fungus crucial for the quality of Fuzhuan tea, produces unique aromas and metabolites.This study developed cookies by replacing 20% of low-gluten flour with Tartary buckwheat flour that had undergone solid-state fermentation with E. cristatum followed by baking. Compared to cookies containing non-inoculated buckwheat flour, the fermented cookies contained significantly higher levels of total flavonoids (4.97 mg/g) and polyphenols (2.31 mg/g), and exhibited markedly enhanced antioxidant activity, as evidenced by a 16.4% higher ABTS radical scavenging rate and a 42.5% greater ferric reducing power. The fermented cookies also exhibited improved textural and sensory properties, a unique aroma profile characterized by pleasant floral notes, and a more homogeneous microstructure. HS-SPME-GC-MS analysis indicated that the optimized flavor resulted from the upregulation of key pleasant aroma compounds (e.g., (E)-2-nonenal, anethole) and the suppression of specific off-odor compounds (e.g., 2-ethyl-3,5-dimethylpyrazine, p-cresol). In conclusion, solid-state fermentation with E. cristatum followed by baking, effectively improves both the nutritional and sensory characteristics of Tartary buckwheat cookies, providing a viable strategy for developing novel, health-promoting bakery products with an appealing compelling flavor profile.",Wan L; Liu S; Wang X; Lv Z; Zhao J; Zheng X; Liu C; Sun W; Xiang D; Zou L; Jiang L,"Foods (Basel, Switzerland)",2026,2026 Feb 11,10.3390/foods15040653,Journal Article,,
41747975,Q2;Q3,Kenaf cellulose nanofiber-stabilized water-in-water Pickering emulsions enabling bio-based active packaging films: A case of banana and mango preservation.,"Conventional water-in-oil (W/O) and oil-in-water (O/W) Pickering emulsions (PEs) have been used to prepare active packaging materials. However, the oil phase in PEs can easily affect food quality. Water-in-water PEs (WWPEs) have excellent biocompatibility and embedding effects on water-soluble bioactive ingredients with great application prospects in food preservation. In this study, we fabricated tea polyphenols (TPs)-loaded composite films by incorporating kenaf cellulose nanofiber (CNF)-stabilized WWPEs into sodium alginate (SA)-based film-forming matrices. These composite films exhibited good mechanical properties, thermal stability, gas-barrier properties, and antioxidant properties. A film (C20P10) prepared from 10 w/v% WWPEs and 20 v/v% CNF exerted an excellent freshness preservation effect on bananas and mangoes, and their shelf lives had been prolonged by 8 days. Thus, these WWPEs-based active packaging films have considerable application potential in fruit preservation.",Zhang J; Hu Y; Cai C; Tan Z,International journal of biological macromolecules,2026,2026 Mar,10.1016/j.ijbiomac.2026.151102,Journal Article,,
41747612,Q3,Nepenthes bioinspired superhydrophilic nanofiber membrane with micro/nano structure via microfluidic electrospinning.,"Surface hydrophilization is an effective antifouling strategy for membranes. However, it still faces foulants adhering and migrating, leading to irreversible performance decline. Here, inspired by the micro/nano-textured protrusions of the Nepenthes peristome, we proposed a synergistically antifouling strategy combining a stable hydration layer with a physical barrier. Hydrophilic SiO2 nanoparticles and tea polyphenol (TP) were incorporated via microfluidic electrospinning to construct a superhydrophilic nanofiber membrane. The introduced SiO2 constructed micro/nano- rough structures as a physical barrier while a stable hydration layer of TP was formed. Molecular dynamics simulations confirmed the robust interfacial binding through a dense hydrogen-bond network. The modified membrane displayed the great permeance of 25,462 L·m-2·h-1·bar-1 with 99.9 % oil rejection for separating soybean oil-in-water emulsion and the flux recovery ratio was 95.06 % after 300 min. This work provided a general design principle for antifouling interfaces with potential applications in environmental, energy, and biomedical.",Shao C; Zhang X; Wang C; Wu Y; Zhang Q; Tong Y; Ju X; Li W,Water research,2026,2026 May 15,10.1016/j.watres.2026.125611,Journal Article,,
41747591,Q4,Rosa chinensis cv. 'JinBian' flowers alleviates brain damage and cognitive deficit by inhibiting ferroptosis via the Keap1/Nrf2/GPX4 pathway and regulating gut microbiota.,"BACKGROUND: The flowers of Rosa chinensis cv. 'JinBian' (RCF) has been utilized as a herbal tea for millennia to prevent aging-related diseases. RCF is enriched in flavonoids and exhibits significant antioxidant effects for anti-aging potential. However, the specific bioactive compounds and their underlying anti-aging mechanisms remain unclear. PURPOSE: This study aimed to investigate the bioactive ingredients and neuroprotective mechanisms of RCF extracts. METHODS: The study obtained dichloromethane (RD), ethyl acetate (RE), n-butanol (RB), and residual water (RW) fractions from RCF after liquid-liquid extraction. It investigated their neuroprotective effect in in vitro and in vivo experiments. UHPLC-ESI-HRMS/MS analysis was used to identify phytochemicals in RE. In vitro assays included measuring phenolic and flavonoid contents, ABTS⁺ and DPPH+ scavenging capacities, and effects on H₂O₂-induced SHSY-5Y cells. In vivo, D-galactose-induced mice were used and assessed through the Morris water maze test and the crucifixion anxiety test. Molecular pathways and gut microbiota were analyzed. RESULTS: Among the fractions, RE had the highest phenolic and flavonoid contents, the strongest ABTS⁺ and DPPH+ scavenging capacities, and significantly inhibited ROS accumulation by increasing the antioxidant ability (GSH, CAT, SOD) in H₂O₂-induced SHSY-5Y cells. UHPLC-ESI-HRMS/MS analysis identified 28 phytochemicals in RE, primarily gallic acid derivatives and flavonoid derivatives. In D-galactose-induced mice, RE alleviated memory impairment and anxiety-like behavior. RE ameliorated brain damage by activating the Keap1/Nrf2-regulated antioxidant pathway (increasing T-AOC, GSH, GPX4, NQO1, SOD1, HO-1), suppressing ferroptosis, inhibiting acetylcholinesterase activity, attenuating GSK-3β/Tau/Bcl-2 axis-regulated apoptosis, and modulating AMPK-regulated autophagy. Additionally, RE improved gut microbiota diversity, particularly increasing beneficial bacteria such as Lactobacillus and Bifidobacterium. CONCLUSIONS: Therefore, RE could alleviate the cognitive deficit associated with age-related neurodegenerative diseases by targeting ferroptosis-related oxidative stress, apoptosis, and autophagy, as well as modulating the gut microbiota.",Zhen L; Peng J; Cui H; Tao J; Liu Y; Cao J; El-Seedi HR; Cheng G; Wang Z,Phytomedicine : international journal of phytotherapy and phytopharmacology,2026,2026 Apr,10.1016/j.phymed.2026.157942,Journal Article,,
41745743,Q4,Development and Validation of an LC-MS/MS Method for the Determination of Alternaria Mycotoxins in Hepatic Tissue.,"The presence of Alternaria mycotoxins in hepatic tissue of both human and animal origin remains unexplored. This work describes the development of an analytical method based on salt-assisted liquid-liquid extraction (SALLE) and ultrahigh-performance liquid chromatography coupled to quadrupole time of flight mass spectrometry (UHPLC-QTOF-MS) for the determination of six main Alternaria mycotoxins and related metabolites. Sample treatment was fully optimized, including sample mass, extraction solvent, and volume and sodium chloride mass. The method was validated, achieving calibration curve R2 values above 0.99 and limits of detection between 0.01 and 1.46 µg kg-1. Moreover, satisfactory trueness (apparent recoveries between 84% to 111%) and precision (RSD values below 10%) were achieved, complying with EU requirements. Matrix effects in terms of signal suppression/enhancement varied between 53% for TeA and 78% for AME. Applied to real liver samples (20 human and 20 animal), alternariol monomethyl ether (AME) was found in pig liver, while alternariol (AOH) and tentoxin (TEN) were found in human forensic liver tissues. No other Alternaria mycotoxin metabolites were detected. This methodology is the first validated approach for determining Alternaria mycotoxins in liver tissue.",García-Nicolás M; Navarro-Botia A; Arroyo-Manzanares N; Viñas P,Toxins,2026,2026 Feb 2,10.3390/toxins18020077,Journal Article,,
41738389,Q2;Q3,"Theaflavins ameliorate obesity through enhanced antioxidant capacity, a suppressed hepatic BCAA degradation pathway, and gut microbiota modulation.","Obesity and its associated metabolic disorders pose a major global health challenge. Theaflavins (TFs), bioactive polyphenols derived from black tea, have demonstrated potential in alleviating metabolic diseases. This study aimed to investigate the ameliorative effects and underlying mechanisms of TFs on high-fat diet (HFD)-induced obesity from the perspectives of oxidative stress, the branched-chain amino acid (BCAA) degradation pathway, and the gut microbiota. In vitro, TFs exhibited potent free-radical scavenging capacity. In vivo, TFs dose-dependently attenuated HFD-induced weight gain, dyslipidemia and glucose intolerance. Concurrently, TF administration alleviated hepatic steatosis and ultrastructural damage and improved liver function. Importantly, TFs suppressed hepatic oxidative stress and downregulated the HFD-induced overexpression of the valine, leucine, and isoleucine degradation pathway at both mRNA and protein levels (HADH, HMGCL, ACSF3, ACADS, ALDH3A2, and ACAA2). Furthermore, gut microbiota analysis revealed that TFs improved HFD-induced gut dysbiosis, characterized by the enrichment of butyrate-producing genera (e.g., Akkermansia and Gastranaerophilales_norank) and a reduction in the relative abundance of harmful taxa (e.g., Enterococcus and Streptococcus). Correlation analysis integrated these findings, revealing significant associations between the TF-induced microbial shifts, the ameliorated metabolic phenotypes, and the suppressed hepatic BCAA catabolism. Our study demonstrated that the alleviation of obesity by TFs was associated with multifaceted improvements, including enhanced antioxidant capacity, amelioration of dysregulated hepatic BCAA catabolism, and modulation of gut microbial homeostasis, highlighting their potential as a dietary intervention for metabolic diseases.",Pan R; Wu P; Zhang Y; Shi X; Zhang Y; Gu D; Zhao J,Food & function,2026,2026 Mar 9,10.1039/d5fo04941e,Journal Article,,
41732513,Q4,Effects of drying methods on the chemical composition and antioxidant activity of Metapanax delavayi by integrating UHPLC-Q-TOF-MS and GC-MS/MS based untargeted metabolomics.,"Metapanax delavayi is widely consumed as a vegetable and herbal tea in western China; however, the impact of postharvest drying on its chemical composition and bioactivity remains insufficiently characterized. In this study, the effects of three drying methods-shade drying (SD), hot-air drying (HAD), and vacuum freeze-drying (VFD)-on the metabolite profile and antioxidant activity of M. delavayi were systematically investigated using UHPLC-Q-TOF-MS and GC-MS/MS-based untargeted metabolomics, combined with multivariate statistical analysis and KEGG pathway enrichment. A total of 742 non-volatile and 87 volatile differential metabolites were detected across the drying treatments, indicating pronounced processing-induced metabolic alterations. KEGG enrichment analysis revealed that the differential metabolites were mainly associated with flavonoid biosynthesis, amino acid metabolism, galactose metabolism, and glycolysis/gluconeogenesis. Antioxidant assays (DPPH, ABTS, hydroxyl radical scavenging activity, and FRAP) demonstrated significant differences among drying methods, with VFD-treated samples generally exhibiting higher antioxidant capacity. Correlation analysis suggested that phenolic and flavonoid metabolites were major contributors to antioxidant activity. Overall, compared with SD and HAD, VFD showed a greater capacity to preserve phytochemical composition and antioxidant potential. These findings provide a scientific basis for optimizing drying strategies and improving the quality of M. delavayi-derived products.",Chen S; Liu D; Zhang P; Zhu P; Tan W; Liu L,Food chemistry: X,2026,2026 Feb,10.1016/j.fochx.2026.103664,Journal Article,,
41730253,Q2,Insight into the oxidation mechanism of low-salt Sichuan-style sausages treated with inclusion complexes of tea-polyphenol/β-cyclodextrin/NaCl and electron beam irradiation using machine learning algorithms.,"Low-salt sausages are gaining popularity due to health risks from high salt intake. In this study, the effects of electron beam irradiation (EBI) at various doses (0, 3, 6 kGy) combined with inclusion complexes (ICs) of tea-polyphenol/β-cyclodextrin/NaCl on the quality of low-salt Sichuan-style sausages during ambient storage (25 °C) were investigated. Additionally, machine learning algorithms were employed, and the accuracy and R2 of both SVM and Extra Tree models exceeded 99.9%, highlighting the key oxidation biomarkers to establish the oxidation mechanism. ICs demonstrated enhanced antioxidant properties that effectively suppressed excessive oxidation in sausages accelerated by 3 kGy EBI, thereby reducing the oxidative products contributing off flavors while preserving desirable flavor compounds derived from spices, pepper oil and microbial metabolism. These findings offer novel insights into utilizing ICs and 3 kGy EBI for preserving low-salt Sichuan-style sausages while providing valuable information regarding potential volatile biomarker for detecting sausage oxidation levels.",Liu Y; Du J; Ran W; Huang L; Yu W; Guo H; Xiao Y; Wu Y; Zhong K; Huang Y; Gao H,Food chemistry,2026,2026 Apr 15,10.1016/j.foodchem.2026.148494,Journal Article; Evaluation Study,,
41717371,Q4,Optimization of processing parameters of emerald tea and analysis of the formation mechanism of sweet and astringent balance characteristics.,"To address the low utilization and economic value of summer-autumn tea, the processing optimization and flavor formation of Emerald tea using sensory evaluation, E-senses, and metabolomics. Optimized parameters included withering (6-8 h, 73-74% moisture), fixation (250-310 °C, 2-4 min), rolling (33-35 rpm, 10-15 min), and drying (80 → 60 °C). This process elevated theanine content, reduced polyphenols, and enhanced the sensory quality of summer-autumn tea to match that of spring tea. Furthermore, the results showed that targeted sugar accumulation and selective degradation of polyphenols govern the sweetness-astringency balance. Ten key flavor compounds were identified, among which soluble sugars contributed significantly to sweetness (Pearson correlation coefficient > 0.85), while flavonoid glycosylation enhanced astringency (such as Eriodictyol (0.6416 mg/g), Chlorogenic acid (14.4636 mg/g), Rutin (159.8994 mg/g)). Emerald tea higher sweetness than traditional green and black tea, confirming rolling as the dominant factor. The present study established a multi-platform data association analysis framework for flavor-targeted improvement of Emerald tea.",Zhang R; Tao N; Chen H; Jiang K; Shi G; Zhang X; Zhang S; Liu X; Li Y; HuTang; Yao X; Lu L,Food chemistry: X,2026,2026 Feb,10.1016/j.fochx.2026.103597,Journal Article,,
41717022,Q5,Do different lipid emulsions affect brain development? A single-center retrospective analysis.,"BACKGROUND: Preterm birth is a critical period for brain development, as extrauterine factors can impair growth and myelination, thereby increasing the risk of neurodevelopmental impairment. Adequate nutrition and rapid weight gain are associated with better cognitive outcomes, and the choice of lipid emulsion during parenteral nutrition may influence these results. SMOFlipid®, enriched with omega-3 long-chain polyunsaturated fatty acids, could reduce inflammation and oxidative stress, potentially lowering bronchopulmonary dysplasia (BPD) risk. This study compared brain maturation at term-equivalent age (TEA) using MRI and neurodevelopment at 2 years in infants receiving either SMOFlipid® or Intralipid®. METHODS: In this single-center retrospective observational cohort study, we included all very low birth weight (VLBW) infants admitted to the NICU of our institution between 2017 and 2021. Infants who underwent brain MRI at term-equivalent age and completed neurodevelopmental assessment at 2 years were included, and those with severe brain lesions were excluded. Patients were categorized into two groups based on the lipid emulsion administered during parenteral nutrition. The primary outcome was neurodevelopment at 24 months of corrected age (CA). The secondary outcome was brain maturation assessed by the total maturation score (TMS) on magnetic resonance imaging (MRI). RESULTS: A total of 121 VLBW infants were included and categorized into two cohorts based on the lipid formulation administered: multi-component lipid emulsion (MLE) in 62 and soybean lipid emulsion (SLE) in 49 infants. TMS showed non-statistically significant differences among infants treated with SLE compared with those treated with MLE, as well as in neurodevelopmental outcomes assessed using Griffith's scales. CONCLUSION: Despite integrating brain imaging and clinical follow-up data, this study could not determine the optimal lipid emulsion for preterm infants.",Caruggi S; Calandrino A; Corradi B; Battaglini M; Massirio P; Vinci F; Mongelli F; Pepe A; Parodi A; Malova M; Zoia A; Severino M; Resaz M; Rossi A; Ramenghi LA,Frontiers in nutrition,2026,2026,10.3389/fnut.2026.1723062,Journal Article,,
41716005,Q1;Q2;Q3,The synergistic regulation of fat reduction mechanism by tea polyphenols through the gut-microbial-brain axis and gut-liver axis.,"The occurrence and development of obesity are closely related to intestinal dysbiosis, metabolic disorders, and neuroendocrine signals. Tea polyphenols can be the key to synergistically regulating energy balance by reshaping the gut microbiota. This review innovatively proposes and systematically demonstrates that tea polyphenols mediate the cross-dialogue and synergy between the gut-brain axis and the gut-liver axis by modulating gut microbiota metabolites (such as short-chain fatty acids and secondary bile acids), thereby constructing a multi-dimensional interaction fat reduction network. It focuses on the synergistic mechanism of such metabolites that can inhibit central appetite (""throttling"") while activating liver AMPK and other pathways to promote fatty acid oxidation (""open source""), revealing the deep principle of multi-target and systematic action of tea polyphenols, and providing a new theoretical basis and practical path for precision nutrition intervention based on the ""gut-brain-liver"" integration axis.",Zheng J; Gong X; Chen Y; Chen Y; Zhang X; Qin W,International journal of food sciences and nutrition,2026,2026 Feb 19,10.1080/09637486.2026.2632894,Journal Article; Review,,
41709514,Q2,In vitro effects of green tea (Camellia sinensis) aqueous extract on sperm quality: Mitigating oxidative stress and sperm DNA fragmentation in freeze-dried human spermatozoa.,"OBJECTIVE: Freeze-drying is a promising method for the long-term preservation of sperm; however, it often leads to increased oxidative stress. Green tea (Camellia sinensis [L.] Kuntze) contains polyphenols known for their antioxidant properties. This study aimed to evaluate the in vitro effects of green tea aqueous extract (GTE) on oxidative stress markers and sperm DNA fragmentation (SDF) in freeze-dried human sperm. METHODS: Ten normal semen samples were collected from men aged 20 to 45 years and divided into three groups: conventionally cryopreserved (A), freeze-dried (B), and freeze-dried with pre-incubation in GTE (C). In group C, samples were incubated with 1 mL of GTE at a concentration of 40 μg/mL for 30 minutes prior to freeze-drying. Oxidative stress markers and SDF were assessed 1 month post-preservation, following thawing in group A and rehydration in groups B and C. RESULTS: Freeze-drying resulted in less DNA damage to sperm compared to cryopreservation (p=0.005). Relative to cryopreservation, incubation with GTE significantly reduced intracellular reactive oxygen species levels (p<0.0001), DNA fragmentation index (p=0.005), and malondialdehyde concentration (p<0.0001) while increasing the percentage of sperm with high mitochondrial membrane potential (p<0.0001) and glutathione concentration (p<0.0001). CONCLUSION: Treating normal human sperm with GTE before freeze-drying significantly reduces markers of oxidative stress and promotes indicators of sperm health compared to conventional cryopreservation. These findings suggest that natural antioxidants like GTE may offer a promising therapeutic approach to preserving male fertility with regard to oxidative stress and improving the effectiveness of freeze-drying as an alternative to cryopreservation.",Joulaeerad N; Hajimehdipoor H; Heidari MH; Kazemi M; Nazarian H; Mofarahe ZS; Gachkar L; Novin MG,Clinical and experimental reproductive medicine,2026,2026 Feb 19,10.5653/cerm.2025.08018,Journal Article,,
