record_id,paper_id,title,silver_tea_type,silver_component_group,silver_processing_step,silver_extraction_method,uncertainty_class,uncertainty_flags,abstract_available
PMID_41830022_GLM1,PMID_41830022,Green Tea Catechin Plus Inulin Improves Insulin Resistance Without Reducing Visceral Fat and Shows Exploratory Gut Microbiota Signals in Adults with Visceral Obesity: A Double-Blind Randomized Controlled Trial.,green tea,catechins,,,moderate_uncertainty,generic_mechanism; missing_processing_or_extraction_context,true
PMID_41830022_GLM2,PMID_41830022,Green Tea Catechin Plus Inulin Improves Insulin Resistance Without Reducing Visceral Fat and Shows Exploratory Gut Microbiota Signals in Adults with Visceral Obesity: A Double-Blind Randomized Controlled Trial.,green tea,catechins,,,moderate_uncertainty,generic_mechanism; missing_processing_or_extraction_context; uncertain_effect_direction,true
PMID_41828808_GLM1,PMID_41828808,Galloylation-Driven Anchoring of the Asp325-Asp336 Ridge: The Molecular Logic Behind the Superior Kinetic Stabilization of HMPV Fusion Protein by Green Tea Dimeric Catechins.,green tea,catechins,,,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only; taxonomy_expansion_needed; uncertain_effect_direction,true
PMID_41828611_GLM1,PMID_41828611,Do Adjunctive Therapies with Natural Products Improve Periodontal Clinical Parameters After Non-Surgical Treatment? A Systematic Review and Meta-Analysis.,green tea,catechins,,,moderate_uncertainty,generic_mechanism; missing_processing_or_extraction_context,true
PMID_41800414_GLM1,PMID_41800414,Synergistic inhibition of Streptococcus mutans biofilms by fluoride and epigallocatechin gallate: insights from multi-omics analysis.,green tea,catechins,,,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only; taxonomy_expansion_needed,true
PMID_41799109_GLM1,PMID_41799109,BBB Permeability and Cytotoxic Profiles of Tea Phytoconstituents via Nanoliposomes.,unspecified tea,multiple component groups,,,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only,true
PMID_41788685_GLM1,PMID_41788685,Association of dietary flavonoid intake with incident atherosclerosis: cohort evidence in middle-aged and older adults.,unspecified tea,mixed polyphenols,,,moderate_uncertainty,generic_mechanism; missing_processing_or_extraction_context; uncertain_effect_direction,true
PMID_41788636_GLM1,PMID_41788636,Association Between Dietary Tea Consumption and Non-Alcoholic Fatty Liver Disease: A Systematic Review and Meta-Analysis.,unspecified tea,mixed polyphenols,,,moderate_uncertainty,generic_mechanism; missing_processing_or_extraction_context,true
PMID_41754217_GLM1,PMID_41754217,Therapeutic Potential and Mechanistic Pathways of Plant-Based Supplements and Exercise Training in Blood Pressure Management: An Evidence-Based Review and Research Agenda.,green tea,caffeine,,,moderate_uncertainty,missing_processing_or_extraction_context; review_summary_record; uncertain_effect_direction,true
PMID_41704297_GLM1,PMID_41704297,A dual-functional Janus nanofibrous membrane as an immunomodulatory barrier for periodontitis regeneration under diabetic conditions.,unspecified tea,mixed polyphenols,,,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only,true
PMID_41704297_GLM2,PMID_41704297,A dual-functional Janus nanofibrous membrane as an immunomodulatory barrier for periodontitis regeneration under diabetic conditions.,unspecified tea,mixed polyphenols,,,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only,true
PMID_41699676_GLM1,PMID_41699676,Caffeine intake and late dry age-related macular degeneration: tea's protective role-insights from NHANES and Mendelian randomization.,unspecified tea,caffeine,,,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only,true
PMID_41697452_GLM1,PMID_41697452,Integrative Oncology for Biochemical Recurrence of Epithelial Ovarian Cancer.,green tea,multiple component groups,,,moderate_uncertainty,missing_processing_or_extraction_context; review_summary_record; taxonomy_expansion_needed,true
PMID_41695732_GLM1,PMID_41695732,Lipid metabolism disorders and osteoarthritis progression: Potential intervention with plant active ingredients.,green tea,mixed polyphenols,,,moderate_uncertainty,missing_processing_or_extraction_context; review_summary_record,true
PMID_41695108_GLM1,PMID_41695108,Bioactive Phenolic Compounds in Extra Virgin Olive Oil: Implications for Cardiovascular Health.,unspecified tea,mixed polyphenols,,,moderate_uncertainty,missing_named_microbiota; missing_processing_or_extraction_context; review_summary_record; uncertain_effect_direction,true
PMID_41695108_GLM2,PMID_41695108,Bioactive Phenolic Compounds in Extra Virgin Olive Oil: Implications for Cardiovascular Health.,unspecified tea,mixed polyphenols,,,moderate_uncertainty,missing_processing_or_extraction_context; review_summary_record,true
PMID_41683202_GLM1,PMID_41683202,Effects of Epigallocatechin Gallate Against Lung Cancer: Mechanisms of Action and Therapeutic Potential.,green tea,catechins,,,moderate_uncertainty,missing_processing_or_extraction_context; review_summary_record; taxonomy_expansion_needed; uncertain_effect_direction,true
PMID_41622288_GLM1,PMID_41622288,"Unraveling the complexities of caffeine: metabolism, genetics, evolution, and health.",unspecified tea,caffeine,,,moderate_uncertainty,missing_processing_or_extraction_context; review_summary_record; uncertain_effect_direction,true
PMID_41622288_GLM2,PMID_41622288,"Unraveling the complexities of caffeine: metabolism, genetics, evolution, and health.",unspecified tea,caffeine,,,moderate_uncertainty,missing_processing_or_extraction_context; review_summary_record; taxonomy_expansion_needed; uncertain_effect_direction,true
PMID_41617902_GLM1,PMID_41617902,Chemometric and metabolomic profiles of global tea brands sold in Saudi Arabia.,unspecified tea,caffeine,,,moderate_uncertainty,generic_mechanism; missing_processing_or_extraction_context; preclinical_only,true
PMID_41617902_GLM2,PMID_41617902,Chemometric and metabolomic profiles of global tea brands sold in Saudi Arabia.,unspecified tea,caffeine,,,moderate_uncertainty,generic_mechanism; missing_processing_or_extraction_context; preclinical_only; taxonomy_expansion_needed; uncertain_effect_direction,true
PMID_41599929_GLM1,PMID_41599929,"Dietary (-)-Epigallocatechin Gallate (EGCG): State-of-the-Art Advances in Bioactivities, Bioavailability Enhancement Strategies, and Applications in Nutrition and Health.",unspecified tea,catechins,,,moderate_uncertainty,generic_mechanism; missing_named_microbiota; missing_processing_or_extraction_context; review_summary_record; uncertain_effect_direction,true
PMID_41599929_GLM2,PMID_41599929,"Dietary (-)-Epigallocatechin Gallate (EGCG): State-of-the-Art Advances in Bioactivities, Bioavailability Enhancement Strategies, and Applications in Nutrition and Health.",unspecified tea,catechins,,,moderate_uncertainty,generic_mechanism; missing_processing_or_extraction_context; review_summary_record; taxonomy_expansion_needed,true
PMID_41560832_GLM1,PMID_41560832,Treating acute respiratory distress syndrome with a multifaceted nanomedicine: Inhibition of PANoptosis and enhancement of lung barrier integrity.,unspecified tea,mixed polyphenols,,,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only; taxonomy_expansion_needed,true
PMID_41559215_GLM1,PMID_41559215,In vitro release kinetics and in vivo plasma exposure of green tea polyphenols and caffeine from iron oxide chitosan nanoparticles.,green tea,multiple component groups,,,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only,true
PMID_41515258_GLM1,PMID_41515258,The Role of Lifestyle and Diet in the Treatment of Endometriosis: A Review.,green tea,mixed polyphenols,,,moderate_uncertainty,generic_mechanism; missing_processing_or_extraction_context; review_summary_record,true
PMID_41490780_GLM1,PMID_41490780,A Real-Life Digital Intervention for Personalized Nutrition in Adults With Overweight or Obesity: Remote Randomized Controlled Trial.,unspecified tea,multiple component groups,,,high_uncertainty,generic_mechanism; low_llm_confidence; missing_processing_or_extraction_context,true
PMID_41474664_GLM1,PMID_41474664,Phytochemicals as Emerging Antiproliferative Agents in Head and Neck Cancer: Molecular Mechanisms and Therapeutic Strategies.,unspecified tea,mixed polyphenols,,,moderate_uncertainty,missing_processing_or_extraction_context; review_summary_record; taxonomy_expansion_needed,true
PMID_41314057_GLM2,PMID_41314057,Associations of Individual Beverage Types and Substitution with Dementia Risk: A UK Biobank Cohort Study.,unspecified tea,multiple component groups,,,moderate_uncertainty,missing_processing_or_extraction_context,true
PMID_41608512_GLM1,PMID_41608512,"Therapeutic potential of epigallocatechin gallate in gynecologic cancer, endometriosis, polycystic ovary syndrome: a mechanistic and translational perspective.",unspecified tea,catechins,,,moderate_uncertainty,missing_processing_or_extraction_context; review_summary_record,true
PMID_41608512_GLM2,PMID_41608512,"Therapeutic potential of epigallocatechin gallate in gynecologic cancer, endometriosis, polycystic ovary syndrome: a mechanistic and translational perspective.",unspecified tea,catechins,,,moderate_uncertainty,missing_processing_or_extraction_context; review_summary_record; taxonomy_expansion_needed; uncertain_effect_direction,true
PMID_41608512_GLM3,PMID_41608512,"Therapeutic potential of epigallocatechin gallate in gynecologic cancer, endometriosis, polycystic ovary syndrome: a mechanistic and translational perspective.",unspecified tea,catechins,,,moderate_uncertainty,generic_mechanism; missing_processing_or_extraction_context; review_summary_record,true
PMID_41596095_GLM1,PMID_41596095,High-Altitude Hypoxia Injury: Systemic Mechanisms and Intervention Strategies on Immune and Inflammatory Responses.,unspecified tea,mixed polyphenols,,,high_uncertainty,low_llm_confidence; missing_processing_or_extraction_context; review_summary_record,true
PMID_41594549_GLM1,PMID_41594549,Advances in Bioactive Compounds from Plants and Their Applications in Alzheimer's Disease.,green tea,catechins,,,moderate_uncertainty,missing_named_microbiota; missing_processing_or_extraction_context; review_summary_record; uncertain_effect_direction,true
PMID_41594549_GLM2,PMID_41594549,Advances in Bioactive Compounds from Plants and Their Applications in Alzheimer's Disease.,green tea,catechins,,,moderate_uncertainty,missing_processing_or_extraction_context; review_summary_record,true
PMID_41470906_GLM1,PMID_41470906,Pioneering Insights into the Complexities of Salt-Sensitive Hypertension: Central Nervous System Mechanisms and Dietary Bioactive Compound Interventions.,unspecified tea,multiple component groups,,,moderate_uncertainty,missing_processing_or_extraction_context; review_summary_record; uncertain_effect_direction,true
PMID_41462286_GLM1,PMID_41462286,Modification role of tea in the association of dietary meat intake and obesity risk.,unspecified tea,multiple component groups,,,moderate_uncertainty,missing_processing_or_extraction_context; uncertain_effect_direction,true
PMID_41425625_GLM1,PMID_41425625,Plant food-derived antioxidant nutrients in neuroprotection against chemotherapy-induced neurotoxicity: from molecular mechanisms to clinical applications.,green tea,catechins,,,moderate_uncertainty,missing_processing_or_extraction_context; review_summary_record,true
PMID_41409372_GLM1,PMID_41409372,Exploring the Impact of Foods and Dietary Patterns on Melanoma Risk.,unspecified tea,multiple component groups,,,moderate_uncertainty,generic_mechanism; missing_processing_or_extraction_context; review_summary_record; uncertain_effect_direction,true
PMID_41373951_GLM1,PMID_41373951,Longitudinal Association of Coffee and Tea Consumption with Bone Mineral Density in Older Women: A 10-Year Repeated-Measures Analysis in the Study of Osteoporotic Fractures.,unspecified tea,multiple component groups,,,moderate_uncertainty,generic_mechanism; missing_processing_or_extraction_context,true
PMID_41362433_GLM1,PMID_41362433,"Antimicrobial and Anti-Infective Potential of Herbal Creams in Dermatology: Efficacy, Safety, and Challenges in Skin Infection Management.",unspecified tea,multiple component groups,,,high_uncertainty,generic_mechanism; missing_processing_or_extraction_context; review_summary_record; uncertain_effect_direction,true
PMID_41362433_GLM2,PMID_41362433,"Antimicrobial and Anti-Infective Potential of Herbal Creams in Dermatology: Efficacy, Safety, and Challenges in Skin Infection Management.",unspecified tea,multiple component groups,,,high_uncertainty,generic_mechanism; missing_processing_or_extraction_context; review_summary_record; taxonomy_expansion_needed; uncertain_effect_direction,true
PMID_41356832_GLM1,PMID_41356832,MiRNA-3Age: a microRNA-based biological age model and its modulation by lifestyle and nutrition.,green tea,multiple component groups,,,moderate_uncertainty,missing_processing_or_extraction_context; taxonomy_expansion_needed,true
PMID_41316291_GLM1,PMID_41316291,From molecular mechanisms to translational applications: a parallel assessment of green and black tea modulation of oxidative stress.,green tea,mixed polyphenols,,,moderate_uncertainty,missing_processing_or_extraction_context; review_summary_record,true
PMID_41316291_GLM3,PMID_41316291,From molecular mechanisms to translational applications: a parallel assessment of green and black tea modulation of oxidative stress.,green tea,mixed polyphenols,,,moderate_uncertainty,missing_processing_or_extraction_context; review_summary_record,true
PMID_41303363_GLM1,PMID_41303363,Medicinal Plants for a Healthy Gut Microbiome: Scientific Insights into Modern Herbal Applications.,green tea,multiple component groups,,,moderate_uncertainty,missing_named_microbiota; missing_processing_or_extraction_context; review_summary_record; uncertain_effect_direction,true
PMID_41300675_GLM1,PMID_41300675,Phytotherapy in Pediatric Dentistry: A Narrative Review of Clinical Applications and Evidence.,green tea,multiple component groups,,,moderate_uncertainty,generic_mechanism; missing_processing_or_extraction_context; review_summary_record; uncertain_effect_direction,true
PMID_41300675_GLM2,PMID_41300675,Phytotherapy in Pediatric Dentistry: A Narrative Review of Clinical Applications and Evidence.,green tea,multiple component groups,,,moderate_uncertainty,generic_mechanism; missing_processing_or_extraction_context; review_summary_record; taxonomy_expansion_needed; uncertain_effect_direction,true
PMID_41296402_GLM1,PMID_41296402,Regulatory Effects of Coffee/Chlorogenic Acid and Tea/Epigallocatechin-3-O-Gallate on microRNA in Association with Their Anticancer Activity.,green tea,catechins,,,moderate_uncertainty,missing_processing_or_extraction_context; review_summary_record; taxonomy_expansion_needed,true
PMID_41282206_GLM1,PMID_41282206,How Tea Consumption Interacts with Genetics to Affect Cardiovascular Biomarkers in Older Adults? Findings from the CLHLS.,unspecified tea,multiple component groups,,,moderate_uncertainty,missing_processing_or_extraction_context; uncertain_effect_direction,true
PMID_41282206_GLM2,PMID_41282206,How Tea Consumption Interacts with Genetics to Affect Cardiovascular Biomarkers in Older Adults? Findings from the CLHLS.,unspecified tea,multiple component groups,,,moderate_uncertainty,missing_processing_or_extraction_context; uncertain_effect_direction,true
PMID_41269420_GLM1,PMID_41269420,Therapeutic potential of green tea's epigallocatechin-3-gallate in oral cancer: a comprehensive systematic review of cellular and molecular pathways.,green tea,catechins,,,moderate_uncertainty,missing_processing_or_extraction_context; review_summary_record; taxonomy_expansion_needed,true
PMID_41255516_GLM2,PMID_41255516,Epigallocatechin Gallate Attenuates CaOx Crystal-Induced Renal Tubular Injury to Inhibit CaOx Nephrolithiasis via GRP94/PI3K/AKT Signaling.,unspecified tea,catechins,,,moderate_uncertainty,missing_processing_or_extraction_context; taxonomy_expansion_needed; uncertain_effect_direction,true
PMID_41244722_GLM1,PMID_41244722,Tea-derived catalysts: a sustainable approach to organic transformations.,unspecified tea,mixed polyphenols,,,moderate_uncertainty,missing_processing_or_extraction_context; review_summary_record; taxonomy_expansion_needed,true
PMID_41235304_GLM1,PMID_41235304,Efficacy of dietary supplements as an adjunctive therapy for polycystic ovary syndrome: an umbrella meta-analysis.,green tea,catechins,,,moderate_uncertainty,generic_mechanism; missing_named_microbiota; missing_processing_or_extraction_context,true
PMID_41226835_GLM1,PMID_41226835,Epigallocatechin Gallate as a Molecular Therapeutic in Heart Failure and Cardio-Oncology: Mechanistic Pathways and Translational Perspectives.,green tea,catechins,,,moderate_uncertainty,missing_processing_or_extraction_context; review_summary_record; taxonomy_expansion_needed,true
PMID_41184896_GLM1,PMID_41184896,Higher Life's Essential 8 score is associated with lower risk of kidney stones in Chinese adults: a cross-sectional study.,unspecified tea,multiple component groups,,,high_uncertainty,generic_mechanism; missing_processing_or_extraction_context; taxonomy_expansion_needed,true
PMID_41157739_GLM1,PMID_41157739,A Review and Survey of Local Eastern Kentucky Medicinal Plants and Their Pharmacological Benefits.,unspecified tea,multiple component groups,,,high_uncertainty,generic_mechanism; missing_processing_or_extraction_context; review_summary_record,true
PMID_41157739_GLM2,PMID_41157739,A Review and Survey of Local Eastern Kentucky Medicinal Plants and Their Pharmacological Benefits.,unspecified tea,multiple component groups,,,high_uncertainty,generic_mechanism; missing_processing_or_extraction_context; review_summary_record; taxonomy_expansion_needed,true
PMID_41151447_GLM1,PMID_41151447,Targeted ileal microbiome modulation by in ovo seaweed polyphenols (Fucus spiralis) as an alternative to in-feed antibiotics in broiler chickens.,green tea,mixed polyphenols,,,moderate_uncertainty,generic_mechanism; missing_processing_or_extraction_context; preclinical_only; uncertain_effect_direction,true
PMID_41149402_GLM1,PMID_41149402,Single-Step Engineered Gelatin-Based Hydrogel for Integrated Prevention of Postoperative Adhesion and Promotion of Wound Healing.,unspecified tea,mixed polyphenols,,,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only,true
PMID_41149402_GLM2,PMID_41149402,Single-Step Engineered Gelatin-Based Hydrogel for Integrated Prevention of Postoperative Adhesion and Promotion of Wound Healing.,unspecified tea,mixed polyphenols,,,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only,true
PMID_41149402_GLM3,PMID_41149402,Single-Step Engineered Gelatin-Based Hydrogel for Integrated Prevention of Postoperative Adhesion and Promotion of Wound Healing.,unspecified tea,mixed polyphenols,,,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only; taxonomy_expansion_needed,true
PMID_41142253_GLM1,PMID_41142253,Research on the mechanisms of plant bioactive metabolites in anti-skin aging and future development prospects.,unspecified tea,multiple component groups,,,high_uncertainty,low_llm_confidence; missing_processing_or_extraction_context; review_summary_record; uncertain_effect_direction,true
PMID_41019326_GLM1,PMID_41019326,Metabolic regulation of obesity by naturally occurring compounds: mechanisms and therapeutic potential.,green tea,catechins,,,moderate_uncertainty,missing_processing_or_extraction_context; review_summary_record,true
PMID_41019326_GLM2,PMID_41019326,Metabolic regulation of obesity by naturally occurring compounds: mechanisms and therapeutic potential.,green tea,catechins,,,moderate_uncertainty,missing_named_microbiota; missing_processing_or_extraction_context; review_summary_record; uncertain_effect_direction,true
PMID_40944258_GLM1,PMID_40944258,Alcohol and Tea Consumption in Relation to Liver Cancer Risk by Diabetes Status: A Prospective Cohort Study of 0.5 Million Chinese Adults.,green tea,multiple component groups,,,moderate_uncertainty,generic_mechanism; missing_processing_or_extraction_context; taxonomy_expansion_needed,true
PMID_40932098_GLM1,PMID_40932098,Does Daily Intake of Matcha Tea Enhance The Periodontal Health of Patients With Localised Gingivitis: A Control Study.,green tea,multiple component groups,,,moderate_uncertainty,missing_processing_or_extraction_context,true
PMID_40930783_GLM1,PMID_40930783,Dietary antioxidant nutrients intake and pneumonia mortality in Japanese men and women: the Japan Public Health Center-Based Prospective Study.,green tea,multiple component groups,,,moderate_uncertainty,generic_mechanism; missing_processing_or_extraction_context,true
PMID_40869245_GLM1,PMID_40869245,The Antioxidant Potential of Black Tea Polyphenols in Heavy Metal Toxicity: An In Vitro Perspective.,black tea,theaflavins,,,moderate_uncertainty,missing_processing_or_extraction_context; review_summary_record,true
PMID_40869245_GLM2,PMID_40869245,The Antioxidant Potential of Black Tea Polyphenols in Heavy Metal Toxicity: An In Vitro Perspective.,black tea,theaflavins,,,moderate_uncertainty,generic_mechanism; low_llm_confidence; missing_processing_or_extraction_context; review_summary_record; uncertain_effect_direction,true
PMID_40867561_GLM1,PMID_40867561,Polyphenol-Based Therapeutic Strategies for Mitochondrial Dysfunction in Aging.,unspecified tea,mixed polyphenols,,,moderate_uncertainty,missing_processing_or_extraction_context; review_summary_record,true
PMID_40830941_GLM1,PMID_40830941,"Association of sugar-sweetened, artificially sweetened, and unsweetened tea with all-cause and cause-specific mortality: a prospective cohort study in UK biobank.",unspecified tea,multiple component groups,,,moderate_uncertainty,generic_mechanism; missing_processing_or_extraction_context,true
PMID_40830941_GLM3,PMID_40830941,"Association of sugar-sweetened, artificially sweetened, and unsweetened tea with all-cause and cause-specific mortality: a prospective cohort study in UK biobank.",unspecified tea,multiple component groups,,,moderate_uncertainty,generic_mechanism; missing_processing_or_extraction_context; taxonomy_expansion_needed,true
PMID_40823011_GLM1,PMID_40823011,"The associations of unsweetened, sugar-sweetened, and artificially sweetened tea consumption with all-cause and cause-specific mortality in 195,361 UK Biobank participants: a large prospective cohort study.",unspecified tea,caffeine,,,moderate_uncertainty,generic_mechanism; missing_processing_or_extraction_context; uncertain_effect_direction,true
PMID_40791226_GLM1,PMID_40791226,Sex-specific effects of tea consumption and salt intake on metabolic syndrome and its components among oilfield workers.,unspecified tea,multiple component groups,,,moderate_uncertainty,generic_mechanism; missing_processing_or_extraction_context; preclinical_only,true
PMID_40755497_GLM1,PMID_40755497,Anticancer Molecular Mechanisms of Epigallocatechin Gallate: An Updated Review on Clinical Trials.,green tea,catechins,,,moderate_uncertainty,missing_processing_or_extraction_context; review_summary_record; taxonomy_expansion_needed,true
PMID_40732933_GLM1,PMID_40732933,Evaluation of the Postprandial-Hyperglycemia-Suppressing Effects and Safety of Short-Term Intake of Mulberry Leaf and Water Chestnut Tea: A Randomized Double-Blind Placebo-Controlled Crossover Trial.,unspecified tea,mixed polyphenols,,,moderate_uncertainty,generic_mechanism; missing_processing_or_extraction_context,true
PMID_40732933_GLM3,PMID_40732933,Evaluation of the Postprandial-Hyperglycemia-Suppressing Effects and Safety of Short-Term Intake of Mulberry Leaf and Water Chestnut Tea: A Randomized Double-Blind Placebo-Controlled Crossover Trial.,unspecified tea,mixed polyphenols,,,moderate_uncertainty,generic_mechanism; missing_processing_or_extraction_context; taxonomy_expansion_needed; uncertain_effect_direction,true
PMID_40696344_GLM1,PMID_40696344,Associations of a healthy beverage pattern with all-cause and cause-specific mortality among US adults: a nationwide cohort study.,unspecified tea,multiple component groups,,,high_uncertainty,generic_mechanism; missing_processing_or_extraction_context; uncertain_effect_direction,true
PMID_40696344_GLM2,PMID_40696344,Associations of a healthy beverage pattern with all-cause and cause-specific mortality among US adults: a nationwide cohort study.,unspecified tea,multiple component groups,,,high_uncertainty,generic_mechanism; missing_processing_or_extraction_context; taxonomy_expansion_needed; uncertain_effect_direction,true
PMID_40570454_GLM1,PMID_40570454,"Tea polyphenols: Effects on growth, immune function, and reproductive performance of roosters.",unspecified tea,mixed polyphenols,,,moderate_uncertainty,missing_processing_or_extraction_context,true
PMID_40570454_GLM2,PMID_40570454,"Tea polyphenols: Effects on growth, immune function, and reproductive performance of roosters.",unspecified tea,mixed polyphenols,,,moderate_uncertainty,missing_processing_or_extraction_context; taxonomy_expansion_needed,true
PMID_40536553_GLM1,PMID_40536553,"Pathophysiology, conventional treatments, and evidence-based herbal remedies of hair loss with a systematic review of controlled clinical trials.",green tea,multiple component groups,,,moderate_uncertainty,missing_processing_or_extraction_context; review_summary_record,true
PMID_40536509_GLM1,PMID_40536509,Diet composition impacts the natural history of steatotic liver disease.,unspecified tea,caffeine,,,moderate_uncertainty,generic_mechanism; missing_processing_or_extraction_context,true
PMID_40525136_GLM1,PMID_40525136,Coffee and tea consumption and cardiovascular disease and all-cause and cause-specific mortality in individuals with diabetes mellitus: a meta-analysis of prospective observational studies.,unspecified tea,multiple component groups,,,moderate_uncertainty,generic_mechanism; missing_processing_or_extraction_context,true
PMID_40509019_GLM1,PMID_40509019,Tea Catechins: Potential Plant-Derived Feed Additives for Improving Chicken Intestinal Health and Productivity.,unspecified tea,catechins,,,moderate_uncertainty,missing_processing_or_extraction_context; review_summary_record,true
PMID_40509019_GLM2,PMID_40509019,Tea Catechins: Potential Plant-Derived Feed Additives for Improving Chicken Intestinal Health and Productivity.,unspecified tea,catechins,,,moderate_uncertainty,missing_named_microbiota; missing_processing_or_extraction_context; review_summary_record,true
PMID_40509019_GLM3,PMID_40509019,Tea Catechins: Potential Plant-Derived Feed Additives for Improving Chicken Intestinal Health and Productivity.,unspecified tea,catechins,,,high_uncertainty,generic_mechanism; missing_named_microbiota; missing_processing_or_extraction_context; review_summary_record,true
PMID_40507186_GLM2,PMID_40507186,Association of Food-Specific Glycemic Load and Distinct Dietary Components with Gestational Diabetes Mellitus Within a Mediterranean Dietary Pattern: A Prospective Cohort Study.,unspecified tea,multiple component groups,,,moderate_uncertainty,generic_mechanism; missing_processing_or_extraction_context; taxonomy_expansion_needed,true
PMID_40456886_GLM1,PMID_40456886,High diversity of dietary flavonoid intake is associated with a lower risk of all-cause mortality and major chronic diseases.,unspecified tea,mixed polyphenols,,,moderate_uncertainty,generic_mechanism; missing_processing_or_extraction_context,true
PMID_40456886_GLM3,PMID_40456886,High diversity of dietary flavonoid intake is associated with a lower risk of all-cause mortality and major chronic diseases.,unspecified tea,mixed polyphenols,,,moderate_uncertainty,generic_mechanism; missing_processing_or_extraction_context; taxonomy_expansion_needed,true
PMID_40438590_GLM1,PMID_40438590,The green tea component (-)-epigallocatechin-3-gallate protects against cytokine-induced epithelial barrier damage in intestinal epithelial cells.,green tea,catechins,,,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only; taxonomy_expansion_needed,true
PMID_40427462_GLM1,PMID_40427462,Tea Polyphenols Mitigate Radiation-Induced Ferroptosis and Intestinal Injury by Targeting the Nrf2/HO-1/GPX4 Signaling Pathway.,unspecified tea,mixed polyphenols,,,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only,true
PMID_40427462_GLM3,PMID_40427462,Tea Polyphenols Mitigate Radiation-Induced Ferroptosis and Intestinal Injury by Targeting the Nrf2/HO-1/GPX4 Signaling Pathway.,unspecified tea,catechins,,,high_uncertainty,generic_mechanism; missing_processing_or_extraction_context; preclinical_only; taxonomy_expansion_needed,true
PMID_40358678_GLM1,PMID_40358678,Green tea catechins: protectors or threats to DNA? A review of their antigenotoxic and genotoxic effects.,green tea,catechins,,,moderate_uncertainty,missing_processing_or_extraction_context; review_summary_record; taxonomy_expansion_needed,true
