record_id,paper_id,processing_present,extraction_present,component_present,tea_type,material_form,component_group,processing_step,extraction_method,compound_name,cultivar,origin,evidence_terms,raw_context_phrase,confidence_score,reasoning_short,patch_status,patch_uncertainty_flags
PMID_38622917_GLM1,PMID_38622917,false,false,true,unspecified tea,purified component,mixed polyphenols,,,,,,TP; tea polyphenols,whether TP could improve memory; effects of TP on the physiopathology; TP 300 mg/kg,0.90,"Abstract uses abbreviation 'TP' for 'tea polyphenols' without specifying tea type, processing, or extraction methods.",llm_extracted,tea type unspecified; extraction method unreported
PMID_38622917_GLM2,PMID_38622917,false,false,true,unspecified tea,purified component,mixed polyphenols,,,,,,TP; tea polyphenols,tea polyphenols (TP),0.90,"Abstract mentions 'tea polyphenols' and 'TP' as intervention but provides no processing, extraction, cultivar, or origin details.",llm_extracted,
PMID_38622917_GLM3,PMID_38622917,false,false,true,unspecified tea,purified component,mixed polyphenols,,,,,,TP;tea polyphenols,tea polyphenols (TP),0.90,"Abstract mentions 'TP' defined as 'tea polyphenols' in title; no processing, extraction, cultivar, or origin details provided.",llm_extracted,tea type unspecified
PMID_38695344_GLM1,PMID_38695344,false,false,false,unspecified tea,unspecified material,,,,,,,consume tea; consuming more cups of tea,MAFLD patients... were less likely to consume tea; consuming more cups of tea showed inverse associations,0.95,"Study reports observational tea consumption data without specifying tea type, material form, processing, or components",llm_extracted,
PMID_38740187_GLM1,PMID_38740187,false,false,true,unspecified tea,purified component,mixed polyphenols,,,,,,polyphenol intake;Phenol-Explorer;total polyphenol intake,Phenol-Explorer was used to estimate individuals' polyphenol intake from diet data,0.90,"Study assesses dietary polyphenol intake from multiple food sources using Phenol-Explorer database; tea mentioned only as consumption unit reference, no tea-specific processing or extraction reported.",llm_extracted,tea context inferred from existing record fields only
PMID_38757229_GLM1,PMID_38757229,false,false,false,green tea,tea infusion,,,,,,,green tea (3-4 cups/day),green-MED diet group also consumed green tea (3-4 cups/day),0.90,Tea type and material form specified as beverage infusion in dietary intervention; no processing or extraction methods reported.,llm_extracted,
PMID_38757229_GLM2,PMID_38757229,false,false,true,green tea,tea infusion,mixed polyphenols,,,,,,green tea (3-4 cups/day); high in dietary polyphenols,green-MED diet group also consumed green tea (3-4 cups/day),0.90,Abstract specifies green tea consumption as beverage infusion; polyphenols implied by diet description; no processing or extraction methods reported.,llm_extracted,material_form inferred from cups/day consumption context
PMID_38764154_GLM1,PMID_38764154,false,false,false,green tea,tea infusion,,,,,,,matcha;green tea;consumption;drink,drink either matcha or green tea cup twice daily,0.95,Study reports consumption of matcha and green tea as beverages; no processing or extraction methods described for tea materials.,llm_extracted,
PMID_38764154_GLM3,PMID_38764154,true,false,false,green tea,tea infusion,,matcha production,,,,,matcha and green tea consumption;drink either matcha or green tea,drink either matcha or green tea cup twice daily,0.95,Title and abstract specify matcha and green tea consumption as tea infusions; matcha is a processed green tea form.,llm_extracted,
PMID_38778045_GLM1,PMID_38778045,false,false,false,green tea,tea infusion,,,,,,,higher intakes of black or green tea; lower T2D risk,higher intakes of black or green tea...significantly associated with 21%...lower T2D risk,0.90,"Epidemiological cohort study on dietary intake; no tea processing, extraction, or specific compound isolation reported.",llm_extracted,
PMID_38820660_GLM1,PMID_38820660,false,false,true,unspecified tea,purified component,catechins,,,epigallocatechin gallate; EGCG,,,epigallocatechin gallate; EGCG; primary bioactive compound; Tea consumption,epigallocatechin gallate (EGCG) being the primary bioactive compound used for IBD treatment,0.95,Abstract explicitly identifies EGCG as the primary bioactive compound; no processing or extraction methods reported.,llm_extracted,
PMID_38852447_GLM1,PMID_38852447,false,false,true,green tea,purified component,mixed polyphenols,,,,,,Green tea polyphenols; GTP,Green tea polyphenols (GTP),0.90,"Title and abstract explicitly name green tea polyphenols, but no processing or extraction methods are described.",llm_extracted,
PMID_38852447_GLM2,PMID_38852447,false,false,true,green tea,purified component,mixed polyphenols,,,green tea polyphenols,,,Green tea polyphenols;GTP,Green tea polyphenols (GTP),0.95,"Title and abstract specify green tea polyphenols as the test material, but no processing or extraction methods are described.",llm_extracted,
PMID_38852447_GLM3,PMID_38852447,false,false,true,green tea,purified component,mixed polyphenols,,,,,,Green tea polyphenols; GTP,Green tea polyphenols (GTP),0.95,"Title and abstract specify green tea polyphenols as the intervention material, but no processing or extraction methods are described.",llm_extracted,
PMID_38897845_GLM1,PMID_38897845,false,false,false,unspecified tea,tea infusion,,,,,,,tea; Beverage Quality Index; diet,"The BQI included eight components (coffee, tea, milk, juices...)",0.90,"Tea is listed as a component of a dietary index without any processing, extraction, or component analysis reported.",llm_extracted,
PMID_38936303_GLM2,PMID_38936303,false,false,true,green tea,purified component,catechins,,,epigallocatechin gallate; EGCG,,,primary bioactive ingredient in green tea; epigallocatechin gallate (EGCG); EGCG administration,"primary bioactive ingredient in green tea, epigallocatechin gallate (EGCG)",0.95,"Abstract identifies EGCG as the primary bioactive ingredient in green tea, specifying a purified component used in clinical and animal models without detailing processing or extraction methods.",llm_extracted,
PMID_39050670_GLM1,PMID_39050670,false,false,false,unspecified tea,tea infusion,,,,,,,tea intake,"causal relationships between alcohol consumption, tea intake, coffee consumption",0.90,"Review mentions tea intake as lifestyle factor; no processing, extraction, or specific compounds reported.",llm_extracted,
PMID_39092514_GLM1,PMID_39092514,false,false,true,unspecified tea,purified component,mixed polyphenols,,,polyphenols,,,polyphenols; plant-based foods; tea,"Polyphenols, abundant in plant-based foods like fruits, vegetables, tea, coffee, wine, and chocolate",0.90,Tea mentioned as one of many polyphenol sources; no specific tea processing or extraction described; component group inferred from polyphenol focus.,llm_extracted,
PMID_39092514_GLM2,PMID_39092514,false,false,true,unspecified tea,purified component,mixed polyphenols,,,polyphenols,,,Polyphenols; tea,"Polyphenols, abundant in plant-based foods like fruits, vegetables, tea, coffee, wine, and chocolate",0.90,Tea listed as dietary source of polyphenols; no processing or extraction details reported.,llm_extracted,
PMID_39096274_GLM1,PMID_39096274,false,false,false,unspecified tea,unspecified material,,,,,,,tea;Mg-rich diet score,"A Mg-rich diet score was created that included servings of whole grain products, nuts, vegetables, fruit, legumes, coffee, and tea.",0.90,"Tea mentioned only as a dietary component in a food frequency questionnaire; no processing, extraction, or specific component analysis reported.",llm_extracted,
PMID_39222688_GLM1,PMID_39222688,false,false,true,unspecified tea,purified component,theaflavins,,,theaflavins; thearubigins,,,theaflavins + thearubigins; flavonoid-rich foods; tea,"intakes of...theaflavins + thearubigins...Promoting intakes of healthy flavonoid-rich foods, namely, tea",0.85,"Dietary cohort study measuring flavonoid intake; theaflavins and thearubigins are tea-derived components mentioned, but no tea processing or extraction methods reported.",llm_extracted,dietary intake study; no direct tea material analysis
PMID_39256061_GLM1,PMID_39256061,false,false,false,unspecified tea,unspecified material,,,,,,,Jing Si herbal tea;JSHT,Jing Si herbal tea (JSHT),0.90,"Study evaluates Jing Si herbal tea but reports no processing, extraction, or specific component details in title or abstract.",llm_extracted,herbal tea composition unspecified
PMID_39256061_GLM2,PMID_39256061,false,false,false,unspecified tea,unspecified material,,,,,,,Jing Si herbal tea; JSHT,Jing Si herbal tea (JSHT),0.90,"Title and abstract identify the material as Jing Si herbal tea but provide no details on tea processing, extraction methods, or specific chemical components.",llm_extracted,
PMID_39256061_GLM3,PMID_39256061,false,false,false,unspecified tea,unspecified material,,,,,,,Jing Si herbal tea; JSHT,Jing Si herbal tea (JSHT),0.90,"Study reports on 'Jing Si herbal tea' without specifying tea type, processing, extraction, or specific tea components.",llm_extracted,herbal tea composition unspecified
PMID_39256541_GLM1,PMID_39256541,false,false,false,unspecified tea,tea infusion,,,,,,,tea consumption,tea consumption,0.90,,llm_extracted,
PMID_39287934_GLM1,PMID_39287934,false,false,true,unspecified tea,tea infusion,caffeine,,,caffeine,,,tea intake; caffeine intake,"habitual coffee, tea, and caffeine consumption",0.95,Epidemiological study on habitual consumption; no processing or extraction details reported; tea type and material form inferred from existing record and context.,llm_extracted,
PMID_39340256_GLM1,PMID_39340256,false,false,false,unspecified tea,fermented beverage,,,,,,,fructose-rich tea beverage;tea-based beverages,fructose-rich tea beverage (FTB) intake;tea-related beneficial effect,0.85,Study examines commercial fructose-rich tea beverage with no processing or extraction details reported; fructose identified as added component.,llm_extracted,tea material unspecified;commercial product
PMID_39350601_GLM1,PMID_39350601,false,false,true,green tea,,catechins,,,,,,green tea catechin; green tea ingestion,Does green tea catechin enhance weight-loss effect; effect of green tea ingestion coupled with exercise training,0.90,Title explicitly names green tea catechin; abstract refers to green tea ingestion without specifying processing or extraction details.,llm_extracted,
PMID_39405832_GLM1,PMID_39405832,false,false,true,unspecified tea,purified component,mixed polyphenols,,,tea polyphenols,,,tea polyphenols,basal diet supplemented with 6 g/t of tea polyphenols,0.90,Abstract reports use of tea polyphenols as a purified component supplement; no processing or extraction methods described.,llm_extracted,component group inferred from term polyphenols
PMID_39405832_GLM2,PMID_39405832,false,false,true,unspecified tea,purified component,mixed polyphenols,,,tea polyphenols,,,tea polyphenols; 6 g/t of tea polyphenols,basal diet supplemented with 6 g/t of tea polyphenols,0.90,"Abstract explicitly names tea polyphenols as the test material but provides no processing, extraction, cultivar, or origin details.",llm_extracted,tea type unspecified
PMID_39405832_GLM3,PMID_39405832,false,false,true,unspecified tea,purified component,mixed polyphenols,,,tea polyphenols,,,tea polyphenols;6 g/t of tea polyphenols,basal diet supplemented with 6 g/t of tea polyphenols,0.95,Abstract explicitly names tea polyphenols as the test material; no processing or extraction details provided.,llm_extracted,existing_component_group mismatch
PMID_39420779_GLM1,PMID_39420779,false,false,false,green tea,unspecified material,,,,,,,green tea,"0.88 (95 % CI 0.82, 0.95) for green tea",0.90,"Epidemiological food frequency study mentions 'green tea' as a food group without processing, extraction, or component details.",llm_extracted,
PMID_39503925_GLM1,PMID_39503925,false,false,false,unspecified tea,tea infusion,,,,,,,iced tea intake,"iced tea [HR, 1.41 (1.21 to 1.65); P-trend < 0.0001)] intake was associated with higher T2DM risk",0.90,"Epidemiological study on iced tea consumption with no reported processing, extraction, or specific component analysis",llm_extracted,tea type inferred from iced tea term
PMID_39517154_GLM2,PMID_39517154,false,false,false,unspecified tea,tea infusion,,,,,,,preference for coffee and tea,"those with the rs12878143 (CC) genotype preferred fruits, vegetables, coffee, and tea",0.90,"Tea mentioned only as a dietary preference item in a genetic association study; no processing, extraction, or component analysis reported.",llm_extracted,
PMID_39566179_GLM1,PMID_39566179,false,false,false,unspecified tea,tea infusion,,,,,,,tea intake (cup/day),tea intake (cup/day),0.95,"Study uses tea intake as a dietary predictor; no processing, extraction, or specific components reported.",llm_extracted,
PMID_39571432_GLM1,PMID_39571432,true,false,true,black tea,purified component,theaflavins,black tea formation,,"Theaflavin-3,3'-digallate; TF3",,,TF3 is a functional pigment formed during the process of black tea; tea-derived polyphenols,TF3 is a functional pigment formed during the process of black tea,0.95,Abstract explicitly states TF3 forms during black tea processing and identifies TF3 as a tea-derived polyphenol.,llm_extracted,
PMID_39571432_GLM2,PMID_39571432,true,false,true,black tea,purified component,theaflavins,black tea formation,,"Theaflavin-3,3'-digallate; TF3",,,TF3 is a functional pigment formed during the process of black tea; tea-derived polyphenols,TF3 is a functional pigment formed during the process of black tea,0.95,Abstract explicitly states TF3 forms during black tea processing; compound identity confirmed in title.,llm_extracted,
PMID_39571724_GLM1,PMID_39571724,false,false,false,unspecified tea,tea infusion,,,,,,,high consumption of tea; dietary pattern,high consumption of tea,0.90,"Tea identified only as a dietary consumption item within a dietary pattern; no processing, extraction, or specific component details reported.",llm_extracted,tea type inferred from dietary context
PMID_39571724_GLM3,PMID_39571724,false,false,false,unspecified tea,tea infusion,,,,,,,high consumption of tea,"high consumption of dark green vegetables, tea, alcohol, and fruit juice",0.90,"Dietary epidemiological study mentions tea as food item without processing, extraction, or component details.",llm_extracted,
PMID_39574401_GLM1,PMID_39574401,false,false,true,unspecified tea,purified component,mixed polyphenols,,,,,,Tea polyphenols;TP supplementation,Tea polyphenols (TPs) can prevent obesity; TP supplementation effectively attenuates HFD-induced weight gain,0.90,"Abstract specifies tea polyphenols as the intervention material but provides no details on tea type, processing, or extraction methods.",llm_extracted,tea type unspecified
PMID_39574401_GLM2,PMID_39574401,false,false,true,unspecified tea,purified component,mixed polyphenols,,,,,,Tea polyphenols; TP supplementation,Tea polyphenols (TPs) can prevent obesity,0.90,"Abstract reports use of 'Tea polyphenols (TPs)' without specifying tea type, processing, or extraction methods.",llm_extracted,tea source unspecified
PMID_39574401_GLM3,PMID_39574401,false,false,true,unspecified tea,purified component,mixed polyphenols,,,Tea polyphenols,,,Tea polyphenols; TP,Tea polyphenols (TPs) can prevent obesity caused by HFD; TP supplementation effectively attenuates HFD-induced weight gain,0.90,"Abstract mentions Tea polyphenols (TP) as intervention but provides no details on tea type, processing, or extraction methods.",llm_extracted,tea type unspecified
PMID_39606571_GLM1,PMID_39606571,false,false,true,unspecified tea,unspecified material,multiple component groups,,,,,,tea components; tea's efficacy,"understanding the roles of tea components in regulating gut microbiota, boosting fat oxidation, and increasing metabolic rate",0.95,"Bibliometric analysis mentions tea components broadly without specifying processing, extraction, or individual compounds",llm_extracted,
PMID_39606571_GLM2,PMID_39606571,false,false,true,unspecified tea,unspecified material,multiple component groups,,,,,,tea components,understanding the roles of tea components in regulating gut microbiota,0.95,"Bibliometric analysis mentions tea components broadly without specifying processing, extraction methods, or individual compounds.",llm_extracted,
PMID_39643357_GLM1,PMID_39643357,false,false,true,black tea,,theaflavins,,,theacrine; theaflavins,Jianghua Kucha,,Jianghua Kucha black tea; theacrine; theaflavins,Jianghua Kucha black tea (JH) contains both compounds,0.90,Tea type and named compounds explicitly stated; no processing or extraction methods described.,llm_extracted,
PMID_39643357_GLM3,PMID_39643357,false,false,true,black tea,,theaflavins,,,theacrine; theaflavins,Jianghua Kucha,,Jianghua Kucha black tea; theacrine; theaflavins,Jianghua Kucha black tea (JH) contains both compounds,0.95,Tea type and cultivar explicitly named; compounds identified; no processing or extraction methods described.,llm_extracted,
PMID_39706596_GLM1,PMID_39706596,false,false,true,unspecified tea,tea infusion,caffeine,,,caffeine,,,"caffeine;beverages (coffee, tea, chocolate);caffeine intake","Caffeine, identified as a central nervous system stimulant in foods, beverages (coffee, tea, chocolate)",0.90,"Caffeine is explicitly named as a component found in tea beverages, but no specific tea processing or extraction methods are described in this dietary intake study.",llm_extracted,
PMID_39757367_GLM1,PMID_39757367,false,false,true,unspecified tea,purified component,mixed polyphenols,,,orientin,,,orientin; flavonoid glycosides; rooibos tea,Orientin is one of the flavonoid glycosides...found in several plants like rooibos tea,0.90,"Abstract identifies orientin as a flavonoid glycoside found in rooibos tea, but reports no processing or extraction methods for the tea material itself.",llm_extracted,
PMID_39757367_GLM2,PMID_39757367,false,false,true,unspecified tea,purified component,mixed polyphenols,,,orientin,,,rooibos tea; orientin; flavonoid glycosides,Orientin is one of the flavonoid glycosides...It is found in several plants like rooibos tea,0.90,"Abstract identifies orientin as a flavonoid glycoside found in rooibos tea, but reports no tea processing or extraction methods.",llm_extracted,
PMID_39765834_GLM1,PMID_39765834,false,false,true,green tea,purified component,catechins,,,Green tea catechins,,,Green tea catechins; bioactive polyphenolic compounds; fresh tea leaves,Green tea catechins (GTCs) are a group of bioactive polyphenolic compounds found in fresh tea leaves,0.95,"Title and abstract explicitly name green tea catechins as the component group, and existing record fields correctly specify green tea and purified component.",llm_extracted,
PMID_39765834_GLM2,PMID_39765834,false,false,true,green tea,purified component,catechins,,,green tea catechins,,,Green tea catechins;fresh tea leaves;Camellia sinensis,Green tea catechins (GTCs) are a group of bioactive polyphenolic compounds found in fresh tea leaves (Camellia sinensis (L.) O. Kuntze).,0.95,Tea type and component explicitly named; material form inferred as purified component based on existing record and focus on bioactive compounds; no processing or extraction methods described.,llm_extracted,
PMID_39807528_GLM1,PMID_39807528,false,false,true,unspecified tea,purified component,catechins,,,(epi)catechin; epi(gallo)catechin-3-O-gallate; pro(antho)cyanidins,,,flavan-3-ols; (epi)catechin; epi(gallo)catechin-3-O-gallate; pro(antho)cyanidins; tea,"flavan-3-ols...individual flavan-3-ols (e.g., (epi)catechin, epi(gallo)catechin-3-O-gallate, and pro(antho)cyanidins)...tea",0.90,,llm_extracted,tea mentioned as dietary source only
PMID_39807528_GLM2,PMID_39807528,false,false,true,unspecified tea,purified component,catechins,,,(epi)catechin; epi(gallo)catechin-3-O-gallate; pro(antho)cyanidins,,,flavan-3-ols; (epi)catechin; epi(gallo)catechin-3-O-gallate; pro(antho)cyanidins; tea,"individual flavan-3-ols (e.g., (epi)catechin, epi(gallo)catechin-3-O-gallate, and pro(antho)cyanidins)... commonly consumed foods, including grapes, tea, apples",0.85,Review mentions tea as dietary source and lists specific flavan-3-ol compounds; no processing or extraction details provided,llm_extracted,tea mentioned as source context only
PMID_39807528_GLM3,PMID_39807528,false,false,true,unspecified tea,purified component,catechins,,,(epi)catechin; epi(gallo)catechin-3-O-gallate; pro(antho)cyanidins,,,flavan-3-ols; (epi)catechin; epi(gallo)catechin-3-O-gallate; pro(antho)cyanidins; tea,"individual flavan-3-ols (e.g., (epi)catechin, epi(gallo)catechin-3-O-gallate, and pro(antho)cyanidins)",0.90,Abstract lists specific flavan-3-ol compounds found in tea but provides no processing or extraction details for tea material.,llm_extracted,
PMID_39831602_GLM1,PMID_39831602,false,false,false,unspecified tea,tea infusion,,,,,,,tea consumption;regular tea consumption;consuming 4 g/day of tea,"Information on tea consumption (including frequency, amount, and duration) was collected at baseline",0.90,"Epidemiological cohort study on tea consumption habits; no processing, extraction, or specific components reported",llm_extracted,
PMID_39849318_GLM1,PMID_39849318,false,false,true,unspecified tea,purified component,catechins,,,catechin,,,catechin-based polyphenol nanoparticles; natural compound in tea,"catechin, a natural compound in tea",0.90,Abstract identifies catechin as a natural compound in tea but reports no tea-specific processing or extraction methods for the source material.,llm_extracted,
PMID_39920567_GLM1,PMID_39920567,false,false,true,unspecified tea,unspecified material,mixed polyphenols,,,catechins; galloyl catechins; TPP oxidation-derived polymers,,,Tea polyphenols (TPP); green tea and black tea; smaller catechins; galloyl catechins; oligomers and polymers from black tea,Tea polyphenols (TPP) are key contributors to the beneficial health effects of green tea and black tea.,0.85,Review article discusses tea polyphenol bioavailability without describing specific processing or extraction methods.,llm_extracted,review article; no specific material preparation described
PMID_39940310_GLM1,PMID_39940310,false,false,false,green tea,,,,,,,,Green Tea (n = 5); Coffee or Tea,The most studied bioactive substances were... Green Tea (n = 5)... 12 on Coffee or Tea,0.90,"Abstract mentions Green Tea as a studied bioactive substance category but reports no processing, extraction, or component details.",llm_extracted,
PMID_39942757_GLM1,PMID_39942757,false,false,true,green tea,purified component,catechins,,,Epigallocatechin gallate; EGCG,,,predominant catechin in green tea; principal bioactive component,"Epigallocatechin gallate (EGCG), the predominant catechin in green tea, comprises approximately 50% of its total polyphenol content",0.95,Abstract explicitly identifies EGCG as the predominant catechin in green tea but reports no processing or extraction methods.,llm_extracted,
PMID_39942757_GLM2,PMID_39942757,false,false,true,green tea,purified component,catechins,,,Epigallocatechin gallate; EGCG,,,predominant catechin in green tea; principal bioactive component,"Epigallocatechin gallate (EGCG), the predominant catechin in green tea, comprises approximately 50% of its total polyphenol content",1.00,Abstract explicitly identifies EGCG as predominant catechin in green tea with no processing or extraction details.,llm_extracted,
PMID_39942757_GLM3,PMID_39942757,false,false,true,green tea,purified component,catechins,,,Epigallocatechin gallate; EGCG,,,predominant catechin in green tea; principal bioactive component,"Epigallocatechin gallate (EGCG), the predominant catechin in green tea, comprises approximately 50% of its total polyphenol content",0.95,EGCG is explicitly identified as the predominant catechin in green tea in the title and abstract; no processing or extraction methods are described.,llm_extracted,
PMID_39948758_GLM1,PMID_39948758,true,false,true,dark/post-fermented tea,purified component,mixed polyphenols,raw; ripened; post-fermentation,,R-TP; F-TP,,China,"raw and ripened Pu-erh tea polyphenols; Pu-erh tea, a dark tea from China","Pu-erh tea, a dark tea from China, is classified into raw and ripened types... major bioactive components... raw (R-TP) and ripened (F-TP) Pu-erh tea polyphenols",0.95,,llm_extracted,
PMID_39948758_GLM2,PMID_39948758,true,false,true,dark/post-fermented tea,purified component,mixed polyphenols,raw Pu-erh; ripened Pu-erh,,R-TP; F-TP,,China,"raw and ripened Pu-erh tea polyphenols; Pu-erh tea, a dark tea from China; classified into raw and ripened types","Pu-erh tea, a dark tea from China, is classified into raw and ripened types... explore the anti-obesity properties and mechanisms of raw (R-TP) and ripened (F-TP) Pu-erh tea polyphenols",0.95,"Title and abstract explicitly state tea type (Pu-erh dark tea), processing classification (raw vs ripened), and component group (polyphenols).",llm_extracted,
PMID_39949547_GLM1,PMID_39949547,false,false,false,unspecified tea,tea infusion,,,,,,,tea consumption; heavy tea consumption,tea consumption was self-reported; heavy tea consumption was associated with an increased risk,0.90,"Epidemiological cohort study on beverage consumption; no tea processing, extraction, or specific compounds reported.",llm_extracted,
PMID_39967149_GLM1,PMID_39967149,false,true,true,unspecified tea,purified component,theaflavins,,isolation; purification,theaflavins; TF; TF-3-G; TF-3'-G; TFDG,,,"isolation, purification, synthesis; specific polyphenolic compounds found in tea","covering their isolation, purification, synthesis... specific polyphenolic compounds found in tea, including TF, TF-3-G, TF-3'-G, and TFDG",0.95,Abstract explicitly mentions isolation and purification of theaflavins and lists specific compound names.,llm_extracted,
PMID_39967149_GLM2,PMID_39967149,false,true,true,unspecified tea,purified component,theaflavins,,isolation; purification,theaflavins; TF; TF-3-G; TF-3'-G; TFDG,,,"isolation, purification, synthesis","covering their isolation, purification, synthesis, safety, and bioavailability",0.95,Abstract explicitly names theaflavin compounds and reviews their isolation and purification methods.,llm_extracted,
PMID_39967149_GLM3,PMID_39967149,false,true,true,unspecified tea,purified component,theaflavins,,isolation; purification,theaflavins; TF; TF-3-G; TF-3'-G; TFDG,,,theaflavins; isolation; purification; specific polyphenolic compounds found in tea,"specific polyphenolic compounds found in tea, including TF, TF-3-G, TF-3'-G, and TFDG; covering their isolation, purification, synthesis",0.95,Abstract explicitly names theaflavin compounds and discusses isolation and purification methods in review context.,llm_extracted,
PMID_39976450_GLM1,PMID_39976450,false,false,true,unspecified tea,purified component,catechins,,,catechin,,,Catechin;catechins;tea polyphenols,Catechin is a group of bioactive flavonoids found in various plant sources such as tea,0.95,Abstract identifies catechins as tea polyphenols but provides no processing or extraction details.,llm_extracted,
PMID_39976450_GLM2,PMID_39976450,false,false,true,unspecified tea,purified component,catechins,,,catechin,,,Catechin;tea polyphenols,Catechin is a group of bioactive flavonoids found in various plant sources such as tea,0.90,Abstract identifies catechin as a component found in tea but provides no specific processing or extraction details for tea material.,llm_extracted,
PMID_40001172_GLM1,PMID_40001172,false,false,false,unspecified tea,tea infusion,,,,,,,tea consumption;tea intake,tea and coffee consumption;tea intake,0.95,"Epidemiological cohort study on tea consumption habits; no processing, extraction, or specific component analysis reported.",llm_extracted,
PMID_40002949_GLM1,PMID_40002949,false,false,true,unspecified tea,purified component,mixed polyphenols,,,tea polyphenols,,,"tea polyphenols; supplemented with 2, 4, or 6 g/kg tea polyphenols","supplemented with 2, 4, or 6 g/kg tea polyphenols",0.95,"Abstract explicitly names tea polyphenols as the supplemented component, matching existing purified component classification, but provides no processing or extraction details.",llm_extracted,
PMID_40002949_GLM2,PMID_40002949,false,false,true,unspecified tea,purified component,mixed polyphenols,,,tea polyphenols,,,"tea polyphenols; 2, 4, or 6 g/kg tea polyphenols","supplemented with 2, 4, or 6 g/kg tea polyphenols",0.85,"Abstract reports tea polyphenols supplementation amounts but no processing, extraction, cultivar, or origin details.",llm_extracted,tea type unspecified; material form inferred from purified supplement
PMID_40002949_GLM3,PMID_40002949,false,false,true,unspecified tea,purified component,mixed polyphenols,,,tea polyphenols,,,"tea polyphenols; 2, 4, or 6 g/kg tea polyphenols; dietary supplementation","supplemented with 2, 4, or 6 g/kg tea polyphenols",0.90,"Abstract explicitly names tea polyphenols as the test material but provides no processing, extraction, cultivar, or origin details.",llm_extracted,tea source unspecified
PMID_40020787_GLM1,PMID_40020787,false,false,true,unspecified tea,unspecified material,multiple component groups,,,"tea polyphenols; tea pigments; TPS; 4-Hydroxyphenylacetic acid; 3,4-Dihydroxyflavan derivatives",,,tea consumption; functional components; tea polyphenols; tea pigments; TPS,"Functional components that improve chronic metabolic inflammation include tea polyphenols, tea pigments, TPS, etc.",0.85,"Multiple functional components are listed in the abstract, but no specific tea processing or extraction methods are described.",llm_extracted,
