record_id,paper_id,activity_category,study_type,component_before,component_after,processing_before,processing_after,extraction_before,extraction_after,uncertainty_before,uncertainty_after,context_score_before,context_score_after,component_added,processing_added,extraction_added
PMID_39339787_GLM1,PMID_39339787,gut microbiota modulation,randomized controlled trial,multiple component groups,multiple component groups,fermentation/oxidation,fermentation/oxidation,,,low_uncertainty,low_uncertainty,0.800,0.800,false,false,false
PMID_39339787_GLM2,PMID_39339787,anti-inflammatory,randomized controlled trial,multiple component groups,multiple component groups,fermentation/oxidation,fermentation/oxidation,,,moderate_uncertainty,moderate_uncertainty,0.800,0.800,false,false,false
PMID_39339787_GLM3,PMID_39339787,other,randomized controlled trial,multiple component groups,multiple component groups,fermentation/oxidation,fermentation/oxidation,,,moderate_uncertainty,moderate_uncertainty,0.800,0.800,false,false,false
PMID_39340256_GLM1,PMID_39340256,metabolic improvement,cohort study,multiple component groups,multiple component groups,,,,,moderate_uncertainty,moderate_uncertainty,0.300,0.300,false,false,false
PMID_39350601_GLM1,PMID_39350601,anti-obesity,meta-analysis,catechins,catechins,,,,,moderate_uncertainty,moderate_uncertainty,0.550,0.550,false,false,false
PMID_39391512_GLM1,PMID_39391512,neuroprotection,systematic review,mixed polyphenols,mixed polyphenols,,,other extraction,other extraction,moderate_uncertainty,moderate_uncertainty,0.500,0.500,false,false,false
PMID_39391512_GLM2,PMID_39391512,other,systematic review,mixed polyphenols,mixed polyphenols,,,other extraction,other extraction,moderate_uncertainty,moderate_uncertainty,0.500,0.500,false,false,false
PMID_39405832_GLM1,PMID_39405832,anti-inflammatory,animal study,tea polysaccharides,mixed polyphenols,,,,,moderate_uncertainty,moderate_uncertainty,0.300,0.300,false,false,false
PMID_39405832_GLM2,PMID_39405832,antioxidant,animal study,tea polysaccharides,mixed polyphenols,,,,,moderate_uncertainty,moderate_uncertainty,0.300,0.300,false,false,false
PMID_39405832_GLM3,PMID_39405832,other,animal study,tea polysaccharides,mixed polyphenols,,,,,moderate_uncertainty,moderate_uncertainty,0.300,0.300,false,false,false
PMID_39420779_GLM1,PMID_39420779,anti-inflammatory,cohort study,multiple component groups,multiple component groups,,,,,moderate_uncertainty,moderate_uncertainty,0.550,0.550,false,false,false
PMID_39503925_GLM1,PMID_39503925,cardiovascular protection,cohort study,multiple component groups,multiple component groups,,,,,moderate_uncertainty,moderate_uncertainty,0.300,0.300,false,false,false
PMID_39517154_GLM2,PMID_39517154,anti-obesity,cohort study,multiple component groups,multiple component groups,,,,,high_uncertainty,high_uncertainty,0.300,0.300,false,false,false
PMID_39522375_GLM1,PMID_39522375,gut microbiota modulation,animal study,whole extract,whole extract,,,other extraction,other extraction,low_uncertainty,low_uncertainty,0.750,0.750,false,false,false
PMID_39522375_GLM2,PMID_39522375,anti-obesity,animal study,whole extract,whole extract,,,other extraction,other extraction,low_uncertainty,low_uncertainty,0.750,0.750,false,false,false
PMID_39566179_GLM1,PMID_39566179,cardiovascular protection,cohort study,multiple component groups,multiple component groups,,,,,moderate_uncertainty,moderate_uncertainty,0.300,0.300,false,false,false
PMID_39571432_GLM1,PMID_39571432,other,animal study,theaflavins,theaflavins,,black tea formation,,,moderate_uncertainty,moderate_uncertainty,0.550,0.800,false,true,false
PMID_39571432_GLM2,PMID_39571432,gut microbiota modulation,animal study,theaflavins,theaflavins,,black tea formation,,,moderate_uncertainty,moderate_uncertainty,0.550,0.800,false,true,false
PMID_39571724_GLM1,PMID_39571724,cardiovascular protection,cohort study,multiple component groups,multiple component groups,,,,,moderate_uncertainty,moderate_uncertainty,0.300,0.300,false,false,false
PMID_39571724_GLM3,PMID_39571724,other,cohort study,multiple component groups,multiple component groups,,,,,moderate_uncertainty,moderate_uncertainty,0.300,0.300,false,false,false
PMID_39574401_GLM1,PMID_39574401,anti-obesity,animal study,mixed polyphenols,mixed polyphenols,,,,,moderate_uncertainty,moderate_uncertainty,0.300,0.300,false,false,false
PMID_39574401_GLM2,PMID_39574401,gut microbiota modulation,animal study,mixed polyphenols,mixed polyphenols,,,,,moderate_uncertainty,moderate_uncertainty,0.300,0.300,false,false,false
PMID_39574401_GLM3,PMID_39574401,anti-inflammatory,animal study,mixed polyphenols,mixed polyphenols,,,,,moderate_uncertainty,moderate_uncertainty,0.300,0.300,false,false,false
PMID_39606571_GLM1,PMID_39606571,anti-obesity,systematic review,multiple component groups,multiple component groups,,,,,high_uncertainty,high_uncertainty,0.300,0.300,false,false,false
PMID_39606571_GLM2,PMID_39606571,gut microbiota modulation,systematic review,multiple component groups,multiple component groups,,,,,high_uncertainty,high_uncertainty,0.300,0.300,false,false,false
PMID_39632169_GLM1,PMID_39632169,gut microbiota modulation,animal study,mixed polyphenols,mixed polyphenols,,,other extraction,other extraction,moderate_uncertainty,moderate_uncertainty,0.500,0.500,false,false,false
PMID_39643357_GLM1,PMID_39643357,gut microbiota modulation,animal study,theaflavins,theaflavins,,,,,moderate_uncertainty,moderate_uncertainty,0.550,0.550,false,false,false
PMID_39643357_GLM3,PMID_39643357,neuroprotection,animal study,theaflavins,theaflavins,,,,,moderate_uncertainty,moderate_uncertainty,0.550,0.550,false,false,false
PMID_39686858_AUTO1,PMID_39686858,anti-inflammatory,randomized controlled trial,whole extract,whole extract,,,other extraction,other extraction,moderate_uncertainty,moderate_uncertainty,0.750,0.750,false,false,false
PMID_39706596_GLM1,PMID_39706596,other,randomized controlled trial,caffeine,caffeine,,,,,moderate_uncertainty,moderate_uncertainty,0.300,0.300,false,false,false
PMID_39745600_GLM1,PMID_39745600,other,meta-analysis,whole extract,whole extract,,,other extraction,other extraction,high_uncertainty,high_uncertainty,0.500,0.500,false,false,false
PMID_39757367_GLM1,PMID_39757367,neuroprotection,systematic review,mixed polyphenols,mixed polyphenols,,,,,moderate_uncertainty,moderate_uncertainty,0.300,0.300,false,false,false
PMID_39757367_GLM2,PMID_39757367,antioxidant,systematic review,mixed polyphenols,mixed polyphenols,,,,,high_uncertainty,high_uncertainty,0.300,0.300,false,false,false
PMID_39765834_GLM1,PMID_39765834,anti-inflammatory,systematic review,catechins,catechins,,,,,moderate_uncertainty,moderate_uncertainty,0.550,0.550,false,false,false
PMID_39765834_GLM2,PMID_39765834,other,systematic review,catechins,catechins,,,,,moderate_uncertainty,moderate_uncertainty,0.550,0.550,false,false,false
PMID_39806767_GLM1,PMID_39806767,metabolic improvement,cohort study,multiple component groups,multiple component groups,fermentation/oxidation,fermentation/oxidation,,,moderate_uncertainty,moderate_uncertainty,0.800,0.800,false,false,false
PMID_39806767_GLM2,PMID_39806767,cardiovascular protection,cohort study,multiple component groups,multiple component groups,fermentation/oxidation,fermentation/oxidation,,,moderate_uncertainty,moderate_uncertainty,0.800,0.800,false,false,false
PMID_39807528_GLM1,PMID_39807528,gut microbiota modulation,systematic review,catechins,catechins,,,,,moderate_uncertainty,moderate_uncertainty,0.300,0.300,false,false,false
PMID_39807528_GLM2,PMID_39807528,gut microbiota modulation,systematic review,catechins,catechins,,,,,moderate_uncertainty,moderate_uncertainty,0.300,0.300,false,false,false
PMID_39807528_GLM3,PMID_39807528,gut microbiota modulation,systematic review,catechins,catechins,,,,,moderate_uncertainty,moderate_uncertainty,0.300,0.300,false,false,false
PMID_39831602_GLM1,PMID_39831602,cardiovascular protection,cohort study,multiple component groups,multiple component groups,,,,,moderate_uncertainty,moderate_uncertainty,0.300,0.300,false,false,false
PMID_39849318_GLM1,PMID_39849318,neuroprotection,animal study,catechins,catechins,,,,,moderate_uncertainty,moderate_uncertainty,0.300,0.300,false,false,false
PMID_39849851_AUTO1,PMID_39849851,anti-obesity,cohort study,whole extract,whole extract,,,other extraction,other extraction,high_uncertainty,high_uncertainty,0.500,0.500,false,false,false
PMID_39849851_AUTO2,PMID_39849851,anti-inflammatory,cohort study,whole extract,whole extract,,,other extraction,other extraction,high_uncertainty,high_uncertainty,0.500,0.500,false,false,false
PMID_39900709_GLM1,PMID_39900709,gut microbiota modulation,animal study,whole extract,whole extract,fermentation/oxidation,fermentation/oxidation,other extraction,other extraction,moderate_uncertainty,moderate_uncertainty,1.000,1.000,false,false,false
PMID_39900709_GLM2,PMID_39900709,antioxidant,animal study,whole extract,whole extract,fermentation/oxidation,fermentation/oxidation,other extraction,other extraction,low_uncertainty,low_uncertainty,1.000,1.000,false,false,false
PMID_39900709_GLM3,PMID_39900709,anti-inflammatory,animal study,whole extract,whole extract,fermentation/oxidation,fermentation/oxidation,other extraction,other extraction,low_uncertainty,low_uncertainty,1.000,1.000,false,false,false
PMID_39914738_AUTO1,PMID_39914738,anti-inflammatory,cohort study,multiple component groups,multiple component groups,,,other extraction,other extraction,high_uncertainty,high_uncertainty,0.500,0.500,false,false,false
PMID_39920567_GLM1,PMID_39920567,gut microbiota modulation,systematic review,catechins,mixed polyphenols,,,,,moderate_uncertainty,moderate_uncertainty,0.550,0.300,false,false,false
PMID_39940310_GLM1,PMID_39940310,metabolic improvement,systematic review,multiple component groups,multiple component groups,,,,,moderate_uncertainty,moderate_uncertainty,0.550,0.550,false,false,false
PMID_39942757_GLM1,PMID_39942757,gut microbiota modulation,systematic review,catechins,catechins,,,,,moderate_uncertainty,moderate_uncertainty,0.550,0.550,false,false,false
PMID_39942757_GLM2,PMID_39942757,other,systematic review,catechins,catechins,,,,,moderate_uncertainty,moderate_uncertainty,0.550,0.550,false,false,false
PMID_39942757_GLM3,PMID_39942757,anti-inflammatory,systematic review,catechins,catechins,,,,,moderate_uncertainty,moderate_uncertainty,0.550,0.550,false,false,false
PMID_39943157_GLM1,PMID_39943157,anti-inflammatory,in vitro,tea polysaccharides,tea polysaccharides,,,other extraction,other extraction,moderate_uncertainty,moderate_uncertainty,0.500,0.500,false,false,false
PMID_39943157_GLM2,PMID_39943157,other,in vitro,tea polysaccharides,tea polysaccharides,,,other extraction,other extraction,moderate_uncertainty,moderate_uncertainty,0.500,0.500,false,false,false
PMID_39948758_GLM1,PMID_39948758,gut microbiota modulation,animal study,mixed polyphenols,mixed polyphenols,,raw; ripened; post-fermentation,,,low_uncertainty,low_uncertainty,0.550,0.800,false,true,false
PMID_39948758_GLM2,PMID_39948758,anti-obesity,animal study,mixed polyphenols,mixed polyphenols,,raw Pu-erh; ripened Pu-erh,,,moderate_uncertainty,moderate_uncertainty,0.550,0.800,false,true,false
PMID_39949547_GLM1,PMID_39949547,cardiovascular protection,cohort study,multiple component groups,multiple component groups,,,,,moderate_uncertainty,moderate_uncertainty,0.300,0.300,false,false,false
PMID_39954639_GLM1,PMID_39954639,antioxidant,unspecified,mixed polyphenols,mixed polyphenols,storage/aging,storage/aging,,,moderate_uncertainty,moderate_uncertainty,0.550,0.550,false,false,false
PMID_39954639_GLM2,PMID_39954639,other,unspecified,mixed polyphenols,mixed polyphenols,storage/aging,storage/aging,,,high_uncertainty,high_uncertainty,0.550,0.550,false,false,false
PMID_39967149_GLM1,PMID_39967149,gut microbiota modulation,systematic review,theaflavins,theaflavins,,,,isolation; purification,moderate_uncertainty,moderate_uncertainty,0.300,0.500,false,false,true
PMID_39967149_GLM2,PMID_39967149,gut microbiota modulation,systematic review,theaflavins,theaflavins,,,,isolation; purification,moderate_uncertainty,moderate_uncertainty,0.300,0.500,false,false,true
PMID_39967149_GLM3,PMID_39967149,gut microbiota modulation,systematic review,theaflavins,theaflavins,,,,isolation; purification,moderate_uncertainty,moderate_uncertainty,0.300,0.500,false,false,true
PMID_39976450_GLM1,PMID_39976450,anti-inflammatory,systematic review,catechins,catechins,,,,,moderate_uncertainty,moderate_uncertainty,0.300,0.300,false,false,false
PMID_39976450_GLM2,PMID_39976450,other,systematic review,catechins,catechins,,,,,moderate_uncertainty,moderate_uncertainty,0.300,0.300,false,false,false
PMID_39997764_GLM1,PMID_39997764,other,cohort study,multiple component groups,multiple component groups,,,aqueous extraction,aqueous extraction,moderate_uncertainty,moderate_uncertainty,0.750,0.750,false,false,false
PMID_39997764_GLM2,PMID_39997764,gut microbiota modulation,cohort study,multiple component groups,multiple component groups,,,aqueous extraction,aqueous extraction,moderate_uncertainty,moderate_uncertainty,0.750,0.750,false,false,false
PMID_39997764_GLM3,PMID_39997764,gut microbiota modulation,cohort study,multiple component groups,multiple component groups,,,aqueous extraction,aqueous extraction,moderate_uncertainty,moderate_uncertainty,0.750,0.750,false,false,false
PMID_40001172_GLM1,PMID_40001172,cardiovascular protection,cohort study,multiple component groups,multiple component groups,,,,,high_uncertainty,high_uncertainty,0.300,0.300,false,false,false
PMID_40002949_GLM1,PMID_40002949,gut microbiota modulation,animal study,mixed polyphenols,mixed polyphenols,,,,,moderate_uncertainty,moderate_uncertainty,0.300,0.300,false,false,false
PMID_40002949_GLM2,PMID_40002949,antioxidant,animal study,mixed polyphenols,mixed polyphenols,,,,,moderate_uncertainty,moderate_uncertainty,0.300,0.300,false,false,false
PMID_40002949_GLM3,PMID_40002949,anti-inflammatory,animal study,mixed polyphenols,mixed polyphenols,,,,,moderate_uncertainty,moderate_uncertainty,0.300,0.300,false,false,false
PMID_40020787_GLM1,PMID_40020787,gut microbiota modulation,systematic review,tea polysaccharides,multiple component groups,,,,,moderate_uncertainty,moderate_uncertainty,0.300,0.300,false,false,false
PMID_40020787_GLM2,PMID_40020787,anti-inflammatory,systematic review,tea polysaccharides,multiple component groups,,,,,moderate_uncertainty,moderate_uncertainty,0.300,0.300,false,false,false
PMID_40020803_GLM1,PMID_40020803,antioxidant,animal study,caffeine,caffeine,,,other extraction,other extraction,moderate_uncertainty,moderate_uncertainty,0.750,0.750,false,false,false
PMID_40020803_GLM2,PMID_40020803,other,animal study,caffeine,caffeine,,,other extraction,other extraction,moderate_uncertainty,moderate_uncertainty,0.750,0.750,false,false,false
PMID_40027965_AUTO1,PMID_40027965,anti-inflammatory,animal study,multiple component groups,multiple component groups,,,other extraction,other extraction,high_uncertainty,high_uncertainty,0.500,0.500,false,false,false
PMID_40077632_GLM1,PMID_40077632,anti-inflammatory,systematic review,whole extract,whole extract,,,other extraction,other extraction,moderate_uncertainty,moderate_uncertainty,0.500,0.500,false,false,false
PMID_40077632_GLM2,PMID_40077632,other,systematic review,whole extract,whole extract,,,other extraction,other extraction,moderate_uncertainty,moderate_uncertainty,0.500,0.500,false,false,false
PMID_40077632_GLM3,PMID_40077632,antioxidant,systematic review,whole extract,whole extract,,,other extraction,other extraction,moderate_uncertainty,moderate_uncertainty,0.500,0.500,false,false,false
PMID_40101818_GLM1,PMID_40101818,antioxidant,animal study,whole extract,whole extract,,,other extraction,other extraction,moderate_uncertainty,moderate_uncertainty,0.500,0.500,false,false,false
PMID_40121496_GLM1,PMID_40121496,other,cohort study,multiple component groups,multiple component groups,,,,,high_uncertainty,high_uncertainty,0.300,0.300,false,false,false
PMID_40122029_GLM1,PMID_40122029,cardiovascular protection,cohort study,multiple component groups,multiple component groups,,,,,moderate_uncertainty,moderate_uncertainty,0.300,0.300,false,false,false
PMID_40126033_GLM1,PMID_40126033,cardiovascular protection,meta-analysis,catechins,catechins,,,other extraction,other extraction,moderate_uncertainty,moderate_uncertainty,0.500,0.500,false,false,false
PMID_40134056_GLM1,PMID_40134056,metabolic improvement,randomized controlled trial,mixed polyphenols,mixed polyphenols,,,,,moderate_uncertainty,moderate_uncertainty,0.300,0.300,false,false,false
PMID_40147275_GLM1,PMID_40147275,antioxidant,animal study,catechins,catechins,,,,,moderate_uncertainty,moderate_uncertainty,0.550,0.550,false,false,false
PMID_40147275_GLM2,PMID_40147275,other,animal study,catechins,catechins,,,,,moderate_uncertainty,moderate_uncertainty,0.550,0.550,false,false,false
PMID_40157008_GLM1,PMID_40157008,other,cohort study,multiple component groups,multiple component groups,,,,,moderate_uncertainty,moderate_uncertainty,0.300,0.300,false,false,false
PMID_40160899_GLM1,PMID_40160899,antioxidant,meta-analysis,multiple component groups,multiple component groups,,,,,moderate_uncertainty,moderate_uncertainty,0.550,0.550,false,false,false
PMID_40160899_GLM2,PMID_40160899,anti-inflammatory,meta-analysis,multiple component groups,multiple component groups,,,,,moderate_uncertainty,moderate_uncertainty,0.550,0.550,false,false,false
PMID_40164251_GLM1,PMID_40164251,gut microbiota modulation,animal study,catechins,catechins,fermentation/oxidation,fermentation/oxidation,,,low_uncertainty,low_uncertainty,0.800,0.800,false,false,false
PMID_40164251_GLM2,PMID_40164251,gut microbiota modulation,animal study,catechins,catechins,fermentation/oxidation,fermentation/oxidation,,,low_uncertainty,low_uncertainty,0.800,0.800,false,false,false
PMID_40169473_GLM1,PMID_40169473,gut microbiota modulation,animal study,mixed polyphenols,mixed polyphenols,,,,,moderate_uncertainty,moderate_uncertainty,0.300,0.300,false,false,false
PMID_40169473_GLM2,PMID_40169473,gut microbiota modulation,animal study,mixed polyphenols,mixed polyphenols,,,,,moderate_uncertainty,moderate_uncertainty,0.300,0.300,false,false,false
PMID_40169473_GLM3,PMID_40169473,gut microbiota modulation,animal study,mixed polyphenols,mixed polyphenols,,,,,moderate_uncertainty,moderate_uncertainty,0.300,0.300,false,false,false
PMID_40192349_GLM1,PMID_40192349,metabolic improvement,cohort study,multiple component groups,multiple component groups,,,,,moderate_uncertainty,moderate_uncertainty,0.300,0.300,false,false,false
PMID_40215650_GLM1,PMID_40215650,gut microbiota modulation,animal study,catechins,catechins,,,,,moderate_uncertainty,moderate_uncertainty,0.300,0.300,false,false,false
PMID_40215650_GLM2,PMID_40215650,anti-inflammatory,animal study,catechins,catechins,,,,,moderate_uncertainty,moderate_uncertainty,0.300,0.300,false,false,false
