batch_name,date_searched,search_id,query_id,query_name,query_string,date_filter,result_count,returned_count,export_filename,notes
tea_full_test_2026-04-01,2026-04-01,S001,Q1,Broad review retrieval,"((""tea""[Title/Abstract] OR ""green tea""[Title/Abstract] OR ""oolong tea""[Title/Abstract] OR ""black tea""[Title/Abstract] OR ""Camellia sinensis""[Title/Abstract]) AND (""review""[Publication Type] OR review[Title]) AND (""bioactive""[Title/Abstract] OR ""functional activity""[Title/Abstract] OR antioxidant[Title/Abstract] OR anti-inflammatory[Title/Abstract] OR microbiota[Title/Abstract] OR metabolic[Title/Abstract]))",2022/01/01:2026/03/31,681,5,tea_full_test_2026-04-01/normalized_included_papers.csv,query_id=Q1; returned_top_n=5
tea_full_test_2026-04-01,2026-04-01,S002,Q2,Functional activity primary studies,"((""tea""[Title/Abstract] OR ""green tea""[Title/Abstract] OR ""oolong tea""[Title/Abstract] OR ""black tea""[Title/Abstract] OR ""Camellia sinensis""[Title/Abstract]) AND (""tea extract""[Title/Abstract] OR ""catechin*""[Title/Abstract] OR EGCG[Title/Abstract] OR theaflavin*[Title/Abstract] OR theanine[Title/Abstract] OR caffeine[Title/Abstract] OR ""tea polysaccharide*""[Title/Abstract] OR ""tea polyphenol*""[Title/Abstract]) AND (""antioxidant""[Title/Abstract] OR ""anti-inflammatory""[Title/Abstract] OR inflammation[Title/Abstract] OR obesity[Title/Abstract] OR metabolic[Title/Abstract] OR neuroprotect*[Title/Abstract] OR cardiovascular[Title/Abstract]))",2022/01/01:2026/03/31,1659,5,tea_full_test_2026-04-01/normalized_included_papers.csv,query_id=Q2; returned_top_n=5
tea_full_test_2026-04-01,2026-04-01,S003,Q3,Microbiome-focused studies,"((""tea""[Title/Abstract] OR ""green tea""[Title/Abstract] OR ""oolong tea""[Title/Abstract] OR ""black tea""[Title/Abstract] OR ""fermented tea""[Title/Abstract] OR ""Camellia sinensis""[Title/Abstract]) AND (""gut microbiota""[Title/Abstract] OR microbiome[Title/Abstract] OR ""short-chain fatty acid*""[Title/Abstract] OR SCFA[Title/Abstract] OR barrier[Title/Abstract]) AND (""tea extract""[Title/Abstract] OR ""tea polyphenol*""[Title/Abstract] OR catechin*[Title/Abstract] OR theaflavin*[Title/Abstract]))",2022/01/01:2026/03/31,253,5,tea_full_test_2026-04-01/normalized_included_papers.csv,query_id=Q3; returned_top_n=5
tea_full_test_2026-04-01,2026-04-01,S004,Q4,Processing-aware studies,"((""tea""[Title/Abstract] OR ""green tea""[Title/Abstract] OR ""oolong tea""[Title/Abstract] OR ""black tea""[Title/Abstract] OR ""Camellia sinensis""[Title/Abstract]) AND (processing[Title/Abstract] OR extraction[Title/Abstract] OR fermentation[Title/Abstract] OR ""ultrasound extraction""[Title/Abstract] OR ""microwave extraction""[Title/Abstract] OR ""supercritical extraction""[Title/Abstract]) AND (""bioactive""[Title/Abstract] OR antioxidant[Title/Abstract] OR anti-inflammatory[Title/Abstract] OR metabol*[Title/Abstract] OR microbiota[Title/Abstract]))",2022/01/01:2026/03/31,1022,5,tea_full_test_2026-04-01/normalized_included_papers.csv,query_id=Q4; returned_top_n=5
tea_full_test_2026-04-01,2026-04-01,S005,Q5,Human evidence,"((""tea""[Title/Abstract] OR ""green tea""[Title/Abstract] OR ""oolong tea""[Title/Abstract] OR ""black tea""[Title/Abstract] OR ""Camellia sinensis""[Title/Abstract]) AND (""randomized controlled trial""[Publication Type] OR ""cohort""[Title/Abstract] OR ""meta-analysis""[Publication Type] OR ""prospective""[Title/Abstract]) AND (antioxidant[Title/Abstract] OR inflammation[Title/Abstract] OR obesity[Title/Abstract] OR metabolic[Title/Abstract] OR cardiovascular[Title/Abstract]))",2022/01/01:2026/03/31,247,5,tea_full_test_2026-04-01/normalized_included_papers.csv,query_id=Q5; returned_top_n=5
tea_full_prod_2026-04-01,2026-04-01,S001,Q1,Broad review retrieval,"((""tea""[Title/Abstract] OR ""green tea""[Title/Abstract] OR ""oolong tea""[Title/Abstract] OR ""black tea""[Title/Abstract] OR ""Camellia sinensis""[Title/Abstract]) AND (""review""[Publication Type] OR review[Title]) AND (""bioactive""[Title/Abstract] OR ""functional activity""[Title/Abstract] OR antioxidant[Title/Abstract] OR anti-inflammatory[Title/Abstract] OR microbiota[Title/Abstract] OR metabolic[Title/Abstract]))",2022/01/01:2026/03/31,681,100,tea_full_prod_2026-04-01/normalized_included_papers.csv,query_id=Q1; returned_top_n=100
tea_full_prod_2026-04-01,2026-04-01,S002,Q2,Functional activity primary studies,"((""tea""[Title/Abstract] OR ""green tea""[Title/Abstract] OR ""oolong tea""[Title/Abstract] OR ""black tea""[Title/Abstract] OR ""Camellia sinensis""[Title/Abstract]) AND (""tea extract""[Title/Abstract] OR ""catechin*""[Title/Abstract] OR EGCG[Title/Abstract] OR theaflavin*[Title/Abstract] OR theanine[Title/Abstract] OR caffeine[Title/Abstract] OR ""tea polysaccharide*""[Title/Abstract] OR ""tea polyphenol*""[Title/Abstract]) AND (""antioxidant""[Title/Abstract] OR ""anti-inflammatory""[Title/Abstract] OR inflammation[Title/Abstract] OR obesity[Title/Abstract] OR metabolic[Title/Abstract] OR neuroprotect*[Title/Abstract] OR cardiovascular[Title/Abstract]))",2022/01/01:2026/03/31,1659,100,tea_full_prod_2026-04-01/normalized_included_papers.csv,query_id=Q2; returned_top_n=100
tea_full_prod_2026-04-01,2026-04-01,S003,Q3,Microbiome-focused studies,"((""tea""[Title/Abstract] OR ""green tea""[Title/Abstract] OR ""oolong tea""[Title/Abstract] OR ""black tea""[Title/Abstract] OR ""fermented tea""[Title/Abstract] OR ""Camellia sinensis""[Title/Abstract]) AND (""gut microbiota""[Title/Abstract] OR microbiome[Title/Abstract] OR ""short-chain fatty acid*""[Title/Abstract] OR SCFA[Title/Abstract] OR barrier[Title/Abstract]) AND (""tea extract""[Title/Abstract] OR ""tea polyphenol*""[Title/Abstract] OR catechin*[Title/Abstract] OR theaflavin*[Title/Abstract]))",2022/01/01:2026/03/31,253,100,tea_full_prod_2026-04-01/normalized_included_papers.csv,query_id=Q3; returned_top_n=100
tea_full_prod_2026-04-01,2026-04-01,S004,Q4,Processing-aware studies,"((""tea""[Title/Abstract] OR ""green tea""[Title/Abstract] OR ""oolong tea""[Title/Abstract] OR ""black tea""[Title/Abstract] OR ""Camellia sinensis""[Title/Abstract]) AND (processing[Title/Abstract] OR extraction[Title/Abstract] OR fermentation[Title/Abstract] OR ""ultrasound extraction""[Title/Abstract] OR ""microwave extraction""[Title/Abstract] OR ""supercritical extraction""[Title/Abstract]) AND (""bioactive""[Title/Abstract] OR antioxidant[Title/Abstract] OR anti-inflammatory[Title/Abstract] OR metabol*[Title/Abstract] OR microbiota[Title/Abstract]))",2022/01/01:2026/03/31,1022,100,tea_full_prod_2026-04-01/normalized_included_papers.csv,query_id=Q4; returned_top_n=100
tea_full_prod_2026-04-01,2026-04-01,S005,Q5,Human evidence,"((""tea""[Title/Abstract] OR ""green tea""[Title/Abstract] OR ""oolong tea""[Title/Abstract] OR ""black tea""[Title/Abstract] OR ""Camellia sinensis""[Title/Abstract]) AND (""randomized controlled trial""[Publication Type] OR ""cohort""[Title/Abstract] OR ""meta-analysis""[Publication Type] OR ""prospective""[Title/Abstract]) AND (antioxidant[Title/Abstract] OR inflammation[Title/Abstract] OR obesity[Title/Abstract] OR metabolic[Title/Abstract] OR cardiovascular[Title/Abstract]))",2022/01/01:2026/03/31,247,100,tea_full_prod_2026-04-01/normalized_included_papers.csv,query_id=Q5; returned_top_n=100
