node_id,node_type,label,year,journal,title,effect_direction,confidence_score,claim_text_raw
mechanism:taurine_metabolism_genera_increase,Mechanism,taurine-metabolism genera increase,,,,,,
paper:PMID_39255891,Paper,PMID_39255891,2024,International Journal of Biological Macromolecules,Tea (Camellia sinensis L.) flower polysaccharide attenuates metabolic syndrome in high-fat diet induced mice in association with modulation of gut microbiota,,,
record:PMID_39255891_R1,EvidenceRecord,PMID_39255891_R1,,,,positive,0.96,"TFPS significantly mitigated HFD-induced metabolic syndrome, including reductions in body weight, fat accumulation, liver steatosis, TC, TG, LDL-C, and pro-inflammatory cytokines TNF-alpha, IL-6, and IL-1beta, with increased IL-10."
mechanism:reduced_pro_inflammatory_cytokines,Mechanism,reduced pro-inflammatory cytokines,,,,,,
mechanism:metabolic_syndrome_attenuation,Mechanism,metabolic syndrome attenuation,,,,,,
microbiota:taxa_to_be_verified_from_full_text,MicrobiotaFeature,taxa to be verified from full text,,,,,,
record:PMID_39255891_R2,EvidenceRecord,PMID_39255891_R2,,,,positive,0.94,Tea flower polysaccharide attenuated metabolic syndrome in association with modulation of gut microbiota in HFD-induced mice.
mechanism:gut_microbiota_associated_metabolic_regulation,Mechanism,gut microbiota-associated metabolic regulation,,,,,,
paper:PMID_39274868,Paper,PMID_39274868,2024,Molecules,Effects of Differently Processed Tea on the Gut Microbiota,,,
record:PMID_39274868_R1,EvidenceRecord,PMID_39274868_R1,,,,positive,0.95,Review on differently processed tea and gut microbiota effects across tea types.
mechanism:microbiota_mediated_modulation,Mechanism,microbiota-mediated modulation,,,,,,
paper:PMID_39452088,Paper,PMID_39452088,2024,Biology,Harnessing the Power of Fermented Tea to Improve Gut Microbiota and Combat Obesity Epidemic,,,
record:PMID_39452088_R1,EvidenceRecord,PMID_39452088_R1,,,,positive,0.92,Review summarizing fermented tea effects on gut microbiota and obesity-related outcomes.
mechanism:microbiota_mediated_anti_obesity_mechanisms,Mechanism,microbiota-mediated anti-obesity mechanisms,,,,,,
paper:PMID_39479919,Paper,PMID_39479919,2024,Food & Function,Inhibitory effect of tea flower polysaccharides on oxidative stress and microglial oxidative damage in aging mice by regulating gut microbiota,,,
record:PMID_39479919_R1,EvidenceRecord,PMID_39479919_R1,,,,positive,0.97,"TFPS improved gut microbiota homeostasis, reduced the Firmicutes to Bacteroidota ratio, increased Lactobacillus, increased SOD CAT and POD activity, and reduced MDA in aging mice."
mechanism:nf_kb_suppression,Mechanism,NF-kB suppression,,,,,,
mechanism:antioxidant_enzyme_restoration,Mechanism,antioxidant enzyme restoration,,,,,,
mechanism:oxidative_stress_reduction,Mechanism,oxidative stress reduction,,,,,,
microbiota:firmicutes_bacteroidota_ratio_lactobacillus,MicrobiotaFeature,Firmicutes/Bacteroidota ratio; Lactobacillus,,,,,,
phenotype:oxidative_damage_phenotype,HostPhenotype,oxidative damage phenotype,,,,,,
record:PMID_39479919_R2,EvidenceRecord,PMID_39479919_R2,,,,positive,0.96,"TFPS reduced excessive hippocampal microglial activation, down-regulated IL-6 IL-1beta TNF-alpha and NF-kB, and alleviated neuroinflammation in aging mice while regulating gut microbiota."
mechanism:microglial_activation_reduction,Mechanism,microglial activation reduction,,,,,,
mechanism:neuroinflammation_suppression,Mechanism,neuroinflammation suppression,,,,,,
phenotype:microglial_oxidative_damage,HostPhenotype,microglial oxidative damage,,,,,,
paper:PMID_39574401,Paper,PMID_39574401,2024,Molecular Nutrition and Food Research,Tea Polyphenols Reduced Obesity by Modulating Gut Microbiota-SCFAs-Barrier and Inflammation in High-Fat Diet-Induced Mice,,,
record:PMID_39574401_R1,EvidenceRecord,PMID_39574401_R1,,,,positive,0.97,"Tea polyphenols attenuated HFD-induced weight gain, liver and adipose accumulation, improved liver fat content, and suppressed inflammatory signaling while modulating gut microbiota and SCFAs."
mechanism:gut_barrier_preservation,Mechanism,gut barrier preservation,,,,,,
mechanism:tlr4_signaling_inhibition,Mechanism,TLR4 signaling inhibition,,,,,,
mechanism:inflammatory_cytokine_suppression,Mechanism,inflammatory cytokine suppression,,,,,,
microbiota:blautia_faecalibaculum_colidextribacter,MicrobiotaFeature,Blautia; Faecalibaculum; Colidextribacter,,,,,,
metabolite:scfas,MicrobialMetabolite,SCFAs,,,,,,
record:PMID_39574401_R2,EvidenceRecord,PMID_39574401_R2,,,,positive,0.97,"Tea polyphenols increased Blautia and Faecalibaculum, reduced Colidextribacter, activated G protein-coupled receptors, inhibited histone deacetylases, enhanced intestinal tight junction expression, and preserved intestinal barrier integrity."
mechanism:g_protein_coupled_receptor_activation,Mechanism,G protein-coupled receptor activation,,,,,,
mechanism:histone_deacetylase_inhibition,Mechanism,histone deacetylase inhibition,,,,,,
mechanism:tight_junction_enhancement,Mechanism,tight junction enhancement,,,,,,
mechanism:barrier_protection,Mechanism,barrier protection,,,,,,
phenotype:intestinal_barrier_integrity_and_reduced_inflammation_state,HostPhenotype,intestinal barrier integrity and reduced inflammation state,,,,,,
paper:PMID_39732435,Paper,PMID_39732435,2025,Journal of Nutrition,Regular Consumption of Black Tea Kombucha Modulates the Gut Microbiota in Individuals with and without Obesity,,,
record:PMID_39732435_R1,EvidenceRecord,PMID_39732435_R1,,,,positive,0.97,"Regular black tea kombucha consumption positively influenced gut microbiota in both normal and obese groups, with enrichment of commensal bacteria such as Bacteroidota and Akkermansiaceae and reduction of Ruminococcus and Dorea, especially in the obese group."
tea_type:black_tea,TeaType,black tea,,,,,,
component_group:whole_extract,ComponentGroup,whole extract,,,,,,
mechanism:commensal_enrichment_in_obese_subgroup,Mechanism,commensal enrichment in obese subgroup,,,,,,
microbiota:bacteroidota_akkermansiaceae_subdoligranulum_ruminococcus_dorea,MicrobiotaFeature,Bacteroidota; Akkermansiaceae; Subdoligranulum; Ruminococcus; Dorea,,,,,,
phenotype:microbiota_profile,HostPhenotype,microbiota profile,,,,,,
paper:PMID_40160899,Paper,PMID_40160899,2025,British Journal of Nutrition,Effects of green tea supplementation on antioxidant status and inflammatory markers in adults: a grade-assessed systematic review and dose-response meta-analysis of randomised controlled trials,,,
record:PMID_40160899_R1,EvidenceRecord,PMID_40160899_R1,,,,positive,"Green tea improved oxidative status markers including TAC, SOD, GPX and reduced MDA in the meta-analysis.",
record:PMID_40160899_R2,EvidenceRecord,PMID_40160899_R2,,,,mixed,"Green tea showed limited or mixed effects on inflammatory markers, with improvement not consistent across CRP, IL-6 and TNF-alpha.",
paper:PMID_40314930,Paper,PMID_40314930,2025,Nutrition Reviews,Effects of Tea (Camellia sinensis) or its Bioactive Compounds l-Theanine or l-Theanine plus Caffeine on Cognition Sleep and Mood in Healthy Participants: A Systematic Review and Meta-Analysis of Randomized Controlled Trials,,,
record:PMID_40314930_R1,EvidenceRecord,PMID_40314930_R1,,,,mixed,codex_v1,0.91
component_group:theanine,ComponentGroup,theanine,,,,,,
phenotype:systematic_review_and_meta_analysis_of_rcts_on_tea_or_l_theanine_or_l_theanine_plus_caffeine_reporting_cognition_related_outcomes_in_healthy_participants,HostPhenotype,Systematic review and meta-analysis of RCTs on tea or L-theanine or L-theanine plus caffeine reporting cognition-related outcomes in healthy participants.,,,,,,
paper:PMID_40640361,Paper,PMID_40640361,2025,Scientific Reports,Effects of tea polysaccharides on gut microbiota and physiological health indicators in mice,,,
record:PMID_40640361_R1,EvidenceRecord,PMID_40640361_R1,,,,positive,0.91,Tea polysaccharides altered gut microbiota and physiological health indicators in mice.
mechanism:physiology_associated_microbiota_modulation,Mechanism,physiology-associated microbiota modulation,,,,,,
phenotype:physiological_health_indicators,HostPhenotype,physiological health indicators,,,,,,
record:PMID_40640361_R2,EvidenceRecord,PMID_40640361_R2,,,,positive,0.89,Tea polysaccharides improved physiological health indicators in mice alongside gut microbiota changes.
mechanism:microbiota_associated_physiological_regulation,Mechanism,microbiota-associated physiological regulation,,,,,,
paper:PMID_40957830,Paper,PMID_40957830,2025,Journal of Agricultural and Food Chemistry,Bai Mao Tea Polysaccharides Induce Adipose Tissue Browning and Ameliorate Diet-Induced Obesity by Modulating Butyrate Production and Gut Microbiota Composition,,,
record:PMID_40957830_R1,EvidenceRecord,PMID_40957830_R1,,,,positive,0.97,"BMTP significantly reduced body weight, improved insulin sensitivity, decreased adipocyte volume, increased multivesicular adipocyte-like cells, and upregulated UCP1 in iWAT and iBAT."
mechanism:microbiota_butyrate_adipose_axis,Mechanism,microbiota-butyrate-adipose axis,,,,,,
mechanism:thermogenesis_activation,Mechanism,thermogenesis activation,,,,,,
microbiota:bifidobacterium_species,MicrobiotaFeature,Bifidobacterium species,,,,,,
metabolite:butyrate,MicrobialMetabolite,butyrate,,,,,,
record:PMID_40957830_R2,EvidenceRecord,PMID_40957830_R2,,,,positive,0.97,BMTP increased serum and colonic butyric acid levels and shifted gut microbiota composition; antibiotic treatment worsened obesity while butyrate supplementation partially restored body weight insulin sensitivity and thermogenic proteins PGC-1alpha and UCP1.
mechanism:butyrate_mediated_adipose_browning,Mechanism,butyrate-mediated adipose browning,,,,,,
mechanism:pgc_1alpha_ucp1_thermogenic_programming,Mechanism,PGC-1alpha/UCP1 thermogenic programming,,,,,,
phenotype:adipose_browning,HostPhenotype,adipose browning,,,,,,
