confidence_score,edge_type,effect_direction,evidence_level,paper_id,record_id,source_id,study_type,target_id,uncertainty_class,uncertainty_flags
0.744,HAS_EVIDENCE_LEVEL,negative,evidence_synthesis_nonquantitative,PMID_41901054,PMID_41901054_GLM1,record:PMID_41901054_GLM1,systematic review,evidence_level:evidence_synthesis_nonquantitative,moderate_uncertainty,generic_mechanism; review_summary_record
0.744,HAS_EFFECT_DIRECTION,negative,evidence_synthesis_nonquantitative,PMID_41901054,PMID_41901054_GLM1,record:PMID_41901054_GLM1,systematic review,effect_direction:negative,moderate_uncertainty,generic_mechanism; review_summary_record
0.744,ASSOCIATED_HOST_PHENOTYPE,negative,evidence_synthesis_nonquantitative,PMID_41901054,PMID_41901054_GLM1,record:PMID_41901054_GLM1,systematic review,phenotype:obesity,moderate_uncertainty,generic_mechanism; review_summary_record
0.744,HAS_UNCERTAINTY_FLAG,negative,evidence_synthesis_nonquantitative,PMID_41901054,PMID_41901054_GLM1,record:PMID_41901054_GLM1,systematic review,uncertainty:generic_mechanism,moderate_uncertainty,generic_mechanism; review_summary_record
0.744,HAS_UNCERTAINTY_FLAG,negative,evidence_synthesis_nonquantitative,PMID_41901054,PMID_41901054_GLM1,record:PMID_41901054_GLM1,systematic review,uncertainty:review_summary_record,moderate_uncertainty,generic_mechanism; review_summary_record
0.710,HAS_RECORD,positive,preclinical_in_vivo,PMID_41899489,PMID_41899489_GLM1,paper:PMID_41899489,animal study,record:PMID_41899489_GLM1,moderate_uncertainty,missing_named_microbiota; missing_processing_or_extraction_context; preclinical_only
0.710,HAS_TEA_TYPE,positive,preclinical_in_vivo,PMID_41899489,PMID_41899489_GLM1,record:PMID_41899489_GLM1,animal study,tea_type:unspecified_tea,moderate_uncertainty,missing_named_microbiota; missing_processing_or_extraction_context; preclinical_only
0.710,HAS_MATERIAL_FORM,positive,preclinical_in_vivo,PMID_41899489,PMID_41899489_GLM1,record:PMID_41899489_GLM1,animal study,material_form:purified_component,moderate_uncertainty,missing_named_microbiota; missing_processing_or_extraction_context; preclinical_only
0.710,HAS_COMPONENT_GROUP,positive,preclinical_in_vivo,PMID_41899489,PMID_41899489_GLM1,record:PMID_41899489_GLM1,animal study,component_group:tea_polysaccharides,moderate_uncertainty,missing_named_microbiota; missing_processing_or_extraction_context; preclinical_only
0.710,SUPPORTS_ACTIVITY,positive,preclinical_in_vivo,PMID_41899489,PMID_41899489_GLM1,record:PMID_41899489_GLM1,animal study,activity:gut_microbiota_modulation,moderate_uncertainty,missing_named_microbiota; missing_processing_or_extraction_context; preclinical_only
0.710,HAS_STUDY_TYPE,positive,preclinical_in_vivo,PMID_41899489,PMID_41899489_GLM1,record:PMID_41899489_GLM1,animal study,study_type:animal_study,moderate_uncertainty,missing_named_microbiota; missing_processing_or_extraction_context; preclinical_only
0.710,HAS_EVIDENCE_LEVEL,positive,preclinical_in_vivo,PMID_41899489,PMID_41899489_GLM1,record:PMID_41899489_GLM1,animal study,evidence_level:preclinical_in_vivo,moderate_uncertainty,missing_named_microbiota; missing_processing_or_extraction_context; preclinical_only
0.710,HAS_EFFECT_DIRECTION,positive,preclinical_in_vivo,PMID_41899489,PMID_41899489_GLM1,record:PMID_41899489_GLM1,animal study,effect_direction:positive,moderate_uncertainty,missing_named_microbiota; missing_processing_or_extraction_context; preclinical_only
0.710,ACTS_VIA,positive,preclinical_in_vivo,PMID_41899489,PMID_41899489_GLM1,record:PMID_41899489_GLM1,animal study,mechanism:gut_liver_axis_promotes_butyrate_production_to_skew_macrophages_to_m2,moderate_uncertainty,missing_named_microbiota; missing_processing_or_extraction_context; preclinical_only
0.710,LINKS_TO_METABOLITE,positive,preclinical_in_vivo,PMID_41899489,PMID_41899489_GLM1,record:PMID_41899489_GLM1,animal study,metabolite:butyric_acid,moderate_uncertainty,missing_named_microbiota; missing_processing_or_extraction_context; preclinical_only
0.710,ASSOCIATED_HOST_PHENOTYPE,positive,preclinical_in_vivo,PMID_41899489,PMID_41899489_GLM1,record:PMID_41899489_GLM1,animal study,phenotype:reduced_liver_inflammation_and_injury,moderate_uncertainty,missing_named_microbiota; missing_processing_or_extraction_context; preclinical_only
0.710,HAS_UNCERTAINTY_FLAG,positive,preclinical_in_vivo,PMID_41899489,PMID_41899489_GLM1,record:PMID_41899489_GLM1,animal study,uncertainty:missing_named_microbiota,moderate_uncertainty,missing_named_microbiota; missing_processing_or_extraction_context; preclinical_only
0.710,HAS_UNCERTAINTY_FLAG,positive,preclinical_in_vivo,PMID_41899489,PMID_41899489_GLM1,record:PMID_41899489_GLM1,animal study,uncertainty:missing_processing_or_extraction_context,moderate_uncertainty,missing_named_microbiota; missing_processing_or_extraction_context; preclinical_only
0.710,HAS_UNCERTAINTY_FLAG,positive,preclinical_in_vivo,PMID_41899489,PMID_41899489_GLM1,record:PMID_41899489_GLM1,animal study,uncertainty:preclinical_only,moderate_uncertainty,missing_named_microbiota; missing_processing_or_extraction_context; preclinical_only
0.683,HAS_RECORD,positive,preclinical_in_vivo,PMID_41899489,PMID_41899489_GLM2,paper:PMID_41899489,animal study,record:PMID_41899489_GLM2,moderate_uncertainty,missing_named_microbiota; missing_processing_or_extraction_context; preclinical_only
0.683,HAS_TEA_TYPE,positive,preclinical_in_vivo,PMID_41899489,PMID_41899489_GLM2,record:PMID_41899489_GLM2,animal study,tea_type:unspecified_tea,moderate_uncertainty,missing_named_microbiota; missing_processing_or_extraction_context; preclinical_only
0.683,HAS_MATERIAL_FORM,positive,preclinical_in_vivo,PMID_41899489,PMID_41899489_GLM2,record:PMID_41899489_GLM2,animal study,material_form:purified_component,moderate_uncertainty,missing_named_microbiota; missing_processing_or_extraction_context; preclinical_only
0.683,HAS_COMPONENT_GROUP,positive,preclinical_in_vivo,PMID_41899489,PMID_41899489_GLM2,record:PMID_41899489_GLM2,animal study,component_group:tea_polysaccharides,moderate_uncertainty,missing_named_microbiota; missing_processing_or_extraction_context; preclinical_only
0.683,SUPPORTS_ACTIVITY,positive,preclinical_in_vivo,PMID_41899489,PMID_41899489_GLM2,record:PMID_41899489_GLM2,animal study,activity:gut_microbiota_modulation,moderate_uncertainty,missing_named_microbiota; missing_processing_or_extraction_context; preclinical_only
0.683,HAS_STUDY_TYPE,positive,preclinical_in_vivo,PMID_41899489,PMID_41899489_GLM2,record:PMID_41899489_GLM2,animal study,study_type:animal_study,moderate_uncertainty,missing_named_microbiota; missing_processing_or_extraction_context; preclinical_only
0.683,HAS_EVIDENCE_LEVEL,positive,preclinical_in_vivo,PMID_41899489,PMID_41899489_GLM2,record:PMID_41899489_GLM2,animal study,evidence_level:preclinical_in_vivo,moderate_uncertainty,missing_named_microbiota; missing_processing_or_extraction_context; preclinical_only
0.683,HAS_EFFECT_DIRECTION,positive,preclinical_in_vivo,PMID_41899489,PMID_41899489_GLM2,record:PMID_41899489_GLM2,animal study,effect_direction:positive,moderate_uncertainty,missing_named_microbiota; missing_processing_or_extraction_context; preclinical_only
0.683,ACTS_VIA,positive,preclinical_in_vivo,PMID_41899489,PMID_41899489_GLM2,record:PMID_41899489_GLM2,animal study,mechanism:tps_promotes_gut_microbiota_production_of_butyric_acid,moderate_uncertainty,missing_named_microbiota; missing_processing_or_extraction_context; preclinical_only
0.683,LINKS_TO_METABOLITE,positive,preclinical_in_vivo,PMID_41899489,PMID_41899489_GLM2,record:PMID_41899489_GLM2,animal study,metabolite:butyric_acid,moderate_uncertainty,missing_named_microbiota; missing_processing_or_extraction_context; preclinical_only
0.683,HAS_UNCERTAINTY_FLAG,positive,preclinical_in_vivo,PMID_41899489,PMID_41899489_GLM2,record:PMID_41899489_GLM2,animal study,uncertainty:missing_named_microbiota,moderate_uncertainty,missing_named_microbiota; missing_processing_or_extraction_context; preclinical_only
0.683,HAS_UNCERTAINTY_FLAG,positive,preclinical_in_vivo,PMID_41899489,PMID_41899489_GLM2,record:PMID_41899489_GLM2,animal study,uncertainty:missing_processing_or_extraction_context,moderate_uncertainty,missing_named_microbiota; missing_processing_or_extraction_context; preclinical_only
0.683,HAS_UNCERTAINTY_FLAG,positive,preclinical_in_vivo,PMID_41899489,PMID_41899489_GLM2,record:PMID_41899489_GLM2,animal study,uncertainty:preclinical_only,moderate_uncertainty,missing_named_microbiota; missing_processing_or_extraction_context; preclinical_only
0.818,HAS_RECORD,unclear,evidence_synthesis_nonquantitative,PMID_41898599,PMID_41898599_GLM1,paper:PMID_41898599,systematic review,record:PMID_41898599_GLM1,low_uncertainty,review_summary_record; uncertain_effect_direction
0.818,HAS_TEA_TYPE,unclear,evidence_synthesis_nonquantitative,PMID_41898599,PMID_41898599_GLM1,record:PMID_41898599_GLM1,systematic review,tea_type:fermented_tea,low_uncertainty,review_summary_record; uncertain_effect_direction
0.818,HAS_MATERIAL_FORM,unclear,evidence_synthesis_nonquantitative,PMID_41898599,PMID_41898599_GLM1,record:PMID_41898599_GLM1,systematic review,material_form:fermented_beverage,low_uncertainty,review_summary_record; uncertain_effect_direction
0.818,HAS_COMPONENT_GROUP,unclear,evidence_synthesis_nonquantitative,PMID_41898599,PMID_41898599_GLM1,record:PMID_41898599_GLM1,systematic review,component_group:mixed_polyphenols,low_uncertainty,review_summary_record; uncertain_effect_direction
0.818,HAS_PROCESSING_STEP,unclear,evidence_synthesis_nonquantitative,PMID_41898599,PMID_41898599_GLM1,record:PMID_41898599_GLM1,systematic review,processing_step:fermentation_oxidation,low_uncertainty,review_summary_record; uncertain_effect_direction
0.818,SUPPORTS_ACTIVITY,unclear,evidence_synthesis_nonquantitative,PMID_41898599,PMID_41898599_GLM1,record:PMID_41898599_GLM1,systematic review,activity:antioxidant,low_uncertainty,review_summary_record; uncertain_effect_direction
0.818,HAS_STUDY_TYPE,unclear,evidence_synthesis_nonquantitative,PMID_41898599,PMID_41898599_GLM1,record:PMID_41898599_GLM1,systematic review,study_type:systematic_review,low_uncertainty,review_summary_record; uncertain_effect_direction
0.818,HAS_EVIDENCE_LEVEL,unclear,evidence_synthesis_nonquantitative,PMID_41898599,PMID_41898599_GLM1,record:PMID_41898599_GLM1,systematic review,evidence_level:evidence_synthesis_nonquantitative,low_uncertainty,review_summary_record; uncertain_effect_direction
0.818,HAS_EFFECT_DIRECTION,unclear,evidence_synthesis_nonquantitative,PMID_41898599,PMID_41898599_GLM1,record:PMID_41898599_GLM1,systematic review,effect_direction:unclear,low_uncertainty,review_summary_record; uncertain_effect_direction
0.818,ACTS_VIA,unclear,evidence_synthesis_nonquantitative,PMID_41898599,PMID_41898599_GLM1,record:PMID_41898599_GLM1,systematic review,mechanism:phenolic_compounds,low_uncertainty,review_summary_record; uncertain_effect_direction
0.818,LINKS_TO_METABOLITE,unclear,evidence_synthesis_nonquantitative,PMID_41898599,PMID_41898599_GLM1,record:PMID_41898599_GLM1,systematic review,metabolite:organic_acids,low_uncertainty,review_summary_record; uncertain_effect_direction
0.818,HAS_UNCERTAINTY_FLAG,unclear,evidence_synthesis_nonquantitative,PMID_41898599,PMID_41898599_GLM1,record:PMID_41898599_GLM1,systematic review,uncertainty:review_summary_record,low_uncertainty,review_summary_record; uncertain_effect_direction
0.818,HAS_UNCERTAINTY_FLAG,unclear,evidence_synthesis_nonquantitative,PMID_41898599,PMID_41898599_GLM1,record:PMID_41898599_GLM1,systematic review,uncertainty:uncertain_effect_direction,low_uncertainty,review_summary_record; uncertain_effect_direction
0.778,HAS_RECORD,unclear,evidence_synthesis_nonquantitative,PMID_41898599,PMID_41898599_GLM2,paper:PMID_41898599,systematic review,record:PMID_41898599_GLM2,moderate_uncertainty,review_summary_record; taxonomy_expansion_needed; uncertain_effect_direction
0.778,HAS_TEA_TYPE,unclear,evidence_synthesis_nonquantitative,PMID_41898599,PMID_41898599_GLM2,record:PMID_41898599_GLM2,systematic review,tea_type:fermented_tea,moderate_uncertainty,review_summary_record; taxonomy_expansion_needed; uncertain_effect_direction
0.778,HAS_MATERIAL_FORM,unclear,evidence_synthesis_nonquantitative,PMID_41898599,PMID_41898599_GLM2,record:PMID_41898599_GLM2,systematic review,material_form:fermented_beverage,moderate_uncertainty,review_summary_record; taxonomy_expansion_needed; uncertain_effect_direction
0.778,HAS_COMPONENT_GROUP,unclear,evidence_synthesis_nonquantitative,PMID_41898599,PMID_41898599_GLM2,record:PMID_41898599_GLM2,systematic review,component_group:mixed_polyphenols,moderate_uncertainty,review_summary_record; taxonomy_expansion_needed; uncertain_effect_direction
0.778,HAS_PROCESSING_STEP,unclear,evidence_synthesis_nonquantitative,PMID_41898599,PMID_41898599_GLM2,record:PMID_41898599_GLM2,systematic review,processing_step:fermentation_oxidation,moderate_uncertainty,review_summary_record; taxonomy_expansion_needed; uncertain_effect_direction
0.778,SUPPORTS_ACTIVITY,unclear,evidence_synthesis_nonquantitative,PMID_41898599,PMID_41898599_GLM2,record:PMID_41898599_GLM2,systematic review,activity:other,moderate_uncertainty,review_summary_record; taxonomy_expansion_needed; uncertain_effect_direction
0.778,HAS_STUDY_TYPE,unclear,evidence_synthesis_nonquantitative,PMID_41898599,PMID_41898599_GLM2,record:PMID_41898599_GLM2,systematic review,study_type:systematic_review,moderate_uncertainty,review_summary_record; taxonomy_expansion_needed; uncertain_effect_direction
0.778,HAS_EVIDENCE_LEVEL,unclear,evidence_synthesis_nonquantitative,PMID_41898599,PMID_41898599_GLM2,record:PMID_41898599_GLM2,systematic review,evidence_level:evidence_synthesis_nonquantitative,moderate_uncertainty,review_summary_record; taxonomy_expansion_needed; uncertain_effect_direction
0.778,HAS_EFFECT_DIRECTION,unclear,evidence_synthesis_nonquantitative,PMID_41898599,PMID_41898599_GLM2,record:PMID_41898599_GLM2,systematic review,effect_direction:unclear,moderate_uncertainty,review_summary_record; taxonomy_expansion_needed; uncertain_effect_direction
0.778,ACTS_VIA,unclear,evidence_synthesis_nonquantitative,PMID_41898599,PMID_41898599_GLM2,record:PMID_41898599_GLM2,systematic review,mechanism:bioactive_compounds,moderate_uncertainty,review_summary_record; taxonomy_expansion_needed; uncertain_effect_direction
0.778,HAS_UNCERTAINTY_FLAG,unclear,evidence_synthesis_nonquantitative,PMID_41898599,PMID_41898599_GLM2,record:PMID_41898599_GLM2,systematic review,uncertainty:review_summary_record,moderate_uncertainty,review_summary_record; taxonomy_expansion_needed; uncertain_effect_direction
0.778,HAS_UNCERTAINTY_FLAG,unclear,evidence_synthesis_nonquantitative,PMID_41898599,PMID_41898599_GLM2,record:PMID_41898599_GLM2,systematic review,uncertainty:taxonomy_expansion_needed,moderate_uncertainty,review_summary_record; taxonomy_expansion_needed; uncertain_effect_direction
0.778,HAS_UNCERTAINTY_FLAG,unclear,evidence_synthesis_nonquantitative,PMID_41898599,PMID_41898599_GLM2,record:PMID_41898599_GLM2,systematic review,uncertainty:uncertain_effect_direction,moderate_uncertainty,review_summary_record; taxonomy_expansion_needed; uncertain_effect_direction
0.736,HAS_RECORD,negative,preclinical_in_vivo,PMID_41897706,PMID_41897706_GLM1,paper:PMID_41897706,animal study,record:PMID_41897706_GLM1,moderate_uncertainty,preclinical_only; taxonomy_expansion_needed
0.736,HAS_TEA_TYPE,negative,preclinical_in_vivo,PMID_41897706,PMID_41897706_GLM1,record:PMID_41897706_GLM1,animal study,tea_type:unspecified_tea,moderate_uncertainty,preclinical_only; taxonomy_expansion_needed
0.736,HAS_MATERIAL_FORM,negative,preclinical_in_vivo,PMID_41897706,PMID_41897706_GLM1,record:PMID_41897706_GLM1,animal study,material_form:purified_component,moderate_uncertainty,preclinical_only; taxonomy_expansion_needed
0.736,HAS_COMPONENT_GROUP,negative,preclinical_in_vivo,PMID_41897706,PMID_41897706_GLM1,record:PMID_41897706_GLM1,animal study,component_group:theaflavins,moderate_uncertainty,preclinical_only; taxonomy_expansion_needed
0.736,HAS_PROCESSING_STEP,negative,preclinical_in_vivo,PMID_41897706,PMID_41897706_GLM1,record:PMID_41897706_GLM1,animal study,processing_step:fermentation_oxidation,moderate_uncertainty,preclinical_only; taxonomy_expansion_needed
0.736,SUPPORTS_ACTIVITY,negative,preclinical_in_vivo,PMID_41897706,PMID_41897706_GLM1,record:PMID_41897706_GLM1,animal study,activity:other,moderate_uncertainty,preclinical_only; taxonomy_expansion_needed
0.736,HAS_STUDY_TYPE,negative,preclinical_in_vivo,PMID_41897706,PMID_41897706_GLM1,record:PMID_41897706_GLM1,animal study,study_type:animal_study,moderate_uncertainty,preclinical_only; taxonomy_expansion_needed
0.736,HAS_EVIDENCE_LEVEL,negative,preclinical_in_vivo,PMID_41897706,PMID_41897706_GLM1,record:PMID_41897706_GLM1,animal study,evidence_level:preclinical_in_vivo,moderate_uncertainty,preclinical_only; taxonomy_expansion_needed
0.736,HAS_EFFECT_DIRECTION,negative,preclinical_in_vivo,PMID_41897706,PMID_41897706_GLM1,record:PMID_41897706_GLM1,animal study,effect_direction:negative,moderate_uncertainty,preclinical_only; taxonomy_expansion_needed
0.736,ACTS_VIA,negative,preclinical_in_vivo,PMID_41897706,PMID_41897706_GLM1,record:PMID_41897706_GLM1,animal study,mechanism:fecal_f_excretion_increase,moderate_uncertainty,preclinical_only; taxonomy_expansion_needed
0.736,HAS_UNCERTAINTY_FLAG,negative,preclinical_in_vivo,PMID_41897706,PMID_41897706_GLM1,record:PMID_41897706_GLM1,animal study,uncertainty:preclinical_only,moderate_uncertainty,preclinical_only; taxonomy_expansion_needed
0.736,HAS_UNCERTAINTY_FLAG,negative,preclinical_in_vivo,PMID_41897706,PMID_41897706_GLM1,record:PMID_41897706_GLM1,animal study,uncertainty:taxonomy_expansion_needed,moderate_uncertainty,preclinical_only; taxonomy_expansion_needed
0.616,HAS_RECORD,unclear,evidence_synthesis_nonquantitative,PMID_41888324,PMID_41888324_GLM1,paper:PMID_41888324,systematic review,record:PMID_41888324_GLM1,moderate_uncertainty,missing_processing_or_extraction_context; review_summary_record; taxonomy_expansion_needed; uncertain_effect_direction
0.616,HAS_TEA_TYPE,unclear,evidence_synthesis_nonquantitative,PMID_41888324,PMID_41888324_GLM1,record:PMID_41888324_GLM1,systematic review,tea_type:unspecified_tea,moderate_uncertainty,missing_processing_or_extraction_context; review_summary_record; taxonomy_expansion_needed; uncertain_effect_direction
0.616,HAS_MATERIAL_FORM,unclear,evidence_synthesis_nonquantitative,PMID_41888324,PMID_41888324_GLM1,record:PMID_41888324_GLM1,systematic review,material_form:unspecified_material,moderate_uncertainty,missing_processing_or_extraction_context; review_summary_record; taxonomy_expansion_needed; uncertain_effect_direction
0.616,HAS_COMPONENT_GROUP,unclear,evidence_synthesis_nonquantitative,PMID_41888324,PMID_41888324_GLM1,record:PMID_41888324_GLM1,systematic review,component_group:mixed_polyphenols,moderate_uncertainty,missing_processing_or_extraction_context; review_summary_record; taxonomy_expansion_needed; uncertain_effect_direction
0.616,SUPPORTS_ACTIVITY,unclear,evidence_synthesis_nonquantitative,PMID_41888324,PMID_41888324_GLM1,record:PMID_41888324_GLM1,systematic review,activity:other,moderate_uncertainty,missing_processing_or_extraction_context; review_summary_record; taxonomy_expansion_needed; uncertain_effect_direction
0.616,HAS_STUDY_TYPE,unclear,evidence_synthesis_nonquantitative,PMID_41888324,PMID_41888324_GLM1,record:PMID_41888324_GLM1,systematic review,study_type:systematic_review,moderate_uncertainty,missing_processing_or_extraction_context; review_summary_record; taxonomy_expansion_needed; uncertain_effect_direction
0.616,HAS_EVIDENCE_LEVEL,unclear,evidence_synthesis_nonquantitative,PMID_41888324,PMID_41888324_GLM1,record:PMID_41888324_GLM1,systematic review,evidence_level:evidence_synthesis_nonquantitative,moderate_uncertainty,missing_processing_or_extraction_context; review_summary_record; taxonomy_expansion_needed; uncertain_effect_direction
0.616,HAS_EFFECT_DIRECTION,unclear,evidence_synthesis_nonquantitative,PMID_41888324,PMID_41888324_GLM1,record:PMID_41888324_GLM1,systematic review,effect_direction:unclear,moderate_uncertainty,missing_processing_or_extraction_context; review_summary_record; taxonomy_expansion_needed; uncertain_effect_direction
0.616,ACTS_VIA,unclear,evidence_synthesis_nonquantitative,PMID_41888324,PMID_41888324_GLM1,record:PMID_41888324_GLM1,systematic review,mechanism:multi_target_pharmacological_effects,moderate_uncertainty,missing_processing_or_extraction_context; review_summary_record; taxonomy_expansion_needed; uncertain_effect_direction
0.616,HAS_UNCERTAINTY_FLAG,unclear,evidence_synthesis_nonquantitative,PMID_41888324,PMID_41888324_GLM1,record:PMID_41888324_GLM1,systematic review,uncertainty:missing_processing_or_extraction_context,moderate_uncertainty,missing_processing_or_extraction_context; review_summary_record; taxonomy_expansion_needed; uncertain_effect_direction
0.616,HAS_UNCERTAINTY_FLAG,unclear,evidence_synthesis_nonquantitative,PMID_41888324,PMID_41888324_GLM1,record:PMID_41888324_GLM1,systematic review,uncertainty:review_summary_record,moderate_uncertainty,missing_processing_or_extraction_context; review_summary_record; taxonomy_expansion_needed; uncertain_effect_direction
0.616,HAS_UNCERTAINTY_FLAG,unclear,evidence_synthesis_nonquantitative,PMID_41888324,PMID_41888324_GLM1,record:PMID_41888324_GLM1,systematic review,uncertainty:taxonomy_expansion_needed,moderate_uncertainty,missing_processing_or_extraction_context; review_summary_record; taxonomy_expansion_needed; uncertain_effect_direction
0.616,HAS_UNCERTAINTY_FLAG,unclear,evidence_synthesis_nonquantitative,PMID_41888324,PMID_41888324_GLM1,record:PMID_41888324_GLM1,systematic review,uncertainty:uncertain_effect_direction,moderate_uncertainty,missing_processing_or_extraction_context; review_summary_record; taxonomy_expansion_needed; uncertain_effect_direction
0.889,HAS_RECORD,unclear,preclinical_in_vivo,PMID_41884463,PMID_41884463_GLM1,paper:PMID_41884463,animal study,record:PMID_41884463_GLM1,moderate_uncertainty,preclinical_only; taxonomy_expansion_needed; uncertain_effect_direction
0.889,HAS_TEA_TYPE,unclear,preclinical_in_vivo,PMID_41884463,PMID_41884463_GLM1,record:PMID_41884463_GLM1,animal study,tea_type:dark_tea,moderate_uncertainty,preclinical_only; taxonomy_expansion_needed; uncertain_effect_direction
