claim_text_raw,confidence_score,context_completeness_score,journal,label,mechanism_specificity_score,node_id,node_type,title,uncertainty_class,uncertainty_flags,year
,,,,TPS promotes gut microbiota production of butyric acid,,mechanism:tps_promotes_gut_microbiota_production_of_butyric_acid,Mechanism,,,,
,,,International journal of molecular sciences,PMID_41898599,,paper:PMID_41898599,Paper,"Kombucha as a Bioactive Functional Beverage: Current Evidence, Production Challenges, and Future Perspectives.",,,2026
"This composition varies significantly depending on the fermentation conditions, which in turn modifies the beverage's bioactive properties (i.e., antioxidant capacity or antimicrobial properties, among others).",0.818,0.800,,PMID_41898599_GLM1,0.750,record:PMID_41898599_GLM1,EvidenceRecord,,low_uncertainty,review_summary_record; uncertain_effect_direction,
,,,,fermented tea,,tea_type:fermented_tea,TeaType,,,,
,,,,fermented beverage,,material_form:fermented_beverage,MaterialForm,,,,
,,,,fermentation/oxidation,,processing_step:fermentation_oxidation,ProcessingStep,,,,
,,,,antioxidant,,activity:antioxidant,ActivityCategory,,,,
,,,,unclear,,effect_direction:unclear,EffectDirection,,,,
,,,,phenolic compounds,,mechanism:phenolic_compounds,Mechanism,,,,
,,,,organic acids,,metabolite:organic_acids,MicrobialMetabolite,,,,
,,,,uncertain_effect_direction,,uncertainty:uncertain_effect_direction,UncertaintyFlag,,,,
"This composition varies significantly depending on the fermentation conditions, which in turn modifies the beverage's bioactive properties (i.e., antioxidant capacity or antimicrobial properties, among others).",0.778,0.800,,PMID_41898599_GLM2,0.550,record:PMID_41898599_GLM2,EvidenceRecord,,moderate_uncertainty,review_summary_record; taxonomy_expansion_needed; uncertain_effect_direction,
,,,,other,,activity:other,ActivityCategory,,,,
,,,,bioactive compounds,,mechanism:bioactive_compounds,Mechanism,,,,
,,,,taxonomy_expansion_needed,,uncertainty:taxonomy_expansion_needed,UncertaintyFlag,,,,
,,,"Foods (Basel, Switzerland)",PMID_41897706,,paper:PMID_41897706,Paper,Modulatory Effects of Tea Components with Different Fermentation Degrees on Fluoride Bioavailability in Rats.,,,2026
"High-dose EGCG (450 mg/kg) reduced Cmax by 61.76% and total exposure (AUC0-t) by 37.48% compared to the control, while significantly increasing fecal F by 26.79%.",0.736,0.550,,PMID_41897706_GLM1,0.550,record:PMID_41897706_GLM1,EvidenceRecord,,moderate_uncertainty,preclinical_only; taxonomy_expansion_needed,
,,,,theaflavins,,component_group:theaflavins,ComponentGroup,,,,
,,,,Fecal F excretion increase,,mechanism:fecal_f_excretion_increase,Mechanism,,,,
,,,Bioresources and bioprocessing,PMID_41888324,,paper:PMID_41888324,Paper,"Valorization of ligustrum species: biosynthesis, metabolic engineering, and pharmacology of bioactive compounds.",,,2026
"species like L. lucidum and L. robustum are well-documented for their therapeutic roles in nourishing the liver and kidneys, enhancing vision, darkening hair, and serving as functional tea ingredients.",0.616,0.300,,PMID_41888324_GLM1,0.550,record:PMID_41888324_GLM1,EvidenceRecord,,moderate_uncertainty,missing_processing_or_extraction_context; review_summary_record; taxonomy_expansion_needed; uncertain_effect_direction,
,,,,unspecified material,,material_form:unspecified_material,MaterialForm,,,,
,,,,multi-target pharmacological effects,,mechanism:multi_target_pharmacological_effects,Mechanism,,,,
,,,Food chemistry: X,PMID_41884463,,paper:PMID_41884463,Paper,Temperature regulates flavor and bioactivity in dark tea fermentation: Insights from an A spergillus tubingensis single-strain model.,,,2026
"Low temperatures produced a mushroom-like aroma profile dominated by 1-octen-3-ol at dark tea fermentation, while high temperatures yielded a floral-woody profile via massive accumulation of beta-ionone.",0.889,0.800,,PMID_41884463_GLM1,0.750,record:PMID_41884463_GLM1,EvidenceRecord,,moderate_uncertainty,preclinical_only; taxonomy_expansion_needed; uncertain_effect_direction,
,,,,dark tea,,tea_type:dark_tea,TeaType,,,,
,,,,volatile compounds,,component_group:volatile_compounds,ComponentGroup,,,,
,,,,Temperature-dependent metabolic regulation,,mechanism:temperature_dependent_metabolic_regulation,Mechanism,,,,
,,,,Aspergillus tubingensis,,microbiota:aspergillus_tubingensis,MicrobiotaFeature,,,,
,,,,1-octen-3-ol,,metabolite:1_octen_3_ol,MicrobialMetabolite,,,,
,,,,beta-ionone,,metabolite:beta_ionone,MicrobialMetabolite,,,,
,,,Scientific reports,PMID_41882045,,paper:PMID_41882045,Paper,"Unveiling of phytochemicals, antioxidants, cytotoxic effects and anthelmintic potency of green tea (Camellia sinensis) beverage against albendazole resistant Hamonchus contortus.",,,2026
GT showed potent anthelmintic activity with complete inhibition of egg hatchability and significant larval motility inhibition.,0.795,0.550,,PMID_41882045_GLM1,0.550,record:PMID_41882045_GLM1,EvidenceRecord,,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only; taxonomy_expansion_needed; uncertain_effect_direction,
,,,,tea infusion,,material_form:tea_infusion,MaterialForm,,,,
,,,,cuticle distortion and muscular layer degeneration,,mechanism:cuticle_distortion_and_muscular_layer_degeneration,Mechanism,,,,
Remarkable GT antioxidant qualities were noted where DPPH radical scavenging activity (85.14%).,0.768,0.550,,PMID_41882045_GLM2,0.550,record:PMID_41882045_GLM2,EvidenceRecord,,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only,
,,,,high Total Phenolic Content and catechin profile,,mechanism:high_total_phenolic_content_and_catechin_profile,Mechanism,,,,
,,,Food chemistry,PMID_41880967,,paper:PMID_41880967,Paper,Targeted quantitative analysis and antioxidant activity reveal the quality characteristics of Chinese black teas from different regions.,,,2026
Large-leaf black teas exhibited stronger hydroxyl radical scavenging capacity (111.37-199.25 U/mg) (p ≤ 0.01).,0.795,0.550,,PMID_41880967_GLM1,0.550,record:PMID_41880967_GLM1,EvidenceRecord,,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only,
,,,,black tea,,tea_type:black_tea,TeaType,,,,
,,,,tea leaf,,material_form:tea_leaf,MaterialForm,,,,
,,,,radical scavenging,,mechanism:radical_scavenging,Mechanism,,,,
,,,Cytotechnology,PMID_41868711,,paper:PMID_41868711,Paper,Qing-brick tea alleviates metabolic dysfunction-associated fatty liver disease: involvement of AMPK/ACC and SREBP1/FAS pathways.,,,2026
"QBT effectively prevents the development of MAFLD, which may be associated with the activation of the AMPK/ACC pathway and the suppression of SREBP1/FAS signaling.",0.833,0.800,,PMID_41868711_GLM1,0.550,record:PMID_41868711_GLM1,EvidenceRecord,,low_uncertainty,preclinical_only; uncertain_effect_direction,
,,,,dark/post-fermented tea,,tea_type:dark_post_fermented_tea,TeaType,,,,
,,,,compressed/brick tea processing,,processing_step:compressed_brick_tea_processing,ProcessingStep,,,,
,,,,metabolic improvement,,activity:metabolic_improvement,ActivityCategory,,,,
,,,,AMPK/ACC activation,,mechanism:ampk_acc_activation,Mechanism,,,,
,,,,SREBP1/FAS suppression,,mechanism:srebp1_fas_suppression,Mechanism,,,,
,,,,Metabolic dysfunction-associated fatty liver disease,,phenotype:metabolic_dysfunction_associated_fatty_liver_disease,HostPhenotype,,,,
,,,Poultry science,PMID_41863981,,paper:PMID_41863981,Paper,"Effects of tea polyphenols on intestinal barrier, antioxidant capacity, and cecal microbiota in lion-head geese.",,,2026
Metagenomic sequencing showed lower relative abundances of Firmicutes and Verrucomicrobia... increased Prevotella and Subdoligranulum and decreased Oscillibacter and Desulfovibrio.,0.710,0.300,,PMID_41863981_GLM1,0.750,record:PMID_41863981_GLM1,EvidenceRecord,,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only; uncertain_effect_direction,
,,,,microbiota remodeling,,mechanism:microbiota_remodeling,Mechanism,,,,
,,,,increased Prevotella and Subdoligranulum,,microbiota:increased_prevotella_and_subdoligranulum,MicrobiotaFeature,,,,
,,,,"decreased Oscillibacter, Desulfovibrio, Firmicutes, Verrucomicrobia",,microbiota:decreased_oscillibacter_desulfovibrio_firmicutes_verrucomicrobia,MicrobiotaFeature,,,,
,,,,improved gut health,,phenotype:improved_gut_health,HostPhenotype,,,,
"Dietary supplementation with tea polyphenols significantly increased villus height... mRNA expression of ZO-1, Claudin-5, and Occludin was significantly upregulated... reduced serum lipopolysaccharide (LPS) concentration.",0.698,0.300,,PMID_41863981_GLM2,0.550,record:PMID_41863981_GLM2,EvidenceRecord,,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only; taxonomy_expansion_needed,
,,,,tight junction upregulation,,mechanism:tight_junction_upregulation,Mechanism,,,,
,,,,reduced serum LPS,,phenotype:reduced_serum_lps,HostPhenotype,,,,
,,,,increased villus height and V/C ratio,,phenotype:increased_villus_height_and_v_c_ratio,HostPhenotype,,,,
"Tea polyphenols increased jejunal total antioxidant capacity (T-AOC) and upregulated GPX1, GPX2, HO-1, and Nrf2 mRNA expression... increased glutathione peroxidase (GSH-Px) and total superoxide dismutase (T-SOD) activities, decreased malondialdehyde (MDA) content.",0.717,0.300,,PMID_41863981_GLM3,0.850,record:PMID_41863981_GLM3,EvidenceRecord,,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only,
,,,,Nrf2 pathway activation,,mechanism:nrf2_pathway_activation,Mechanism,,,,
,,,,"increased T-AOC, GSH-Px, T-SOD",,phenotype:increased_t_aoc_gsh_px_t_sod,HostPhenotype,,,,
,,,,decreased MDA,,phenotype:decreased_mda,HostPhenotype,,,,
,,,Current medicinal chemistry,PMID_41863176,,paper:PMID_41863176,Paper,Potential Role and Mechanisms of Epigallocatechin-3-Gallate in Colorectal Cancer.,,,2026
"EGCG inhibits tumorigenesis through several mechanisms, mainly involving modulation of signaling pathways, suppression of inflammation, and regulation of gut microbiota in preclinical studies.",0.768,0.550,,PMID_41863176_GLM1,0.550,record:PMID_41863176_GLM1,EvidenceRecord,,moderate_uncertainty,missing_named_microbiota; missing_processing_or_extraction_context; review_summary_record; uncertain_effect_direction,
,,,,regulation of gut microbiota,,mechanism:regulation_of_gut_microbiota,Mechanism,,,,
,,,,tumorigenesis inhibition,,phenotype:tumorigenesis_inhibition,HostPhenotype,,,,
"EGCG has been shown to inhibit cell proliferation, growth, and invasion, trigger apoptosis, and enhance sensitivity to chemotherapy and radiotherapy in patients with CRC.",0.740,0.550,,PMID_41863176_GLM2,0.550,record:PMID_41863176_GLM2,EvidenceRecord,,moderate_uncertainty,missing_processing_or_extraction_context; review_summary_record; taxonomy_expansion_needed,
,,,,inhibition of cell proliferation and invasion,,mechanism:inhibition_of_cell_proliferation_and_invasion,Mechanism,,,,
,,,,colorectal cancer,,phenotype:colorectal_cancer,HostPhenotype,,,,
,,,Phytomedicine : international journal of phytotherapy and phytopharmacology,PMID_41861686,,paper:PMID_41861686,Paper,Large-leaf yellow tea oligosaccharides alleviate T2DM by promoting GLP-1 secretion and regulating intestinal mucosal barrier.,,,2026
"ELYP also restored intestinal barrier function by enhancing tight-junction proteins and goblet cell numbers, enriching beneficial gut microbiota and SCFAs composition, and promoting a transition of macrophages and T lymphocytes to an anti-inflammatory phenotype.",0.846,0.800,,PMID_41861686_GLM1,0.750,record:PMID_41861686_GLM1,EvidenceRecord,,low_uncertainty,preclinical_only,
,,,,yellow tea,,tea_type:yellow_tea,TeaType,,,,
,,,,enzymatic treatment,,processing_step:enzymatic_treatment,ProcessingStep,,,,
,,,,barrier-related mechanism,,mechanism:barrier_related_mechanism,Mechanism,,,,
,,,,beneficial gut microbiota,,microbiota:beneficial_gut_microbiota,MicrobiotaFeature,,,,
,,,,SCFAs,,metabolite:scfas,MicrobialMetabolite,,,,
,,,,intestinal barrier integrity,,phenotype:intestinal_barrier_integrity,HostPhenotype,,,,
"It significantly increased plasma GLP-1 levels and upregulated genes related to GLP-1 synthesis, processing, and release synthesis and secretion.",0.852,0.800,,PMID_41861686_GLM2,0.850,record:PMID_41861686_GLM2,EvidenceRecord,,low_uncertainty,missing_named_microbiota; preclinical_only,
,,,,hormone signaling,,mechanism:hormone_signaling,Mechanism,,,,
,,,,glucose homeostasis,,phenotype:glucose_homeostasis,HostPhenotype,,,,
,,,Food chemistry. Molecular sciences,PMID_41859366,,paper:PMID_41859366,Paper,Identification of a unique tea germplasm exhibiting hyperaccumulation of trans-catechins and its molecular regulatory mechanism.,,,2026
"Y5 preferentially hyperaccumulates trans-catechins over cis-catechins, with gallocatechin gallate (GCG) reaching 70.1 ± 0.3 mg/g.",0.698,0.300,,PMID_41859366_GLM1,0.550,record:PMID_41859366_GLM1,EvidenceRecord,,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only; taxonomy_expansion_needed,
,,,,regulation by SCPL acyltransferases and MATE transporters,,mechanism:regulation_by_scpl_acyltransferases_and_mate_transporters,Mechanism,,,,
,,,Food chemistry: X,PMID_41858500,,paper:PMID_41858500,Paper,Covalent modification of flaxseed protein isolate by polyphenols and characterization of the structural and functional properties of the conjugates.,,,2026
the antioxidant activities of FPI-polyphenol conjugates and the non-covalent mixtures were higher than those of FPI.,0.723,0.500,,PMID_41858500_GLM1,0.550,record:PMID_41858500_GLM1,EvidenceRecord,,moderate_uncertainty,preclinical_only,
,,,,tea extract,,material_form:tea_extract,MaterialForm,,,,
,,,,other extraction,,extraction_method:other_extraction,ExtractionMethod,,,,
,,,,polyphenol conjugation,,mechanism:polyphenol_conjugation,Mechanism,,,,
"The FPI-polyphenol conjugates showed higher emulsifying activity and foaming ability than FPI, with the highest emulsification seen in the FPI-TP-A conjugate.",0.723,0.500,,PMID_41858500_GLM2,0.550,record:PMID_41858500_GLM2,EvidenceRecord,,moderate_uncertainty,preclinical_only; taxonomy_expansion_needed,
,,,,structural modification,,mechanism:structural_modification,Mechanism,,,,
,,,Journal of chromatography. A,PMID_41855828,,paper:PMID_41855828,Paper,Comparison of volatile organic compounds and antioxidant activity in Dendrobii Officinalis Flos under different drying methods.,,,2026
"Fresh samples showed the strongest bioactivity, followed by VFD-treated ones.",0.633,0.300,,PMID_41855828_GLM1,0.000,record:PMID_41855828_GLM1,EvidenceRecord,,moderate_uncertainty,generic_mechanism; missing_processing_or_extraction_context; preclinical_only,
,,,,multiple component groups,,component_group:multiple_component_groups,ComponentGroup,,,,
,,,Food chemistry: X,PMID_41853609,,paper:PMID_41853609,Paper,Effects of the flowering process on the metabolite profiles and bioactivities of Shaanxi Fu brick tea.,,,2026
Correlation analysis revealed that antioxidant capacity was closely associated with echinulin and 6-gingerol.,0.721,0.550,,PMID_41853609_GLM1,0.750,record:PMID_41853609_GLM1,EvidenceRecord,,moderate_uncertainty,preclinical_only; taxonomy_expansion_needed; uncertain_effect_direction,
,,,,caffeine,,component_group:caffeine,ComponentGroup,,,,
,,,,metabolite correlation,,mechanism:metabolite_correlation,Mechanism,,,,
,,,,echinulin,,metabolite:echinulin,MicrobialMetabolite,,,,
,,,,6-gingerol,,metabolite:6_gingerol,MicrobialMetabolite,,,,
"Correlation analysis revealed that hypolipidaemic effect was correlated with fuzhuanin A, teadenol A, and betaine.",0.721,0.550,,PMID_41853609_GLM2,0.750,record:PMID_41853609_GLM2,EvidenceRecord,,moderate_uncertainty,preclinical_only; uncertain_effect_direction,
,,,,fuzhuanin A,,metabolite:fuzhuanin_a,MicrobialMetabolite,,,,
,,,,teadenol A,,metabolite:teadenol_a,MicrobialMetabolite,,,,
,,,,betaine,,metabolite:betaine,MicrobialMetabolite,,,,
,,,Food chemistry: X,PMID_41853598,,paper:PMID_41853598,Paper,From chemical characterization to functional validation: Screening of anti-hyperglycemic components and their action mechanisms in differentially fermented teas.,,,2026
"In vivo, TSA's hypoglycemic effect in diabetic mice was mediated by enhanced insulin secretion, linked to lipid, amino acid, and fatty acid metabolism.",0.860,0.800,,PMID_41853598_GLM2,0.550,record:PMID_41853598_GLM2,EvidenceRecord,,low_uncertainty,preclinical_only,
,,,,enhanced insulin secretion,,mechanism:enhanced_insulin_secretion,Mechanism,,,,
,,,,diabetes,,phenotype:diabetes,HostPhenotype,,,,
,,,Food chemistry: X,PMID_41853594,,paper:PMID_41853594,Paper,Mutual interactions between HG-LG gellan gum and tea polyphenols: Concentration-dependent structural modulation and enhanced antioxidant stability.,,,2026
"The gels retained over 90% DPPH radical scavenging activity following prolonged heating, demonstrating enhanced stability.",0.747,0.550,,PMID_41853594_GLM1,0.550,record:PMID_41853594_GLM1,EvidenceRecord,,moderate_uncertainty,preclinical_only,
,,,,storage/aging,,processing_step:storage_aging,ProcessingStep,,,,
,,,,hydrogen bonding and electrostatic interactions,,mechanism:hydrogen_bonding_and_electrostatic_interactions,Mechanism,,,,
,,,Journal of the science of food and agriculture,PMID_41839755,,paper:PMID_41839755,Paper,Commercial kombucha beverages produced in Uruguay: physicochemical composition and antioxidant profile.,,,2026
samples with lower residual sugar and higher levels of fermentation metabolites also showed greater antioxidant potential.,0.858,1.000,,PMID_41839755_GLM1,0.550,record:PMID_41839755_GLM1,EvidenceRecord,,low_uncertainty,preclinical_only,
,,,,aqueous extraction,,extraction_method:aqueous_extraction,ExtractionMethod,,,,
,,,,total polyphenol content,,mechanism:total_polyphenol_content,Mechanism,,,,
,,,Food chemistry,PMID_41839464,,paper:PMID_41839464,Paper,Preparation and characterization of chitosan‑sodium alginate complex edible casings incorporated with tea polyphenols and their application in dry-cured sausages.,,,2026
the optimized casing...significantly inhibited protein and lipid oxidation and the microbial growth of dry-cured sausages during the storage period.,0.736,0.550,,PMID_41839464_GLM1,0.550,record:PMID_41839464_GLM1,EvidenceRecord,,moderate_uncertainty,preclinical_only; taxonomy_expansion_needed,
,,,International journal of biological macromolecules,PMID_41833670,,paper:PMID_41833670,Paper,Postbiotic-assisted synthesis of cerium oxide nanocomposites functionalized with folic acid-chitosan and tea polyphenols for redox-regulated anticancer activity.,,,2026
The nanocomposite showed strong antioxidant capacity in DPPH and ABTS assays.,0.698,0.300,,PMID_41833670_GLM1,0.550,record:PMID_41833670_GLM1,EvidenceRecord,,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only,
,,,,redox activity,,mechanism:redox_activity,Mechanism,,,,
FA-CS-LG-CeO2-TP NCs induced significant cytotoxicity in MDA-MB-231 cells (≈60% reduction in viability) via ROS-mediated apoptosis.,0.698,0.300,,PMID_41833670_GLM2,0.550,record:PMID_41833670_GLM2,EvidenceRecord,,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only; taxonomy_expansion_needed,
,,,,ROS-mediated apoptosis,,mechanism:ros_mediated_apoptosis,Mechanism,,,,
,,,,Triple-negative breast cancer,,phenotype:triple_negative_breast_cancer,HostPhenotype,,,,
,,,Nutrients,PMID_41830022,,paper:PMID_41830022,Paper,Green Tea Catechin Plus Inulin Improves Insulin Resistance Without Reducing Visceral Fat and Shows Exploratory Gut Microbiota Signals in Adults with Visceral Obesity: A Double-Blind Randomized Controlled Trial.,,,2026
HOMA-IR decreased in the catechin + inulin group... yielding a significant between-group difference... Changes in Coprococcus were inversely correlated with changes in HOMA-IR.,0.753,0.550,,PMID_41830022_GLM1,0.750,record:PMID_41830022_GLM1,EvidenceRecord,,moderate_uncertainty,generic_mechanism; missing_processing_or_extraction_context,
,,,,randomized controlled trial,,study_type:randomized_controlled_trial,StudyType,,,,
,,,,human_interventional,,evidence_level:human_interventional,EvidenceLevel,,,,
,,,,microbiota-associated mechanism,,mechanism:microbiota_associated_mechanism,Mechanism,,,,
,,,,Coprococcus,,microbiota:coprococcus,MicrobiotaFeature,,,,
,,,,Bifidobacterium,,microbiota:bifidobacterium,MicrobiotaFeature,,,,
,,,,insulin resistance,,phenotype:insulin_resistance,HostPhenotype,,,,
The 12-week change in VFA did not differ between groups (mean change: +0.91 vs. +4.61 cm2; p = 0.243).,0.733,0.550,,PMID_41830022_GLM2,0.000,record:PMID_41830022_GLM2,EvidenceRecord,,moderate_uncertainty,generic_mechanism; missing_processing_or_extraction_context; uncertain_effect_direction,
,,,,no_clear_effect,,effect_direction:no_clear_effect,EffectDirection,,,,
,,,,visceral obesity,,phenotype:visceral_obesity,HostPhenotype,,,,
,,,Nutrients,PMID_41829951,,paper:PMID_41829951,Paper,Dietary Polyphenols as Modulators of Bifidobacterium in the Human Gut Microbiota.,,,2026
The meta-analysis revealed a significant positive effect of polyphenol intake on Bifidobacterium abundance (SMD = 0.81; 95% CI: 0.18-1.44; p = 0.0114).,0.860,0.750,,PMID_41829951_GLM1,0.750,record:PMID_41829951_GLM1,EvidenceRecord,,moderate_uncertainty,generic_mechanism,
,,,,meta-analysis,,study_type:meta_analysis,StudyType,,,,
,,,,evidence_synthesis,,evidence_level:evidence_synthesis,EvidenceLevel,,,,
,,,,metabolic health,,phenotype:metabolic_health,HostPhenotype,,,,
"Across the 22 reviewed studies, polyphenols-particularly flavonoids and phenolic acids from foods such as berries, grape pomace, and green tea-consistently increased beneficial microbial taxa including Bifidobacterium, Faecalibacterium, and Lactobacillus.",0.833,0.750,,PMID_41829951_GLM2,0.750,record:PMID_41829951_GLM2,EvidenceRecord,,moderate_uncertainty,generic_mechanism,
,,,,Faecalibacterium,,microbiota:faecalibacterium,MicrobiotaFeature,,,,
,,,,Lactobacillus,,microbiota:lactobacillus,MicrobiotaFeature,,,,
,,,,metabolic markers,,phenotype:metabolic_markers,HostPhenotype,,,,
,,,,inflammation,,phenotype:inflammation,HostPhenotype,,,,
,,,,gut barrier integrity,,phenotype:gut_barrier_integrity,HostPhenotype,,,,
,,,"Foods (Basel, Switzerland)",PMID_41829159,,paper:PMID_41829159,Paper,Probiotic-Driven Metabolic Transformation in Dark Tea: Enhanced Bioactives and Gut Microbiota Modulation Underlie Its Alleviation Effect Against Constipation.,,,2026
"FDT intervention significantly increased the richness and altered the composition of gut microbiota, notably elevating Lactobacillus, Ligilactobacillus, and Actinobacteria, while reducing Prevotellaceae_UCG-001.",0.842,0.800,,PMID_41829159_GLM1,0.750,record:PMID_41829159_GLM1,EvidenceRecord,,moderate_uncertainty,generic_mechanism; preclinical_only,
,,,,Ligilactobacillus,,microbiota:ligilactobacillus,MicrobiotaFeature,,,,
,,,,Actinobacteria,,microbiota:actinobacteria,MicrobiotaFeature,,,,
,,,,improved motility,,phenotype:improved_motility,HostPhenotype,,,,
,,,,anti-inflammatory response,,phenotype:anti_inflammatory_response,HostPhenotype,,,,
"Untargeted metabolomics indicated that fermentation drastically enriched key bioactive compounds in FDT compared to DT, including cyclic dipeptide (cyclo-(Gly-Pro), 132.4-fold) and hydroxylated linoleic acid derivatives.",0.814,0.800,,PMID_41829159_GLM2,0.750,record:PMID_41829159_GLM2,EvidenceRecord,,low_uncertainty,missing_named_microbiota; preclinical_only,
,,,,metabolite transformation,,mechanism:metabolite_transformation,Mechanism,,,,
,,,,cyclo-(Gly-Pro),,metabolite:cyclo_gly_pro,MicrobialMetabolite,,,,
,,,,"N-(17-hydroxy-9,12-octadecadienoyl)-glutamine",,metabolite:n_17_hydroxy_9_12_octadecadienoyl_glutamine,MicrobialMetabolite,,,,
,,,,increased fecal water,,phenotype:increased_fecal_water,HostPhenotype,,,,
,,,,reduced defecation time,,phenotype:reduced_defecation_time,HostPhenotype,,,,
,,,,accelerated intestinal transit,,phenotype:accelerated_intestinal_transit,HostPhenotype,,,,
,,,"Molecules (Basel, Switzerland)",PMID_41828893,,paper:PMID_41828893,Paper,GC-MS Analysis and Antioxidant Evaluation of Essential Oils from Chimonanthus salicifolius and Chimonanthus nitens.,,,2026
Stem of C. salicifolius showed the highest DPPH scavenging activity (IC50 = 20.78 ± 3.86).,0.723,0.500,,PMID_41828893_GLM1,0.550,record:PMID_41828893_GLM1,EvidenceRecord,,moderate_uncertainty,preclinical_only,
,,,,whole extract,,component_group:whole_extract,ComponentGroup,,,,
"MIC against Staphylococcus aureus, Bacillus pumilus, and Bacillus subtilis was consistently 50 uL/mL-1.",0.708,0.500,,PMID_41828893_GLM3,0.750,record:PMID_41828893_GLM3,EvidenceRecord,,moderate_uncertainty,preclinical_only; taxonomy_expansion_needed; uncertain_effect_direction,
,,,,growth inhibition,,mechanism:growth_inhibition,Mechanism,,,,
