processing_step,activity_category,evidence_level,study_type,record_id,paper_id,uncertainty_class
storage/aging,gut microbiota modulation,preclinical_in_vivo,animal study,PMID_41798939_GLM1,PMID_41798939,low_uncertainty
fermentation/oxidation,anti-inflammatory,preclinical_in_vivo,animal study,PMID_41798939_GLM2,PMID_41798939,low_uncertainty
storage/aging,anti-inflammatory,preclinical_in_vivo,animal study,PMID_41798939_GLM2,PMID_41798939,low_uncertainty
fermentation/oxidation,other,preclinical_in_vivo,animal study,PMID_41798939_GLM3,PMID_41798939,moderate_uncertainty
storage/aging,other,preclinical_in_vivo,animal study,PMID_41798939_GLM3,PMID_41798939,moderate_uncertainty
roasting,gut microbiota modulation,evidence_synthesis_nonquantitative,systematic review,PMID_41791619_GLM1,PMID_41791619,moderate_uncertainty
roasting,anti-obesity,evidence_synthesis_nonquantitative,systematic review,PMID_41791619_GLM3,PMID_41791619,moderate_uncertainty
fermentation/oxidation,gut microbiota modulation,evidence_synthesis_nonquantitative,systematic review,PMID_41789592_GLM1,PMID_41789592,low_uncertainty
fermentation/oxidation,other,evidence_synthesis_nonquantitative,systematic review,PMID_41789592_GLM2,PMID_41789592,moderate_uncertainty
storage/aging,antioxidant,preclinical_in_vivo,animal study,PMID_41785770_GLM1,PMID_41785770,moderate_uncertainty
storage/aging,other,preclinical_in_vivo,animal study,PMID_41785770_GLM2,PMID_41785770,moderate_uncertainty
black tea processing,antioxidant,preclinical_in_vivo,animal study,PMID_41769650_GLM1,PMID_41769650,low_uncertainty
black tea processing,metabolic improvement,preclinical_in_vivo,animal study,PMID_41769650_GLM3,PMID_41769650,low_uncertainty
fermentation/oxidation,other,evidence_synthesis_nonquantitative,systematic review,PMID_41763747_GLM1,PMID_41763747,moderate_uncertainty
fermentation/oxidation,antioxidant,preclinical_in_vivo,animal study,PMID_41750899_GLM1,PMID_41750899,moderate_uncertainty
drying,antioxidant,preclinical_in_vivo,animal study,PMID_41732513_GLM1,PMID_41732513,moderate_uncertainty
storage/aging,antioxidant,preclinical_in_vivo,animal study,PMID_41730253_GLM1,PMID_41730253,moderate_uncertainty
roasting,antioxidant,preclinical_in_vivo,animal study,PMID_41704879_GLM1,PMID_41704879,low_uncertainty
roasting,other,preclinical_in_vivo,animal study,PMID_41704879_GLM2,PMID_41704879,moderate_uncertainty
fermentation/oxidation,gut microbiota modulation,preclinical_in_vivo,animal study,PMID_41703870_GLM1,PMID_41703870,low_uncertainty
fermentation/oxidation,other,preclinical_in_vivo,animal study,PMID_41703870_GLM2,PMID_41703870,moderate_uncertainty
fermentation/oxidation,gut microbiota modulation,preclinical_in_vivo,animal study,PMID_41703844_GLM1,PMID_41703844,moderate_uncertainty
fermentation/oxidation,gut microbiota modulation,preclinical_in_vivo,animal study,PMID_41703844_GLM2,PMID_41703844,moderate_uncertainty
fermentation/oxidation,anti-inflammatory,evidence_synthesis_nonquantitative,systematic review,PMID_41695820_GLM1,PMID_41695820,moderate_uncertainty
fermentation/oxidation,other,evidence_synthesis_nonquantitative,systematic review,PMID_41695820_GLM2,PMID_41695820,high_uncertainty
black tea processing,other,preclinical_in_vivo,animal study,PMID_41674684_GLM2,PMID_41674684,moderate_uncertainty
green tea processing,other,preclinical_in_vivo,animal study,PMID_41674684_GLM2,PMID_41674684,moderate_uncertainty
white tea processing,other,preclinical_in_vivo,animal study,PMID_41674684_GLM2,PMID_41674684,moderate_uncertainty
oolong tea processing,other,preclinical_in_vivo,animal study,PMID_41674684_GLM2,PMID_41674684,moderate_uncertainty
pan-firing/fixation,antioxidant,in_vitro,unspecified,PMID_41664546_GLM1,PMID_41664546,moderate_uncertainty
fermentation/oxidation,anti-inflammatory,preclinical_in_vivo,animal study,PMID_41656480_GLM1,PMID_41656480,low_uncertainty
fermentation/oxidation,other,preclinical_in_vivo,animal study,PMID_41656480_GLM2,PMID_41656480,moderate_uncertainty
fermentation/oxidation,other,preclinical_in_vivo,animal study,PMID_41655487_GLM1,PMID_41655487,moderate_uncertainty
fermentation/oxidation,gut microbiota modulation,preclinical_in_vivo,animal study,PMID_41652699_GLM1,PMID_41652699,moderate_uncertainty
fermentation/oxidation,gut microbiota modulation,preclinical_in_vivo,animal study,PMID_41652699_GLM2,PMID_41652699,moderate_uncertainty
powder/matcha processing,neuroprotection,evidence_synthesis_nonquantitative,systematic review,PMID_41645939_GLM1,PMID_41645939,moderate_uncertainty
powder/matcha processing,other,evidence_synthesis_nonquantitative,systematic review,PMID_41645939_GLM2,PMID_41645939,moderate_uncertainty
shading,other,evidence_synthesis_nonquantitative,systematic review,PMID_41645939_GLM2,PMID_41645939,moderate_uncertainty
storage/aging,metabolic improvement,preclinical_in_vivo,animal study,PMID_41632836_GLM1,PMID_41632836,low_uncertainty
enzymatic treatment,anti-inflammatory,preclinical_in_vivo,animal study,PMID_41621019_GLM1,PMID_41621019,low_uncertainty
enzymatic treatment,antioxidant,preclinical_in_vivo,animal study,PMID_41621019_GLM2,PMID_41621019,low_uncertainty
enzymatic treatment,other,preclinical_in_vivo,animal study,PMID_41621019_GLM3,PMID_41621019,moderate_uncertainty
fermentation/oxidation,gut microbiota modulation,preclinical_in_vivo,animal study,PMID_41605387_GLM1,PMID_41605387,low_uncertainty
fermentation/oxidation,metabolic improvement,preclinical_in_vivo,animal study,PMID_41599956_GLM1,PMID_41599956,moderate_uncertainty
fermentation/oxidation,other,preclinical_in_vivo,animal study,PMID_41599956_GLM2,PMID_41599956,moderate_uncertainty
fermentation/oxidation,antioxidant,preclinical_in_vivo,animal study,PMID_41599419_GLM1,PMID_41599419,low_uncertainty
fermentation/oxidation,metabolic improvement,preclinical_in_vivo,animal study,PMID_41599419_GLM2,PMID_41599419,low_uncertainty
fermentation/oxidation,neuroprotection,preclinical_in_vivo,animal study,PMID_41599419_GLM3,PMID_41599419,low_uncertainty
fermentation/oxidation,anti-obesity,human_observational,cohort study,PMID_41548598_GLM1,PMID_41548598,moderate_uncertainty
fermentation/oxidation,gut microbiota modulation,preclinical_in_vivo,animal study,PMID_41547013_GLM1,PMID_41547013,low_uncertainty
fermentation/oxidation,gut microbiota modulation,preclinical_in_vivo,animal study,PMID_41547013_GLM2,PMID_41547013,low_uncertainty
compressed/brick tea processing,gut microbiota modulation,preclinical_in_vivo,animal study,PMID_41544875_GLM1,PMID_41544875,low_uncertainty
storage/aging,antioxidant,preclinical_in_vivo,animal study,PMID_41544473_GLM1,PMID_41544473,moderate_uncertainty
enzymatic treatment,antioxidant,preclinical_in_vivo,animal study,PMID_41544473_GLM1,PMID_41544473,moderate_uncertainty
fermentation/oxidation,gut microbiota modulation,preclinical_in_vivo,animal study,PMID_41534752_GLM1,PMID_41534752,moderate_uncertainty
fermentation/oxidation,gut microbiota modulation,preclinical_in_vivo,animal study,PMID_41534752_GLM2,PMID_41534752,moderate_uncertainty
fermentation/oxidation,other,preclinical_in_vivo,animal study,PMID_41496404_GLM1,PMID_41496404,moderate_uncertainty
storage/aging,other,preclinical_in_vivo,animal study,PMID_41496404_GLM1,PMID_41496404,moderate_uncertainty
fermentation/oxidation,gut microbiota modulation,preclinical_in_vivo,animal study,PMID_41475763_GLM1,PMID_41475763,moderate_uncertainty
fermentation/oxidation,other,preclinical_in_vivo,animal study,PMID_41475763_GLM2,PMID_41475763,moderate_uncertainty
storage/aging,antioxidant,preclinical_in_vivo,animal study,PMID_41449627_GLM1,PMID_41449627,low_uncertainty
fermentation/oxidation,gut microbiota modulation,preclinical_in_vivo,animal study,PMID_41384531_GLM1,PMID_41384531,moderate_uncertainty
fermentation/oxidation,gut microbiota modulation,preclinical_in_vivo,animal study,PMID_41384531_GLM2,PMID_41384531,moderate_uncertainty
fermentation/oxidation,gut microbiota modulation,preclinical_in_vivo,animal study,PMID_41384531_GLM3,PMID_41384531,low_uncertainty
fermentation/oxidation,neuroprotection,preclinical_in_vivo,animal study,PMID_41308222_GLM1,PMID_41308222,low_uncertainty
roasting,neuroprotection,preclinical_in_vivo,animal study,PMID_41308222_GLM1,PMID_41308222,low_uncertainty
fermentation/oxidation,other,preclinical_in_vivo,animal study,PMID_41308222_GLM2,PMID_41308222,moderate_uncertainty
roasting,other,preclinical_in_vivo,animal study,PMID_41308222_GLM2,PMID_41308222,moderate_uncertainty
fermentation/oxidation,antioxidant,preclinical_in_vivo,animal study,PMID_41308222_GLM3,PMID_41308222,low_uncertainty
roasting,antioxidant,preclinical_in_vivo,animal study,PMID_41308222_GLM3,PMID_41308222,low_uncertainty
drying,anti-obesity,evidence_synthesis_nonquantitative,systematic review,PMID_41046082_GLM1,PMID_41046082,moderate_uncertainty
fermentation/oxidation,metabolic improvement,preclinical_in_vivo,animal study,PMID_41045993_GLM1,PMID_41045993,moderate_uncertainty
fermentation/oxidation,other,evidence_synthesis_nonquantitative,systematic review,PMID_41656465_GLM1,PMID_41656465,moderate_uncertainty
fermentation/oxidation,anti-inflammatory,evidence_synthesis_nonquantitative,systematic review,PMID_41608512_GLM1,PMID_41608512,low_uncertainty
fermentation/oxidation,other,evidence_synthesis_nonquantitative,systematic review,PMID_41608512_GLM2,PMID_41608512,moderate_uncertainty
fermentation/oxidation,antioxidant,evidence_synthesis_nonquantitative,systematic review,PMID_41608512_GLM3,PMID_41608512,moderate_uncertainty
fermentation/oxidation,gut microbiota modulation,preclinical_in_vivo,animal study,PMID_41517138_GLM1,PMID_41517138,low_uncertainty
fermentation/oxidation,anti-inflammatory,preclinical_in_vivo,animal study,PMID_41517138_GLM2,PMID_41517138,low_uncertainty
fermentation/oxidation,other,preclinical_in_vivo,animal study,PMID_41517138_GLM3,PMID_41517138,moderate_uncertainty
fermentation/oxidation,antioxidant,evidence_synthesis_nonquantitative,systematic review,PMID_41458132_GLM1,PMID_41458132,low_uncertainty
roasting,antioxidant,evidence_synthesis_nonquantitative,systematic review,PMID_41458132_GLM1,PMID_41458132,low_uncertainty
processing by-product,gut microbiota modulation,human_observational,cohort study,PMID_41427140_GLM1,PMID_41427140,moderate_uncertainty
processing by-product,antioxidant,human_observational,cohort study,PMID_41427140_GLM2,PMID_41427140,moderate_uncertainty
processing by-product,gut microbiota modulation,human_observational,cohort study,PMID_41427140_GLM3,PMID_41427140,moderate_uncertainty
fermentation/oxidation,gut microbiota modulation,evidence_synthesis_nonquantitative,systematic review,PMID_41341495_GLM1,PMID_41341495,moderate_uncertainty
fermentation/oxidation,antioxidant,evidence_synthesis_nonquantitative,systematic review,PMID_41304966_GLM1,PMID_41304966,low_uncertainty
roasting,neuroprotection,evidence_synthesis_nonquantitative,systematic review,PMID_41277259_GLM1,PMID_41277259,moderate_uncertainty
storage/aging,other,preclinical_in_vivo,animal study,PMID_41274681_GLM2,PMID_41274681,moderate_uncertainty
pan-firing/fixation,other,preclinical_in_vivo,animal study,PMID_41207049_GLM1,PMID_41207049,moderate_uncertainty
thermal processing/heating,antioxidant,preclinical_in_vivo,animal study,PMID_41175620_GLM2,PMID_41175620,moderate_uncertainty
enzymatic treatment,gut microbiota modulation,evidence_synthesis_nonquantitative,systematic review,PMID_41106481_GLM1,PMID_41106481,low_uncertainty
enzymatic treatment,gut microbiota modulation,evidence_synthesis_nonquantitative,systematic review,PMID_41106481_GLM2,PMID_41106481,low_uncertainty
enzymatic treatment,gut microbiota modulation,evidence_synthesis_nonquantitative,systematic review,PMID_41106481_GLM3,PMID_41106481,low_uncertainty
fermentation/oxidation,gut microbiota modulation,evidence_synthesis_nonquantitative,systematic review,PMID_41089755_GLM1,PMID_41089755,low_uncertainty
fermentation/oxidation,other,evidence_synthesis_nonquantitative,systematic review,PMID_41089755_GLM2,PMID_41089755,moderate_uncertainty
processing category contrast,other,evidence_synthesis_nonquantitative,systematic review,PMID_41067627_GLM1,PMID_41067627,moderate_uncertainty
storage/aging,anti-obesity,preclinical_in_vivo,animal study,PMID_41061287_GLM1,PMID_41061287,low_uncertainty
storage/aging,anti-inflammatory,preclinical_in_vivo,animal study,PMID_41061287_GLM2,PMID_41061287,low_uncertainty
storage/aging,gut microbiota modulation,preclinical_in_vivo,animal study,PMID_41061287_GLM3,PMID_41061287,low_uncertainty
minimal processing,antioxidant,evidence_synthesis_nonquantitative,systematic review,PMID_41009815_GLM1,PMID_41009815,low_uncertainty
minimal processing,other,evidence_synthesis_nonquantitative,systematic review,PMID_41009815_GLM2,PMID_41009815,moderate_uncertainty
storage/aging,antioxidant,evidence_synthesis_nonquantitative,systematic review,PMID_40976893_GLM1,PMID_40976893,low_uncertainty
fermentation/oxidation,gut microbiota modulation,preclinical_in_vivo,animal study,PMID_40906738_GLM1,PMID_40906738,moderate_uncertainty
fermentation/oxidation,gut microbiota modulation,preclinical_in_vivo,animal study,PMID_40906738_GLM2,PMID_40906738,moderate_uncertainty
fermentation/oxidation,other,evidence_synthesis_nonquantitative,systematic review,PMID_40902558_GLM1,PMID_40902558,moderate_uncertainty
fermentation/oxidation,anti-inflammatory,preclinical_in_vivo,animal study,PMID_40875308_GLM1,PMID_40875308,low_uncertainty
fermentation/oxidation,gut microbiota modulation,preclinical_in_vivo,animal study,PMID_40875308_GLM2,PMID_40875308,moderate_uncertainty
storage/aging,gut microbiota modulation,preclinical_in_vivo,animal study,PMID_40870767_GLM1,PMID_40870767,low_uncertainty
storage/aging,gut microbiota modulation,preclinical_in_vivo,animal study,PMID_40870767_GLM2,PMID_40870767,low_uncertainty
storage/aging,anti-inflammatory,preclinical_in_vivo,animal study,PMID_40870767_GLM3,PMID_40870767,low_uncertainty
fermentation/oxidation,antioxidant,evidence_synthesis_nonquantitative,systematic review,PMID_40869245_GLM1,PMID_40869245,low_uncertainty
enzymatic oxidation,antioxidant,evidence_synthesis_nonquantitative,systematic review,PMID_40869245_GLM1,PMID_40869245,low_uncertainty
enzymatic oxidation,anti-inflammatory,evidence_synthesis_nonquantitative,systematic review,PMID_40869245_GLM2,PMID_40869245,moderate_uncertainty
storage/aging,other,evidence_synthesis_nonquantitative,systematic review,PMID_40834920_GLM1,PMID_40834920,moderate_uncertainty
fermentation/oxidation,gut microbiota modulation,preclinical_in_vivo,animal study,PMID_40812038_GLM1,PMID_40812038,moderate_uncertainty
fermentation/oxidation,anti-inflammatory,preclinical_in_vivo,animal study,PMID_40812038_GLM2,PMID_40812038,moderate_uncertainty
fermentation/oxidation,neuroprotection,evidence_synthesis_nonquantitative,systematic review,PMID_40768551_GLM1,PMID_40768551,low_uncertainty
fermentation/oxidation,gut microbiota modulation,evidence_synthesis_nonquantitative,systematic review,PMID_40748185_GLM1,PMID_40748185,low_uncertainty
enzymatic treatment,gut microbiota modulation,evidence_synthesis_nonquantitative,systematic review,PMID_40748185_GLM1,PMID_40748185,low_uncertainty
fermentation/oxidation,other,evidence_synthesis_nonquantitative,systematic review,PMID_40748185_GLM2,PMID_40748185,moderate_uncertainty
enzymatic treatment,other,evidence_synthesis_nonquantitative,systematic review,PMID_40748185_GLM2,PMID_40748185,moderate_uncertainty
fermentation/oxidation,gut microbiota modulation,human_interventional,randomized controlled trial,PMID_40732996_GLM1,PMID_40732996,moderate_uncertainty
storage/aging,gut microbiota modulation,human_interventional,randomized controlled trial,PMID_40732996_GLM1,PMID_40732996,moderate_uncertainty
fermentation/oxidation,metabolic improvement,human_interventional,randomized controlled trial,PMID_40732996_GLM2,PMID_40732996,moderate_uncertainty
storage/aging,metabolic improvement,human_interventional,randomized controlled trial,PMID_40732996_GLM2,PMID_40732996,moderate_uncertainty
roasting,metabolic improvement,human_interventional,randomized controlled trial,PMID_40732933_GLM1,PMID_40732933,moderate_uncertainty
crushing/grinding/sieving,metabolic improvement,human_interventional,randomized controlled trial,PMID_40732933_GLM1,PMID_40732933,moderate_uncertainty
roasting,other,human_interventional,randomized controlled trial,PMID_40732933_GLM3,PMID_40732933,moderate_uncertainty
crushing/grinding/sieving,other,human_interventional,randomized controlled trial,PMID_40732933_GLM3,PMID_40732933,moderate_uncertainty
fermentation/oxidation,gut microbiota modulation,preclinical_in_vivo,animal study,PMID_40709622_GLM1,PMID_40709622,low_uncertainty
fermentation/oxidation,antioxidant,preclinical_in_vivo,animal study,PMID_40709622_GLM2,PMID_40709622,low_uncertainty
fermentation/oxidation,gut microbiota modulation,preclinical_in_vivo,animal study,PMID_40664289_GLM1,PMID_40664289,low_uncertainty
fermentation/oxidation,gut microbiota modulation,preclinical_in_vivo,animal study,PMID_40664289_GLM2,PMID_40664289,low_uncertainty
fermentation/oxidation,gut microbiota modulation,preclinical_in_vivo,animal study,PMID_40664289_GLM3,PMID_40664289,low_uncertainty
fermentation/oxidation,antioxidant,human_interventional,randomized controlled trial,PMID_40637142_GLM1,PMID_40637142,low_uncertainty
fermentation/oxidation,gut microbiota modulation,preclinical_in_vivo,animal study,PMID_40436588_GLM1,PMID_40436588,low_uncertainty
fermentation/oxidation,anti-inflammatory,preclinical_in_vivo,animal study,PMID_40436588_GLM2,PMID_40436588,low_uncertainty
fermentation/oxidation,other,preclinical_in_vivo,animal study,PMID_40436588_GLM3,PMID_40436588,moderate_uncertainty
steaming,other,evidence_synthesis_nonquantitative,systematic review,PMID_40358678_GLM1,PMID_40358678,moderate_uncertainty
pan-firing/fixation,other,evidence_synthesis_nonquantitative,systematic review,PMID_40358678_GLM1,PMID_40358678,moderate_uncertainty
steaming,gut microbiota modulation,evidence_synthesis_nonquantitative,systematic review,PMID_40358678_GLM3,PMID_40358678,moderate_uncertainty
pan-firing/fixation,gut microbiota modulation,evidence_synthesis_nonquantitative,systematic review,PMID_40358678_GLM3,PMID_40358678,moderate_uncertainty
drying,anti-obesity,human_interventional,randomized controlled trial,PMID_40263915_GLM1,PMID_40263915,moderate_uncertainty
roasting,anti-obesity,human_interventional,randomized controlled trial,PMID_40263915_GLM1,PMID_40263915,moderate_uncertainty
drying,other,human_interventional,randomized controlled trial,PMID_40263915_GLM2,PMID_40263915,moderate_uncertainty
roasting,other,human_interventional,randomized controlled trial,PMID_40263915_GLM2,PMID_40263915,moderate_uncertainty
fermentation/oxidation,gut microbiota modulation,preclinical_in_vivo,animal study,PMID_40245621_GLM1,PMID_40245621,moderate_uncertainty
fermentation/oxidation,gut microbiota modulation,preclinical_in_vivo,animal study,PMID_40245621_GLM2,PMID_40245621,moderate_uncertainty
storage/aging,antioxidant,preclinical_in_vivo,animal study,PMID_40241697_GLM1,PMID_40241697,moderate_uncertainty
fermentation/oxidation,gut microbiota modulation,preclinical_in_vivo,animal study,PMID_40164251_GLM1,PMID_40164251,low_uncertainty
fermentation/oxidation,gut microbiota modulation,preclinical_in_vivo,animal study,PMID_40164251_GLM2,PMID_40164251,low_uncertainty
storage/aging,antioxidant,low_preclinical,unspecified,PMID_39954639_GLM1,PMID_39954639,moderate_uncertainty
storage/aging,other,ex vivo,unspecified,PMID_39954639_GLM2,PMID_39954639,high_uncertainty
raw vs ripened processing,gut microbiota modulation,preclinical_in_vivo,animal study,PMID_39948758_GLM1,PMID_39948758,low_uncertainty
storage/aging,gut microbiota modulation,preclinical_in_vivo,animal study,PMID_39948758_GLM1,PMID_39948758,low_uncertainty
raw vs ripened processing,anti-obesity,preclinical_in_vivo,animal study,PMID_39948758_GLM2,PMID_39948758,moderate_uncertainty
fermentation/oxidation,gut microbiota modulation,preclinical_in_vivo,animal study,PMID_39900709_GLM1,PMID_39900709,moderate_uncertainty
fermentation/oxidation,antioxidant,preclinical_in_vivo,animal study,PMID_39900709_GLM2,PMID_39900709,low_uncertainty
fermentation/oxidation,anti-inflammatory,preclinical_in_vivo,animal study,PMID_39900709_GLM3,PMID_39900709,low_uncertainty
fermentation/oxidation,metabolic improvement,human_observational,cohort study,PMID_39806767_GLM1,PMID_39806767,moderate_uncertainty
fermentation/oxidation,cardiovascular protection,human_observational,cohort study,PMID_39806767_GLM2,PMID_39806767,moderate_uncertainty
black tea processing,other,preclinical_in_vivo,animal study,PMID_39571432_GLM1,PMID_39571432,moderate_uncertainty
black tea processing,gut microbiota modulation,preclinical_in_vivo,animal study,PMID_39571432_GLM2,PMID_39571432,moderate_uncertainty
enzymatic treatment,other,evidence_synthesis_nonquantitative,systematic review,PMID_39096025_GLM2,PMID_39096025,moderate_uncertainty
powder/matcha processing,anti-inflammatory,human_interventional,randomized controlled trial,PMID_38764154_GLM3,PMID_38764154,moderate_uncertainty
fermentation/oxidation,gut microbiota modulation,human_interventional,randomized controlled trial,PMID_39339787_GLM1,PMID_39339787,low_uncertainty
fermentation/oxidation,anti-inflammatory,human_interventional,randomized controlled trial,PMID_39339787_GLM2,PMID_39339787,moderate_uncertainty
fermentation/oxidation,other,human_interventional,randomized controlled trial,PMID_39339787_GLM3,PMID_39339787,moderate_uncertainty
fermentation/oxidation,metabolic improvement,human_observational,cohort study,PMID_39125321_GLM1,PMID_39125321,moderate_uncertainty
storage/aging,gut microbiota modulation,preclinical_in_vivo,animal study,PMID_38848972_GLM1,PMID_38848972,low_uncertainty
storage/aging,other,preclinical_in_vivo,animal study,PMID_38848972_GLM2,PMID_38848972,moderate_uncertainty
fermentation/oxidation,gut microbiota modulation,evidence_synthesis_nonquantitative,systematic review,PMID_37584203_GLM1,PMID_37584203,moderate_uncertainty
fermentation/oxidation,other,evidence_synthesis_nonquantitative,systematic review,PMID_37584203_GLM2,PMID_37584203,moderate_uncertainty
fermentation/oxidation,gut microbiota modulation,evidence_synthesis_nonquantitative,systematic review,PMID_37584203_GLM3,PMID_37584203,moderate_uncertainty
enzymatic treatment,antioxidant,preclinical_in_vivo,animal study,PMID_41337925_GLM1,PMID_41337925,moderate_uncertainty
enzymatic treatment,other,preclinical_in_vivo,animal study,PMID_41337925_GLM3,PMID_41337925,moderate_uncertainty
fermentation/oxidation,antioxidant,preclinical_in_vivo,animal study,PMID_41275554_GLM1,PMID_41275554,moderate_uncertainty
fermentation/oxidation,other,preclinical_in_vivo,animal study,PMID_41275554_GLM2,PMID_41275554,moderate_uncertainty
fermentation/oxidation,antioxidant,preclinical_in_vivo,animal study,PMID_41867690_AUTO1,PMID_41867690,high_uncertainty
processing category contrast,other,preclinical_in_vivo,animal study,PMID_41844524_AUTO1,PMID_41844524,high_uncertainty
enzymatic treatment,antioxidant,preclinical_in_vivo,animal study,PMID_41650779_AUTO1,PMID_41650779,high_uncertainty
fermentation/oxidation,gut microbiota modulation,preclinical_in_vivo,animal study,PMID_41558631_AUTO1,PMID_41558631,high_uncertainty
fermentation/oxidation,other,preclinical_in_vivo,animal study,PMID_41459787_AUTO1,PMID_41459787,high_uncertainty
fermentation/oxidation,gut microbiota modulation,evidence_synthesis_nonquantitative,systematic review,PMID_41271838_AUTO1,PMID_41271838,high_uncertainty
processing category contrast,antioxidant,,unspecified,PMID_38781878_AUTO1,PMID_38781878,high_uncertainty
