audit_id,record_id,paper_id,annotator_id,confidence_score,field_activity_category,field_endpoint_label,field_study_type,field_evidence_level,field_effect_direction,field_mechanism_label,field_microbiota_taxon,field_microbial_metabolite,field_host_phenotype,paper_scope_decision,overall_record_decision,major_issue_type,corrected_activity_category,corrected_endpoint_label,corrected_study_type,corrected_evidence_level,corrected_effect_direction,corrected_mechanism_label,corrected_microbiota_taxon,corrected_microbial_metabolite,corrected_host_phenotype,reviewer_id,review_date,comments
AUDIT_026,PMID_41789592_GLM1,PMID_41789592,glm5_nvidia,0.90,,,,,,,,,,,,,,,,,,,,,,,,
AUDIT_027,PMID_41738389_GLM2,PMID_41738389,glm5_nvidia,0.90,,,,,,,,,,,,,,,,,,,,,,,,
AUDIT_028,PMID_41572086_GLM1,PMID_41572086,glm5_nvidia,0.95,,,,,,,,,,,,,,,,,,,,,,,,
AUDIT_029,PMID_41804768_GLM1,PMID_41804768,glm5_nvidia,0.95,,,,,,,,,,,,,,,,,,,,,,,,
AUDIT_030,PMID_40923241_GLM1,PMID_40923241,glm5_nvidia,0.95,,,,,,,,,,,,,,,,,,,,,,,,
AUDIT_031,PMID_40870767_GLM1,PMID_40870767,glm5_nvidia,0.95,,,,,,,,,,,,,,,,,,,,,,,,
AUDIT_032,PMID_41798939_GLM1,PMID_41798939,glm5_nvidia,0.95,,,,,,,,,,,,,,,,,,,,,,,,
AUDIT_033,PMID_38820660_GLM1,PMID_38820660,glm5_nvidia,0.90,,,,,,,,,,,,,,,,,,,,,,,,
AUDIT_034,PMID_41622927_GLM1,PMID_41622927,glm5_nvidia,0.90,,,,,,,,,,,,,,,,,,,,,,,,
AUDIT_035,PMID_40755497_GLM1,PMID_40755497,glm5_nvidia,0.90,,,,,,,,,,,,,,,,,,,,,,,,
AUDIT_036,PMID_41622499_GLM1,PMID_41622499,glm5_nvidia,0.90,,,,,,,,,,,,,,,,,,,,,,,,
AUDIT_037,PMID_38571923_GLM2,PMID_38571923,glm5_nvidia,0.85,,,,,,,,,,,,,,,,,,,,,,,,
AUDIT_038,PMID_41210635_GLM2,PMID_41210635,glm5_nvidia,0.75,,,,,,,,,,,,,,,,,,,,,,,,
AUDIT_039,PMID_40709622_GLM2,PMID_40709622,glm5_nvidia,0.85,,,,,,,,,,,,,,,,,,,,,,,,
AUDIT_040,PMID_41061287_GLM1,PMID_41061287,glm5_nvidia,0.95,,,,,,,,,,,,,,,,,,,,,,,,
AUDIT_041,PMID_41679603_GLM2,PMID_41679603,glm5_nvidia,0.90,,,,,,,,,,,,,,,,,,,,,,,,
AUDIT_042,PMID_41617902_GLM2,PMID_41617902,glm5_nvidia,0.90,,,,,,,,,,,,,,,,,,,,,,,,
AUDIT_043,PMID_41547013_GLM1,PMID_41547013,glm5_nvidia,0.90,,,,,,,,,,,,,,,,,,,,,,,,
AUDIT_044,PMID_39571432_GLM2,PMID_39571432,glm5_nvidia,0.90,,,,,,,,,,,,,,,,,,,,,,,,
AUDIT_045,PMID_41621019_GLM1,PMID_41621019,glm5_nvidia,0.85,,,,,,,,,,,,,,,,,,,,,,,,
AUDIT_046,PMID_41265599_GLM1,PMID_41265599,glm5_nvidia,0.95,,,,,,,,,,,,,,,,,,,,,,,,
AUDIT_047,PMID_40923241_GLM2,PMID_40923241,glm5_nvidia,0.90,,,,,,,,,,,,,,,,,,,,,,,,
AUDIT_048,PMID_39948758_GLM2,PMID_39948758,glm5_nvidia,0.95,,,,,,,,,,,,,,,,,,,,,,,,
