record_id,paper_id,tea_type,material_form,component_group,compound_name,activity_category,endpoint_label,study_type,evidence_level,model_system,dose_exposure,effect_direction,processing_step,extraction_method,cultivar,origin,mechanism_label,microbiota_taxon,microbial_metabolite,host_phenotype,claim_text_raw,confidence_score,annotator_id,adjudication_status,notes
PMID_38745351_R1,PMID_38745351,oolong tea,purified component,mixed polyphenols,oolong tea polyphenols,neuroprotection,cognitive decline microglia activation and synaptic plasticity impairment in circadian rhythm disorder model,animal study,preclinical_in_vivo,rodent cognitive impairment model induced by circadian rhythm disorder,as reported in paper,positive,,,,,microglia activation reduction; intestinal barrier protection; BDNF-PSD95-SYN synaptic plasticity support,Muribaculaceae; Clostridia_UCG-014; Desulfovibrio,LPS; SCFAs; glutamate,cognitive impairment phenotype,"OTP relieved microglia activation, reduced LPS and glutamate-related neurotoxicity, increased SCFAs, upregulated Muribaculaceae and Clostridia_UCG-014, downregulated Desulfovibrio, and improved synaptic plasticity markers including BDNF, PSD-95, and SYN.",0.98,codex_v1,full_text_refined,Refined from PubMed abstract with named taxa/metabolites and synaptic markers
PMID_39452088_R1,PMID_39452088,dark/post-fermented tea,fermented beverage,mixed polyphenols,,anti-obesity,obesity-related outcomes via gut microbiota review summary,systematic review,evidence_synthesis_nonquantitative,review synthesis,not_applicable,positive,aging/post-fermentation,,,,microbiota-mediated anti-obesity mechanisms,,,,"Review summarizing fermented tea effects on gut microbiota and obesity-related outcomes.",0.92,codex_v1,adjudicated,Fermented tea bridge
PMID_39732435_R1,PMID_39732435,black tea,fermented beverage,whole extract,,gut microbiota modulation,gut microbiota modulation in individuals with and without obesity with stronger effect in obesity,randomized controlled trial,human_interventional,human participants with and without obesity,regular black tea kombucha consumption for 8 weeks as reported,positive,fermentation/oxidation,,,,commensal enrichment in obese subgroup,Bacteroidota; Akkermansiaceae; Subdoligranulum; Ruminococcus; Dorea,,microbiota profile,"Regular black tea kombucha consumption positively influenced gut microbiota in both normal and obese groups, with enrichment of commensal bacteria such as Bacteroidota and Akkermansiaceae and reduction of Ruminococcus and Dorea, especially in the obese group.",0.97,codex_v1,abstract_refined,Human microbiome intervention refined from PubMed abstract and review snippet
PMID_38430822_R1,PMID_38430822,green tea,tea extract,mixed polyphenols,green tea extract,metabolic improvement,fasting glucose reduction and circulating endotoxin reduction in adults with gut-barrier improvement,randomized controlled trial,human_interventional,healthy adults and adults with metabolic syndrome,decaffeinated catechin-rich green tea extract confection as reported,positive,,tea extract confection,,,"reduced small intestinal permeability; reduced gut inflammation",,,metabolic syndrome phenotype,"Catechin-rich green tea extract decreased circulating endotoxin and fasting glucose, likely by reducing gut inflammation and small intestinal permeability.",0.96,codex_v1,abstract_refined,Human barrier/glucose mechanism refined from PubMed abstract
PMID_38430822_R2,PMID_38430822,green tea,tea extract,mixed polyphenols,green tea extract,anti-inflammatory,systemic inflammatory marker outcomes in adults,randomized controlled trial,human_interventional,healthy adults and adults with metabolic syndrome,decaffeinated catechin-rich green tea extract confection as reported,no_clear_effect,,tea extract confection,,,"reduced gut inflammation without systemic cytokine change",,,systemic inflammation phenotype,"The trial suggested reduced gut inflammation and improved barrier function but without improvement in systemic inflammation markers.",0.95,codex_v1,abstract_refined,Negative-control style human inflammation record refined from PubMed abstract
PMID_38745671_R1,PMID_38745671,green tea,tea extract,mixed polyphenols,green tea extract,anti-inflammatory,airway inflammation suppression in asthmatic mice and airway epithelial cells,animal study,preclinical_in_vivo,asthmatic mice and human airway epithelial cells,as reported in paper,positive,,tea extract,,,,MAPKs/MMP-9 signaling modulation,,,,"Green tea extract suppressed airway inflammation via oxidative stress-driven MAPKs/MMP-9 signaling.",0.93,codex_v1,adjudicated,Primary anti-inflammatory record
PMID_38745671_R2,PMID_38745671,green tea,tea extract,mixed polyphenols,green tea extract,antioxidant,oxidative stress reduction in asthmatic model,animal study,preclinical_in_vivo,asthmatic mice and human airway epithelial cells,as reported in paper,positive,,tea extract,,,,oxidative stress-driven signaling reduction,,,,"Green tea extract reduced oxidative-stress-related signaling in the asthmatic model.",0.91,codex_v1,adjudicated,Antioxidant-related record
PMID_38031409_R1,PMID_38031409,green tea,tea extract,mixed polyphenols,green tea extract,anti-obesity,body composition and obesity-related hormone outcomes,meta-analysis,evidence_synthesis,human randomized trials,dose-response across included RCTs,mixed,,tea extract supplementation,,,,,,,,"Dose-response meta-analysis of randomized trials on green tea extract supplementation and body composition/obesity-related hormone outcomes.",0.92,codex_v1,adjudicated,Human obesity evidence
PMID_38031409_R2,PMID_38031409,green tea,tea extract,mixed polyphenols,green tea extract,antioxidant,oxidative stress marker outcomes in adults,meta-analysis,evidence_synthesis,human randomized trials,dose-response across included RCTs,positive,,tea extract supplementation,,,,,,,,"Green tea extract supplementation improved oxidative stress markers in randomized trials.",0.93,codex_v1,adjudicated,Human antioxidant evidence
PMID_40160899_R1,PMID_40160899,green tea,tea extract,mixed polyphenols,green tea,antioxidant,oxidative stress and antioxidant status markers in adults,meta-analysis,evidence_synthesis,human randomized trials,across included RCTs,positive,,supplementation or beverage as reported,,,,,,,,"Green tea improved oxidative status markers including TAC, SOD, GPX and reduced MDA in the meta-analysis.",0.94,codex_v1,adjudicated,Human antioxidant evidence
PMID_40160899_R2,PMID_40160899,green tea,tea extract,mixed polyphenols,green tea,anti-inflammatory,inflammatory marker outcomes in adults,meta-analysis,evidence_synthesis,human randomized trials,across included RCTs,mixed,,supplementation or beverage as reported,,,,,,,,"Green tea showed limited or mixed effects on inflammatory markers, with improvement not consistent across CRP, IL-6 and TNF-alpha.",0.94,codex_v1,adjudicated,Conservative inflammation record
PMID_40957830_R1,PMID_40957830,unspecified tea,purified component,tea polysaccharides,Bai Mao tea polysaccharides,anti-obesity,body weight reduction improved insulin sensitivity and adipose browning in diet-induced obesity,animal study,preclinical_in_vivo,mice with diet-induced obesity,50;100;200 mg/kg BW for 8 weeks,positive,,,,,microbiota-butyrate-adipose axis; thermogenesis activation,Bifidobacterium species,butyrate,obesity-related phenotype,"BMTP significantly reduced body weight, improved insulin sensitivity, decreased adipocyte volume, increased multivesicular adipocyte-like cells, and upregulated UCP1 in iWAT and iBAT.",0.97,codex_v1,full_text_refined,Refined from PubMed abstract and ACS snippet
PMID_40957830_R2,PMID_40957830,unspecified tea,purified component,tea polysaccharides,Bai Mao tea polysaccharides,gut microbiota modulation,butyrate production and gut microbiota-driven adipose thermogenesis,animal study,preclinical_in_vivo,mice with diet-induced obesity,50;100;200 mg/kg BW for 8 weeks,positive,,,,,butyrate-mediated adipose browning; PGC-1alpha/UCP1 thermogenic programming,Bifidobacterium species,butyrate,adipose browning,"BMTP increased serum and colonic butyric acid levels and shifted gut microbiota composition; antibiotic treatment worsened obesity while butyrate supplementation partially restored body weight insulin sensitivity and thermogenic proteins PGC-1alpha and UCP1.",0.97,codex_v1,full_text_refined,Refined from PubMed abstract and ACS snippet
PMID_39255891_R1,PMID_39255891,unspecified tea,purified component,tea polysaccharides,tea flower polysaccharide,metabolic improvement,body weight fat accumulation liver steatosis and dyslipidemia improvement in HFD mice,animal study,preclinical_in_vivo,high-fat diet induced mice,400 and 800 mg/kg BW/d as reported,positive,,,,,reduced pro-inflammatory cytokines; metabolic syndrome attenuation,taxa to be verified from full text,,metabolic syndrome phenotype,"TFPS significantly mitigated HFD-induced metabolic syndrome, including reductions in body weight, fat accumulation, liver steatosis, TC, TG, LDL-C, and pro-inflammatory cytokines TNF-alpha, IL-6, and IL-1beta, with increased IL-10.",0.96,codex_v1,abstract_refined,Phenotype and cytokine details refined from PubMed abstract
PMID_39255891_R2,PMID_39255891,unspecified tea,purified component,tea polysaccharides,tea flower polysaccharide,gut microbiota modulation,gut microbiota modulation linked to metabolic syndrome attenuation,animal study,preclinical_in_vivo,high-fat diet induced mice,400 and 800 mg/kg BW/d as reported,positive,,,,,gut microbiota-associated metabolic regulation,taxa to be verified from full text,,metabolic syndrome phenotype,"Tea flower polysaccharide attenuated metabolic syndrome in association with modulation of gut microbiota in HFD-induced mice.",0.94,codex_v1,abstract_refined,Kept conservative on taxa pending full-text check
PMID_39153277_R1,PMID_39153277,unspecified tea,purified component,tea polysaccharides,yellow tea polysaccharides,metabolic improvement,hepatic cholesterol accumulation and NAFLD progression reduction in mice,animal study,preclinical_in_vivo,mice NAFLD model,as reported in paper,positive,,,,,alternative bile acid synthesis activation; FXR-FGF15-FGFR4-ASBT suppression; FXR-SHP pathway modulation,Muribaculaceae; Pseudomonas; acterium_coprostanoligenes_group; Clostridiales; Lachnospiraceae_NK4A136_group; Delftia; Dubosiella; Romboutsia,conjugated bile acids; non-12OH bile acids,NAFLD phenotype,"YTP altered colonic bile-acid composition, increased conjugated and non-12OH bile acids, decreased FXR, FGF15, FGFR4, and ASBT, increased Cyp7a1 and Cyp27a1, and inhibited hepatic cholesterol accumulation in NAFLD mice.",0.97,codex_v1,abstract_refined,Added bile-acid pathway and taxa from PubMed abstract
PMID_39153277_R2,PMID_39153277,unspecified tea,purified component,tea polysaccharides,yellow tea polysaccharides,gut microbiota modulation,gut microbiota and bile acid metabolism modulation in mice with BSH-related remodeling,animal study,preclinical_in_vivo,mice NAFLD model,as reported in paper,positive,,,,,bile salt hydrolase-related microbial remodeling; taurine-metabolism genera increase,Muribaculaceae; Pseudomonas; acterium_coprostanoligenes_group; Clostridiales; Lachnospiraceae_NK4A136_group; Delftia; Dubosiella; Romboutsia,conjugated bile acids; non-12OH bile acids,NAFLD phenotype,"YTP reshaped the intestinal microbiome by decreasing BSH-producing genera and increasing taurine-metabolism genera, with multiple genera strongly correlated with specific bile-acid monomers.",0.96,codex_v1,abstract_refined,Added BSH/taurine-metabolism mechanism and taxa list from PubMed abstract
PMID_39479919_R1,PMID_39479919,unspecified tea,purified component,tea polysaccharides,tea flower polysaccharides,antioxidant,oxidative stress reduction and antioxidant enzyme restoration in aging mice,animal study,preclinical_in_vivo,D-galactose-induced aging mice,as reported in paper,positive,,,,,NF-kB suppression; antioxidant enzyme restoration; oxidative stress reduction,Firmicutes/Bacteroidota ratio; Lactobacillus,,oxidative damage phenotype,"TFPS improved gut microbiota homeostasis, reduced the Firmicutes to Bacteroidota ratio, increased Lactobacillus, increased SOD CAT and POD activity, and reduced MDA in aging mice.",0.97,codex_v1,abstract_refined,Added gut-microbiota and oxidative-stress marker details from PubMed abstract
PMID_39479919_R2,PMID_39479919,unspecified tea,purified component,tea polysaccharides,tea flower polysaccharides,neuroprotection,microglial activation and neuroinflammation reduction in aging mice,animal study,preclinical_in_vivo,D-galactose-induced aging mice,as reported in paper,positive,,,,,microglial activation reduction; neuroinflammation suppression,Firmicutes/Bacteroidota ratio; Lactobacillus,,microglial oxidative damage,"TFPS reduced excessive hippocampal microglial activation, down-regulated IL-6 IL-1beta TNF-alpha and NF-kB, and alleviated neuroinflammation in aging mice while regulating gut microbiota.",0.96,codex_v1,abstract_refined,Added neuroinflammation and microbiota detail from PubMed abstract
PMID_40640361_R1,PMID_40640361,unspecified tea,purified component,tea polysaccharides,tea polysaccharides,gut microbiota modulation,gut microbiota alteration in mice,animal study,preclinical_in_vivo,mice,as reported in paper,positive,,,,,physiology-associated microbiota modulation,taxa as reported,,physiological health indicators,"Tea polysaccharides altered gut microbiota and physiological health indicators in mice.",0.91,codex_v1,adjudicated,General microbiota paper
PMID_40640361_R2,PMID_40640361,unspecified tea,purified component,tea polysaccharides,tea polysaccharides,metabolic improvement,physiological health indicator improvement in mice,animal study,preclinical_in_vivo,mice,as reported in paper,positive,,,,,microbiota-associated physiological regulation,taxa as reported,,physiological health indicators,"Tea polysaccharides improved physiological health indicators in mice alongside gut microbiota changes.",0.89,codex_v1,adjudicated,General physiology paper
PMID_36449351_R1,PMID_36449351,dark/post-fermented tea,purified component,tea polysaccharides,Heimao tea polysaccharides,anti-obesity,obesity amelioration with enhanced adipocyte thermogenesis in high-fat diet mice,animal study,preclinical_in_vivo,high-fat diet mice,as reported in paper,positive,aging/post-fermentation,,,,gut microbiota-dependent thermogenesis,Dubosiella; Romboutsia,,obesity-related phenotype,"Heimao tea polysaccharides ameliorated obesity by enhancing gut microbiota-dependent adipocyte thermogenesis in mice fed a high-fat diet, with Dubosiella and Romboutsia closely associated with the anti-obesity effect.",0.96,codex_v1,abstract_refined,Added named taxa from PubMed abstract
PMID_36449351_R2,PMID_36449351,dark/post-fermented tea,purified component,tea polysaccharides,Heimao tea polysaccharides,gut microbiota modulation,gut microbiota-dependent adipocyte thermogenesis mechanism in obese mice,animal study,preclinical_in_vivo,high-fat diet mice,as reported in paper,positive,aging/post-fermentation,,,,microbiota-thermogenesis axis,Dubosiella; Romboutsia,,adipocyte thermogenesis,"Dubosiella and Romboutsia increased significantly and were negatively correlated with body weight and positively correlated with iBAT index in HMTP-treated obese mice.",0.96,codex_v1,abstract_refined,Added taxa-correlation information from PubMed abstract
