record_id,paper_id,title,priority_tier,record_role,why_priority,fields_to_refine,recommended_source,next_action
PMID_39479919_R2,PMID_39479919,Inhibitory effect of tea flower polysaccharides on oxidative stress and microglial oxidative damage in aging mice by regulating gut microbiota,P1,primary_anchor,Rare neuro-microglia-microbiota connection,"microbiota_taxon; host_phenotype",abstract_then_full_text,refine microglial damage phenotype
PMID_39732435_R1,PMID_39732435,Regular Consumption of Black Tea Kombucha Modulates the Gut Microbiota in Individuals with and without Obesity,P1,human_anchor,Most important human microbiome intervention record,"microbiota_taxon; host_phenotype; mechanism_label",full_text,extract human taxa shifts and obesity-stratified response
PMID_38430822_R1,PMID_38430822,A green tea extract confection decreases circulating endotoxin and fasting glucose by improving gut barrier function but without affecting systemic inflammation: A double-blind placebo-controlled randomized trial in healthy adults and adults with metabolic syndrome,P1,human_anchor,Human barrier/glucose mechanism bridge,"host_phenotype; mechanism_label",abstract_then_full_text,split glucose vs endotoxin vs barrier outcomes
PMID_38430822_R2,PMID_38430822,A green tea extract confection decreases circulating endotoxin and fasting glucose by improving gut barrier function but without affecting systemic inflammation: A double-blind placebo-controlled randomized trial in healthy adults and adults with metabolic syndrome,P2,human_anchor,Useful negative-control style record,"host_phenotype",abstract,retain no-effect inflammation evidence with clearer marker names
PMID_36449351_R1,PMID_36449351,Heimao tea polysaccharides ameliorate obesity by enhancing gut microbiota-dependent adipocytes thermogenesis in mice fed with high fat diet,P1,older_primary_anchor,Older but strong mechanistic anchor,"microbiota_taxon; host_phenotype",abstract_then_full_text,extract taxa and thermogenesis markers
PMID_36449351_R2,PMID_36449351,Heimao tea polysaccharides ameliorate obesity by enhancing gut microbiota-dependent adipocytes thermogenesis in mice fed with high fat diet,P1,older_primary_anchor,Important fermented-tea obesity mechanism record,"microbiota_taxon; mechanism_label",abstract_then_full_text,refine microbiota-thermogenesis axis
PMID_40640361_R1,PMID_40640361,Effects of tea polysaccharides on gut microbiota and physiological health indicators in mice,P2,primary_general,Useful but too generic,"microbiota_taxon; host_phenotype; mechanism_label",abstract,keep only if more specific biology emerges
PMID_40640361_R2,PMID_40640361,Effects of tea polysaccharides on gut microbiota and physiological health indicators in mice,P2,primary_general,Currently broad and low-information,"host_phenotype; mechanism_label",abstract,likely downgrade if phenotype remains generic
PMID_39274868_R1,PMID_39274868,Effects of Differently Processed Tea on the Gut Microbiota,P2,review_bridge,Good bridge review for scope framing,"mechanism_label",abstract,keep as review context not mechanistic edge source
PMID_39452088_R1,PMID_39452088,Harnessing the Power of Fermented Tea to Improve Gut Microbiota and Combat Obesity Epidemic,P2,review_bridge,Good fermented tea context review,"mechanism_label",abstract,review-level support only
PMID_38056775_R2,PMID_38056775,Biological potential and mechanisms of Tea's bioactive compounds: An Updated review,P3,context_review,Broad umbrella review not suitable for direct graph specificity,"mechanism_label",abstract,retain as context/provenance only
PMID_38056775_R1,PMID_38056775,Biological potential and mechanisms of Tea's bioactive compounds: An Updated review,P3,context_review,Broad umbrella review,"mechanism_label",abstract,retain as high-level context only
PMID_39920567_R1,PMID_39920567,Bioavailability of Tea Polyphenols: A Key Factor in Understanding Their Mechanisms of Action In Vivo and Health Effects,P3,interpretation_review,Interpretation layer not a graph edge source,"mechanism_label",abstract,keep for discussion not graph expansion
PMID_40160899_R1,PMID_40160899,Effects of green tea supplementation on antioxidant status and inflammatory markers in adults: a grade-assessed systematic review and dose-response meta-analysis of randomised controlled trials,P3,human_meta_context,Human meta-analysis useful for evidence layer not microbiota graph,"host_phenotype",abstract,retain as evidence context
PMID_40160899_R2,PMID_40160899,Effects of green tea supplementation on antioxidant status and inflammatory markers in adults: a grade-assessed systematic review and dose-response meta-analysis of randomised controlled trials,P3,human_meta_context,Not microbiota-focused,"host_phenotype",abstract,retain as evidence context
PMID_38031409_R1,PMID_38031409,The effects of green tea extract supplementation on body composition obesity-related hormones and oxidative stress markers: a grade-assessed systematic review and dose-response meta-analysis of randomised controlled trials,P3,human_meta_context,Useful for evidence stratification not C06 specificity,"host_phenotype",abstract,retain as evidence context
PMID_38031409_R2,PMID_38031409,The effects of green tea extract supplementation on body composition obesity-related hormones and oxidative stress markers: a grade-assessed systematic review and dose-response meta-analysis of randomised controlled trials,P3,human_meta_context,Not microbiota-specific,"host_phenotype",abstract,retain as evidence context
PMID_40314930_R1,PMID_40314930,Effects of Tea (Camellia sinensis) or its Bioactive Compounds l-Theanine or l-Theanine plus Caffeine on Cognition Sleep and Mood in Healthy Participants: A Systematic Review and Meta-Analysis of Randomized Controlled Trials,P3,human_meta_context,Important human neuro evidence but not graph-specific,"host_phenotype",abstract,retain for evidence layering not KG specificity
PMID_38745671_R1,PMID_38745671,Green tea extract suppresses airway inflammation via oxidative stress-driven MAPKs/MMP-9 signaling in asthmatic mice and human airway epithelial cells,P2,mechanism_sidebranch,Mechanistically useful but not microbiota-driven,"mechanism_label",abstract,possible side branch outside core C06
PMID_38745671_R2,PMID_38745671,Green tea extract suppresses airway inflammation via oxidative stress-driven MAPKs/MMP-9 signaling in asthmatic mice and human airway epithelial cells,P2,mechanism_sidebranch,Antioxidant side branch outside core microbiota narrative,"mechanism_label",abstract,possible side branch outside core C06
