source_id,target_id,edge_type,provenance
record:PMID_39153277_R2,microbiota:muribaculaceae_pseudomonas_acterium_coprostanoligenes_group_clostridiales_lachnospiraceae_nk4a136_group_delftia_dubosiella_romboutsia,MODULATES_MICROBIOTA,PMID_39153277
microbiota:muribaculaceae_pseudomonas_acterium_coprostanoligenes_group_clostridiales_lachnospiraceae_nk4a136_group_delftia_dubosiella_romboutsia,metabolite:conjugated_bile_acids_non_12oh_bile_acids,LINKS_TO_METABOLITE,PMID_39153277
record:PMID_39153277_R2,phenotype:nafld_phenotype,ASSOCIATED_HOST_PHENOTYPE,PMID_39153277
metabolite:conjugated_bile_acids_non_12oh_bile_acids,phenotype:nafld_phenotype,AFFECTS_HOST_PHENOTYPE,PMID_39153277
record:PMID_39255891_R1,component_group:tea_polysaccharides,HAS_COMPONENT_GROUP,PMID_39255891
record:PMID_39255891_R2,component_group:tea_polysaccharides,HAS_COMPONENT_GROUP,PMID_39255891
paper:PMID_39479919,record:PMID_39479919_R1,HAS_RECORD,PMID_39479919
record:PMID_39479919_R1,tea_type:unspecified_tea,HAS_TEA_TYPE,PMID_39479919
record:PMID_39479919_R1,component_group:tea_polysaccharides,HAS_COMPONENT_GROUP,PMID_39479919
record:PMID_39479919_R1,activity:antioxidant,SUPPORTS_ACTIVITY,PMID_39479919
record:PMID_39479919_R1,study_type:animal_study,HAS_STUDY_TYPE,PMID_39479919
record:PMID_39479919_R1,evidence_level:preclinical_in_vivo,HAS_EVIDENCE_LEVEL,PMID_39479919
record:PMID_39479919_R1,mechanism:nf_kb_suppression,ACTS_VIA,PMID_39479919
record:PMID_39479919_R1,mechanism:antioxidant_enzyme_restoration,ACTS_VIA,PMID_39479919
record:PMID_39479919_R1,mechanism:oxidative_stress_reduction,ACTS_VIA,PMID_39479919
record:PMID_39479919_R1,microbiota:firmicutes_bacteroidota_ratio_lactobacillus,MODULATES_MICROBIOTA,PMID_39479919
record:PMID_39479919_R1,phenotype:oxidative_damage_phenotype,ASSOCIATED_HOST_PHENOTYPE,PMID_39479919
paper:PMID_39479919,record:PMID_39479919_R2,HAS_RECORD,PMID_39479919
record:PMID_39479919_R2,tea_type:unspecified_tea,HAS_TEA_TYPE,PMID_39479919
record:PMID_39479919_R2,component_group:tea_polysaccharides,HAS_COMPONENT_GROUP,PMID_39479919
record:PMID_39479919_R2,activity:neuroprotection,SUPPORTS_ACTIVITY,PMID_39479919
record:PMID_39479919_R2,study_type:animal_study,HAS_STUDY_TYPE,PMID_39479919
record:PMID_39479919_R2,evidence_level:preclinical_in_vivo,HAS_EVIDENCE_LEVEL,PMID_39479919
record:PMID_39479919_R2,mechanism:microglial_activation_reduction,ACTS_VIA,PMID_39479919
record:PMID_39479919_R2,mechanism:neuroinflammation_suppression,ACTS_VIA,PMID_39479919
record:PMID_39479919_R2,microbiota:firmicutes_bacteroidota_ratio_lactobacillus,MODULATES_MICROBIOTA,PMID_39479919
record:PMID_39479919_R2,phenotype:microglial_oxidative_damage,ASSOCIATED_HOST_PHENOTYPE,PMID_39479919
record:PMID_40640361_R1,component_group:tea_polysaccharides,HAS_COMPONENT_GROUP,PMID_40640361
record:PMID_40640361_R2,component_group:tea_polysaccharides,HAS_COMPONENT_GROUP,PMID_40640361
paper:PMID_40957830,record:PMID_40957830_R1,HAS_RECORD,PMID_40957830
record:PMID_40957830_R1,tea_type:unspecified_tea,HAS_TEA_TYPE,PMID_40957830
record:PMID_40957830_R1,component_group:tea_polysaccharides,HAS_COMPONENT_GROUP,PMID_40957830
record:PMID_40957830_R1,activity:anti_obesity,SUPPORTS_ACTIVITY,PMID_40957830
record:PMID_40957830_R1,study_type:animal_study,HAS_STUDY_TYPE,PMID_40957830
record:PMID_40957830_R1,evidence_level:preclinical_in_vivo,HAS_EVIDENCE_LEVEL,PMID_40957830
record:PMID_40957830_R1,mechanism:microbiota_butyrate_adipose_axis,ACTS_VIA,PMID_40957830
record:PMID_40957830_R1,mechanism:thermogenesis_activation,ACTS_VIA,PMID_40957830
record:PMID_40957830_R1,microbiota:bifidobacterium_species,MODULATES_MICROBIOTA,PMID_40957830
microbiota:bifidobacterium_species,metabolite:butyrate,LINKS_TO_METABOLITE,PMID_40957830
record:PMID_40957830_R1,phenotype:obesity_related_phenotype,ASSOCIATED_HOST_PHENOTYPE,PMID_40957830
metabolite:butyrate,phenotype:obesity_related_phenotype,AFFECTS_HOST_PHENOTYPE,PMID_40957830
paper:PMID_40957830,record:PMID_40957830_R2,HAS_RECORD,PMID_40957830
record:PMID_40957830_R2,tea_type:unspecified_tea,HAS_TEA_TYPE,PMID_40957830
record:PMID_40957830_R2,component_group:tea_polysaccharides,HAS_COMPONENT_GROUP,PMID_40957830
record:PMID_40957830_R2,activity:gut_microbiota_modulation,SUPPORTS_ACTIVITY,PMID_40957830
record:PMID_40957830_R2,study_type:animal_study,HAS_STUDY_TYPE,PMID_40957830
record:PMID_40957830_R2,evidence_level:preclinical_in_vivo,HAS_EVIDENCE_LEVEL,PMID_40957830
record:PMID_40957830_R2,mechanism:butyrate_mediated_adipose_browning,ACTS_VIA,PMID_40957830
record:PMID_40957830_R2,mechanism:pgc_1alpha_ucp1_thermogenic_programming,ACTS_VIA,PMID_40957830
record:PMID_40957830_R2,microbiota:bifidobacterium_species,MODULATES_MICROBIOTA,PMID_40957830
microbiota:bifidobacterium_species,metabolite:butyrate,LINKS_TO_METABOLITE,PMID_40957830
record:PMID_40957830_R2,phenotype:adipose_browning,ASSOCIATED_HOST_PHENOTYPE,PMID_40957830
metabolite:butyrate,phenotype:adipose_browning,AFFECTS_HOST_PHENOTYPE,PMID_40957830
